from date,CO,PM10,SO2,to date,station
01-Mar-2019 - 00:00,0.94,,11.32,02-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Mar-2019 - 00:00,0.9,,9.62,03-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Mar-2019 - 00:00,0.96,,8.45,04-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Mar-2019 - 00:00,1.06,,10.15,05-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Mar-2019 - 00:00,0.67,,10.75,06-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Mar-2019 - 00:00,0.76,,7.93,07-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Mar-2019 - 00:00,0.89,,11.34,08-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Mar-2019 - 00:00,1.06,,11.03,09-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Mar-2019 - 00:00,0.9,,12.53,10-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Mar-2019 - 00:00,0.67,,12.98,11-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Mar-2019 - 00:00,0.48,,12.38,12-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Mar-2019 - 00:00,1.09,,15.29,13-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Mar-2019 - 00:00,0.86,,13.07,14-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Mar-2019 - 00:00,1.25,,14.89,15-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Mar-2019 - 00:00,0.81,,17.15,16-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Mar-2019 - 00:00,0.83,,11.13,17-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Mar-2019 - 00:00,0.82,,11.67,18-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Mar-2019 - 00:00,0.8,,12.85,19-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Mar-2019 - 00:00,0.84,,12.76,20-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Mar-2019 - 00:00,1.28,2.62,13.47,21-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Mar-2019 - 00:00,0.96,4.44,14.46,22-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Mar-2019 - 00:00,0.74,79.55,13.51,23-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Mar-2019 - 00:00,0.96,146.65,11.91,24-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Mar-2019 - 00:00,0.75,209.02,13.86,25-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Mar-2019 - 00:00,1.02,231.28,14.64,26-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Mar-2019 - 00:00,1.03,274.18,11.78,27-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Mar-2019 - 00:00,0.54,133.87,11.77,28-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Mar-2019 - 00:00,0.56,182.02,14.11,29-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Mar-2019 - 00:00,0.83,134.82,12.2,30-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Mar-2019 - 00:00,0.78,123.35,12.77,31-Mar-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Mar-2019 - 00:00,0.53,142.71,38.93,01-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Apr-2019 - 00:00,0.58,103.47,48.44,02-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
