from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
16-Feb-2019 - 00:00,77.41,110.52,36.65,12.77,24.44,18.83,3.28,1.25,17.4,5.86,,,22.82,17-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Feb-2019 - 00:00,71.28,112.37,43.7,28.76,36.78,17.83,3.85,1.41,22.17,6.45,,,28.79,18-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Feb-2019 - 00:00,83.81,151.76,48.27,43.32,47.05,22.11,5.7,1.4,22.45,6.61,,,8.19,19-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Feb-2019 - 00:00,81.23,185.27,57.54,43.9,52.21,23.12,7.62,1.48,16.71,6.22,,,15.92,20-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Feb-2019 - 00:00,80.04,149.69,47.34,16.58,32.09,24.46,9.16,1.3,12.62,6.0,,,9.7,21-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Feb-2019 - 00:00,55.35,129.32,43.39,22.06,32.99,20.74,20.96,1.15,19.93,4.95,,,6.87,22-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Feb-2019 - 00:00,47.11,95.21,32.19,10.32,20.78,19.97,20.7,0.89,17.97,4.91,,,17.86,23-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Feb-2019 - 00:00,41.88,86.72,44.62,11.07,27.66,32.42,29.4,0.84,27.83,4.83,,,21.99,24-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Feb-2019 - 00:00,57.06,113.7,46.63,42.42,45.46,70.3,28.12,1.05,29.42,5.52,,,12.83,25-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Feb-2019 - 00:00,85.2,185.09,57.88,140.45,105.52,145.57,23.61,1.51,27.87,8.87,,,11.89,26-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Feb-2019 - 00:00,43.73,92.96,44.52,27.3,36.26,62.68,25.19,0.77,24.2,4.56,,,6.3,27-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Feb-2019 - 00:00,47.06,91.86,49.55,52.19,52.21,78.94,25.03,0.8,16.5,4.57,,,5.38,28-Feb-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Feb-2019 - 00:00,68.69,139.1,58.31,70.61,67.15,101.2,27.7,0.8,19.69,7.38,,,27.34,01-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Mar-2019 - 00:00,69.3,142.69,64.63,63.52,66.15,95.77,33.46,0.88,21.17,6.29,,,17.4,02-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Mar-2019 - 00:00,72.72,142.62,63.01,70.26,68.91,104.88,27.26,0.96,15.49,6.63,,,13.23,03-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Mar-2019 - 00:00,40.52,61.87,32.27,8.44,19.77,45.99,25.4,0.6,20.41,3.8,,,5.46,04-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Mar-2019 - 00:00,60.44,110.64,39.02,39.72,40.04,72.61,30.68,1.01,23.52,5.96,,,12.47,05-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Mar-2019 - 00:00,52.08,113.02,50.85,54.35,54.88,82.7,34.41,1.03,19.12,5.72,,,19.27,06-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Mar-2019 - 00:00,51.62,138.7,55.46,45.58,57.51,93.39,26.19,1.09,21.44,6.18,,,25.22,07-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Mar-2019 - 00:00,73.24,176.8,68.98,80.27,85.7,125.06,21.91,1.35,23.18,7.4,,,25.82,08-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Mar-2019 - 00:00,72.17,205.59,74.04,102.33,118.34,171.6,20.94,1.58,21.82,9.53,,,20.16,09-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Mar-2019 - 00:00,59.38,139.06,41.78,10.08,27.5,68.68,30.14,0.96,22.88,5.5,,,8.07,10-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Mar-2019 - 00:00,49.42,134.53,50.53,18.53,38.85,77.15,29.0,1.2,28.8,6.47,,,10.04,11-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Mar-2019 - 00:00,63.7,178.55,45.57,9.29,28.85,68.79,25.26,1.21,35.17,6.12,,,7.38,12-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Mar-2019 - 00:00,62.89,142.29,44.29,12.95,31.12,74.79,28.36,1.21,24.9,6.63,,,15.18,13-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Mar-2019 - 00:00,79.87,246.36,84.1,48.22,80.2,131.38,38.87,2.0,16.14,8.35,,,8.7,14-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Mar-2019 - 00:00,97.91,231.29,65.14,97.46,109.79,182.7,26.28,2.07,11.65,11.78,,,26.44,15-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
