from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
23-Feb-2019 - 00:00,29.8,52.59,10.34,4.99,16.73,31.01,3.18,0.3,49.97,,,,0.0,0.0,55.85,249.08,3.33,258.66,0.0,24-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
24-Feb-2019 - 00:00,53.59,95.59,28.06,15.03,35.25,34.8,5.34,0.38,39.85,,,,0.0,0.0,58.39,328.74,1.88,200.92,0.0,25-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-Feb-2019 - 00:00,75.79,120.31,37.81,25.82,37.33,37.54,5.77,0.49,40.77,,,,0.0,0.0,63.09,260.95,1.52,124.22,0.0,26-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-Feb-2019 - 00:00,39.93,70.91,17.9,5.48,30.45,33.61,4.12,0.36,34.4,,,,0.0,0.0,70.9,181.07,1.96,108.17,0.0,27-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-Feb-2019 - 00:00,30.45,51.81,18.4,8.49,26.96,31.72,3.28,0.39,33.67,,,,0.0,0.0,73.72,338.19,2.32,157.17,0.0,28-Feb-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-Feb-2019 - 00:00,52.64,106.18,31.99,21.66,32.51,32.34,4.87,0.32,43.16,,,,,,57.58,359.31,2.27,226.32,0.0,01-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-Mar-2019 - 00:00,62.36,109.92,31.43,18.36,36.57,32.72,4.44,0.42,39.3,3.23,0.32,2.89,2.94,4.32,54.64,375.02,1.93,157.62,0.0,02-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Mar-2019 - 00:00,65.67,86.99,19.95,5.93,33.69,33.08,4.81,0.52,30.9,5.81,0.36,4.01,5.1,7.18,76.92,72.46,2.24,104.53,0.0,03-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Mar-2019 - 00:00,32.57,41.13,12.05,4.57,20.66,29.74,2.86,0.32,33.92,3.42,0.23,3.4,2.65,3.57,80.27,294.86,2.36,110.83,0.0,04-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Mar-2019 - 00:00,52.45,68.19,13.6,6.1,21.28,37.06,3.01,0.47,27.62,4.52,0.27,3.01,0.23,0.34,85.99,255.13,2.18,241.96,0.0,05-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Mar-2019 - 00:00,39.13,76.41,19.23,12.29,22.53,34.49,3.01,0.41,37.84,2.93,0.27,2.87,1.67,2.54,62.35,488.89,2.49,246.78,0.0,06-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Mar-2019 - 00:00,59.21,118.73,25.13,12.38,33.69,40.56,3.2,0.45,36.65,5.16,0.36,3.76,4.1,6.68,51.88,387.78,2.43,215.26,0.0,07-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Mar-2019 - 00:00,60.43,167.17,37.14,25.91,35.91,45.59,4.85,0.49,48.78,4.78,0.38,3.45,3.87,6.17,51.65,362.69,1.67,140.21,0.0,08-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Mar-2019 - 00:00,55.75,93.26,15.47,5.9,25.14,42.36,6.1,0.44,47.65,4.72,0.41,3.36,3.8,5.87,59.77,317.54,2.59,108.16,0.09,09-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
