from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM2.5,PM10,to date,station
19-Jan-2019 - 00:00,68.76,19.55,1.76,37.74,52.25,0.08,191.15,460.55,20-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-Jan-2019 - 00:00,60.82,18.66,1.68,38.79,44.63,0.08,167.62,412.38,21-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-Jan-2019 - 00:00,62.92,17.78,1.48,34.19,57.89,0.08,143.89,410.4,22-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-Jan-2019 - 00:00,60.11,17.3,1.42,48.98,57.89,0.06,146.85,323.8,23-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-Jan-2019 - 00:00,59.5,20.19,1.44,43.36,44.88,0.05,154.42,371.3,24-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-Jan-2019 - 00:00,42.43,21.59,1.27,30.33,36.53,0.08,154.79,213.69,25-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-Jan-2019 - 00:00,36.3,18.54,0.77,30.92,22.9,0.01,47.75,84.95,26-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-Jan-2019 - 00:00,50.26,23.96,1.0,16.32,35.18,0.04,109.71,145.76,27-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-Jan-2019 - 00:00,40.22,19.19,1.0,24.57,31.32,0.02,85.4,161.5,28-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-Jan-2019 - 00:00,37.15,15.36,0.7,52.08,31.22,0.0,65.31,149.83,29-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
29-Jan-2019 - 00:00,37.37,15.78,0.86,53.55,28.47,0.02,90.16,168.27,30-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
30-Jan-2019 - 00:00,57.21,18.79,1.33,20.25,46.37,0.07,151.09,348.87,31-Jan-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
31-Jan-2019 - 00:00,70.81,19.9,1.64,11.53,78.19,0.08,164.77,328.26,01-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-Feb-2019 - 00:00,43.43,19.77,0.98,36.59,31.7,0.05,103.28,204.82,02-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Feb-2019 - 00:00,63.91,22.23,1.32,24.14,64.97,0.07,165.08,311.88,03-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Feb-2019 - 00:00,49.91,23.17,1.26,36.65,50.58,0.06,152.3,277.35,04-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Feb-2019 - 00:00,63.91,22.6,1.41,28.84,49.63,0.07,177.82,316.35,05-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Feb-2019 - 00:00,61.32,20.37,1.42,27.62,39.22,0.08,156.83,298.61,06-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Feb-2019 - 00:00,41.91,20.57,1.26,36.03,36.96,0.05,135.46,281.94,07-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Feb-2019 - 00:00,42.88,18.91,0.97,37.5,55.71,0.02,119.07,233.12,08-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Feb-2019 - 00:00,36.82,20.48,1.15,26.66,30.67,0.04,150.12,220.36,09-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Feb-2019 - 00:00,36.85,14.7,0.59,32.49,36.17,0.02,59.31,179.88,10-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Feb-2019 - 00:00,51.05,16.42,0.99,21.17,38.77,0.04,96.89,237.73,11-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-Feb-2019 - 00:00,74.01,17.89,1.13,18.33,46.7,0.05,112.25,270.62,12-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-Feb-2019 - 00:00,83.19,19.7,1.34,14.22,64.79,0.06,147.47,321.21,13-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-Feb-2019 - 00:00,85.07,19.71,1.61,19.93,81.47,0.08,167.84,351.3,14-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-Feb-2019 - 00:00,71.51,19.29,1.67,21.49,55.42,0.08,146.16,392.69,15-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-Feb-2019 - 00:00,40.33,17.28,0.85,20.31,40.53,0.01,75.03,178.59,16-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
16-Feb-2019 - 00:00,25.85,15.51,0.59,36.88,21.22,0.0,49.01,84.77,17-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-Feb-2019 - 00:00,34.25,17.97,0.77,40.22,28.61,0.0,76.8,137.79,18-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-Feb-2019 - 00:00,56.15,17.78,1.18,26.32,30.75,0.04,98.56,198.85,19-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-Feb-2019 - 00:00,52.13,18.19,1.1,27.63,35.83,0.1,96.57,277.16,20-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-Feb-2019 - 00:00,49.84,17.51,1.05,22.46,34.06,0.05,80.61,301.29,21-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-Feb-2019 - 00:00,56.66,19.33,1.08,14.15,62.22,0.06,98.33,270.8,22-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-Feb-2019 - 00:00,36.86,20.28,0.97,35.93,36.73,0.02,98.41,250.0,23-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-Feb-2019 - 00:00,28.96,17.92,0.6,45.01,38.2,0.0,65.35,195.26,24-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-Feb-2019 - 00:00,25.49,14.97,0.58,48.68,30.87,0.01,51.5,265.32,25-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-Feb-2019 - 00:00,48.23,16.42,0.63,28.72,67.09,0.01,57.6,142.36,26-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-Feb-2019 - 00:00,50.31,16.77,0.93,23.99,46.65,0.03,82.09,198.85,27-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-Feb-2019 - 00:00,34.84,17.31,0.84,25.95,29.66,0.02,65.83,195.49,28-Feb-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-Feb-2019 - 00:00,21.35,15.37,0.41,42.44,27.84,0.0,36.85,89.37,01-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-Mar-2019 - 00:00,38.64,15.69,0.82,39.1,32.75,0.03,77.21,271.74,02-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Mar-2019 - 00:00,68.75,17.48,1.01,21.78,65.31,0.04,91.9,240.02,03-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Mar-2019 - 00:00,40.59,17.76,0.97,35.31,46.85,0.01,82.22,189.2,04-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Mar-2019 - 00:00,33.81,18.92,0.93,36.93,37.15,0.01,93.52,183.77,05-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Mar-2019 - 00:00,40.78,18.53,0.94,33.34,44.66,0.03,96.27,225.96,06-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Mar-2019 - 00:00,27.13,15.05,0.67,36.94,28.17,0.0,58.35,134.59,07-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Mar-2019 - 00:00,33.42,13.59,0.77,29.51,31.39,0.01,59.96,161.66,08-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Mar-2019 - 00:00,35.68,12.9,0.9,26.29,34.66,0.01,67.29,210.6,09-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Mar-2019 - 00:00,39.45,13.91,0.83,34.74,62.45,0.02,79.58,232.67,10-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Mar-2019 - 00:00,46.32,17.02,0.97,28.79,55.26,0.02,92.92,257.3,11-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-Mar-2019 - 00:00,73.27,17.47,1.37,12.51,59.46,0.05,108.44,298.38,12-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-Mar-2019 - 00:00,31.52,15.58,0.79,32.4,34.62,0.01,74.28,237.0,13-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-Mar-2019 - 00:00,45.9,16.55,0.87,36.74,69.61,0.01,87.6,292.24,14-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-Mar-2019 - 00:00,40.05,17.13,0.69,19.56,67.34,0.0,70.65,128.65,15-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-Mar-2019 - 00:00,40.56,17.42,0.94,18.11,43.74,0.02,88.09,171.16,16-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
16-Mar-2019 - 00:00,39.59,15.02,0.83,31.62,53.2,0.01,72.92,201.82,17-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-Mar-2019 - 00:00,37.97,16.13,1.0,16.56,32.63,0.01,82.03,169.68,18-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-Mar-2019 - 00:00,38.36,15.09,0.91,26.65,39.21,0.02,57.48,113.35,19-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-Mar-2019 - 00:00,60.16,14.79,1.17,25.65,34.89,0.03,81.37,215.69,20-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-Mar-2019 - 00:00,72.73,16.02,1.33,11.88,79.92,0.04,119.85,320.32,21-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-Mar-2019 - 00:00,20.83,16.54,0.67,46.98,46.27,0.01,59.93,104.89,22-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-Mar-2019 - 00:00,23.14,14.53,0.61,35.85,32.4,0.0,56.42,163.14,23-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-Mar-2019 - 00:00,26.74,12.38,0.57,35.41,28.61,0.0,51.71,175.78,24-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-Mar-2019 - 00:00,29.54,13.3,0.64,29.27,31.19,0.0,56.17,198.26,25-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-Mar-2019 - 00:00,56.99,14.19,1.05,22.24,49.63,0.02,112.16,368.74,26-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-Mar-2019 - 00:00,52.47,14.29,0.86,21.25,69.02,0.01,73.34,248.27,27-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-Mar-2019 - 00:00,48.55,13.73,1.04,33.1,36.29,0.03,72.56,216.19,28-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-Mar-2019 - 00:00,36.52,14.43,0.76,41.32,29.35,0.01,67.83,223.83,29-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
29-Mar-2019 - 00:00,45.58,15.05,0.98,60.87,30.79,0.01,88.18,262.77,30-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
30-Mar-2019 - 00:00,49.36,16.06,1.17,46.04,40.0,0.03,103.61,311.79,31-Mar-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
31-Mar-2019 - 00:00,41.78,15.96,1.0,57.28,48.82,0.02,83.73,333.2,01-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-Apr-2019 - 00:00,27.11,13.81,0.66,65.15,29.92,0.01,58.58,219.24,02-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Apr-2019 - 00:00,61.55,15.53,1.79,9.2,33.35,0.0,91.0,350.0,03-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Apr-2019 - 00:00,43.93,14.39,1.14,53.81,46.61,0.02,98.92,289.49,04-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Apr-2019 - 00:00,46.82,15.84,1.15,67.74,44.04,0.02,108.75,349.31,05-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Apr-2019 - 00:00,45.05,15.76,1.16,61.82,39.02,0.02,110.1,317.53,06-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Apr-2019 - 00:00,34.93,16.87,0.96,67.55,47.59,0.0,83.51,293.52,07-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Apr-2019 - 00:00,25.95,14.52,0.7,67.34,55.74,0.0,52.41,194.84,08-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Apr-2019 - 00:00,24.52,12.61,0.68,73.46,49.55,0.0,52.7,194.47,09-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Apr-2019 - 00:00,38.21,13.82,1.06,55.53,33.72,0.0,77.22,240.97,10-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Apr-2019 - 00:00,45.6,14.55,1.01,62.33,46.32,0.02,86.76,322.52,11-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-Apr-2019 - 00:00,36.34,14.68,0.95,68.89,46.41,0.0,85.06,290.1,12-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-Apr-2019 - 00:00,40.67,14.83,1.04,53.12,42.94,0.0,95.13,346.98,13-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-Apr-2019 - 00:00,46.1,18.34,1.49,75.44,56.07,0.02,101.54,307.13,14-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-Apr-2019 - 00:00,54.27,16.72,1.27,45.9,51.92,0.03,95.3,352.73,15-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-Apr-2019 - 00:00,46.84,15.79,1.2,61.31,36.48,0.01,90.47,356.26,16-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
16-Apr-2019 - 00:00,27.57,15.35,0.76,61.18,34.77,0.0,72.52,294.66,17-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-Apr-2019 - 00:00,32.96,14.12,0.75,34.8,35.8,0.0,45.43,153.58,18-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-Apr-2019 - 00:00,20.01,14.68,0.63,80.34,27.36,0.0,38.32,86.91,19-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-Apr-2019 - 00:00,48.38,15.2,1.05,63.89,36.57,1.81,62.31,189.59,20-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-Apr-2019 - 00:00,47.2,14.52,0.93,64.69,41.29,,78.05,203.78,21-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-Apr-2019 - 00:00,42.13,13.46,0.87,79.58,47.12,20.56,70.82,223.18,22-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-Apr-2019 - 00:00,53.49,13.61,1.18,56.76,32.73,0.0,82.65,263.89,23-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-Apr-2019 - 00:00,49.96,16.06,1.2,60.42,38.13,0.0,90.65,277.45,24-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-Apr-2019 - 00:00,51.38,16.61,1.2,73.92,47.57,0.0,93.23,280.43,25-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-Apr-2019 - 00:00,51.01,16.35,1.26,56.95,41.03,0.0,112.1,336.26,26-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-Apr-2019 - 00:00,45.76,15.32,1.12,67.24,56.19,0.0,113.94,388.52,27-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-Apr-2019 - 00:00,42.26,14.73,1.01,59.24,28.77,0.0,102.82,353.5,28-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-Apr-2019 - 00:00,39.07,13.85,1.09,61.79,30.41,0.0,104.64,398.49,29-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
29-Apr-2019 - 00:00,37.33,13.99,0.86,64.55,32.05,0.0,83.79,322.86,30-Apr-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
30-Apr-2019 - 00:00,62.65,15.59,1.19,51.82,51.21,0.0,123.78,449.65,01-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-May-2019 - 00:00,15.72,13.58,0.64,91.6,29.68,0.0,57.25,160.96,02-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-May-2019 - 00:00,17.3,12.36,0.64,80.21,48.08,0.0,47.1,113.5,03-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-May-2019 - 00:00,33.94,12.22,0.74,47.66,54.01,0.0,48.5,166.23,04-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-May-2019 - 00:00,49.81,13.45,1.11,39.96,61.53,0.0,63.63,165.97,05-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-May-2019 - 00:00,34.61,13.46,0.82,98.67,33.37,0.0,52.71,180.2,06-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-May-2019 - 00:00,45.73,13.57,1.1,68.17,32.37,0.0,81.54,244.66,07-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-May-2019 - 00:00,50.31,14.83,1.08,64.01,39.53,0.0,86.73,370.09,08-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-May-2019 - 00:00,33.76,13.71,0.77,55.64,32.95,0.0,78.76,356.16,09-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-May-2019 - 00:00,38.4,12.87,0.86,57.92,35.44,0.0,75.64,366.3,10-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-May-2019 - 00:00,29.81,12.02,0.67,71.97,30.55,0.0,62.83,310.35,11-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
11-May-2019 - 00:00,46.16,14.62,1.09,46.45,36.0,0.0,84.01,348.39,12-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
12-May-2019 - 00:00,31.53,14.13,0.86,85.31,35.88,0.0,69.83,237.68,13-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
13-May-2019 - 00:00,29.48,13.96,0.75,83.99,33.25,0.0,58.82,202.37,14-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
14-May-2019 - 00:00,24.09,13.85,0.67,87.32,42.06,0.0,53.41,198.0,15-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
15-May-2019 - 00:00,33.13,13.76,0.84,82.39,42.83,0.0,68.7,283.53,16-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
16-May-2019 - 00:00,84.74,15.8,1.57,44.5,115.35,0.0,127.16,401.59,17-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
17-May-2019 - 00:00,51.23,14.53,1.24,59.52,60.18,0.0,92.62,398.7,18-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
18-May-2019 - 00:00,24.39,13.28,0.88,77.7,39.27,0.0,101.6,301.53,19-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
19-May-2019 - 00:00,29.86,12.92,0.75,71.78,35.43,0.0,75.12,222.85,20-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
20-May-2019 - 00:00,38.04,14.26,0.98,79.73,40.95,0.0,102.46,341.15,21-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
21-May-2019 - 00:00,60.59,14.11,1.14,58.79,51.49,0.0,105.75,331.1,22-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
22-May-2019 - 00:00,69.97,15.75,1.32,54.36,88.3,0.0,128.5,355.03,23-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
23-May-2019 - 00:00,31.58,14.08,0.98,81.32,44.73,0.0,79.76,269.35,24-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
24-May-2019 - 00:00,35.65,13.46,0.92,79.38,37.91,7.54,80.46,264.02,25-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
25-May-2019 - 00:00,30.44,13.31,0.88,83.62,36.19,0.0,68.84,305.9,26-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
26-May-2019 - 00:00,46.31,13.5,1.21,53.69,36.96,0.0,94.15,353.14,27-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
27-May-2019 - 00:00,41.38,13.71,1.09,65.22,39.94,0.0,88.19,365.22,28-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
28-May-2019 - 00:00,52.07,15.86,1.41,29.95,44.85,0.0,103.62,363.36,29-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
29-May-2019 - 00:00,44.14,16.7,1.15,29.49,49.66,0.0,86.61,345.43,30-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
30-May-2019 - 00:00,56.68,18.87,1.26,27.49,47.21,0.0,159.1,359.21,31-May-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
31-May-2019 - 00:00,44.46,19.83,1.19,29.11,44.9,0.0,103.32,356.35,01-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
01-Jun-2019 - 00:00,37.38,18.64,1.3,27.77,42.22,0.0,89.3,279.26,02-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
02-Jun-2019 - 00:00,28.63,19.37,1.01,35.17,65.63,0.0,82.97,275.1,03-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
03-Jun-2019 - 00:00,44.96,19.67,0.9,33.16,71.19,0.0,60.67,145.12,04-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
04-Jun-2019 - 00:00,34.43,19.49,1.08,37.05,43.84,0.0,77.18,208.58,05-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
05-Jun-2019 - 00:00,27.93,19.81,1.05,38.57,50.26,0.0,88.38,240.2,06-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
06-Jun-2019 - 00:00,31.99,23.47,1.01,34.14,57.5,3.74,103.41,194.81,07-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
07-Jun-2019 - 00:00,41.11,20.68,1.05,28.67,62.86,1.99,76.32,184.57,08-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
08-Jun-2019 - 00:00,35.98,16.65,1.04,32.59,41.73,3.2,87.34,224.52,09-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
09-Jun-2019 - 00:00,50.73,18.61,1.42,28.8,45.05,3.2,129.78,357.88,10-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
10-Jun-2019 - 00:00,54.47,19.1,1.21,28.49,44.59,3.2,162.79,390.47,11-Jun-2019 - 00:00,"Vindhyachal STPS, Singrauli - MPPCB"
