from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
22-May-2019 - 00:00,754.85,90.99,37.34,173.55,1.61,0.89,0.18,0.78,0.36,0.95,18.87,6.33,35.67,42.0,39.3,7.2,23-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-May-2019 - 00:00,753.26,81.46,35.53,140.85,1.65,0.69,0.18,0.8,0.35,0.86,26.68,8.91,34.62,43.53,47.71,7.15,24-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-May-2019 - 00:00,754.1,105.5,39.89,192.18,1.75,0.41,0.09,0.43,0.18,0.95,25.43,4.8,42.05,46.84,61.02,9.9,25-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-May-2019 - 00:00,754.48,74.61,30.54,182.79,1.61,0.45,0.1,0.49,0.2,0.87,17.61,5.42,51.1,56.51,81.6,10.64,26-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-May-2019 - 00:00,,82.21,36.82,,,0.56,0.13,0.62,0.26,0.75,15.2,9.62,54.82,64.44,72.67,9.69,27-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-May-2019 - 00:00,753.04,100.42,45.98,211.76,1.4,1.11,0.25,1.05,0.46,1.25,14.51,13.05,59.25,72.29,58.43,10.36,28-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-May-2019 - 00:00,753.39,70.49,35.31,144.21,1.46,0.97,0.2,0.92,0.39,1.1,13.18,9.0,61.99,70.99,82.15,13.96,29-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-May-2019 - 00:00,737.53,92.16,39.72,169.46,1.46,1.03,0.34,1.45,0.6,1.12,16.0,14.9,64.17,79.07,52.26,12.78,30-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-May-2019 - 00:00,715.24,90.48,33.21,259.64,1.62,0.4,0.13,0.58,0.26,0.87,14.01,6.11,40.4,46.51,48.76,12.1,31-May-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-May-2019 - 00:00,714.79,101.22,42.26,229.65,1.66,0.41,0.12,0.55,0.24,0.86,13.47,6.33,41.07,46.32,59.5,11.5,01-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Jun-2019 - 00:00,724.08,106.85,45.13,244.81,1.58,0.63,0.2,0.89,0.39,1.13,14.51,11.79,49.73,61.52,43.24,12.23,02-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Jun-2019 - 00:00,723.78,109.87,43.33,256.7,1.58,0.87,0.3,1.09,0.49,1.26,13.71,23.87,47.08,70.95,50.89,13.2,03-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Jun-2019 - 00:00,723.43,140.83,55.71,232.19,1.36,0.9,0.31,1.35,0.57,1.01,12.87,14.19,49.88,64.07,48.65,11.29,04-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Jun-2019 - 00:00,723.93,190.07,64.97,267.15,1.59,0.57,0.19,0.87,0.37,0.78,11.13,12.34,37.99,50.33,48.43,9.66,05-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Jun-2019 - 00:00,724.23,192.88,66.95,264.17,1.26,0.47,0.16,0.72,0.3,0.91,14.12,8.58,26.75,35.32,40.82,9.82,06-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Jun-2019 - 00:00,724.47,106.8,43.72,252.51,1.84,0.49,0.15,0.72,0.3,0.91,8.51,6.61,31.35,37.96,64.0,12.01,07-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Jun-2019 - 00:00,725.74,125.97,49.34,131.55,1.86,0.78,0.14,0.64,0.26,1.15,14.93,5.95,29.74,35.69,91.61,9.99,08-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
