from date,Temp,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
30-Apr-2019 - 00:00,27.92,1.15,18.85,9.68,131.91,43.31,85.49,3.12,155.57,,40.53,721.48,180.86,0.0,-0.11,,,,107.39,28.84,01-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-May-2019 - 00:00,28.23,1.39,15.58,5.3,112.58,35.14,82.28,1.27,177.78,,45.62,720.82,161.5,0.0,-0.11,,,,110.2,28.06,02-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-May-2019 - 00:00,29.09,1.54,17.05,14.25,60.18,31.66,103.79,2.95,131.75,,52.05,722.9,162.79,0.0,-0.08,,,,106.31,30.03,03-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-May-2019 - 00:00,33.4,2.19,23.27,9.08,88.93,30.88,87.73,3.54,148.24,,54.84,725.44,175.11,0.01,-0.11,,,,77.07,34.46,04-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-May-2019 - 00:00,26.7,2.46,36.67,8.69,100.55,34.2,42.34,3.61,246.26,,45.23,726.96,200.89,0.0,-0.24,,,,64.13,35.28,05-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-May-2019 - 00:00,26.43,2.39,41.16,9.63,83.02,29.85,71.01,3.76,251.47,,39.09,727.39,195.48,0.0,-0.27,,,,107.66,35.77,06-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-May-2019 - 00:00,28.8,1.89,42.63,20.19,122.58,48.02,35.02,3.84,245.98,,38.03,724.79,196.76,0.0,-0.28,,,,55.83,36.81,07-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-May-2019 - 00:00,27.81,1.5,49.84,37.27,144.15,65.43,78.08,3.95,233.57,,39.55,723.3,190.04,0.0,-0.31,,,,90.3,37.12,08-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-May-2019 - 00:00,28.7,1.27,45.85,25.74,113.63,49.16,75.58,4.99,242.77,,40.32,723.26,190.3,0.0,-0.39,,,,101.66,37.55,09-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-May-2019 - 00:00,29.3,0.79,32.91,8.26,75.3,26.76,71.09,5.61,245.97,,39.59,722.61,190.08,0.0,-0.42,,,,84.31,37.94,10-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-May-2019 - 00:00,29.79,0.53,18.81,15.41,41.84,27.06,100.45,5.2,246.48,,39.93,723.48,192.19,0.0,-0.39,,,,54.93,37.63,11-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-May-2019 - 00:00,27.61,0.86,37.71,6.71,70.04,24.25,96.59,3.74,236.96,,46.78,725.92,175.55,0.0,-0.24,,,,88.95,36.24,12-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-May-2019 - 00:00,26.54,0.82,31.33,5.77,56.33,19.76,,4.83,247.2,,48.31,725.55,195.29,0.0,-0.37,,,,136.07,35.98,13-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-May-2019 - 00:00,28.99,1.01,47.91,17.46,66.99,35.07,89.4,3.18,196.15,,50.84,724.33,124.2,0.0,-0.18,,,,125.91,35.78,14-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-May-2019 - 00:00,27.57,0.81,29.06,6.04,66.54,22.81,84.35,2.98,174.93,,59.59,725.34,180.9,0.0,-0.17,,,,239.03,34.08,15-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-May-2019 - 00:00,28.66,0.98,56.92,6.67,81.23,27.39,55.47,3.31,152.67,,62.07,726.62,160.51,0.0,-0.11,,,,172.77,33.77,16-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-May-2019 - 00:00,29.24,0.95,31.7,8.26,79.62,27.99,70.52,3.31,198.73,,56.8,727.22,152.63,0.0,-0.2,,,,128.86,34.77,17-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-May-2019 - 00:00,28.22,0.61,37.22,7.17,63.1,22.59,68.21,3.79,199.6,,61.5,727.06,189.06,0.12,-0.23,,,,75.39,33.95,18-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-May-2019 - 00:00,28.24,0.59,13.05,5.34,53.77,18.73,105.04,4.11,254.98,,63.98,727.22,301.36,0.0,-0.32,,,,44.35,33.95,19-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-May-2019 - 00:00,25.97,0.7,20.9,6.02,64.72,22.29,91.43,4.0,263.23,,56.09,727.21,206.93,0.0,-0.3,,,,65.2,34.87,20-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-May-2019 - 00:00,27.48,0.82,32.4,7.44,92.69,31.15,86.45,3.18,251.06,,48.67,727.52,195.58,0.0,-0.24,,,,76.53,36.51,21-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-May-2019 - 00:00,28.81,0.72,33.42,5.74,63.14,21.66,95.74,3.71,253.85,,47.35,726.2,198.26,0.0,-0.27,,,,62.29,37.06,22-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-May-2019 - 00:00,28.85,0.95,23.87,6.57,86.94,28.95,63.28,2.35,230.89,,43.28,724.6,132.34,0.0,-0.17,,,,60.67,36.38,23-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-May-2019 - 00:00,28.32,0.81,33.5,6.87,83.53,28.17,62.68,2.63,214.19,,34.08,723.6,152.01,0.0,-0.15,,,,77.83,36.42,24-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-May-2019 - 00:00,29.27,0.92,24.62,8.23,82.3,27.93,49.98,3.64,230.44,,41.48,725.21,172.84,0.0,-0.17,,,,52.64,34.26,25-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-May-2019 - 00:00,26.07,0.61,15.54,5.66,49.77,17.82,97.18,5.47,266.38,,36.06,724.84,221.16,0.0,-0.41,,,,37.59,35.24,26-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-May-2019 - 00:00,42.25,0.95,33.96,26.53,137.78,92.99,98.09,4.25,263.88,,31.0,723.62,227.2,0.0,-0.31,,,,50.93,36.81,27-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-May-2019 - 00:00,35.18,1.08,38.85,48.08,189.52,106.29,85.93,3.88,256.46,,27.44,723.28,220.8,0.0,-0.29,,,,45.16,38.4,28-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-May-2019 - 00:00,26.69,0.93,35.61,8.14,104.71,35.01,94.34,4.33,264.6,,24.32,722.7,227.65,0.0,-0.31,,,,45.08,37.87,29-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-May-2019 - 00:00,25.62,1.19,40.0,15.55,122.57,44.96,88.36,3.04,248.62,,25.96,721.1,216.48,0.0,-0.2,,,,55.95,38.37,30-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-May-2019 - 00:00,31.18,1.14,34.13,17.53,152.69,54.58,84.31,2.86,242.9,,25.06,719.86,215.07,0.0,-0.21,,,,73.44,39.73,31-May-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-May-2019 - 00:00,29.86,1.0,34.5,7.48,103.68,34.28,73.99,3.69,200.01,,25.98,720.06,195.27,0.0,-0.24,7.69,62.77,33.14,74.84,39.57,01-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Jun-2019 - 00:00,27.36,1.07,19.38,6.15,63.62,22.07,82.35,3.22,120.44,,33.3,720.19,183.42,0.0,-0.16,7.0,53.12,25.96,93.21,38.25,02-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Jun-2019 - 00:00,27.33,0.93,5.54,5.49,32.77,12.9,20.95,4.09,104.58,,39.17,720.32,190.53,0.0,-0.18,4.68,13.55,3.89,68.62,37.75,03-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Jun-2019 - 00:00,27.77,0.84,4.82,5.48,27.78,11.49,32.54,3.54,106.8,,40.14,721.09,193.28,0.0,-0.2,4.04,10.45,2.31,62.73,36.57,04-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Jun-2019 - 00:00,29.13,0.99,10.86,5.6,36.51,13.55,57.84,3.37,111.2,,39.02,721.41,180.18,0.0,-0.17,3.84,12.94,3.01,49.98,36.73,05-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Jun-2019 - 00:00,29.5,1.2,13.61,17.5,43.09,26.15,76.03,1.74,132.47,,36.09,720.75,178.51,0.0,-0.12,5.6,39.15,7.05,90.41,37.96,06-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Jun-2019 - 00:00,28.6,0.79,28.11,12.16,46.09,23.58,133.37,2.06,159.76,,33.02,721.2,176.3,0.0,-0.16,4.54,45.82,11.48,68.99,38.24,07-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Jun-2019 - 00:00,29.06,0.7,16.72,4.67,40.2,14.46,79.36,2.21,132.54,,39.26,724.36,243.6,0.0,-0.13,3.46,14.18,4.36,51.33,35.74,08-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Jun-2019 - 00:00,29.33,1.06,39.3,6.62,88.53,29.43,128.47,0.66,186.02,,28.4,721.36,297.36,0.0,-0.15,5.73,58.06,12.5,66.91,40.29,09-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Jun-2019 - 00:00,29.58,1.48,80.0,7.81,101.16,33.79,17.75,0.82,153.78,,29.9,719.74,183.44,0.0,-0.08,9.11,94.39,21.97,111.14,39.11,10-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Jun-2019 - 00:00,28.91,1.17,62.87,11.22,104.22,36.9,71.19,1.11,212.74,,27.06,716.98,207.06,0.0,-0.16,6.9,56.88,17.9,77.08,40.03,11-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Jun-2019 - 00:00,29.07,1.27,58.96,13.57,90.14,34.14,70.93,1.88,210.77,,25.89,716.93,176.08,0.0,-0.17,6.82,37.72,18.06,120.06,40.03,12-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Jun-2019 - 00:00,29.45,0.66,38.89,3.53,41.15,13.97,95.83,5.54,134.79,,36.34,719.79,191.39,0.0,-0.21,4.17,24.82,18.9,58.77,36.87,13-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Jun-2019 - 00:00,28.56,0.63,33.24,3.89,45.92,15.56,77.17,3.4,210.43,,35.59,720.11,191.72,0.0,-0.22,3.19,23.38,9.99,47.52,37.49,14-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Jun-2019 - 00:00,27.32,0.62,32.75,5.05,58.96,20.02,99.22,4.96,257.15,,28.77,718.96,222.73,0.0,-0.31,2.83,14.76,4.68,41.59,38.66,15-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Jun-2019 - 00:00,27.36,0.91,46.62,5.52,61.5,21.05,75.01,4.57,245.86,,27.18,718.61,177.6,0.0,-0.3,3.79,32.75,11.0,59.73,38.63,16-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Jun-2019 - 00:00,28.78,0.39,26.68,3.71,30.42,11.06,62.57,6.38,244.64,,40.96,720.6,130.06,0.0,-0.46,1.43,7.61,2.8,33.5,34.98,17-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Jun-2019 - 00:00,28.1,0.73,24.06,4.37,49.64,16.73,43.56,4.51,223.68,,41.38,720.04,65.35,0.01,-0.31,2.08,17.96,4.29,32.28,34.17,18-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Jun-2019 - 00:00,28.19,0.8,23.39,5.1,58.66,19.97,71.77,4.13,221.07,,45.21,721.88,148.01,0.01,-0.21,2.71,24.07,4.73,32.34,32.8,19-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Jun-2019 - 00:00,28.03,0.97,30.19,4.63,62.18,20.65,63.78,2.71,159.28,,44.66,720.96,173.88,0.0,-0.12,5.13,53.88,12.65,81.53,34.23,20-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Jun-2019 - 00:00,28.23,0.75,26.0,4.1,39.87,13.99,70.57,2.59,148.85,,42.34,722.08,201.53,0.0,-0.13,3.26,27.95,8.34,54.32,35.19,21-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Jun-2019 - 00:00,29.7,1.01,26.76,3.83,61.96,20.06,62.28,2.02,156.83,,40.77,722.09,119.9,0.0,-0.11,4.78,33.89,10.19,71.58,36.21,22-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Jun-2019 - 00:00,27.59,0.89,38.55,5.67,73.75,24.62,57.87,3.18,180.36,,34.96,721.32,206.57,0.0,-0.09,4.13,32.3,7.94,55.59,37.37,23-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Jun-2019 - 00:00,27.2,0.65,19.52,3.75,22.18,8.76,46.13,4.33,116.24,,43.5,721.68,211.31,0.0,-0.15,2.26,5.71,1.31,30.7,36.04,24-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Jun-2019 - 00:00,28.74,0.59,19.49,3.65,28.04,10.25,33.05,4.54,108.24,,50.31,723.65,152.56,0.0,-0.13,1.94,7.83,1.71,21.59,34.08,25-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Jun-2019 - 00:00,28.23,0.76,18.07,3.89,38.71,13.49,57.27,2.35,141.42,,45.02,722.42,173.25,0.0,-0.11,2.95,17.82,3.63,46.67,36.0,26-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Jun-2019 - 00:00,28.38,0.81,21.48,3.94,46.06,15.64,71.71,2.89,210.16,,39.1,719.64,186.72,0.0,-0.16,3.21,22.12,5.16,56.0,37.76,27-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Jun-2019 - 00:00,28.72,0.88,24.59,4.5,63.89,21.05,75.04,3.68,241.52,,36.85,717.73,187.03,0.0,-0.22,3.87,32.85,10.24,66.35,37.44,28-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Jun-2019 - 00:00,29.83,0.62,31.89,5.28,80.95,26.4,50.96,4.17,257.43,,35.07,716.68,177.92,0.0,-0.25,2.72,14.14,3.89,50.06,37.66,29-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Jun-2019 - 00:00,28.88,0.43,27.59,4.67,,3.0,67.21,4.21,247.28,,32.11,715.87,218.63,0.0,-0.26,1.84,8.75,2.89,49.33,38.79,30-Jun-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Jun-2019 - 00:00,28.74,0.54,29.34,,,,86.96,4.46,225.93,,31.15,716.3,258.77,0.0,-0.2,1.79,10.21,2.24,51.78,39.86,01-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Jul-2019 - 00:00,29.88,0.62,19.13,,,,77.57,3.31,197.88,,35.43,717.52,192.44,0.0,-0.14,2.41,13.6,3.03,47.76,38.06,02-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Jul-2019 - 00:00,29.73,0.91,8.97,,,,72.13,3.27,175.47,,40.03,718.52,119.57,0.0,-0.15,2.62,13.96,3.19,57.35,37.08,03-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Jul-2019 - 00:00,28.74,1.18,14.83,,,,35.06,2.42,117.07,,45.37,719.31,179.99,0.0,-0.12,2.41,7.12,1.39,30.7,36.33,04-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Jul-2019 - 00:00,29.11,0.77,5.85,,,,33.44,3.04,161.34,,48.23,718.53,132.5,0.26,-0.14,2.86,13.24,2.09,33.92,35.84,05-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Jul-2019 - 00:00,34.39,0.61,11.93,,,,11.58,3.05,166.04,,58.27,716.17,101.44,0.11,-0.16,3.79,16.07,12.52,27.55,33.43,06-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Jul-2019 - 00:00,39.93,0.96,19.36,,,,21.76,2.32,137.67,,55.71,715.39,172.01,0.03,-0.12,1.58,8.22,4.6,29.74,34.43,07-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Jul-2019 - 00:00,27.58,1.16,6.14,,,,53.22,1.45,177.85,,51.31,715.74,151.49,0.0,-0.11,2.6,12.35,2.29,51.9,34.87,08-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Jul-2019 - 00:00,28.99,1.1,10.78,,,,25.18,2.52,181.85,,50.6,716.05,148.06,0.0,-0.15,2.68,15.36,3.83,50.01,35.36,09-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Jul-2019 - 00:00,29.66,1.14,22.45,,,,17.29,2.53,169.38,,54.11,716.05,93.44,0.0,-0.15,2.35,24.76,7.23,49.73,33.96,10-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Jul-2019 - 00:00,28.06,1.07,19.27,,,,12.75,3.05,198.72,,50.18,715.2,143.9,0.01,-0.19,2.31,17.48,4.47,85.13,35.51,11-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Jul-2019 - 00:00,28.84,0.8,15.74,,,,20.67,3.65,203.65,,45.14,715.53,139.85,0.0,-0.23,1.96,41.96,4.48,85.2,36.39,12-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Jul-2019 - 00:00,28.6,0.79,18.45,,,,15.52,3.61,206.19,,46.04,718.07,140.11,0.0,-0.24,1.9,25.13,3.78,81.43,36.24,13-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Jul-2019 - 00:00,28.94,0.74,16.85,,,,18.2,5.12,210.13,,42.33,718.61,168.88,0.0,-0.3,1.53,19.41,2.16,75.89,36.61,14-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Jul-2019 - 00:00,43.36,1.29,27.98,,,,8.08,4.14,188.1,,45.2,717.97,160.05,0.0,-0.25,4.25,9.48,7.39,77.74,36.75,15-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Jul-2019 - 00:00,32.07,1.26,36.17,,,,13.29,3.03,129.03,,55.18,717.91,80.75,0.0,-0.13,6.99,18.67,14.44,21.31,33.5,16-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Jul-2019 - 00:00,28.23,0.99,15.88,,,,18.11,2.13,113.83,,56.42,720.75,116.15,0.0,-0.09,2.02,11.6,4.73,24.38,32.6,17-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Jul-2019 - 00:00,28.94,1.12,20.84,,,,37.84,1.98,180.71,,57.04,722.01,127.01,0.0,-0.17,2.51,18.62,5.45,31.99,32.61,18-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Jul-2019 - 00:00,26.72,1.8,21.25,,,,26.01,0.45,192.93,,60.68,721.72,82.05,0.24,-0.14,2.91,38.42,11.38,37.93,31.98,19-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Jul-2019 - 00:00,27.55,1.2,20.41,,,,38.72,0.46,154.39,,52.98,721.88,193.78,0.01,-0.11,3.28,34.15,12.47,51.68,34.53,20-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Jul-2019 - 00:00,29.01,1.33,21.85,,,,30.26,1.44,153.92,,55.55,722.73,75.23,0.0,-0.11,2.74,29.32,7.11,40.04,34.1,21-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Jul-2019 - 00:00,28.63,1.18,21.06,,,,31.81,2.65,134.21,,54.68,722.1,143.71,0.0,-0.12,2.57,22.05,5.24,37.48,34.26,22-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Jul-2019 - 00:00,31.14,1.38,21.74,,,,33.1,1.81,150.53,,51.93,721.0,173.87,0.0,-0.1,2.67,16.8,4.85,38.83,35.33,23-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Jul-2019 - 00:00,28.64,1.67,19.95,,,,27.83,0.48,153.13,,52.66,719.53,119.67,0.03,-0.13,3.72,40.15,12.0,54.59,35.49,24-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Jul-2019 - 00:00,28.41,1.5,21.71,,,,19.86,0.92,183.67,,54.41,718.12,128.26,0.0,-0.17,3.87,50.89,15.27,60.2,34.96,25-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Jul-2019 - 00:00,29.08,0.98,21.81,,,,18.28,2.16,183.85,,62.98,720.11,42.01,0.09,-0.16,1.71,20.31,7.45,18.93,31.98,26-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Jul-2019 - 00:00,28.52,1.25,19.11,,,,20.35,2.62,122.83,,63.78,718.28,102.5,0.02,-0.1,2.02,16.97,4.47,22.5,32.25,27-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Jul-2019 - 00:00,29.25,1.18,20.26,,,,22.9,3.36,112.14,,65.17,717.89,90.28,0.27,-0.11,1.69,12.6,2.91,15.33,32.08,28-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Jul-2019 - 00:00,28.6,0.82,18.74,,,,23.39,3.15,105.43,,60.61,719.88,150.7,0.01,-0.12,1.54,6.65,1.67,17.62,33.1,29-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Jul-2019 - 00:00,29.1,0.78,20.74,,,,25.46,3.7,104.26,,55.7,721.37,149.29,0.0,-0.11,1.98,5.87,1.22,24.91,34.19,30-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Jul-2019 - 00:00,28.9,1.0,19.94,,,,22.43,3.24,100.0,,57.43,721.04,115.05,0.0,-0.09,1.91,13.97,2.73,31.49,33.84,31-Jul-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Jul-2019 - 00:00,29.44,0.88,21.11,,,,29.69,3.05,103.88,,55.21,720.29,142.43,0.0,-0.13,1.77,7.09,2.41,23.47,34.26,01-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Aug-2019 - 00:00,38.06,1.01,20.36,,,,31.44,1.37,111.46,,53.69,720.0,172.54,0.0,-0.12,1.11,5.55,2.4,30.12,34.97,02-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Aug-2019 - 00:00,28.96,1.06,21.48,,,,35.77,1.17,125.57,,57.6,718.79,104.84,0.0,-0.12,1.99,10.16,2.63,29.78,33.82,03-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Aug-2019 - 00:00,28.99,1.04,21.91,,,,20.29,1.6,113.66,,61.77,718.74,105.71,0.18,-0.11,1.89,12.35,2.96,21.51,33.01,04-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Aug-2019 - 00:00,28.19,1.3,17.58,,,,24.07,1.89,145.22,,60.31,717.62,103.97,0.0,-0.11,2.36,17.88,5.3,24.57,33.63,05-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Aug-2019 - 00:00,29.37,1.23,19.55,,,,22.94,1.9,155.89,,58.63,715.95,122.4,0.01,-0.11,2.57,19.34,5.52,31.53,34.44,06-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Aug-2019 - 00:00,29.32,1.17,19.64,,,,15.2,2.21,143.9,,64.64,716.43,48.74,0.11,-0.11,2.18,20.67,6.61,18.33,32.32,07-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Aug-2019 - 00:00,28.41,1.24,20.65,,,,30.04,2.71,143.54,,59.36,716.26,151.27,0.0,-0.12,2.74,29.33,8.04,26.84,33.45,08-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Aug-2019 - 00:00,28.91,0.72,18.46,,,,50.33,2.9,102.76,,54.92,716.03,148.03,0.0,-0.12,1.72,12.02,3.15,23.93,34.72,09-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Aug-2019 - 00:00,28.13,0.94,19.56,,,,25.0,6.2,100.56,,53.04,717.78,146.36,0.0,-0.2,1.13,4.38,1.14,14.02,34.24,10-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Aug-2019 - 00:00,28.43,1.13,20.01,,,,23.2,4.85,110.41,,59.12,718.67,44.21,0.0,-0.17,0.96,3.39,0.76,10.94,33.19,11-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Aug-2019 - 00:00,28.14,0.92,19.68,,,,25.22,2.97,156.19,,53.82,720.27,148.79,0.0,-0.16,1.18,7.46,0.93,12.94,34.72,12-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Aug-2019 - 00:00,29.62,0.89,18.05,,,,29.83,3.01,240.98,,54.85,720.36,149.23,0.0,-0.2,1.37,8.77,2.52,23.17,34.49,13-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Aug-2019 - 00:00,28.77,1.59,21.69,,,,31.02,3.6,207.98,,60.21,721.25,148.0,0.53,-0.2,1.74,27.34,7.77,22.48,33.28,14-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Aug-2019 - 00:00,29.11,1.35,19.27,,,,32.6,2.06,183.0,,59.11,721.84,140.57,0.31,-0.12,2.01,26.59,4.8,18.91,33.62,15-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Aug-2019 - 00:00,28.88,1.05,17.89,,,,31.54,4.01,136.8,,57.55,721.46,168.4,0.13,-0.13,2.08,17.5,5.75,18.7,33.97,16-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Aug-2019 - 00:00,29.19,0.87,21.67,,,,26.7,4.85,101.62,,60.46,719.7,95.83,0.02,-0.17,1.01,3.87,1.07,11.07,32.63,17-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Aug-2019 - 00:00,29.1,0.68,18.98,,,,19.52,4.74,125.84,,66.83,719.28,47.7,0.04,-0.13,0.84,4.05,1.64,6.08,31.4,18-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Aug-2019 - 00:00,28.51,0.92,21.09,,,,17.77,2.9,206.77,,63.55,722.9,88.32,0.16,-0.19,1.35,8.63,2.75,11.22,31.93,19-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Aug-2019 - 00:00,29.54,1.2,20.01,,,,36.33,1.96,205.14,,56.63,724.86,166.26,0.0,-0.14,2.26,16.71,4.26,38.01,33.84,20-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Aug-2019 - 00:00,29.01,1.13,19.37,,,,32.3,3.36,241.68,,55.44,724.26,183.46,0.0,-0.21,2.43,17.2,4.85,38.03,34.13,21-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
