from date,AT,CO,SO2,NO,NO2,NOx,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
11-Jan-2019 - 00:00,24.84,0.41,13.08,29.43,141.99,58.62,0.3,164.9,72.98,748.16,90.89,-3.57,0.0,266.52,0.83,6.21,5.06,12-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Jan-2019 - 00:00,24.66,0.43,16.04,55.98,143.91,76.66,0.3,114.8,74.61,748.11,91.49,-4.28,0.0,327.72,0.81,5.85,4.96,13-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Jan-2019 - 00:00,25.66,0.37,14.94,39.68,148.68,56.57,0.3,126.41,75.02,748.14,84.59,-2.06,0.0,377.99,0.79,5.4,4.96,14-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Jan-2019 - 00:00,25.89,0.3,10.84,9.9,26.32,6.91,0.34,165.34,72.79,748.0,98.66,-1.46,0.0,216.17,0.77,4.41,2.7,15-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Jan-2019 - 00:00,24.78,0.39,13.13,13.67,135.86,23.43,0.33,166.54,63.71,748.0,112.45,-2.93,0.0,134.04,0.54,3.46,1.7,16-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Jan-2019 - 00:00,24.8,0.34,14.03,10.44,133.42,43.38,0.3,165.58,70.02,748.14,94.33,-2.43,0.0,185.85,0.64,3.94,2.4,17-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Jan-2019 - 00:00,25.4,0.39,12.65,9.94,132.63,43.04,0.3,161.31,72.58,748.0,88.14,-4.14,0.0,233.7,0.75,4.5,3.03,18-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Jan-2019 - 00:00,25.79,0.45,13.06,8.03,128.63,40.69,0.3,147.28,72.38,748.0,96.51,-3.75,0.0,235.53,0.74,4.25,2.63,19-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Jan-2019 - 00:00,25.94,0.3,13.92,6.66,120.25,37.43,0.3,132.6,72.06,748.0,92.12,-2.96,0.0,227.1,0.73,4.19,2.87,20-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Jan-2019 - 00:00,25.56,0.51,12.89,10.8,126.09,41.3,0.3,115.93,76.06,748.01,88.62,-4.05,0.0,281.29,0.73,3.94,1.88,21-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Jan-2019 - 00:00,25.4,0.46,13.5,42.59,127.05,63.09,0.35,94.33,77.19,748.0,83.04,-3.92,0.0,337.28,0.82,5.55,4.66,22-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Jan-2019 - 00:00,26.17,0.29,12.84,8.05,107.22,34.65,0.3,69.45,74.26,748.0,77.82,-3.01,0.0,251.23,0.73,5.45,3.99,23-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Jan-2019 - 00:00,25.07,0.5,13.58,6.84,81.74,26.46,0.37,129.42,81.74,748.0,39.08,-2.48,0.01,139.13,0.55,3.4,2.09,24-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Jan-2019 - 00:00,26.49,0.37,14.99,26.29,72.15,36.79,0.3,120.36,81.77,748.15,79.7,-2.62,0.01,128.85,0.59,4.03,2.86,25-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Jan-2019 - 00:00,26.48,0.45,12.77,30.74,77.06,41.13,0.3,103.81,85.93,748.15,38.41,-2.06,0.0,208.51,0.69,4.64,3.93,26-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Jan-2019 - 00:00,25.93,0.37,11.18,15.42,67.32,28.23,0.3,67.57,82.3,748.24,46.1,-2.04,0.0,145.01,0.59,3.14,1.85,27-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Jan-2019 - 00:00,25.89,0.47,11.79,8.72,63.83,21.98,0.3,110.25,82.06,748.23,111.52,-2.27,0.0,85.04,0.42,1.89,0.12,28-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Jan-2019 - 00:00,25.8,0.47,11.83,6.52,72.8,23.83,0.35,111.69,75.02,748.25,114.6,-2.43,0.0,94.42,0.39,1.9,0.49,29-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Jan-2019 - 00:00,24.2,0.37,12.48,4.9,78.92,24.58,0.53,108.16,71.87,748.1,114.62,-2.66,0.0,124.19,0.37,1.6,0.25,30-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Jan-2019 - 00:00,24.67,0.48,13.04,5.93,79.87,25.39,0.31,102.59,69.07,748.35,120.12,-2.62,0.0,133.5,0.36,1.62,0.42,31-Jan-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-Jan-2019 - 00:00,25.54,0.36,13.76,29.77,96.56,45.99,0.3,96.21,74.23,748.36,97.04,-4.0,0.0,237.36,0.51,2.75,1.21,01-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Feb-2019 - 00:00,28.56,0.34,28.58,81.66,102.34,81.76,0.3,124.35,62.4,748.0,122.75,-0.98,0.0,206.77,0.49,3.76,2.79,02-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Feb-2019 - 00:00,27.21,0.39,14.41,12.77,97.52,35.03,0.3,122.18,65.87,748.0,125.28,-3.36,0.0,189.9,0.38,1.86,0.47,03-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Feb-2019 - 00:00,27.53,0.39,13.54,5.87,90.68,28.49,0.31,124.24,63.84,748.0,128.26,-2.26,0.0,142.99,0.29,1.01,0.0,04-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Feb-2019 - 00:00,26.47,0.38,16.1,7.46,96.84,31.25,0.32,120.17,65.9,748.2,132.51,-2.56,0.0,140.49,0.29,1.0,0.01,05-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Feb-2019 - 00:00,26.29,0.42,14.26,8.23,96.61,31.77,0.3,128.95,67.38,748.09,125.55,-1.7,0.0,153.56,0.39,2.28,0.27,06-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Feb-2019 - 00:00,27.03,0.37,15.58,26.29,95.87,43.49,0.3,116.05,75.32,748.0,107.53,-2.6,0.0,215.66,0.41,2.42,0.8,07-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Feb-2019 - 00:00,28.2,0.4,14.97,11.09,80.25,29.03,0.34,78.72,73.95,748.0,95.89,-3.62,0.0,222.47,0.39,2.05,0.47,08-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Feb-2019 - 00:00,26.92,0.37,12.63,6.74,66.92,22.38,0.34,118.98,89.89,748.0,29.31,-0.84,0.02,83.13,0.28,2.04,0.31,09-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Feb-2019 - 00:00,27.09,0.35,10.67,5.23,51.61,15.26,0.3,83.15,80.6,748.0,103.88,-2.06,0.02,80.94,0.33,1.66,0.17,10-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Feb-2019 - 00:00,25.93,0.48,8.4,2.72,56.65,15.74,0.31,48.57,72.42,748.21,140.11,-1.62,0.01,99.93,0.21,0.77,0.0,11-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Feb-2019 - 00:00,26.7,0.59,13.75,8.92,68.81,24.82,0.3,47.09,69.64,748.28,135.09,-1.3,0.01,123.5,0.29,1.32,0.26,12-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Feb-2019 - 00:00,27.18,0.58,18.59,7.45,57.58,20.21,0.3,49.99,69.71,748.45,131.98,-0.91,0.01,121.79,0.26,1.21,0.4,13-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Feb-2019 - 00:00,28.06,0.28,15.92,6.01,53.05,17.98,0.3,50.61,70.9,748.35,130.07,-0.64,0.01,160.61,0.29,1.0,0.04,14-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Feb-2019 - 00:00,27.87,0.38,13.85,6.15,52.88,17.94,0.3,46.54,75.97,747.56,95.25,-1.53,0.0,163.41,0.27,0.93,0.0,15-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Feb-2019 - 00:00,27.1,0.38,11.58,7.8,49.64,18.2,0.3,91.43,83.17,747.97,41.48,-2.25,0.0,154.2,0.26,1.1,0.09,16-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Feb-2019 - 00:00,29.15,0.34,15.18,8.66,47.55,18.17,0.3,115.25,75.93,747.88,136.17,-3.42,0.0,91.35,0.18,0.77,0.0,17-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Feb-2019 - 00:00,27.22,0.35,11.61,4.48,41.58,13.73,0.59,103.65,80.35,747.44,104.29,-2.28,0.0,86.78,0.1,0.32,0.0,18-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Feb-2019 - 00:00,27.04,0.37,15.2,5.09,48.69,16.14,0.32,40.73,73.85,747.41,128.32,-3.11,0.0,99.98,0.14,0.66,0.0,19-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Feb-2019 - 00:00,28.53,0.34,11.83,8.76,48.94,18.65,0.3,74.28,69.7,747.8,161.44,-3.36,0.0,154.74,0.24,1.04,0.15,20-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Feb-2019 - 00:00,31.63,0.36,16.96,4.78,52.02,16.87,0.35,72.3,58.76,748.0,180.28,-2.19,0.0,92.15,0.15,0.72,0.0,21-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Feb-2019 - 00:00,29.86,0.36,17.19,8.7,54.04,20.04,0.3,86.34,71.26,748.02,131.72,-1.28,0.0,136.43,0.19,0.95,0.12,22-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Feb-2019 - 00:00,31.19,0.34,21.1,5.3,48.34,16.15,0.3,101.97,69.74,747.68,129.49,-2.93,0.0,145.6,0.2,0.89,0.02,23-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Feb-2019 - 00:00,29.53,0.34,13.45,5.07,45.11,15.12,1.38,104.22,71.12,747.36,141.49,-2.74,0.0,96.82,0.14,0.54,0.0,24-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Feb-2019 - 00:00,27.79,0.52,19.54,4.6,50.16,15.91,0.46,106.97,69.08,747.19,113.19,-2.48,0.0,63.13,0.11,0.37,0.0,25-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Feb-2019 - 00:00,29.35,0.36,18.84,10.65,56.09,21.89,0.31,95.69,69.68,747.22,143.56,-2.84,0.0,126.17,0.22,1.38,0.69,26-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Feb-2019 - 00:00,30.12,0.41,17.88,9.22,49.8,19.19,0.3,86.76,64.68,747.21,142.82,-3.27,0.0,143.77,0.22,1.19,0.23,27-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Feb-2019 - 00:00,27.71,0.46,15.64,4.6,40.74,13.3,1.25,92.2,72.76,747.02,93.29,-2.25,0.03,72.52,0.11,0.51,0.0,28-Feb-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Feb-2019 - 00:00,26.7,0.39,13.87,5.12,41.4,14.1,0.42,87.52,77.53,747.49,117.4,-2.39,0.02,54.46,0.1,0.37,0.0,01-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Mar-2019 - 00:00,26.42,0.36,15.9,5.0,47.35,15.7,0.43,78.55,63.85,747.95,176.28,-2.14,0.01,70.32,0.11,0.32,0.0,02-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Mar-2019 - 00:00,26.69,0.38,18.68,11.37,57.09,22.67,0.3,78.18,65.76,747.98,127.54,-2.16,0.0,131.73,0.21,1.22,0.43,03-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Mar-2019 - 00:00,27.16,0.32,15.75,6.22,47.54,16.56,0.3,86.03,74.33,747.59,92.58,-1.59,0.01,139.83,0.14,0.52,0.0,04-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Mar-2019 - 00:00,28.72,0.37,18.44,6.2,37.97,13.78,0.3,84.03,74.46,746.96,224.65,-1.67,0.01,88.05,0.09,0.24,0.0,05-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Mar-2019 - 00:00,31.2,0.56,16.89,4.55,39.77,13.09,0.36,101.7,61.35,746.96,196.94,-2.86,0.0,69.84,0.12,0.57,0.0,06-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Mar-2019 - 00:00,28.63,0.35,19.29,5.03,43.91,14.65,0.69,101.65,63.12,747.09,181.6,-2.17,0.0,80.49,0.09,0.31,0.0,07-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Mar-2019 - 00:00,28.6,0.37,19.68,5.33,48.77,16.33,0.34,119.64,58.45,745.96,174.9,-2.81,0.0,68.94,,,,08-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Mar-2019 - 00:00,28.94,0.44,22.32,4.86,49.93,16.34,0.76,119.11,57.9,747.5,176.94,-2.52,0.01,89.16,,,,09-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Mar-2019 - 00:00,29.87,0.33,17.64,8.77,48.74,18.59,0.68,118.55,59.49,747.44,170.66,-2.31,0.0,97.72,,,,10-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Mar-2019 - 00:00,30.73,0.54,14.94,24.8,81.54,41.84,0.4,90.8,59.71,747.49,151.32,-1.43,0.0,132.84,,,,11-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Mar-2019 - 00:00,31.03,0.61,16.71,10.38,117.22,38.92,0.45,109.34,55.71,747.96,171.73,-2.4,0.0,93.1,,,,12-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Mar-2019 - 00:00,31.89,0.85,17.41,8.32,112.35,36.21,0.96,119.5,54.29,747.52,167.2,-2.01,0.0,89.72,,,,13-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Mar-2019 - 00:00,32.35,0.73,17.37,7.25,93.86,30.31,1.27,130.96,50.77,747.67,180.7,-2.39,0.0,76.02,,,,14-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Mar-2019 - 00:00,32.53,0.43,23.53,6.99,80.84,26.5,0.79,122.45,55.04,747.84,140.86,-2.42,0.0,68.58,,,,15-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Mar-2019 - 00:00,33.09,0.58,19.45,7.17,72.94,24.35,0.96,103.98,57.48,747.86,151.66,-2.58,0.0,62.78,,,,16-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Mar-2019 - 00:00,32.23,1.21,17.31,7.07,65.08,22.05,1.25,98.54,56.32,747.84,173.28,-2.59,0.0,83.34,,,,17-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Mar-2019 - 00:00,28.6,0.5,17.87,7.15,71.16,23.85,0.56,76.39,56.42,748.0,141.41,-2.97,0.0,83.55,,,,18-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Mar-2019 - 00:00,33.4,0.63,18.85,6.37,74.03,23.2,0.72,42.46,54.16,745.96,157.1,-2.85,0.0,93.35,,,,19-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Mar-2019 - 00:00,31.58,0.35,18.05,6.89,72.25,24.0,0.89,43.59,56.19,746.85,166.58,-2.45,0.0,106.97,,,,20-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Mar-2019 - 00:00,32.06,0.83,16.83,13.9,77.72,29.58,0.57,44.2,54.46,747.05,144.18,-4.04,0.0,110.0,,,,21-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Mar-2019 - 00:00,33.52,0.43,18.74,12.92,70.2,27.41,0.45,64.32,53.87,747.23,194.28,-3.01,0.0,177.8,,,,22-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Mar-2019 - 00:00,35.67,0.46,15.64,6.88,66.68,22.36,1.42,62.46,45.29,747.0,172.84,-2.64,0.0,62.56,,,,23-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Mar-2019 - 00:00,31.89,0.47,21.02,5.75,68.36,22.07,1.86,83.04,49.26,747.09,184.85,-2.76,0.0,52.08,,,,24-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Mar-2019 - 00:00,32.38,0.45,20.72,9.22,74.82,26.18,0.53,107.31,52.03,747.11,183.9,-1.98,0.0,77.9,,,,25-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Mar-2019 - 00:00,33.19,0.5,21.53,16.37,79.06,32.2,0.58,97.3,58.01,747.19,149.65,-2.93,0.0,170.3,,,,26-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Mar-2019 - 00:00,30.74,0.59,14.18,9.14,62.63,22.33,0.62,82.98,69.23,747.62,92.92,-3.02,0.03,87.53,,,,27-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Mar-2019 - 00:00,32.21,0.43,18.0,9.67,64.09,23.52,0.36,96.32,63.64,742.56,183.24,-3.49,0.01,90.6,,,,28-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Mar-2019 - 00:00,33.45,0.52,16.71,13.58,68.5,26.96,0.39,93.75,59.95,744.86,164.56,-2.92,0.0,135.27,,,,29-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Mar-2019 - 00:00,34.32,0.51,19.41,13.18,75.59,28.99,0.38,84.09,58.11,747.03,147.72,-1.81,0.0,132.8,,,,30-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Mar-2019 - 00:00,34.64,0.43,19.45,6.35,63.36,21.02,0.93,123.78,61.97,747.0,131.43,-2.62,0.0,136.36,,,,31-Mar-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-Mar-2019 - 00:00,34.81,0.47,19.0,5.91,59.27,19.63,1.82,133.52,70.09,746.81,148.07,-2.74,0.0,104.8,,,,01-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Apr-2019 - 00:00,31.71,0.31,19.15,5.92,54.75,18.32,3.53,55.91,73.14,747.17,160.4,-2.8,0.0,40.25,,,,02-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Apr-2019 - 00:00,33.12,0.37,20.66,8.01,69.26,23.83,0.65,94.37,66.43,746.69,171.81,-1.95,0.0,61.56,,,,03-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Apr-2019 - 00:00,33.46,0.39,22.26,10.14,75.57,25.92,2.1,52.27,63.81,747.12,165.07,-2.51,0.0,95.0,,,,04-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Apr-2019 - 00:00,33.24,0.42,17.45,4.42,30.29,6.27,2.56,36.71,69.54,747.22,162.98,-2.81,0.0,59.5,,,,05-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Apr-2019 - 00:00,33.07,0.4,17.29,,2.57,0.0,3.43,85.31,69.72,747.1,143.18,-2.8,0.0,49.5,,,,06-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Apr-2019 - 00:00,30.84,0.41,21.23,2.71,1.91,0.04,3.46,94.42,75.24,746.39,103.33,-2.68,0.01,41.77,,,,07-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Apr-2019 - 00:00,31.73,0.56,20.83,3.22,2.7,0.91,1.02,74.04,69.85,744.04,159.85,-2.73,0.01,25.49,,,,08-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Apr-2019 - 00:00,32.72,0.4,21.65,3.24,2.85,1.03,2.22,43.47,71.18,747.0,169.38,-2.81,0.01,39.95,,,,09-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Apr-2019 - 00:00,31.5,0.55,19.32,3.77,2.19,1.46,2.34,53.28,71.79,747.0,126.47,-2.74,0.0,37.86,,,,10-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Apr-2019 - 00:00,32.83,0.56,21.44,2.95,2.32,0.06,3.62,84.62,67.27,747.1,196.26,-2.83,0.0,33.33,,,,11-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Apr-2019 - 00:00,34.31,0.43,18.43,3.26,6.99,0.27,1.87,67.0,66.2,747.0,173.97,-2.75,0.0,57.04,,,,12-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Apr-2019 - 00:00,35.8,0.47,19.32,3.87,2.3,1.11,1.41,69.72,66.2,747.0,161.39,-2.64,0.0,79.88,,,,13-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Apr-2019 - 00:00,35.58,0.64,20.79,3.05,2.79,1.07,1.99,48.24,69.38,746.99,151.68,-2.68,0.0,77.47,,,,14-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Apr-2019 - 00:00,35.3,0.52,18.18,3.59,2.01,1.34,2.93,75.29,63.58,747.0,183.79,-2.85,0.0,38.54,,,,15-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Apr-2019 - 00:00,35.68,0.42,19.87,3.36,2.26,1.21,3.55,46.43,67.71,746.94,181.89,-2.77,0.0,53.55,,,,16-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Apr-2019 - 00:00,35.17,0.57,19.44,3.38,2.64,1.36,2.11,62.57,70.3,744.96,146.6,-2.91,0.02,56.9,,,,17-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Apr-2019 - 00:00,32.38,0.62,20.83,3.0,2.71,1.17,1.77,86.61,67.44,737.35,94.78,-2.81,0.0,49.66,,,,18-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Apr-2019 - 00:00,34.34,0.42,20.2,3.42,2.3,1.29,1.66,65.41,58.74,731.59,199.71,-2.74,0.0,41.44,,,,19-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Apr-2019 - 00:00,35.23,0.5,20.75,3.88,2.39,1.31,1.19,76.52,51.81,724.44,190.79,-2.69,0.0,58.9,,,,20-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Apr-2019 - 00:00,35.38,0.49,21.18,3.68,2.4,1.56,1.08,131.64,50.95,724.94,195.48,-2.89,0.0,64.36,,,,21-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
