from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
16-Feb-2019 - 00:00,12.04,,989.96,4.39,30.23,18.8,56.56,45.42,12.46,189.49,138.84,75.27,21.12,61.54,221.79,0.31,0.0,,17-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
17-Feb-2019 - 00:00,12.6,,991.51,0.76,24.12,22.65,64.12,52.62,15.69,170.97,134.71,68.19,18.92,122.1,219.73,0.86,0.0,,18-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
18-Feb-2019 - 00:00,17.97,,999.14,1.17,27.23,15.23,68.52,47.37,19.14,146.36,73.71,50.17,7.53,125.64,146.66,1.59,0.09,,19-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
19-Feb-2019 - 00:00,14.95,,,1.75,31.06,115.64,83.03,145.05,15.16,264.52,163.14,71.2,7.29,90.93,198.45,0.53,0.0,,20-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
20-Feb-2019 - 00:00,14.73,,990.58,1.39,33.91,116.07,82.69,138.59,12.0,208.36,132.89,73.51,6.18,36.6,134.5,0.77,0.04,,21-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
21-Feb-2019 - 00:00,17.42,,990.94,2.03,26.04,122.75,76.06,140.8,14.5,200.93,94.15,63.66,8.22,101.32,142.93,1.18,0.2,,22-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
22-Feb-2019 - 00:00,16.62,,990.17,1.3,32.91,46.27,53.78,66.37,18.01,167.42,107.45,69.49,4.13,148.23,215.21,1.35,0.0,,23-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
23-Feb-2019 - 00:00,15.23,,989.82,1.22,20.56,12.71,68.71,46.9,17.34,153.0,81.48,48.53,7.71,170.17,217.21,1.75,0.0,,24-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
24-Feb-2019 - 00:00,14.09,,989.96,1.11,22.49,53.11,83.17,87.53,15.46,204.5,119.2,54.12,11.96,115.18,215.44,1.0,,,25-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
25-Feb-2019 - 00:00,13.64,,993.06,1.59,27.41,99.9,91.11,129.92,14.42,189.11,98.0,60.04,4.97,90.83,164.32,1.03,0.04,,26-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
26-Feb-2019 - 00:00,12.01,,990.01,1.17,27.62,42.24,90.96,82.78,13.23,116.47,76.38,61.55,8.18,72.48,143.01,1.17,0.1,,27-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
27-Feb-2019 - 00:00,9.4,,990.04,1.85,25.81,42.05,82.99,78.39,11.19,109.04,68.83,71.3,3.95,43.65,184.32,0.75,0.05,,28-Feb-2019 - 00:00,"R K Puram, Delhi - DPCC"
28-Feb-2019 - 00:00,11.51,,997.01,2.2,22.65,104.3,76.26,125.6,13.13,188.48,92.18,60.72,12.21,124.41,203.93,1.1,0.0,,01-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
01-Mar-2019 - 00:00,13.12,,990.34,1.93,22.8,120.03,85.4,143.34,13.12,223.76,182.27,55.27,8.3,125.59,212.05,0.89,0.0,,02-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-Mar-2019 - 00:00,12.57,,990.27,1.76,33.04,126.45,105.49,159.18,9.77,211.0,137.08,70.27,7.17,42.83,160.92,0.65,0.04,,03-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
04-Mar-2019 - 00:00,18.17,,989.75,2.59,30.98,18.02,66.71,50.18,18.11,128.95,77.69,60.83,7.08,154.8,223.64,1.33,0.0,,05-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
05-Mar-2019 - 00:00,14.15,,989.79,1.98,24.49,39.57,67.6,68.19,14.61,153.26,70.17,64.54,8.81,105.41,211.09,1.04,0.0,,06-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
06-Mar-2019 - 00:00,14.87,,989.86,3.04,22.66,95.8,79.98,120.59,13.4,192.81,102.51,56.85,8.19,129.64,213.05,1.15,0.0,,07-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
07-Mar-2019 - 00:00,15.94,,991.13,3.9,23.64,113.85,85.23,138.19,14.52,225.98,121.34,54.8,8.38,127.84,201.5,0.85,0.0,,08-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
08-Mar-2019 - 00:00,17.11,,989.91,2.02,26.04,85.42,93.85,119.62,13.36,208.0,106.07,53.37,7.44,118.17,199.26,0.78,0.0,,09-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
09-Mar-2019 - 00:00,17.5,,989.86,1.95,27.26,33.37,78.19,68.8,13.37,173.61,92.6,50.42,6.51,125.36,214.21,1.02,0.0,,10-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
10-Mar-2019 - 00:00,12.4,,989.92,1.46,26.35,33.58,84.94,72.5,11.07,173.62,107.78,65.48,5.71,70.99,198.14,0.73,0.0,,11-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
11-Mar-2019 - 00:00,21.72,,991.32,1.31,27.16,37.04,72.75,65.62,16.03,182.94,68.02,49.2,4.9,153.17,192.16,1.47,0.13,,12-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
12-Mar-2019 - 00:00,18.64,,989.83,1.16,25.91,19.68,73.89,55.35,14.14,130.59,72.04,48.58,3.2,111.68,214.56,0.9,0.0,,13-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
13-Mar-2019 - 00:00,16.56,,989.83,2.44,25.74,89.76,106.4,129.8,11.49,259.74,94.88,53.19,9.56,69.79,180.93,0.55,0.01,,14-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
14-Mar-2019 - 00:00,14.93,,990.05,1.76,28.34,107.68,82.26,131.56,12.69,221.4,104.07,62.34,4.3,84.07,193.98,0.99,,110.65,15-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
15-Mar-2019 - 00:00,16.14,,990.05,1.86,29.14,57.99,67.71,80.06,22.94,166.59,64.76,57.92,8.08,132.83,221.8,0.99,,,16-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
16-Mar-2019 - 00:00,17.18,,989.89,1.29,20.81,22.76,66.09,53.69,62.98,154.51,80.9,50.59,7.08,121.37,217.93,1.04,0.0,,17-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
17-Mar-2019 - 00:00,18.58,,989.9,,21.38,41.01,71.06,71.21,63.86,187.53,97.4,47.75,9.92,129.83,223.09,1.05,,,18-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
18-Mar-2019 - 00:00,20.74,,989.87,2.23,19.37,59.04,73.63,87.29,71.03,226.9,125.95,42.58,14.8,170.99,216.37,1.11,,,19-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
19-Mar-2019 - 00:00,20.1,,989.9,1.64,21.02,91.89,78.81,116.77,48.61,246.61,126.05,48.55,9.77,124.68,214.77,0.86,,,20-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
20-Mar-2019 - 00:00,24.57,,989.81,1.52,22.45,63.98,72.64,90.82,54.77,230.11,85.12,39.03,5.61,134.67,200.99,0.96,0.04,,21-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
21-Mar-2019 - 00:00,22.14,,989.79,1.18,26.72,32.2,65.21,60.94,62.51,224.19,138.18,45.98,6.46,112.28,192.72,0.65,0.01,,22-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
