from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,CO,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
04-Feb-2019 - 00:00,186.66,310.97,62.01,-0.4,732.07,100.89,18.52,0.3,151.78,0.98,28.14,70.68,129.59,15.42,46.57,2.77,0.0,3.26,05-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Feb-2019 - 00:00,187.8,292.79,59.65,-0.4,733.62,99.83,20.12,0.3,146.61,1.19,27.81,81.96,130.06,24.83,53.15,2.92,1.13,4.83,06-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Feb-2019 - 00:00,178.26,284.33,60.45,-0.38,737.51,95.46,22.29,0.3,205.27,0.89,34.6,87.82,124.71,15.9,45.78,2.94,4.53,3.17,07-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Feb-2019 - 00:00,140.0,209.09,66.26,-0.36,737.82,81.78,22.2,0.3,225.99,0.77,29.62,115.23,71.95,3.28,22.28,1.47,1.13,1.02,08-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Feb-2019 - 00:00,124.53,148.15,75.45,-0.39,737.45,68.51,20.39,0.3,234.47,0.72,29.88,106.31,65.51,2.78,20.25,1.7,0.14,2.63,09-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Feb-2019 - 00:00,115.51,206.05,58.51,-0.43,734.42,114.25,18.86,0.3,147.68,0.63,25.24,78.2,83.69,6.11,27.71,1.42,1.07,1.79,10-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Feb-2019 - 00:00,105.34,196.41,55.15,-0.42,731.81,123.15,16.97,0.3,169.39,0.73,25.45,84.59,108.28,9.61,36.92,1.36,1.01,1.66,11-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Feb-2019 - 00:00,144.49,248.86,55.44,-0.4,731.53,117.9,18.89,0.3,159.07,1.06,31.28,69.41,121.74,20.25,47.8,1.81,3.87,2.06,12-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Feb-2019 - 00:00,163.33,287.36,55.04,-0.39,731.17,113.65,19.56,0.3,162.78,1.16,25.19,36.97,125.62,38.61,60.42,2.52,7.57,4.21,13-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Feb-2019 - 00:00,200.89,344.66,57.41,-0.4,731.79,109.36,21.41,0.3,182.57,1.2,26.93,34.8,144.29,71.1,87.83,4.11,2.45,7.24,14-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Feb-2019 - 00:00,208.85,348.85,67.22,-0.39,735.05,70.47,21.09,0.3,199.16,1.03,26.96,73.46,119.82,63.15,75.64,3.45,2.32,9.75,15-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Feb-2019 - 00:00,119.18,159.41,76.84,-0.38,736.1,50.56,20.22,0.31,212.17,0.88,23.32,40.56,84.53,10.7,31.0,1.72,3.13,2.54,16-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Feb-2019 - 00:00,98.73,147.8,75.34,-0.42,736.29,107.55,20.49,0.3,183.79,0.59,27.41,50.18,75.35,14.15,30.67,1.06,0.09,1.36,17-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Feb-2019 - 00:00,116.47,211.79,67.3,-0.47,738.31,107.4,17.49,0.31,169.86,0.77,23.18,76.34,84.91,10.03,30.65,0.96,0.0,1.11,18-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Feb-2019 - 00:00,122.72,222.82,60.03,-0.47,740.1,101.05,20.13,0.3,187.89,0.96,33.01,69.16,103.47,27.94,50.63,1.26,0.0,2.04,19-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Feb-2019 - 00:00,123.14,241.05,52.23,-0.4,737.89,117.99,25.77,0.3,205.16,0.94,31.76,71.1,116.08,19.16,45.47,2.73,1.73,4.08,20-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Feb-2019 - 00:00,154.41,305.38,59.4,-0.41,733.97,116.04,26.18,0.3,157.36,1.1,31.78,66.59,117.26,43.49,75.22,3.11,1.92,6.11,21-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Feb-2019 - 00:00,128.43,321.2,59.41,-0.4,734.07,115.06,28.19,0.3,216.93,1.04,37.56,73.24,98.64,41.21,55.14,2.71,1.31,10.77,22-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Feb-2019 - 00:00,131.07,256.38,64.95,-0.4,737.33,101.19,29.85,0.37,176.28,0.96,36.98,73.37,79.18,13.72,31.47,2.45,6.81,5.52,23-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Feb-2019 - 00:00,84.68,175.16,59.48,-0.56,737.67,126.94,24.87,1.39,162.2,0.51,26.71,96.32,51.12,7.0,19.09,1.8,4.43,4.11,24-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
