from date,NOx,PM2.5,PM10,SO2,to date,station
11-Feb-2018 - 00:00,,,,,12-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Feb-2018 - 00:00,,,,,13-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Feb-2018 - 00:00,,,,,14-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Feb-2018 - 00:00,,,,,15-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Feb-2018 - 00:00,,,,,16-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Feb-2018 - 00:00,,,,,17-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Feb-2018 - 00:00,,,,,18-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Feb-2018 - 00:00,,,,,19-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Feb-2018 - 00:00,,,,,20-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Feb-2018 - 00:00,,,,,21-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Feb-2018 - 00:00,,,,,22-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Feb-2018 - 00:00,,,,,23-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Feb-2018 - 00:00,,,,,24-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Feb-2018 - 00:00,,,,,25-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Feb-2018 - 00:00,,,,,26-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Feb-2018 - 00:00,,,,,27-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Feb-2018 - 00:00,,,,,28-Feb-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Feb-2018 - 00:00,,,,,01-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Mar-2018 - 00:00,,,,,02-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Mar-2018 - 00:00,,,,,03-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Mar-2018 - 00:00,,,,,04-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Mar-2018 - 00:00,,,,,05-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Mar-2018 - 00:00,,,,,06-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Mar-2018 - 00:00,,,,,07-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Mar-2018 - 00:00,,,,,08-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Mar-2018 - 00:00,,,,,09-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Mar-2018 - 00:00,,,,,10-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Mar-2018 - 00:00,,,,,11-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Mar-2018 - 00:00,,,,,12-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Mar-2018 - 00:00,,,,,13-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Mar-2018 - 00:00,,,,,14-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Mar-2018 - 00:00,,,,,15-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Mar-2018 - 00:00,,,,,16-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Mar-2018 - 00:00,,,,,17-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Mar-2018 - 00:00,,,,,18-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Mar-2018 - 00:00,,,,,19-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Mar-2018 - 00:00,,,,,20-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Mar-2018 - 00:00,,,,,21-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Mar-2018 - 00:00,,,,,22-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Mar-2018 - 00:00,,,,,23-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Mar-2018 - 00:00,,,,,24-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Mar-2018 - 00:00,,,,,25-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Mar-2018 - 00:00,,,,,26-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Mar-2018 - 00:00,,,,,27-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Mar-2018 - 00:00,,,,,28-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Mar-2018 - 00:00,,,,,29-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Mar-2018 - 00:00,,,,,30-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Mar-2018 - 00:00,,,,,31-Mar-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Mar-2018 - 00:00,,,,,01-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Apr-2018 - 00:00,,,,,02-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Apr-2018 - 00:00,,,,,03-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Apr-2018 - 00:00,,,,,04-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Apr-2018 - 00:00,,,,,05-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Apr-2018 - 00:00,,,,,06-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Apr-2018 - 00:00,,,,,07-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Apr-2018 - 00:00,,,,,08-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Apr-2018 - 00:00,,,,,09-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Apr-2018 - 00:00,,,,,10-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Apr-2018 - 00:00,,,,,11-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Apr-2018 - 00:00,,,,,12-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Apr-2018 - 00:00,,,,,13-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Apr-2018 - 00:00,,,,,14-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Apr-2018 - 00:00,,,,,15-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Apr-2018 - 00:00,,,,,16-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Apr-2018 - 00:00,,,,,17-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Apr-2018 - 00:00,,,,,18-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Apr-2018 - 00:00,,,,,19-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Apr-2018 - 00:00,,,,,20-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Apr-2018 - 00:00,,,,,21-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Apr-2018 - 00:00,,,,,22-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Apr-2018 - 00:00,,,,,23-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Apr-2018 - 00:00,,,,,24-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Apr-2018 - 00:00,,,,,25-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Apr-2018 - 00:00,,,,,26-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Apr-2018 - 00:00,,,,,27-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Apr-2018 - 00:00,,,,,28-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Apr-2018 - 00:00,,,,,29-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Apr-2018 - 00:00,,,,,30-Apr-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Apr-2018 - 00:00,,,,,01-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-May-2018 - 00:00,,,,,02-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-May-2018 - 00:00,,,,,03-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-May-2018 - 00:00,,,,,04-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-May-2018 - 00:00,,,,,05-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-May-2018 - 00:00,,,,,06-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-May-2018 - 00:00,,,,,07-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-May-2018 - 00:00,,,,,08-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-May-2018 - 00:00,,,,,09-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-May-2018 - 00:00,,,,,10-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-May-2018 - 00:00,,,,,11-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-May-2018 - 00:00,,,,,12-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-May-2018 - 00:00,,,,,13-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-May-2018 - 00:00,,,,,14-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-May-2018 - 00:00,,,,,15-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-May-2018 - 00:00,,,,,16-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-May-2018 - 00:00,,,,,17-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-May-2018 - 00:00,,,,,18-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-May-2018 - 00:00,,,,,19-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-May-2018 - 00:00,,,,,20-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-May-2018 - 00:00,,,,,21-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-May-2018 - 00:00,,,,,22-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-May-2018 - 00:00,,,,,23-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-May-2018 - 00:00,,,,,24-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-May-2018 - 00:00,,,,,25-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-May-2018 - 00:00,,,,,26-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-May-2018 - 00:00,,,,,27-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-May-2018 - 00:00,,,,,28-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-May-2018 - 00:00,,,,,29-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-May-2018 - 00:00,,,,,30-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-May-2018 - 00:00,,,,,31-May-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-May-2018 - 00:00,,,,,01-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Jun-2018 - 00:00,,,,,02-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Jun-2018 - 00:00,,,,,03-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Jun-2018 - 00:00,,,,,04-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Jun-2018 - 00:00,,,,,05-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Jun-2018 - 00:00,,,,,06-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Jun-2018 - 00:00,,,,,07-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Jun-2018 - 00:00,,,,,08-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Jun-2018 - 00:00,,,,,09-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Jun-2018 - 00:00,,,,,10-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Jun-2018 - 00:00,,,,,11-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Jun-2018 - 00:00,,,,,12-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Jun-2018 - 00:00,,,,,13-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Jun-2018 - 00:00,,,,,14-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Jun-2018 - 00:00,,,,,15-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Jun-2018 - 00:00,,,,,16-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Jun-2018 - 00:00,,,,,17-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Jun-2018 - 00:00,,,,,18-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Jun-2018 - 00:00,,,,,19-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Jun-2018 - 00:00,,,,,20-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Jun-2018 - 00:00,,,,,21-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Jun-2018 - 00:00,,,,,22-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Jun-2018 - 00:00,,,,,23-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Jun-2018 - 00:00,,,,,24-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Jun-2018 - 00:00,,,,,25-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Jun-2018 - 00:00,,,,,26-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Jun-2018 - 00:00,,,,,27-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Jun-2018 - 00:00,,,,,28-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Jun-2018 - 00:00,,,,,29-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Jun-2018 - 00:00,,,,,30-Jun-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Jun-2018 - 00:00,,,,,01-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Jul-2018 - 00:00,,,,,02-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Jul-2018 - 00:00,,,,,03-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Jul-2018 - 00:00,,,,,04-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Jul-2018 - 00:00,,,,,05-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Jul-2018 - 00:00,,,,,06-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Jul-2018 - 00:00,,,,,07-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Jul-2018 - 00:00,,,,,08-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Jul-2018 - 00:00,,,,,09-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Jul-2018 - 00:00,,,,,10-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Jul-2018 - 00:00,,,,,11-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Jul-2018 - 00:00,,,,,12-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Jul-2018 - 00:00,,,,,13-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Jul-2018 - 00:00,,,,,14-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Jul-2018 - 00:00,,,,,15-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Jul-2018 - 00:00,,,,,16-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Jul-2018 - 00:00,,,,,17-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Jul-2018 - 00:00,,,,,18-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Jul-2018 - 00:00,,,,,19-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Jul-2018 - 00:00,,,,,20-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Jul-2018 - 00:00,,,,,21-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Jul-2018 - 00:00,,,,,22-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Jul-2018 - 00:00,,,,,23-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Jul-2018 - 00:00,,,,,24-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Jul-2018 - 00:00,,,,,25-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Jul-2018 - 00:00,,,,,26-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Jul-2018 - 00:00,,,,,27-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Jul-2018 - 00:00,,,,,28-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Jul-2018 - 00:00,,,,,29-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Jul-2018 - 00:00,,,,,30-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Jul-2018 - 00:00,,,,,31-Jul-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Jul-2018 - 00:00,,,,,01-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Aug-2018 - 00:00,,,,,02-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Aug-2018 - 00:00,,,,,03-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Aug-2018 - 00:00,,,,,04-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Aug-2018 - 00:00,,,,,05-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Aug-2018 - 00:00,,,,,06-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Aug-2018 - 00:00,,,,,07-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Aug-2018 - 00:00,,,,,08-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Aug-2018 - 00:00,,,,,09-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Aug-2018 - 00:00,,,,,10-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Aug-2018 - 00:00,,,,,11-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Aug-2018 - 00:00,,,,,12-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Aug-2018 - 00:00,,,,,13-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Aug-2018 - 00:00,,,,,14-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Aug-2018 - 00:00,,,,,15-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Aug-2018 - 00:00,,,,,16-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Aug-2018 - 00:00,,,,,17-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Aug-2018 - 00:00,,,,,18-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Aug-2018 - 00:00,,,,,19-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Aug-2018 - 00:00,,,,,20-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Aug-2018 - 00:00,,,,,21-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Aug-2018 - 00:00,,,,,22-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Aug-2018 - 00:00,,,,,23-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
