from date,NO2,NO,NOx,SO2,CO,PM2.5,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
15-Jul-2018 - 00:00,7.94,10.9,11.33,4.7,1.75,30.49,34.99,63.64,0.95,-0.41,136.02,740.58,135.14,0.5,0.0,0.23,130.62,16-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Jul-2018 - 00:00,7.31,11.5,11.79,4.42,1.63,35.43,35.64,57.26,1.27,-0.47,136.0,740.9,153.62,0.0,0.0,0.15,118.92,17-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Jul-2018 - 00:00,9.59,12.14,14.5,6.75,1.43,34.22,35.87,54.22,1.01,-0.54,136.0,740.78,179.78,0.0,0.45,5.68,51.17,18-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Jul-2018 - 00:00,16.86,9.7,13.88,7.82,0.71,26.28,35.71,56.06,0.87,-0.55,136.0,741.07,126.7,0.0,0.67,0.53,15.4,19-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Jul-2018 - 00:00,22.68,7.96,17.86,8.04,1.0,30.37,35.75,56.6,0.77,-0.41,136.0,741.01,108.18,0.0,0.56,0.66,12.0,20-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Jul-2018 - 00:00,19.68,8.01,14.05,8.1,1.04,23.7,35.22,60.74,0.33,-0.36,136.03,740.7,141.01,1.02,0.41,0.72,13.36,21-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Jul-2018 - 00:00,20.72,10.49,18.37,9.0,1.49,25.28,33.95,67.27,0.37,-0.32,136.07,741.52,80.08,0.31,0.37,0.79,9.99,22-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Jul-2018 - 00:00,17.22,5.28,13.28,7.8,2.48,20.06,35.02,59.46,1.17,-0.36,136.02,741.23,165.44,0.49,0.35,0.45,9.65,23-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Jul-2018 - 00:00,16.07,5.5,12.57,8.09,2.55,22.94,34.37,63.94,0.4,-0.48,136.03,740.93,86.76,1.92,0.3,0.6,8.93,24-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Jul-2018 - 00:00,15.82,3.18,10.3,7.93,2.35,49.83,34.42,65.0,0.3,-0.47,136.19,741.22,72.93,0.01,0.27,0.53,10.59,25-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Jul-2018 - 00:00,17.08,6.69,14.21,7.69,2.41,36.43,34.03,69.4,0.3,-0.41,136.01,741.11,83.0,0.0,0.28,0.61,8.86,26-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
26-Jul-2018 - 00:00,16.08,7.64,14.22,8.28,2.39,19.96,33.52,72.26,0.3,-0.34,213.31,741.0,67.9,0.0,0.27,2.23,6.84,27-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
27-Jul-2018 - 00:00,15.45,9.68,15.3,7.91,2.38,57.45,33.5,69.33,0.43,-0.36,348.06,741.65,73.01,0.0,0.3,1.37,6.23,28-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
28-Jul-2018 - 00:00,17.83,18.11,22.84,8.41,2.42,48.64,33.35,72.42,0.39,-0.36,271.74,742.09,26.23,0.06,0.35,0.98,4.37,29-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
29-Jul-2018 - 00:00,17.01,15.46,19.79,7.97,2.32,52.79,33.37,71.4,0.38,-0.48,92.85,741.7,53.52,0.15,0.37,0.98,4.08,30-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
30-Jul-2018 - 00:00,12.66,7.87,12.63,7.61,1.98,21.09,32.91,73.56,0.3,-0.4,114.21,741.11,41.57,2.79,0.37,0.88,3.81,31-Jul-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
31-Jul-2018 - 00:00,11.74,14.76,17.9,3.52,0.84,21.75,32.85,74.0,0.3,-0.34,61.0,741.0,22.94,0.76,0.38,0.91,152.07,01-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
01-Aug-2018 - 00:00,20.52,31.76,36.73,5.38,0.57,10.31,33.69,74.0,0.28,-0.3,103.67,742.0,7.67,0.52,0.21,0.53,23.82,02-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Aug-2018 - 00:00,23.39,18.69,27.29,6.45,1.53,30.38,33.6,72.76,0.46,-0.31,287.75,742.43,46.5,1.71,0.37,0.68,17.59,03-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Aug-2018 - 00:00,13.79,5.93,19.42,7.4,1.14,37.72,33.59,73.42,0.25,-0.3,307.16,742.65,54.26,0.04,0.32,0.64,3.12,04-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Aug-2018 - 00:00,24.05,13.71,16.21,5.83,1.38,52.31,34.28,69.66,0.28,-0.3,143.97,742.46,96.94,0.49,0.24,0.57,3.82,05-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Aug-2018 - 00:00,11.78,11.34,5.54,7.63,2.08,60.32,34.21,70.0,0.32,-0.3,94.8,742.92,49.98,2.09,0.23,1.04,3.0,06-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Aug-2018 - 00:00,7.71,4.02,4.04,7.49,1.5,57.1,34.5,67.98,0.28,-0.3,44.14,742.28,105.14,1.07,0.27,0.9,4.02,07-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Aug-2018 - 00:00,7.6,,4.0,6.89,1.68,31.67,34.27,68.74,0.29,-0.3,133.03,741.92,106.6,1.83,0.2,0.81,24.82,08-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Aug-2018 - 00:00,7.61,,4.0,6.93,1.33,35.38,34.63,63.49,0.3,-0.3,105.56,742.23,149.36,0.0,5.31,0.41,7.72,09-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Aug-2018 - 00:00,7.61,,4.0,6.99,1.71,48.39,34.87,62.53,0.3,-0.3,129.9,743.5,129.98,0.0,0.22,0.45,5.29,10-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Aug-2018 - 00:00,7.61,0.2,4.0,8.13,2.15,43.01,35.25,61.01,0.3,-0.3,129.2,743.1,138.1,0.0,0.26,0.8,5.49,11-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
