from date,PM2.5,PM10,AT,Temp,SR,RH,WS,WD,BP,RF,SO2,NO,NO2,NOx,NH3,CO,Ozone,to date,station
06-Feb-2018 - 00:00,50.48,88.96,28.27,27.61,219.17,72.39,1.62,179.8,759.08,0.0,7.19,1.72,11.27,7.38,5.8,0.89,52.55,07-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Feb-2018 - 00:00,42.4,71.96,27.77,27.9,176.41,76.76,1.69,155.08,758.75,0.0,4.4,1.79,11.57,7.61,4.79,0.95,46.88,08-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Feb-2018 - 00:00,29.28,46.58,28.02,28.09,213.48,74.96,1.61,188.98,757.47,0.0,5.32,1.66,14.64,9.03,4.23,0.89,36.86,09-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Feb-2018 - 00:00,42.5,63.32,28.34,27.97,204.31,72.42,1.42,185.3,757.05,0.0,6.27,1.83,15.48,9.68,4.94,0.95,52.13,10-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Feb-2018 - 00:00,42.73,65.86,28.17,27.75,206.28,74.88,1.58,162.14,757.99,0.0,3.92,1.82,12.63,8.1,5.98,0.95,44.96,11-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-Feb-2018 - 00:00,43.42,70.0,26.76,26.59,22.0,82.58,0.62,254.42,757.67,0.0,4.23,1.8,21.05,12.67,5.4,0.84,42.62,12-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Feb-2018 - 00:00,48.65,80.89,29.02,28.49,272.65,67.39,1.97,223.02,761.67,0.0,26.9,1.77,22.94,12.83,5.66,1.09,45.87,13-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Feb-2018 - 00:00,54.71,85.45,28.23,27.79,221.85,71.1,1.46,197.45,763.01,0.0,6.7,1.7,18.9,11.44,8.93,0.91,49.09,14-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Feb-2018 - 00:00,63.01,96.31,28.28,27.77,226.91,69.06,1.42,166.39,762.73,0.0,6.72,1.71,18.72,11.3,8.44,0.93,50.26,15-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Feb-2018 - 00:00,40.97,84.1,28.44,27.76,218.38,68.27,1.43,235.16,762.18,0.0,5.24,1.69,20.35,12.11,7.13,1.08,49.39,16-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Feb-2018 - 00:00,46.22,72.66,28.69,28.03,227.78,66.46,1.4,218.51,761.69,0.0,4.72,1.57,21.62,12.71,6.64,1.07,54.02,17-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Feb-2018 - 00:00,52.41,82.82,28.16,27.72,219.08,68.67,1.6,170.23,758.42,0.0,7.75,1.65,18.25,11.0,6.35,1.11,57.07,18-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Feb-2018 - 00:00,53.27,81.25,28.01,27.31,226.18,69.72,1.57,163.33,756.67,0.0,7.05,1.79,14.49,9.17,6.6,0.91,68.52,19-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Feb-2018 - 00:00,62.53,95.2,28.03,27.37,232.11,69.6,1.55,198.93,756.14,0.0,7.46,1.68,18.93,11.39,7.83,1.05,68.29,20-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-Feb-2018 - 00:00,57.45,89.64,27.73,27.34,224.83,68.64,1.57,147.71,756.1,0.0,7.76,1.57,20.03,11.91,7.36,1.1,61.16,21-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-Feb-2018 - 00:00,60.14,99.05,27.5,28.35,206.88,71.21,1.71,201.1,754.98,0.0,6.87,1.68,20.25,12.12,7.31,1.05,55.53,22-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-Feb-2018 - 00:00,47.73,89.44,27.69,28.33,225.41,69.6,1.47,175.79,754.81,0.0,9.75,1.67,18.01,10.9,7.28,0.87,63.35,23-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-Feb-2018 - 00:00,43.57,92.29,27.71,28.0,230.48,71.4,1.56,143.27,755.01,0.0,8.08,1.68,20.39,12.18,6.88,1.0,55.5,24-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-Feb-2018 - 00:00,50.1,89.31,28.1,29.21,248.32,68.35,1.63,173.32,756.84,0.0,8.95,1.64,17.7,10.64,8.67,1.0,55.68,25-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-Feb-2018 - 00:00,28.54,62.91,29.35,29.13,316.11,63.85,2.29,169.3,756.83,0.0,8.71,1.59,16.0,9.76,8.02,1.07,52.61,27-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-Feb-2018 - 00:00,35.08,71.7,28.53,28.96,210.93,70.84,1.68,187.35,754.72,0.0,7.83,1.72,15.06,9.36,7.52,0.85,45.19,28-Feb-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-Feb-2018 - 00:00,30.31,62.95,28.88,28.85,237.53,66.02,1.71,205.9,755.44,0.0,8.22,1.69,16.56,10.17,6.46,0.9,49.6,01-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-Mar-2018 - 00:00,29.83,69.99,28.88,27.03,211.64,69.58,1.72,152.98,755.09,0.0,7.11,1.58,15.79,9.69,6.38,1.04,40.72,02-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Mar-2018 - 00:00,35.88,69.1,28.54,27.1,224.15,72.06,1.81,180.34,754.85,0.0,7.36,1.7,12.81,8.18,5.48,1.05,44.87,03-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Mar-2018 - 00:00,40.54,72.91,28.42,27.1,230.97,68.67,1.7,161.41,755.23,0.0,10.4,1.7,13.62,8.61,5.52,0.96,56.45,04-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Mar-2018 - 00:00,57.75,92.56,28.55,26.7,221.1,69.05,1.51,122.79,755.11,0.0,8.55,1.68,13.18,8.36,6.04,0.97,62.05,05-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Mar-2018 - 00:00,47.52,93.86,28.53,27.6,230.07,69.19,1.69,181.27,755.95,0.0,8.74,1.64,13.53,8.48,7.19,1.04,53.95,06-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Mar-2018 - 00:00,56.83,95.3,28.52,28.53,223.41,72.46,1.56,133.71,756.95,0.0,7.82,1.64,13.32,8.39,6.93,1.05,50.91,07-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Mar-2018 - 00:00,56.68,90.98,28.2,28.87,231.22,73.06,1.6,185.16,756.4,0.0,8.02,1.61,14.86,9.2,6.97,1.09,51.93,08-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Mar-2018 - 00:00,53.2,91.82,28.49,27.42,220.55,70.54,1.66,176.77,756.54,0.0,5.69,1.66,15.67,9.66,5.49,1.11,47.85,09-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Mar-2018 - 00:00,55.61,90.69,28.64,28.21,206.79,73.17,1.71,242.4,756.09,0.0,8.46,1.64,11.62,7.26,6.03,1.1,50.86,10-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Mar-2018 - 00:00,53.73,90.52,28.97,28.16,221.49,66.1,1.62,224.38,755.81,0.0,9.8,1.65,15.25,9.4,5.69,1.02,59.89,11-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-Mar-2018 - 00:00,61.25,95.62,28.58,27.06,197.45,61.47,1.37,150.58,755.92,0.0,14.83,1.72,17.04,10.47,5.18,1.02,78.26,12-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Mar-2018 - 00:00,42.54,72.25,28.49,27.46,145.75,68.17,1.31,129.59,756.05,0.0,10.6,1.65,16.0,9.82,4.22,1.17,40.21,13-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Mar-2018 - 00:00,24.76,41.39,27.6,27.15,97.8,76.89,1.28,203.51,755.82,0.0,4.22,1.63,15.11,9.21,3.68,1.22,27.91,14-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Mar-2018 - 00:00,17.97,35.35,28.47,28.36,204.06,73.21,1.69,133.52,756.12,0.0,5.85,1.55,11.47,7.37,4.65,0.92,29.65,15-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Mar-2018 - 00:00,13.42,27.97,28.7,29.08,234.39,71.06,2.2,107.65,757.17,0.0,4.94,1.65,8.62,5.9,5.01,0.76,29.46,16-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Mar-2018 - 00:00,17.1,32.84,28.73,26.93,219.73,72.12,1.75,139.59,756.06,0.0,4.38,1.57,8.42,5.58,5.52,1.0,27.96,17-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Mar-2018 - 00:00,21.18,39.49,28.84,28.45,205.66,73.58,1.65,226.65,755.74,0.0,5.33,1.71,11.71,7.54,5.21,0.87,33.13,18-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Mar-2018 - 00:00,28.11,46.12,28.21,27.8,167.42,78.46,1.28,178.57,756.82,0.0,4.83,1.64,14.02,8.79,3.66,1.0,33.07,19-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Mar-2018 - 00:00,22.16,41.74,28.48,28.07,196.08,77.32,1.51,190.88,758.98,0.0,5.93,1.54,13.37,8.25,4.19,1.16,31.46,20-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-Mar-2018 - 00:00,42.17,68.73,28.43,28.59,227.85,74.6,1.6,219.94,758.51,0.0,5.59,1.76,15.48,9.66,5.49,1.17,43.35,21-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-Mar-2018 - 00:00,41.83,65.19,28.69,28.65,212.47,74.45,1.78,254.16,758.85,0.0,5.52,1.65,13.57,8.54,5.69,1.16,40.33,22-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-Mar-2018 - 00:00,30.49,59.32,28.84,27.98,224.19,71.64,2.31,240.22,756.31,0.0,6.27,1.74,9.76,6.6,4.86,1.1,42.36,23-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-Mar-2018 - 00:00,31.89,76.59,28.98,28.21,212.04,72.82,2.39,193.89,755.25,0.0,5.37,1.65,9.82,6.53,4.57,1.12,38.68,24-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-Mar-2018 - 00:00,29.13,80.22,28.94,28.12,193.9,73.4,1.52,191.24,756.68,0.0,5.41,1.69,12.7,7.94,4.14,0.87,32.87,25-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-Mar-2018 - 00:00,43.27,84.77,29.13,30.27,214.93,73.74,1.55,159.75,758.99,0.0,4.88,1.64,13.62,8.58,5.2,1.25,41.35,26-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-Mar-2018 - 00:00,44.98,78.27,28.97,29.61,223.3,67.42,1.51,195.09,760.36,0.0,5.63,1.75,16.72,10.28,5.18,1.16,55.1,27-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-Mar-2018 - 00:00,42.06,70.0,29.14,28.16,196.48,69.86,1.69,124.09,759.65,0.0,5.11,1.62,14.12,8.79,4.75,1.48,46.14,28-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-Mar-2018 - 00:00,24.19,41.38,28.73,28.77,145.26,74.18,1.22,146.45,760.22,0.0,10.36,1.81,15.45,8.83,4.45,1.83,23.58,29-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
29-Mar-2018 - 00:00,36.14,62.67,29.42,30.63,200.33,73.29,2.08,236.79,758.25,0.0,5.0,1.77,13.44,8.58,6.22,1.36,37.1,30-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
30-Mar-2018 - 00:00,40.47,77.01,29.66,29.16,226.38,70.64,2.47,280.46,758.38,0.0,4.7,1.75,8.46,5.92,5.94,2.74,42.94,31-Mar-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
31-Mar-2018 - 00:00,38.51,76.49,29.21,28.93,186.58,70.72,2.3,267.34,757.79,0.0,5.88,1.71,10.46,6.96,5.31,2.83,41.85,01-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-Apr-2018 - 00:00,27.02,64.22,29.0,28.18,232.95,70.77,1.83,212.57,756.8,0.0,8.88,1.71,9.87,6.64,4.08,0.8,42.8,02-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Apr-2018 - 00:00,28.52,62.94,29.02,28.05,224.22,69.83,1.7,215.1,758.43,0.0,7.88,1.75,8.18,5.77,3.86,0.82,42.79,03-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Apr-2018 - 00:00,34.2,67.06,29.08,28.63,222.31,70.32,1.9,235.65,757.66,0.0,5.85,1.66,11.22,7.28,4.22,0.88,54.16,04-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Apr-2018 - 00:00,32.77,62.45,29.21,27.8,227.77,69.78,1.64,169.85,755.52,0.0,7.71,1.7,13.56,8.46,4.12,0.97,53.9,05-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Apr-2018 - 00:00,44.5,78.9,29.06,28.35,242.0,71.77,1.26,92.87,755.71,0.0,7.84,1.61,9.88,6.58,4.37,1.01,43.02,06-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Apr-2018 - 00:00,33.63,71.24,30.06,31.17,284.81,69.5,2.36,225.83,756.3,0.0,11.29,1.79,13.08,8.34,4.84,0.98,52.43,07-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Apr-2018 - 00:00,42.82,72.78,29.39,29.62,229.45,70.97,1.75,147.0,757.34,0.0,7.8,1.7,10.89,7.16,5.1,0.91,68.0,08-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Apr-2018 - 00:00,24.74,44.08,29.39,29.0,241.35,69.99,1.82,188.88,757.58,0.0,6.13,1.68,8.83,6.04,4.93,0.84,49.98,09-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Apr-2018 - 00:00,20.19,39.36,29.46,29.11,211.81,71.07,1.73,217.57,757.83,0.0,4.95,1.72,8.73,6.04,4.58,0.85,52.04,10-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Apr-2018 - 00:00,15.52,35.89,29.39,28.22,231.15,69.82,1.79,206.68,756.2,0.0,6.77,1.97,10.93,7.37,4.34,0.96,41.08,11-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-Apr-2018 - 00:00,19.1,37.47,28.87,28.91,207.8,73.2,1.78,182.86,756.81,0.0,6.63,2.66,9.54,7.14,4.6,0.95,59.78,12-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Apr-2018 - 00:00,18.98,33.68,28.47,28.64,194.91,76.46,1.72,184.61,756.44,0.43,6.23,3.44,9.29,7.19,4.03,0.85,34.56,13-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Apr-2018 - 00:00,15.83,29.96,27.4,26.89,110.88,81.55,1.26,177.95,755.11,0.01,5.36,2.66,15.07,10.17,3.7,1.14,27.49,14-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Apr-2018 - 00:00,9.91,24.98,28.78,28.47,250.9,72.67,1.72,165.71,754.82,0.0,5.87,2.73,10.85,7.99,5.2,0.81,37.14,15-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Apr-2018 - 00:00,18.0,32.11,28.56,27.76,149.92,77.2,1.32,167.44,755.75,0.0,5.22,2.78,12.27,8.79,3.78,0.84,32.99,16-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Apr-2018 - 00:00,17.59,32.52,29.35,29.04,237.19,73.8,1.51,153.49,756.41,0.0,5.96,2.77,12.46,8.86,4.27,0.88,35.16,17-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Apr-2018 - 00:00,22.56,39.27,28.75,29.09,165.27,78.37,1.33,129.47,757.69,0.0,6.26,2.73,15.13,10.27,4.07,0.96,28.39,18-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Apr-2018 - 00:00,29.51,55.98,28.27,28.46,112.65,80.21,1.22,148.27,757.88,0.0,5.58,2.77,18.86,12.28,3.95,1.13,32.42,19-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Apr-2018 - 00:00,19.16,40.46,29.11,29.62,209.26,76.71,1.88,225.0,755.97,0.0,5.75,2.78,11.63,8.44,4.47,0.93,35.04,20-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-Apr-2018 - 00:00,17.07,38.52,29.07,29.53,147.99,76.53,1.6,267.34,755.53,0.0,5.71,2.65,15.79,10.55,3.7,1.0,33.86,21-Apr-2018 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
