from date,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
01-Feb-2018 - 00:00,,-0.11,225.22,48.8,,83.22,46.51,77.5,78.43,23.66,143.61,18.16,,0.67,0.65,10.65,6.46,3.2,2.69,1.83,1.3,02-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Feb-2018 - 00:00,,-0.16,201.36,54.55,,86.4,36.39,63.13,62.69,22.78,152.21,18.05,,0.59,0.83,11.93,6.39,3.17,3.55,1.43,1.72,03-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Feb-2018 - 00:00,,-0.1,198.29,41.33,,86.76,22.73,53.28,46.51,31.87,134.64,17.73,,0.55,0.95,9.95,6.0,3.0,4.5,1.01,2.0,04-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Feb-2018 - 00:00,,-0.07,270.05,42.99,,87.01,21.45,52.61,45.15,31.08,153.34,16.93,,0.67,0.95,12.54,6.03,3.0,4.51,1.0,2.0,05-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Feb-2018 - 00:00,,-0.19,213.29,41.12,,76.66,40.16,57.06,62.48,26.28,166.37,16.55,,0.68,0.68,11.14,6.0,3.0,4.5,1.0,1.99,06-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Feb-2018 - 00:00,,-0.0,235.24,39.09,,73.01,28.32,52.9,50.79,17.17,158.88,17.36,,0.67,1.01,10.58,5.57,2.65,3.79,0.85,1.83,07-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Feb-2018 - 00:00,,0.12,273.0,38.86,,88.73,24.28,41.21,41.35,20.7,137.5,16.86,,0.56,0.87,7.84,5.4,2.59,3.85,1.14,1.75,08-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Feb-2018 - 00:00,,0.01,208.23,46.04,,88.1,43.12,39.18,55.34,15.16,210.85,16.52,,0.66,0.62,11.43,6.02,3.0,4.49,1.0,2.0,09-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Feb-2018 - 00:00,,-0.03,184.07,48.45,,99.97,39.6,36.0,50.83,21.88,200.67,16.62,,0.61,0.68,10.59,9.25,2.41,3.85,1.22,3.0,10-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Feb-2018 - 00:00,,-0.1,126.92,42.43,,76.26,48.25,43.94,61.96,32.68,245.91,17.23,,0.86,0.55,17.97,19.84,2.72,5.4,2.77,6.66,11-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
