from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
13-Aug-2018 - 00:00,0.26,11.05,5.13,16.26,12.8,7.15,16.35,24.97,30.47,0.2,0.8,0.03,74.88,2.36,241.4,102.86,701.62,0.72,14-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Aug-2018 - 00:00,0.32,9.71,3.81,18.58,12.94,5.2,17.57,24.95,28.27,0.26,1.24,0.05,77.59,2.0,171.12,95.23,700.95,0.76,15-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Aug-2018 - 00:00,0.27,12.24,2.22,15.46,10.02,4.8,16.95,24.57,28.39,0.24,0.95,0.0,78.79,2.21,164.43,50.89,700.96,0.75,16-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Aug-2018 - 00:00,0.32,10.71,5.4,19.12,14.54,7.31,12.91,23.21,28.63,0.23,0.75,0.02,83.76,2.46,228.56,38.41,,0.74,17-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Aug-2018 - 00:00,0.29,15.33,4.02,18.97,13.35,6.65,17.77,24.87,28.7,0.21,0.89,0.03,76.09,2.26,219.06,88.16,700.15,0.74,18-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Aug-2018 - 00:00,0.25,12.92,4.42,19.55,13.99,10.79,16.99,25.49,28.77,0.16,0.8,0.01,72.89,2.27,202.81,111.05,701.69,0.74,19-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Aug-2018 - 00:00,0.27,13.63,2.46,16.18,10.59,7.78,10.95,24.2,30.42,0.2,0.96,0.0,79.85,2.3,165.6,43.83,701.21,0.71,20-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Aug-2018 - 00:00,0.26,10.94,4.21,15.26,11.52,6.16,13.45,22.3,31.57,0.19,0.81,0.0,85.88,2.22,189.96,26.54,701.91,0.66,21-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Aug-2018 - 00:00,0.28,11.45,6.36,17.32,14.35,12.01,12.59,24.41,30.75,0.22,0.75,0.03,76.72,2.41,225.22,115.25,703.61,0.7,22-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Aug-2018 - 00:00,0.23,12.84,2.82,15.42,10.48,8.37,11.23,25.22,29.06,0.18,0.72,0.02,74.33,2.23,226.01,126.57,705.97,0.74,23-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Aug-2018 - 00:00,0.26,11.25,4.02,17.31,12.47,11.75,15.0,25.86,29.19,0.18,0.72,0.01,71.95,2.03,206.21,118.12,707.12,0.73,24-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
24-Aug-2018 - 00:00,0.24,15.36,2.27,15.49,10.06,5.09,14.19,26.24,29.26,0.19,1.06,0.03,68.69,2.28,163.99,150.52,707.02,0.74,25-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
25-Aug-2018 - 00:00,0.27,13.66,6.06,18.05,14.51,4.92,12.96,25.62,29.05,0.26,1.25,0.07,71.57,2.01,162.25,135.59,705.98,0.74,26-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
26-Aug-2018 - 00:00,0.24,12.53,2.74,15.88,10.66,6.48,14.21,24.72,29.16,0.23,1.15,0.0,75.2,1.96,172.3,103.47,704.12,0.73,27-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Aug-2018 - 00:00,0.34,9.2,6.34,19.57,15.57,5.79,18.94,24.06,29.31,0.36,1.64,0.08,79.95,1.78,192.65,94.78,703.65,0.72,28-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Aug-2018 - 00:00,0.32,12.09,7.27,22.88,18.08,6.28,21.35,24.98,29.49,7.97,1.48,0.09,76.15,1.75,207.0,126.09,703.72,0.72,29-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
29-Aug-2018 - 00:00,0.31,17.28,5.94,22.79,16.93,6.46,21.7,26.33,29.71,0.37,1.74,0.1,68.04,1.63,195.52,162.58,706.51,0.72,30-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
30-Aug-2018 - 00:00,0.28,23.31,2.15,18.25,11.43,6.26,19.16,26.62,29.92,0.37,2.1,0.07,65.48,1.99,143.32,170.09,706.21,0.72,31-Aug-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
31-Aug-2018 - 00:00,0.27,18.82,3.03,20.33,13.22,7.68,22.3,26.22,29.95,0.42,3.53,0.05,68.81,1.82,135.73,140.62,706.91,0.72,01-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Sep-2018 - 00:00,0.28,19.75,3.72,20.98,14.16,6.18,20.64,26.18,30.97,0.44,3.76,0.06,67.73,1.95,144.57,167.45,708.84,0.69,02-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Sep-2018 - 00:00,0.35,15.23,3.74,18.37,12.79,5.39,17.01,25.49,30.11,0.34,2.0,0.12,71.15,1.78,173.43,141.06,708.96,0.7,03-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Sep-2018 - 00:00,0.42,12.87,10.03,21.54,19.6,8.53,20.6,25.5,30.47,0.43,2.55,0.26,69.05,1.58,196.55,99.94,708.91,0.69,04-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Sep-2018 - 00:00,0.3,16.04,6.68,20.91,16.55,7.84,21.43,26.43,30.15,0.42,3.92,0.16,64.7,1.83,149.26,175.11,710.03,0.71,05-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Sep-2018 - 00:00,0.27,19.36,2.23,19.19,11.98,5.74,21.57,26.06,30.26,0.38,2.42,0.04,65.31,2.13,130.79,163.18,708.78,0.71,06-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Sep-2018 - 00:00,0.26,19.72,2.36,20.07,12.59,7.89,21.95,25.24,30.68,0.35,2.15,0.06,67.41,2.07,131.58,125.47,706.25,0.7,07-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
