from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
04-May-2018 - 00:00,31.2,984.44,113.01,39.74,48.93,199.23,2.35,97.33,0.0,0.36,0.18,0.11,19.56,1.77,44.2,19.66,0.29,91.28,6.42,05-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-May-2018 - 00:00,33.47,983.5,149.04,74.79,40.44,197.93,0.77,172.9,0.0,0.22,0.5,0.17,35.8,8.4,48.75,31.82,0.9,66.7,8.28,06-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-May-2018 - 00:00,32.86,984.11,241.04,108.92,35.78,184.41,2.3,109.58,0.0,0.39,0.62,0.26,40.27,17.65,58.28,40.1,0.8,77.24,8.55,07-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-May-2018 - 00:00,33.81,982.18,226.42,128.08,32.14,168.24,0.81,215.36,0.0,0.35,0.56,0.19,41.67,24.23,53.8,33.14,1.08,67.78,12.95,08-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-May-2018 - 00:00,30.63,982.87,141.62,76.5,37.06,182.86,1.67,254.7,0.0,0.36,0.21,0.11,17.49,2.15,38.69,22.23,0.19,88.62,5.17,09-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-May-2018 - 00:00,29.21,984.59,195.71,82.67,44.68,143.14,1.03,156.27,0.0,0.16,0.55,0.13,42.7,9.08,40.53,27.59,0.61,53.26,9.07,10-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-May-2018 - 00:00,31.91,985.3,183.83,83.17,41.13,184.58,0.89,210.13,0.0,0.21,0.51,0.18,49.74,15.09,50.98,35.6,0.86,59.64,7.49,11-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-May-2018 - 00:00,34.78,982.2,242.58,121.12,34.69,168.56,0.89,216.43,0.0,0.19,0.63,0.17,65.85,17.66,55.28,51.44,1.33,66.27,8.76,12-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-May-2018 - 00:00,35.39,981.47,259.08,134.75,38.56,132.54,1.58,123.5,0.0,0.16,0.67,0.16,88.68,11.25,40.32,34.82,1.25,84.47,9.62,13-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-May-2018 - 00:00,32.65,981.79,167.33,71.5,46.77,144.5,2.95,102.35,0.0,0.23,0.2,0.07,33.93,1.3,54.5,23.5,0.54,102.49,5.71,14-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-May-2018 - 00:00,30.4,983.27,116.54,42.92,45.34,162.81,1.31,139.28,0.0,0.08,0.34,0.05,44.59,1.68,23.07,16.21,0.46,90.41,7.1,15-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-May-2018 - 00:00,32.83,981.84,140.38,61.79,45.88,156.76,1.64,109.74,0.0,0.16,0.37,0.11,40.66,1.29,37.73,24.56,0.72,95.9,6.11,16-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-May-2018 - 00:00,34.57,980.7,183.5,83.25,34.88,176.71,1.22,242.77,0.0,0.12,0.44,0.13,48.3,4.33,38.21,26.92,0.71,68.87,5.32,17-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-May-2018 - 00:00,36.16,980.7,205.42,118.0,24.79,203.24,1.33,214.12,0.0,0.1,0.37,0.11,42.63,1.9,24.39,19.07,0.64,100.53,8.73,18-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-May-2018 - 00:00,34.98,980.72,257.21,102.09,29.95,205.85,1.48,122.49,0.0,2.07,2.2,0.65,39.5,9.05,47.06,32.86,0.74,83.75,10.95,19-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-May-2018 - 00:00,34.33,979.62,250.66,102.67,35.87,198.37,0.89,208.37,0.0,3.84,6.38,2.58,53.8,29.36,74.79,55.31,1.14,59.04,5.22,20-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-May-2018 - 00:00,35.26,981.84,210.58,96.84,26.17,225.01,1.35,209.09,0.0,3.22,5.2,2.2,42.48,9.76,46.48,33.4,0.8,77.16,4.85,21-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-May-2018 - 00:00,36.92,982.04,203.84,71.84,15.1,246.58,1.56,270.97,0.0,3.1,4.86,1.92,37.43,3.24,36.64,22.71,0.6,88.62,4.95,22-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-May-2018 - 00:00,37.02,980.85,237.79,92.39,18.74,238.01,1.1,195.84,0.0,4.15,5.99,1.82,45.13,13.81,57.54,55.8,1.11,71.23,6.57,23-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-May-2018 - 00:00,38.43,979.8,367.69,134.79,23.13,202.51,1.17,126.89,0.01,8.12,8.89,4.26,43.24,35.62,68.12,75.34,1.54,76.72,7.65,24-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-May-2018 - 00:00,39.91,979.11,363.12,116.0,22.4,203.18,1.35,159.96,0.0,3.98,6.49,2.43,50.25,26.36,63.1,47.82,1.15,86.52,5.52,25-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-May-2018 - 00:00,40.38,979.25,263.54,78.42,16.06,270.08,0.96,279.03,0.0,3.91,6.73,3.05,38.7,45.65,71.18,60.03,1.21,66.06,4.97,26-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-May-2018 - 00:00,41.13,978.19,277.29,95.67,14.84,261.99,0.9,241.91,0.0,3.18,7.35,2.67,46.4,40.22,63.43,43.71,1.2,55.04,5.93,27-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-May-2018 - 00:00,41.39,977.6,349.92,104.67,14.88,245.42,1.34,198.6,0.0,1.99,5.63,2.22,58.72,24.44,55.39,30.99,0.83,54.47,4.52,28-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-May-2018 - 00:00,40.87,976.19,327.25,101.04,20.72,220.97,1.46,110.61,0.0,2.96,4.99,1.73,44.96,22.36,47.19,35.28,0.97,76.51,6.36,29-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-May-2018 - 00:00,41.06,975.1,398.62,105.17,28.85,233.29,1.68,158.16,0.0,3.7,5.32,2.1,72.24,32.64,58.83,54.53,1.2,81.23,4.7,30-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-May-2018 - 00:00,38.84,977.22,298.62,67.88,36.99,215.0,1.79,140.07,0.0,3.51,1.96,0.3,22.36,1.69,50.13,27.37,0.57,97.78,2.11,31-May-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-May-2018 - 00:00,40.35,978.81,254.81,68.14,34.95,222.89,1.31,141.71,0.0,2.63,3.65,0.57,35.38,0.92,35.51,19.16,0.56,86.42,3.03,01-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Jun-2018 - 00:00,38.55,980.01,276.07,65.94,43.06,229.2,3.06,112.64,0.0,4.36,1.22,0.12,12.77,0.5,55.07,25.95,0.52,102.72,1.26,02-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Jun-2018 - 00:00,35.94,980.77,156.54,46.5,42.44,219.0,2.31,131.17,0.0,4.23,1.75,0.5,14.92,0.53,36.04,17.61,0.32,101.53,1.29,03-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Jun-2018 - 00:00,37.79,978.45,157.88,51.58,45.96,225.47,2.45,111.76,0.0,4.16,1.81,0.7,18.27,0.87,42.97,22.68,0.47,95.59,2.01,04-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Jun-2018 - 00:00,38.47,977.49,195.42,59.63,41.36,203.12,2.54,117.67,0.0,4.43,1.02,0.4,10.64,0.32,45.92,41.06,0.49,103.24,1.33,05-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Jun-2018 - 00:00,36.31,979.75,172.84,52.43,40.66,209.44,2.83,113.76,0.0,4.39,1.32,0.11,12.03,0.38,43.64,22.93,0.57,89.19,1.21,06-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Jun-2018 - 00:00,33.05,981.35,202.67,58.79,53.05,119.1,2.64,81.21,0.0,3.45,2.98,0.28,23.35,0.66,35.61,18.99,0.56,77.83,2.76,07-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Jun-2018 - 00:00,35.87,977.28,173.54,66.57,44.93,221.56,1.65,128.39,0.0,3.88,2.85,0.28,22.33,0.49,41.5,20.36,0.63,96.97,2.12,08-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Jun-2018 - 00:00,35.66,974.07,209.33,62.46,48.06,190.56,2.61,122.27,0.0,5.06,0.98,0.54,9.31,0.39,54.32,33.44,0.56,93.58,1.1,09-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Jun-2018 - 00:00,32.04,973.54,136.52,48.48,63.77,182.43,2.27,134.58,0.04,3.99,2.08,0.54,12.33,1.12,43.5,37.66,0.54,62.55,1.3,10-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Jun-2018 - 00:00,35.18,973.37,175.13,57.93,47.36,265.79,1.07,207.15,0.0,3.22,4.16,0.63,40.8,2.38,47.57,28.1,0.78,80.77,1.61,11-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Jun-2018 - 00:00,35.77,971.8,241.04,60.88,44.83,242.63,1.31,283.92,0.0,1.67,4.96,0.58,54.51,2.42,33.34,18.21,0.68,67.43,2.49,12-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Jun-2018 - 00:00,37.29,969.4,494.62,126.33,37.44,204.96,1.44,265.97,0.0,1.8,4.91,0.73,41.78,4.21,31.49,17.55,0.49,38.91,1.74,13-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Jun-2018 - 00:00,38.37,969.48,900.5,344.0,31.01,193.39,2.06,267.87,0.0,2.23,2.84,0.54,22.31,4.86,30.64,14.53,0.34,22.72,1.39,14-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Jun-2018 - 00:00,37.35,971.44,851.69,241.67,29.57,188.73,2.06,260.24,0.0,2.54,2.16,0.57,14.21,4.8,28.2,16.92,0.32,26.14,1.3,15-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Jun-2018 - 00:00,36.6,973.83,614.8,214.46,30.33,210.57,2.19,227.57,0.0,2.57,2.23,0.39,11.83,2.9,25.01,16.75,0.36,33.12,1.51,16-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Jun-2018 - 00:00,35.42,976.18,646.0,187.04,41.22,184.48,1.74,174.2,0.0,4.3,1.4,0.33,9.1,1.13,38.7,19.14,0.39,47.99,0.99,17-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Jun-2018 - 00:00,32.39,977.45,320.67,96.79,50.24,228.2,2.16,90.74,0.0,5.34,0.9,0.2,3.53,0.54,45.97,37.51,0.37,60.87,0.53,18-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Jun-2018 - 00:00,33.21,977.29,189.83,63.71,42.43,212.32,1.2,242.44,0.0,3.22,2.66,0.42,19.51,2.08,32.72,17.84,0.46,67.12,1.86,19-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Jun-2018 - 00:00,34.39,977.42,173.12,60.33,42.43,258.82,1.4,223.12,0.0,3.82,1.74,0.62,12.75,1.08,35.48,28.09,0.38,85.69,1.46,20-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Jun-2018 - 00:00,36.32,978.07,223.6,72.99,42.01,193.03,3.3,143.58,0.0,2.99,3.41,0.33,24.02,4.01,39.22,31.14,0.63,103.14,4.75,21-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Jun-2018 - 00:00,36.82,977.86,323.09,74.34,37.0,203.04,1.98,179.11,0.0,2.77,2.68,0.25,23.12,1.09,38.78,26.55,0.53,94.52,2.27,22-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Jun-2018 - 00:00,37.77,976.74,308.33,77.67,35.66,207.73,1.08,175.3,0.0,2.27,5.16,1.35,47.46,14.07,45.79,24.47,0.88,60.93,3.37,23-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Jun-2018 - 00:00,37.75,976.09,278.42,65.6,34.12,189.14,2.22,186.45,0.0,2.83,3.34,0.58,32.92,2.09,41.87,27.54,0.61,94.43,2.57,24-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Jun-2018 - 00:00,38.06,975.63,124.18,38.31,38.69,161.66,8.98,236.66,0.0,3.39,1.82,0.28,18.27,6.47,39.42,39.17,0.74,85.64,10.42,25-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Jun-2018 - 00:00,,,28.14,10.56,58.78,36.84,32.75,,,,,,20.18,6.47,24.13,39.2,0.89,57.78,14.12,26-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Jun-2018 - 00:00,31.65,971.46,47.58,17.17,51.73,47.4,15.88,201.36,,1.52,34.39,,19.66,7.22,24.47,38.69,0.92,38.39,15.63,27-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Jun-2018 - 00:00,30.63,973.72,77.46,33.61,70.8,213.13,1.18,128.53,,1.13,24.53,,24.08,6.8,20.81,32.46,0.98,53.12,10.29,28-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Jun-2018 - 00:00,29.42,975.2,49.3,14.57,80.11,211.4,1.49,122.18,,0.65,21.94,,22.29,8.54,22.13,32.22,0.9,32.86,7.56,29-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Jun-2018 - 00:00,29.47,975.18,77.41,33.42,81.3,151.4,1.79,102.19,,0.8,21.97,,20.37,14.26,30.92,40.02,1.17,35.17,10.08,30-Jun-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Jun-2018 - 00:00,31.41,975.34,85.82,35.32,72.48,226.57,1.2,135.14,,0.82,22.1,,20.77,11.64,30.84,43.89,1.05,27.44,17.5,01-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Jul-2018 - 00:00,32.92,973.79,71.38,25.53,67.22,214.64,0.71,207.49,,0.68,24.67,,19.23,7.37,18.84,27.86,0.93,35.38,8.39,02-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Jul-2018 - 00:00,32.62,971.61,90.35,26.0,63.34,238.36,0.96,183.94,,0.53,21.79,,16.21,7.29,20.11,30.4,0.85,40.38,9.02,03-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Jul-2018 - 00:00,30.86,972.13,123.46,33.14,73.47,217.41,1.06,104.5,,0.82,27.02,,18.33,12.66,33.97,48.19,1.11,42.5,12.29,04-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Jul-2018 - 00:00,31.57,972.32,107.11,40.64,68.38,248.82,0.91,185.01,,1.01,24.14,,17.2,6.53,25.58,41.76,1.14,57.66,16.8,05-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Jul-2018 - 00:00,31.53,973.78,105.29,39.97,72.87,206.56,0.65,177.33,,1.8,33.75,,21.93,22.46,41.71,47.72,1.49,41.55,15.48,06-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Jul-2018 - 00:00,32.92,973.67,104.25,43.84,62.83,266.35,0.48,259.28,,1.75,34.44,,29.83,21.72,41.96,49.39,1.28,39.69,10.01,07-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Jul-2018 - 00:00,33.56,972.91,81.48,38.21,58.87,254.17,0.53,278.98,,1.49,30.23,,36.76,7.7,27.66,43.96,1.17,70.61,10.34,08-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Jul-2018 - 00:00,35.0,972.11,94.74,46.7,53.46,272.49,0.49,215.1,,1.91,32.82,,41.03,19.47,41.68,52.23,1.37,101.59,16.14,09-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Jul-2018 - 00:00,34.27,972.35,84.45,45.0,62.98,225.49,1.48,110.42,,0.92,20.01,,32.14,6.77,25.26,40.87,0.97,56.11,18.14,10-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Jul-2018 - 00:00,33.47,972.88,77.71,34.54,69.32,226.95,1.52,107.29,,0.59,17.52,,22.65,7.26,19.42,29.15,0.99,45.45,14.93,11-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Jul-2018 - 00:00,31.71,972.37,105.92,29.71,73.64,145.82,1.33,115.79,,0.54,19.19,,20.83,8.28,25.8,39.62,1.07,29.21,17.31,12-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Jul-2018 - 00:00,32.24,971.75,133.08,32.25,68.56,184.74,1.13,138.61,,0.56,20.86,,18.63,10.96,26.12,36.08,1.0,54.06,11.63,13-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Jul-2018 - 00:00,28.91,973.04,59.38,22.79,85.34,139.41,1.16,149.16,,0.48,19.67,,16.47,12.56,26.0,33.4,1.11,28.47,13.4,14-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Jul-2018 - 00:00,29.39,972.71,62.58,25.17,85.48,247.96,0.99,123.81,,0.34,23.9,,19.6,15.08,27.62,32.55,1.01,30.7,17.85,15-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Jul-2018 - 00:00,30.51,972.47,69.22,31.35,81.23,221.27,1.27,98.3,,0.28,17.66,,22.39,9.5,21.91,30.37,1.0,23.64,15.92,16-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Jul-2018 - 00:00,30.38,972.75,86.62,43.21,87.69,136.31,1.21,161.33,,0.24,24.23,,26.09,13.2,27.38,34.99,1.29,15.38,10.17,17-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Jul-2018 - 00:00,32.63,973.18,81.01,28.86,72.06,234.86,1.07,105.67,,0.33,22.58,,26.03,11.62,24.61,32.23,1.05,34.0,10.41,18-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Jul-2018 - 00:00,32.54,973.61,88.96,32.49,71.86,232.64,1.18,166.77,,0.55,23.14,,27.93,11.19,23.14,30.1,1.03,26.54,10.83,19-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Jul-2018 - 00:00,32.56,973.46,53.64,26.82,71.86,269.49,0.93,134.2,,0.48,19.33,,26.5,7.94,18.05,25.54,0.93,34.52,12.87,20-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Jul-2018 - 00:00,29.59,972.68,72.53,31.49,87.95,130.18,0.5,269.92,,0.9,26.34,,27.34,9.22,24.26,35.3,1.3,25.97,9.17,21-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Jul-2018 - 00:00,29.42,973.26,90.9,39.85,87.25,135.12,0.64,182.12,,1.05,27.78,,31.16,14.94,30.91,38.94,1.23,39.09,13.4,22-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Jul-2018 - 00:00,28.37,973.93,44.06,24.41,92.93,180.43,0.71,157.75,,0.63,19.32,,21.59,11.05,23.37,30.77,1.09,16.04,9.16,23-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Jul-2018 - 00:00,30.48,973.62,52.44,29.18,79.11,253.4,1.15,163.77,,0.77,17.72,,23.16,12.07,22.31,27.18,1.05,23.03,10.8,24-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Jul-2018 - 00:00,32.07,974.05,78.19,30.46,71.7,243.31,0.77,175.75,,0.77,19.48,,21.19,9.67,21.76,29.83,1.02,42.61,11.45,25-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Jul-2018 - 00:00,29.23,973.63,68.26,28.9,88.36,99.7,0.84,170.77,,0.64,16.89,,20.64,13.55,24.98,30.0,1.06,13.16,8.81,26-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Jul-2018 - 00:00,27.02,973.41,61.12,27.86,97.15,76.57,0.49,258.54,,1.04,22.41,,22.74,9.45,17.55,22.81,1.1,5.98,7.26,27-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Jul-2018 - 00:00,26.89,972.39,38.24,25.4,96.65,70.69,0.55,280.42,,1.44,27.31,,20.77,7.55,15.75,21.79,1.09,3.13,6.13,28-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Jul-2018 - 00:00,27.58,973.09,59.89,32.0,94.2,108.58,0.61,259.73,,1.18,26.02,,21.29,10.54,18.67,22.69,1.08,13.37,7.04,29-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Jul-2018 - 00:00,30.8,973.77,127.88,41.3,79.55,227.34,0.45,254.65,,0.95,22.83,,24.8,13.28,21.38,24.12,1.1,21.79,7.77,30-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Jul-2018 - 00:00,30.49,973.4,130.25,38.8,78.46,218.98,0.51,238.68,,0.9,21.06,,24.19,9.73,17.59,21.9,0.97,26.85,6.86,31-Jul-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-Jul-2018 - 00:00,30.41,972.7,171.18,48.33,75.69,116.27,0.7,208.41,,0.86,24.55,,21.37,11.5,25.34,33.76,1.04,20.18,7.51,01-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Aug-2018 - 00:00,31.35,973.14,132.2,51.47,69.73,233.24,0.54,225.18,,0.98,21.85,,19.75,20.36,28.97,27.0,1.11,22.41,7.56,02-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Aug-2018 - 00:00,32.48,974.3,153.38,61.89,59.16,228.86,0.7,235.52,,0.87,21.12,,19.02,13.29,21.39,23.72,0.9,21.48,7.02,03-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Aug-2018 - 00:00,31.82,974.77,137.19,55.42,57.79,167.69,0.69,235.28,,0.9,21.19,,15.41,13.74,23.0,25.91,0.86,16.48,7.38,04-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Aug-2018 - 00:00,32.02,974.51,287.0,73.3,57.14,180.87,0.63,206.13,,0.67,19.57,,14.46,13.79,23.11,26.43,0.87,19.65,8.8,05-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Aug-2018 - 00:00,29.6,974.98,268.96,57.01,72.97,90.03,1.03,169.99,,0.58,17.42,,16.47,13.53,21.52,23.49,0.86,8.64,8.98,06-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Aug-2018 - 00:00,27.74,975.34,158.35,53.76,88.86,76.25,0.74,189.56,,0.96,21.78,,30.65,14.38,23.37,25.66,1.08,24.16,9.44,07-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Aug-2018 - 00:00,28.37,975.16,113.96,40.92,86.67,138.23,0.59,148.68,,0.96,23.96,,25.16,16.88,26.49,27.66,1.14,23.46,12.33,08-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Aug-2018 - 00:00,30.03,975.74,66.48,24.83,80.89,189.29,1.03,106.77,,0.9,23.38,,23.63,14.54,24.44,27.4,1.09,20.56,8.07,09-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Aug-2018 - 00:00,31.6,978.15,62.78,29.19,71.67,218.15,1.32,102.4,,0.64,21.56,,21.84,13.26,22.84,26.37,0.98,24.92,7.81,10-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Aug-2018 - 00:00,30.56,976.93,63.15,38.56,81.7,132.68,0.6,149.65,,1.22,27.16,,24.25,34.92,50.63,45.4,1.66,27.55,7.77,11-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Aug-2018 - 00:00,32.12,972.99,80.92,31.4,72.03,195.43,0.74,226.44,,0.65,20.93,,25.31,17.49,26.64,27.01,0.99,20.1,7.33,12-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Aug-2018 - 00:00,30.39,971.54,54.72,29.78,74.03,121.52,0.85,193.4,,0.44,15.29,,16.77,9.5,18.8,24.57,0.85,16.15,7.34,13-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Aug-2018 - 00:00,30.86,972.86,90.83,35.39,72.06,149.6,0.72,192.62,,0.68,16.56,,17.1,10.53,21.63,28.28,0.95,27.76,8.46,14-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Aug-2018 - 00:00,31.41,973.8,128.83,47.94,74.83,180.48,0.65,211.51,,0.73,18.01,,22.37,15.82,30.07,36.06,1.11,28.19,9.01,15-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Aug-2018 - 00:00,31.22,975.63,118.86,38.07,73.11,196.05,1.11,159.73,,0.48,13.22,,23.18,7.36,17.46,25.31,0.84,32.27,9.87,16-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Aug-2018 - 00:00,30.18,977.21,90.9,33.14,80.8,141.07,0.66,147.25,,0.82,21.68,,20.27,20.43,32.94,34.36,1.25,29.91,11.12,17-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Aug-2018 - 00:00,31.77,975.01,78.83,30.97,76.18,198.78,1.39,126.52,,0.58,18.71,,21.61,13.09,22.81,26.56,0.97,23.76,13.17,18-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Aug-2018 - 00:00,30.91,974.63,65.91,32.35,79.18,160.39,1.16,119.5,,0.48,17.9,,23.8,12.82,25.19,31.47,1.03,22.6,12.27,19-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Aug-2018 - 00:00,28.95,974.44,97.1,38.72,89.12,98.91,0.54,174.9,,0.71,25.67,,27.73,25.41,41.0,41.82,1.43,22.16,11.6,20-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Aug-2018 - 00:00,30.79,975.98,129.1,45.75,81.35,161.89,0.79,119.42,,0.68,20.82,,29.97,15.98,31.57,38.62,1.23,46.01,10.59,21-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Aug-2018 - 00:00,31.1,975.89,53.44,28.52,75.63,189.45,1.2,97.5,,0.36,13.64,,18.4,16.54,29.03,32.96,1.02,20.29,16.39,22-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Aug-2018 - 00:00,31.05,975.21,55.58,30.41,77.84,185.53,1.21,127.0,,0.41,13.07,,18.03,13.36,25.0,30.29,1.0,17.79,10.37,23-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Aug-2018 - 00:00,29.54,975.57,64.62,33.07,85.79,176.02,0.9,207.99,,0.58,14.07,,20.25,9.8,18.18,22.96,1.14,7.74,8.98,24-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Aug-2018 - 00:00,30.34,974.91,76.18,21.81,78.3,147.34,0.65,224.52,,0.58,17.83,,22.28,14.48,23.62,25.36,0.92,11.76,7.78,25-Aug-2018 - 00:00,"Nehru Nagar, Delhi - DPCC"
