from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,VWS,WD,WS,Toluene,to date,station
08-Feb-2018 - 00:00,13.13,2.52,553.31,1.9,51.74,99.64,114.51,214.51,34.44,367.83,205.25,47.83,21.34,76.01,0.01,89.35,0.74,8.6,09-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Feb-2018 - 00:00,13.34,4.88,553.5,2.19,46.21,95.75,140.8,132.13,32.18,370.83,205.48,49.86,21.36,76.46,0.01,88.77,0.8,6.95,10-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Feb-2018 - 00:00,14.31,20.64,553.58,4.76,34.16,75.97,147.72,121.81,20.01,451.17,226.54,47.15,17.89,66.8,0.01,88.26,0.56,14.59,11-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Feb-2018 - 00:00,15.57,4.94,553.5,2.83,45.77,108.8,126.22,209.1,33.41,281.58,133.12,40.16,16.28,65.61,0.01,95.12,1.05,8.44,12-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Feb-2018 - 00:00,13.83,0.59,553.5,2.02,48.3,37.44,103.79,134.86,30.74,164.38,66.83,60.56,21.66,57.72,0.0,96.26,1.7,2.23,13-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Feb-2018 - 00:00,14.13,1.27,557.25,2.41,53.35,89.36,124.36,214.23,33.67,201.21,108.79,65.27,17.77,73.64,0.02,60.03,0.98,3.6,14-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Feb-2018 - 00:00,13.68,1.13,553.5,1.94,45.41,52.31,112.89,164.15,43.23,148.58,78.17,54.37,13.86,81.48,0.01,43.69,1.66,2.48,15-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Feb-2018 - 00:00,14.67,1.71,553.5,2.18,50.05,42.56,112.19,150.7,49.69,161.38,88.79,54.84,19.0,80.37,-0.01,45.73,1.62,3.4,16-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Feb-2018 - 00:00,15.64,1.68,553.5,2.86,54.06,47.72,128.82,170.19,43.23,227.17,134.71,57.81,18.75,79.18,-0.02,57.76,1.03,3.93,17-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Feb-2018 - 00:00,16.24,1.93,553.5,3.23,57.98,47.28,126.49,168.88,36.86,267.5,149.62,56.28,31.47,81.05,-0.01,65.65,1.1,4.2,18-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-Feb-2018 - 00:00,16.42,1.49,553.59,4.19,55.99,72.89,126.18,187.76,39.61,264.5,147.71,51.92,25.98,85.6,0.01,73.36,0.99,3.98,19-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-Feb-2018 - 00:00,16.66,2.96,553.5,4.26,56.34,144.82,128.86,212.13,40.62,369.96,200.42,47.76,36.2,83.56,-0.01,91.64,0.8,8.48,20-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-Feb-2018 - 00:00,17.83,4.03,553.5,4.36,59.24,113.34,139.61,209.08,43.65,349.17,180.5,50.1,21.06,83.3,-0.0,91.75,0.79,10.85,21-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
21-Feb-2018 - 00:00,20.27,5.9,553.5,4.43,53.84,183.14,138.48,201.62,49.87,385.5,171.46,47.68,18.76,79.44,0.0,95.22,0.72,16.34,22-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-Feb-2018 - 00:00,20.79,2.5,554.11,2.47,56.85,104.43,98.35,219.56,36.03,356.38,180.21,52.14,26.2,76.46,-0.01,88.84,0.66,8.47,23-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-Feb-2018 - 00:00,22.05,1.48,553.59,1.98,60.19,86.62,99.03,197.93,39.53,371.21,155.08,48.91,24.94,71.59,0.0,75.97,0.59,6.99,24-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-Feb-2018 - 00:00,22.66,1.78,553.5,1.72,67.32,69.63,110.68,185.1,45.77,359.33,162.21,46.39,24.33,68.18,-0.0,94.36,0.71,6.66,25-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-Feb-2018 - 00:00,20.53,0.92,553.5,0.74,59.7,20.92,70.23,83.25,41.0,219.46,94.46,49.13,17.22,79.05,0.06,51.19,1.33,2.24,26-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-Feb-2018 - 00:00,18.71,0.82,553.5,0.62,53.73,5.49,54.77,56.28,49.59,142.5,61.0,54.08,18.87,87.12,-0.01,47.48,1.85,1.87,27-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-Feb-2018 - 00:00,20.29,7.53,553.5,1.04,48.83,20.17,89.57,63.87,61.54,191.08,93.29,53.58,22.93,83.53,-0.0,72.93,1.09,5.16,28-Feb-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
