from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
18-Feb-2018 - 00:00,145.27,11.36,14.19,35.28,49.47,23.72,1.17,23.75,0.0,0.0,193.95,65.54,0.0,241.13,0.85,96.26,19-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Feb-2018 - 00:00,118.99,7.92,10.92,33.76,44.69,22.52,1.21,28.67,0.0,0.0,213.98,70.07,0.0,253.46,1.02,78.83,20-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Feb-2018 - 00:00,134.43,9.69,9.71,32.07,41.78,21.94,1.28,27.01,0.0,0.0,194.6,65.06,0.0,261.57,1.1,80.77,21-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Feb-2018 - 00:00,76.7,6.55,9.36,30.68,40.04,21.52,1.22,29.91,0.0,0.0,194.61,76.57,0.0,241.8,0.9,44.27,22-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Feb-2018 - 00:00,129.04,6.29,12.01,40.69,52.71,24.78,1.24,17.89,0.0,0.0,163.1,83.54,0.0,234.16,0.67,83.22,23-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Feb-2018 - 00:00,71.13,5.76,12.95,42.14,55.07,25.79,1.22,14.66,0.0,0.0,208.78,74.68,0.0,168.84,0.57,43.03,24-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Feb-2018 - 00:00,62.11,5.55,,,,,1.29,21.28,0.0,0.0,202.16,67.49,0.01,152.38,1.69,30.7,25-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
25-Feb-2018 - 00:00,94.4,6.69,,,,,1.21,17.19,0.0,0.0,263.95,80.57,0.0,273.35,1.22,60.51,26-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
26-Feb-2018 - 00:00,97.81,6.73,8.81,27.86,36.68,23.16,1.16,21.92,0.0,0.0,274.85,77.36,0.0,306.1,2.01,58.05,27-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
27-Feb-2018 - 00:00,105.92,7.32,9.03,31.7,40.72,23.85,1.17,26.27,0.0,0.0,266.92,74.89,0.0,310.82,1.49,63.3,28-Feb-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
28-Feb-2018 - 00:00,121.76,10.4,12.82,31.37,44.19,24.32,1.04,25.14,0.0,0.0,219.08,77.51,0.0,269.95,0.96,77.54,01-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
01-Mar-2018 - 00:00,106.65,9.49,10.54,32.33,42.87,23.67,1.2,21.62,0.0,0.0,247.42,76.45,0.0,276.47,1.18,66.01,02-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Mar-2018 - 00:00,54.05,7.44,9.31,32.34,41.63,23.41,1.36,20.33,0.0,0.0,252.58,71.04,0.0,200.54,0.96,29.92,03-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Mar-2018 - 00:00,47.67,5.9,8.6,27.74,36.34,22.27,1.19,16.89,0.0,0.0,170.98,82.43,0.01,250.35,1.08,29.22,04-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Mar-2018 - 00:00,60.72,7.03,8.41,28.25,36.66,22.33,1.31,18.97,0.0,0.0,219.54,73.83,0.0,247.45,0.94,39.34,05-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Mar-2018 - 00:00,77.76,7.16,7.67,25.31,32.98,21.38,1.14,26.01,0.0,0.0,279.18,70.56,0.0,286.35,1.22,48.81,06-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Mar-2018 - 00:00,99.92,8.8,7.52,23.41,30.93,21.12,1.21,27.89,0.0,0.0,276.45,65.71,0.0,308.2,1.77,57.69,07-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Mar-2018 - 00:00,116.42,13.66,7.45,18.2,25.58,20.24,1.26,35.65,1.5,1.31,255.45,65.33,0.0,289.58,1.34,79.95,08-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Mar-2018 - 00:00,73.8,11.31,,,,,1.69,25.16,0.0,0.0,243.8,71.56,0.0,187.51,0.45,38.53,09-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Mar-2018 - 00:00,71.03,9.25,15.8,37.82,53.61,28.29,1.26,30.32,0.0,0.0,215.26,65.96,0.0,284.07,1.29,40.47,10-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Mar-2018 - 00:00,95.87,18.39,14.72,45.77,60.49,30.23,1.23,26.45,0.0,0.0,206.77,64.7,0.0,319.11,1.54,53.99,11-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Mar-2018 - 00:00,88.61,18.31,12.69,49.39,62.08,30.76,1.3,33.89,0.0,0.0,209.58,64.56,0.0,295.95,1.41,48.28,12-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Mar-2018 - 00:00,118.76,14.22,17.95,54.0,71.95,33.5,1.54,28.69,0.0,0.0,201.37,65.12,0.0,289.94,1.24,62.36,13-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Mar-2018 - 00:00,132.79,16.36,33.51,57.35,90.87,42.46,2.12,16.71,0.0,0.0,204.82,61.38,0.0,187.35,0.51,72.54,14-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Mar-2018 - 00:00,95.96,15.78,35.12,55.59,90.71,48.53,1.87,22.03,0.0,0.0,188.58,66.63,0.0,140.86,0.64,45.29,15-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Mar-2018 - 00:00,98.01,13.17,31.13,47.48,78.61,43.8,1.58,22.8,0.0,0.0,179.89,70.43,0.0,199.07,0.64,48.47,16-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Mar-2018 - 00:00,100.76,14.79,18.39,35.99,54.38,33.12,1.33,23.52,0.0,0.0,198.17,57.93,0.0,237.01,0.94,59.75,17-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Mar-2018 - 00:00,106.62,26.41,13.23,31.86,45.09,30.8,1.3,29.27,0.0,0.0,202.1,52.37,0.0,307.61,1.44,56.39,18-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Mar-2018 - 00:00,84.0,32.33,11.86,26.88,38.75,27.5,1.35,39.88,0.0,0.0,186.68,44.72,0.0,311.86,1.23,44.06,19-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Mar-2018 - 00:00,85.32,26.49,14.11,23.95,38.07,26.91,1.24,31.5,0.0,0.0,188.64,58.4,0.0,281.31,1.01,46.83,20-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Mar-2018 - 00:00,67.84,17.71,22.47,28.85,51.33,32.37,1.25,27.53,0.0,0.0,182.19,58.55,0.0,230.42,0.73,34.01,21-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Mar-2018 - 00:00,65.07,12.08,14.32,16.3,30.62,24.49,1.74,24.32,0.0,0.0,163.96,72.94,0.3,249.27,1.31,35.77,22-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Mar-2018 - 00:00,76.41,20.62,12.42,13.84,26.25,22.73,1.75,27.72,0.0,0.0,202.42,68.66,0.0,276.26,0.97,44.97,23-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Mar-2018 - 00:00,106.4,18.32,11.46,14.61,26.08,21.82,1.49,31.46,0.0,0.0,196.67,66.73,0.0,321.87,0.86,61.71,24-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Mar-2018 - 00:00,149.34,13.16,10.14,7.18,16.43,18.67,1.27,37.94,0.0,0.0,186.06,57.78,0.0,321.55,1.4,77.5,25-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
