from date,Temp,RH,SR,WS,WD,NO,NO2,NOx,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,VWS,to date,BP,station
16-Jan-2018 - 00:00,26.47,43.68,182.93,0.59,168.85,10.39,13.71,12.5,8.57,1.1,12.53,76.78,1.57,1.8,0.84,0.84,0.84,0.32,17-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
17-Jan-2018 - 00:00,26.2,63.41,149.48,0.94,65.23,10.44,13.55,12.54,8.36,1.09,12.63,168.72,1.65,1.88,0.92,0.92,0.92,0.32,18-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
18-Jan-2018 - 00:00,26.64,59.19,146.21,0.33,140.53,,,,7.76,1.25,12.51,190.47,1.77,2.0,1.04,1.04,1.04,0.32,19-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
19-Jan-2018 - 00:00,28.61,47.64,250.26,0.53,183.04,,,,7.96,1.02,18.0,142.41,1.93,2.16,1.2,1.2,1.2,0.21,20-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
20-Jan-2018 - 00:00,32.02,63.04,507.54,0.99,187.15,,,,8.62,1.01,27.13,136.92,2.06,3.31,1.02,0.99,1.06,0.05,21-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
21-Jan-2018 - 00:00,32.0,63.54,511.83,0.67,117.38,10.77,13.83,17.75,14.31,1.35,26.82,85.59,1.93,3.2,0.88,0.85,0.92,0.07,22-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
22-Jan-2018 - 00:00,32.41,60.2,496.43,1.08,77.52,10.18,13.73,17.43,12.26,1.13,26.28,90.41,1.68,2.95,0.63,0.6,0.68,0.11,23-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
23-Jan-2018 - 00:00,31.68,68.06,421.21,1.42,90.33,11.04,13.69,17.88,15.36,0.97,26.83,96.64,1.4,2.67,0.35,0.32,0.39,0.1,24-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
24-Jan-2018 - 00:00,31.37,67.47,483.3,0.6,200.87,10.89,13.82,17.83,13.1,1.02,27.43,67.12,1.79,3.06,0.74,0.71,0.78,0.08,25-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
25-Jan-2018 - 00:00,30.76,69.09,455.66,0.92,191.7,10.94,13.83,17.82,9.6,0.95,25.75,78.96,1.75,3.02,0.7,0.67,0.74,0.08,26-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
26-Jan-2018 - 00:00,30.41,65.7,467.3,0.44,164.65,10.42,13.62,17.5,10.58,0.95,26.53,67.41,1.84,3.11,0.79,0.76,0.83,0.08,27-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
27-Jan-2018 - 00:00,30.77,59.27,482.41,0.37,145.1,10.56,13.74,17.56,9.86,0.98,26.28,108.9,1.84,3.11,0.79,0.76,0.83,0.08,28-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
28-Jan-2018 - 00:00,30.99,57.73,504.18,0.46,185.1,10.3,13.52,17.41,9.18,0.86,26.8,92.04,1.93,3.2,0.88,0.85,0.92,0.07,29-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
29-Jan-2018 - 00:00,31.52,59.78,514.52,0.7,192.62,10.55,14.16,17.77,9.33,0.99,25.74,98.71,2.08,3.35,1.03,1.0,1.07,0.07,30-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
30-Jan-2018 - 00:00,32.84,62.14,517.36,1.04,198.35,11.04,14.15,17.97,9.59,0.9,26.0,99.91,1.99,3.26,0.94,0.91,0.98,0.06,31-Jan-2018 - 00:00,,"MD University, Rohtak - HSPCB"
31-Jan-2018 - 00:00,33.08,62.45,494.46,1.3,199.78,11.01,13.67,17.84,8.15,1.02,26.0,106.58,1.85,3.12,0.8,0.77,0.84,0.08,01-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
01-Feb-2018 - 00:00,33.24,61.62,509.06,0.62,209.87,10.76,13.61,17.68,9.37,0.98,26.4,113.43,1.84,3.11,0.79,0.76,0.83,0.06,02-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
02-Feb-2018 - 00:00,33.23,54.96,517.83,0.67,197.54,10.61,13.8,17.69,8.7,0.94,26.51,89.67,1.63,2.9,0.58,0.55,0.62,0.06,03-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
03-Feb-2018 - 00:00,32.67,54.73,530.75,0.54,206.74,10.74,13.52,17.65,9.06,1.0,26.24,70.57,1.97,3.24,0.92,0.89,0.96,0.06,04-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
04-Feb-2018 - 00:00,32.59,59.64,528.38,0.86,203.77,10.41,13.52,17.5,8.45,0.96,25.98,52.69,2.04,3.31,0.99,0.96,1.03,0.07,05-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
05-Feb-2018 - 00:00,32.06,59.81,480.48,0.54,189.5,10.64,13.52,17.53,8.16,1.0,26.06,83.54,2.3,3.57,1.25,1.22,1.29,0.07,06-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
06-Feb-2018 - 00:00,33.13,59.16,496.87,0.56,213.76,10.64,13.67,17.55,9.42,0.96,25.87,61.67,2.29,3.56,1.24,1.21,1.28,0.05,07-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
07-Feb-2018 - 00:00,32.5,55.15,532.72,0.89,195.47,11.42,14.07,18.18,9.77,0.94,25.61,50.96,1.93,3.2,0.88,0.85,0.92,0.05,08-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
08-Feb-2018 - 00:00,32.56,59.62,527.99,0.53,171.34,11.55,13.9,18.45,10.53,0.91,25.7,62.85,1.81,3.08,0.76,0.73,0.8,0.16,09-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
09-Feb-2018 - 00:00,32.3,62.9,561.09,0.58,172.5,11.99,14.01,18.48,10.58,0.83,25.29,60.24,1.86,3.13,0.81,0.78,0.85,-0.15,10-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
11-Feb-2018 - 00:00,,,,,,10.46,13.5,17.53,7.2,0.86,25.47,55.89,,,,,,,12-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
12-Feb-2018 - 00:00,34.08,66.46,130.33,2.2,75.78,11.66,13.95,18.23,7.26,0.86,25.57,38.52,,,,,,0.18,13-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
13-Feb-2018 - 00:00,33.34,68.05,89.41,0.72,150.21,10.52,13.54,17.56,8.32,0.99,25.13,47.64,,,,,,0.19,14-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
14-Feb-2018 - 00:00,33.96,61.39,149.25,1.06,210.18,10.47,13.52,17.54,7.54,1.0,25.2,30.31,,,,,,0.12,15-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
15-Feb-2018 - 00:00,34.99,62.38,140.17,1.22,206.43,11.49,13.65,18.13,7.62,0.95,23.98,33.46,,,,,,0.01,16-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
16-Feb-2018 - 00:00,34.74,58.91,126.22,0.83,193.54,12.16,13.39,18.38,7.72,1.13,25.12,56.22,,,,,,0.0,17-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
17-Feb-2018 - 00:00,29.64,58.11,136.47,0.9,193.53,13.86,15.34,20.46,10.27,1.22,25.26,71.71,,,,,,0.0,18-Feb-2018 - 00:00,,"MD University, Rohtak - HSPCB"
18-Feb-2018 - 00:00,18.92,62.21,185.29,0.75,190.48,10.45,16.22,18.96,10.24,1.0,24.35,120.14,,,,,,0.06,19-Feb-2018 - 00:00,988.5,"MD University, Rohtak - HSPCB"
19-Feb-2018 - 00:00,18.92,56.12,184.5,0.6,171.93,11.03,16.06,19.33,13.58,1.02,24.08,133.29,,,,,,0.06,20-Feb-2018 - 00:00,989.95,"MD University, Rohtak - HSPCB"
20-Feb-2018 - 00:00,19.97,55.5,175.16,0.79,147.62,13.4,17.17,21.59,21.75,1.14,24.67,134.85,,,,,,0.06,21-Feb-2018 - 00:00,989.41,"MD University, Rohtak - HSPCB"
21-Feb-2018 - 00:00,21.31,54.98,157.89,0.58,158.87,13.38,18.11,22.11,11.19,0.85,25.96,145.82,,,,,,0.06,22-Feb-2018 - 00:00,987.01,"MD University, Rohtak - HSPCB"
22-Feb-2018 - 00:00,20.83,55.39,162.79,0.55,165.53,12.16,17.05,20.28,11.96,0.98,26.4,114.85,,,,,,0.06,23-Feb-2018 - 00:00,985.99,"MD University, Rohtak - HSPCB"
23-Feb-2018 - 00:00,21.46,59.39,166.18,0.59,101.48,12.89,16.88,20.74,10.63,0.96,26.68,126.53,,,,,,0.06,24-Feb-2018 - 00:00,986.07,"MD University, Rohtak - HSPCB"
24-Feb-2018 - 00:00,21.57,59.75,154.98,1.23,74.44,10.95,17.37,19.83,10.77,0.95,26.5,180.63,,,,,,0.06,25-Feb-2018 - 00:00,987.69,"MD University, Rohtak - HSPCB"
25-Feb-2018 - 00:00,19.86,61.65,182.98,0.63,207.44,10.35,15.25,18.36,10.55,0.98,24.45,78.04,,,,,,0.06,26-Feb-2018 - 00:00,991.67,"MD University, Rohtak - HSPCB"
26-Feb-2018 - 00:00,18.92,63.48,202.34,1.34,204.36,11.99,15.07,19.32,14.54,0.98,24.62,60.17,,,,,,0.06,27-Feb-2018 - 00:00,989.68,"MD University, Rohtak - HSPCB"
27-Feb-2018 - 00:00,19.99,58.68,182.91,0.94,192.91,9.38,15.45,17.18,8.84,1.01,24.49,83.64,,,,,,0.06,28-Feb-2018 - 00:00,988.83,"MD University, Rohtak - HSPCB"
28-Feb-2018 - 00:00,19.3,55.89,149.81,0.46,190.03,9.21,15.96,17.83,9.07,0.85,25.29,120.23,,,,,,0.01,01-Mar-2018 - 00:00,989.01,"MD University, Rohtak - HSPCB"
01-Mar-2018 - 00:00,18.42,52.45,156.81,0.59,171.09,16.71,18.3,24.52,11.38,1.07,24.93,87.35,,,,,,0.01,02-Mar-2018 - 00:00,987.44,"MD University, Rohtak - HSPCB"
02-Mar-2018 - 00:00,18.93,52.6,182.31,0.52,158.82,15.93,17.77,24.15,32.09,1.04,25.65,98.36,,,,,,0.01,03-Mar-2018 - 00:00,985.76,"MD University, Rohtak - HSPCB"
03-Mar-2018 - 00:00,19.53,52.76,168.46,0.75,171.3,15.65,17.38,23.67,32.17,1.01,25.99,67.48,,,,,,-0.0,04-Mar-2018 - 00:00,983.75,"MD University, Rohtak - HSPCB"
04-Mar-2018 - 00:00,18.43,52.93,124.5,0.78,184.04,15.76,17.24,23.68,9.03,0.96,25.11,62.62,,,,,,-0.0,05-Mar-2018 - 00:00,985.34,"MD University, Rohtak - HSPCB"
05-Mar-2018 - 00:00,17.38,57.33,198.79,0.77,195.35,16.68,17.65,24.53,9.42,0.88,25.03,72.15,,,,,,-0.0,06-Mar-2018 - 00:00,989.14,"MD University, Rohtak - HSPCB"
06-Mar-2018 - 00:00,17.69,52.08,206.54,1.14,199.32,17.39,17.8,24.81,9.39,1.07,24.78,61.8,,,,,,-0.0,07-Mar-2018 - 00:00,989.79,"MD University, Rohtak - HSPCB"
07-Mar-2018 - 00:00,17.6,56.74,200.21,0.9,186.34,17.26,18.28,24.65,12.19,1.0,24.91,79.19,,,,,,-0.01,08-Mar-2018 - 00:00,988.11,"MD University, Rohtak - HSPCB"
08-Mar-2018 - 00:00,17.59,51.96,93.8,0.69,98.59,18.48,18.78,25.02,10.55,0.97,25.69,81.34,,,,,,0.01,09-Mar-2018 - 00:00,989.38,"MD University, Rohtak - HSPCB"
09-Mar-2018 - 00:00,18.76,51.93,177.81,0.5,198.28,10.43,16.18,18.75,8.79,0.94,25.52,85.35,,,,,,0.02,10-Mar-2018 - 00:00,989.48,"MD University, Rohtak - HSPCB"
10-Mar-2018 - 00:00,18.61,51.91,185.06,0.87,209.02,11.98,15.65,19.14,17.05,1.02,25.85,69.72,,,,,,2.63,11-Mar-2018 - 00:00,988.62,"MD University, Rohtak - HSPCB"
11-Mar-2018 - 00:00,19.25,53.43,185.1,0.8,195.33,,,,13.71,0.93,24.73,101.69,,,,,,5.26,12-Mar-2018 - 00:00,987.53,"MD University, Rohtak - HSPCB"
12-Mar-2018 - 00:00,20.56,56.99,184.85,0.93,196.51,46.89,17.77,50.13,31.24,1.11,25.2,79.25,,,,,,5.23,13-Mar-2018 - 00:00,987.44,"MD University, Rohtak - HSPCB"
13-Mar-2018 - 00:00,21.09,54.58,186.5,1.14,135.36,23.77,18.47,31.3,12.43,1.11,24.47,126.64,,,,,,5.23,14-Mar-2018 - 00:00,985.51,"MD University, Rohtak - HSPCB"
14-Mar-2018 - 00:00,21.06,51.34,176.23,1.02,115.09,19.39,18.35,26.77,9.22,0.97,24.74,160.2,,,,,,5.27,15-Mar-2018 - 00:00,983.51,"MD University, Rohtak - HSPCB"
15-Mar-2018 - 00:00,19.79,51.73,140.66,0.91,167.61,18.49,17.22,25.27,8.83,0.99,24.58,148.51,,,,,,5.26,16-Mar-2018 - 00:00,984.04,"MD University, Rohtak - HSPCB"
16-Mar-2018 - 00:00,19.08,52.04,179.42,0.43,193.38,18.4,16.69,25.15,10.11,0.92,25.15,94.84,,,,,,5.29,17-Mar-2018 - 00:00,985.51,"MD University, Rohtak - HSPCB"
17-Mar-2018 - 00:00,19.02,51.66,192.43,0.77,210.16,16.96,15.93,23.62,20.27,0.89,27.06,74.45,,,,,,2.38,18-Mar-2018 - 00:00,986.76,"MD University, Rohtak - HSPCB"
18-Mar-2018 - 00:00,18.89,56.1,190.81,0.7,192.28,15.56,15.27,22.54,24.44,1.03,28.55,88.72,,,,,,-0.04,19-Mar-2018 - 00:00,988.04,"MD University, Rohtak - HSPCB"
19-Mar-2018 - 00:00,19.73,59.08,159.16,0.74,178.12,18.15,15.88,24.4,3.89,1.19,25.96,87.35,,,,,,-0.05,20-Mar-2018 - 00:00,989.35,"MD University, Rohtak - HSPCB"
20-Mar-2018 - 00:00,20.75,57.66,154.28,0.83,125.75,17.62,16.6,24.46,15.59,0.96,24.75,103.92,,,,,,-0.03,21-Mar-2018 - 00:00,986.15,"MD University, Rohtak - HSPCB"
21-Mar-2018 - 00:00,19.33,61.19,160.84,0.68,167.63,20.11,16.55,26.0,7.29,0.98,25.43,106.35,,,,,,0.01,22-Mar-2018 - 00:00,984.24,"MD University, Rohtak - HSPCB"
22-Mar-2018 - 00:00,18.31,57.71,174.49,0.51,210.88,18.68,16.16,24.85,10.36,0.99,25.34,89.08,,,,,,0.01,23-Mar-2018 - 00:00,985.42,"MD University, Rohtak - HSPCB"
23-Mar-2018 - 00:00,19.07,56.69,185.66,0.82,200.78,17.74,16.17,24.22,6.91,0.97,24.77,75.66,,,,,,-0.01,24-Mar-2018 - 00:00,986.42,"MD University, Rohtak - HSPCB"
24-Mar-2018 - 00:00,21.13,55.08,189.4,0.85,209.85,22.3,16.11,27.4,8.66,0.99,25.31,80.46,,,,,,0.01,25-Mar-2018 - 00:00,988.66,"MD University, Rohtak - HSPCB"
25-Mar-2018 - 00:00,21.48,59.52,187.01,1.12,201.1,15.98,15.58,23.04,6.95,1.0,25.1,84.84,,,,,,-0.01,26-Mar-2018 - 00:00,989.77,"MD University, Rohtak - HSPCB"
26-Mar-2018 - 00:00,22.0,56.9,188.49,0.91,188.12,17.65,16.06,24.4,8.27,0.95,25.41,92.73,,,,,,-0.02,27-Mar-2018 - 00:00,988.13,"MD University, Rohtak - HSPCB"
27-Mar-2018 - 00:00,22.26,54.54,191.33,0.78,146.27,16.97,16.4,24.11,7.54,0.95,27.55,107.0,,,,,,-0.04,28-Mar-2018 - 00:00,984.52,"MD University, Rohtak - HSPCB"
28-Mar-2018 - 00:00,23.3,52.57,191.89,0.71,170.42,18.08,16.8,24.89,14.33,0.92,27.18,147.93,,,,,,-0.0,29-Mar-2018 - 00:00,983.79,"MD University, Rohtak - HSPCB"
29-Mar-2018 - 00:00,23.92,51.88,187.2,0.99,198.16,19.58,16.38,25.42,5.82,1.07,27.04,0.0,,,,,,-0.02,30-Mar-2018 - 00:00,982.95,"MD University, Rohtak - HSPCB"
30-Mar-2018 - 00:00,22.91,51.85,206.58,1.09,179.49,17.21,16.12,24.01,6.79,0.99,26.98,,,,,,,-0.06,31-Mar-2018 - 00:00,980.81,"MD University, Rohtak - HSPCB"
31-Mar-2018 - 00:00,21.9,53.81,181.39,1.42,73.91,17.11,16.06,24.0,7.48,0.84,26.73,0.0,,,,,,0.04,01-Apr-2018 - 00:00,982.98,"MD University, Rohtak - HSPCB"
01-Apr-2018 - 00:00,22.85,59.62,192.39,1.41,68.76,16.0,15.75,23.15,5.24,0.23,26.37,,,,,,,0.04,02-Apr-2018 - 00:00,984.67,"MD University, Rohtak - HSPCB"
02-Apr-2018 - 00:00,24.12,56.89,172.83,1.56,63.81,17.95,16.77,24.6,6.51,1.02,27.39,,,,,,,0.05,03-Apr-2018 - 00:00,984.78,"MD University, Rohtak - HSPCB"
03-Apr-2018 - 00:00,25.52,53.37,165.01,1.34,62.91,17.09,16.26,23.95,6.13,0.86,26.96,,,,,,,0.03,04-Apr-2018 - 00:00,983.32,"MD University, Rohtak - HSPCB"
04-Apr-2018 - 00:00,26.19,53.07,172.22,0.68,109.14,17.97,17.28,25.03,10.3,0.94,27.01,,,,,,,0.0,05-Apr-2018 - 00:00,981.14,"MD University, Rohtak - HSPCB"
05-Apr-2018 - 00:00,25.56,55.26,170.93,0.44,155.25,20.61,16.55,26.4,13.41,1.13,26.02,0.0,,,,,,0.0,06-Apr-2018 - 00:00,980.15,"MD University, Rohtak - HSPCB"
06-Apr-2018 - 00:00,23.56,58.18,148.27,1.12,125.14,16.43,16.09,23.42,7.54,1.23,26.29,,,,,,,-0.1,07-Apr-2018 - 00:00,982.15,"MD University, Rohtak - HSPCB"
07-Apr-2018 - 00:00,22.42,59.82,219.02,1.21,88.21,17.87,16.79,24.73,8.95,1.35,26.36,,,,,,,0.03,08-Apr-2018 - 00:00,984.15,"MD University, Rohtak - HSPCB"
08-Apr-2018 - 00:00,24.08,59.38,214.08,1.71,69.88,15.93,15.59,23.01,6.44,1.16,25.27,,,,,,,0.07,09-Apr-2018 - 00:00,984.25,"MD University, Rohtak - HSPCB"
09-Apr-2018 - 00:00,20.44,58.23,175.42,1.47,86.01,16.83,16.52,24.04,24.28,1.17,25.78,,,,,,,0.0,10-Apr-2018 - 00:00,986.09,"MD University, Rohtak - HSPCB"
10-Apr-2018 - 00:00,23.35,55.35,211.19,1.01,116.01,17.93,16.18,24.53,8.66,1.33,25.84,0.0,,,,,,0.0,11-Apr-2018 - 00:00,984.05,"MD University, Rohtak - HSPCB"
11-Apr-2018 - 00:00,20.23,52.01,146.98,1.8,66.86,15.56,15.22,22.52,6.47,1.28,25.1,,,,,,,0.0,12-Apr-2018 - 00:00,984.1,"MD University, Rohtak - HSPCB"
12-Apr-2018 - 00:00,21.91,55.85,260.2,0.81,141.66,18.22,16.18,24.4,10.2,1.21,26.67,52.73,,,,,,0.0,13-Apr-2018 - 00:00,983.51,"MD University, Rohtak - HSPCB"
13-Apr-2018 - 00:00,23.07,50.48,255.42,0.66,145.44,15.91,15.65,22.96,5.65,1.28,26.26,65.14,,,,,,0.0,14-Apr-2018 - 00:00,984.46,"MD University, Rohtak - HSPCB"
14-Apr-2018 - 00:00,25.89,50.56,211.64,0.58,204.73,15.99,15.63,22.92,30.44,1.27,25.93,74.16,,,,,,0.0,15-Apr-2018 - 00:00,983.39,"MD University, Rohtak - HSPCB"
15-Apr-2018 - 00:00,26.48,50.64,225.59,0.62,174.89,15.68,15.27,22.64,11.91,1.24,25.48,89.21,,,,,,0.0,16-Apr-2018 - 00:00,982.31,"MD University, Rohtak - HSPCB"
16-Apr-2018 - 00:00,27.45,50.7,185.98,1.36,77.93,16.03,15.25,22.77,18.68,1.22,25.26,160.38,,,,,,0.0,17-Apr-2018 - 00:00,982.26,"MD University, Rohtak - HSPCB"
17-Apr-2018 - 00:00,27.44,52.95,220.81,0.8,134.44,15.98,15.36,22.93,13.14,1.26,25.8,135.7,,,,,,0.0,18-Apr-2018 - 00:00,983.81,"MD University, Rohtak - HSPCB"
18-Apr-2018 - 00:00,28.44,54.13,236.18,0.8,211.08,15.78,15.14,22.65,21.11,1.31,26.63,105.1,,,,,,0.0,19-Apr-2018 - 00:00,983.24,"MD University, Rohtak - HSPCB"
19-Apr-2018 - 00:00,28.61,50.81,213.32,0.83,199.23,14.49,14.15,20.67,20.26,1.25,26.52,131.7,,,,,,0.0,20-Apr-2018 - 00:00,979.74,"MD University, Rohtak - HSPCB"
20-Apr-2018 - 00:00,28.71,52.34,194.48,2.05,135.48,13.71,13.4,19.85,23.49,1.33,27.01,219.15,,,,,,0.0,21-Apr-2018 - 00:00,978.5,"MD University, Rohtak - HSPCB"
21-Apr-2018 - 00:00,24.78,56.81,199.54,0.66,207.47,15.01,14.68,21.71,14.49,1.22,25.89,101.46,,,,,,0.0,22-Apr-2018 - 00:00,983.6,"MD University, Rohtak - HSPCB"
22-Apr-2018 - 00:00,24.43,55.07,256.59,0.97,209.21,15.55,15.2,22.5,10.05,1.2,26.28,57.97,,,,,,0.0,23-Apr-2018 - 00:00,984.47,"MD University, Rohtak - HSPCB"
23-Apr-2018 - 00:00,26.42,54.51,245.14,1.07,201.67,15.07,14.73,21.45,19.7,1.23,25.39,63.23,,,,,,0.0,24-Apr-2018 - 00:00,983.27,"MD University, Rohtak - HSPCB"
24-Apr-2018 - 00:00,26.19,54.74,231.97,0.88,177.54,15.4,15.05,22.05,18.9,1.15,25.83,75.12,,,,,,0.0,25-Apr-2018 - 00:00,981.98,"MD University, Rohtak - HSPCB"
25-Apr-2018 - 00:00,28.09,54.25,234.92,0.88,159.06,15.24,14.89,22.06,12.29,1.21,26.41,110.04,,,,,,0.0,26-Apr-2018 - 00:00,979.05,"MD University, Rohtak - HSPCB"
26-Apr-2018 - 00:00,29.32,54.38,210.37,0.99,134.63,15.13,14.79,22.03,14.61,1.2,26.26,112.01,,,,,,0.0,27-Apr-2018 - 00:00,977.26,"MD University, Rohtak - HSPCB"
27-Apr-2018 - 00:00,28.18,57.83,184.22,1.53,66.48,15.28,14.94,21.99,11.95,1.19,26.46,139.11,,,,,,0.0,28-Apr-2018 - 00:00,980.15,"MD University, Rohtak - HSPCB"
28-Apr-2018 - 00:00,28.7,58.6,187.43,1.82,63.5,15.31,14.96,22.0,24.29,1.28,25.96,125.43,,,,,,0.0,29-Apr-2018 - 00:00,979.82,"MD University, Rohtak - HSPCB"
29-Apr-2018 - 00:00,29.31,56.66,165.44,0.91,108.03,15.55,15.2,22.5,23.62,1.2,26.22,135.11,,,,,,0.0,30-Apr-2018 - 00:00,977.26,"MD University, Rohtak - HSPCB"
30-Apr-2018 - 00:00,29.01,56.86,199.32,1.23,92.94,15.21,14.87,22.12,10.7,1.32,26.06,116.37,,,,,,0.0,01-May-2018 - 00:00,975.41,"MD University, Rohtak - HSPCB"
01-May-2018 - 00:00,27.26,59.8,198.47,2.07,69.25,15.21,14.86,22.11,8.03,1.25,26.13,69.64,,,,,,0.0,02-May-2018 - 00:00,978.55,"MD University, Rohtak - HSPCB"
02-May-2018 - 00:00,26.69,59.09,159.19,1.93,65.98,15.42,15.07,22.06,15.48,1.45,26.02,121.66,,,,,,0.0,03-May-2018 - 00:00,980.42,"MD University, Rohtak - HSPCB"
03-May-2018 - 00:00,25.32,59.33,189.01,2.26,76.53,15.21,14.87,21.94,7.75,1.16,26.34,73.24,,,,,,0.0,04-May-2018 - 00:00,980.71,"MD University, Rohtak - HSPCB"
