from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
01-May-2018 - 00:00,31.58,978.17,138.29,49.54,47.64,146.97,111.39,1.63,0.0,0.46,0.86,0.67,28.06,18.95,8.46,28.96,2.38,45.46,0.54,02-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-May-2018 - 00:00,30.43,979.9,94.38,48.96,49.22,171.33,114.03,1.92,0.0,0.32,0.85,0.66,45.88,15.92,3.17,31.27,3.63,82.49,1.18,03-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-May-2018 - 00:00,29.35,980.32,40.96,39.62,46.4,149.97,125.12,2.09,0.0,0.23,0.85,0.65,43.29,17.69,5.73,26.7,5.34,61.23,0.91,04-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-May-2018 - 00:00,30.76,980.69,102.92,40.88,49.04,174.28,92.01,1.63,0.0,0.33,1.02,0.66,39.59,20.45,3.9,32.24,4.1,79.21,1.13,05-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-May-2018 - 00:00,33.81,979.77,149.17,71.92,35.61,178.69,152.99,0.96,0.0,0.93,1.94,1.04,36.11,40.91,19.62,52.15,4.41,76.85,1.83,06-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-May-2018 - 00:00,32.79,981.0,150.79,106.12,33.21,172.09,86.76,1.86,0.0,1.11,1.83,0.98,38.61,49.76,25.49,55.71,6.04,56.96,1.61,07-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-May-2018 - 00:00,33.24,978.81,202.76,118.75,29.4,173.89,229.51,0.93,0.0,0.89,1.63,0.96,37.56,39.15,18.88,44.1,8.08,66.62,1.73,08-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-May-2018 - 00:00,30.13,979.42,175.81,38.88,36.11,179.09,231.2,1.68,0.0,0.43,0.71,0.58,18.54,15.2,3.46,28.89,2.72,88.52,0.85,09-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-May-2018 - 00:00,28.84,981.08,193.3,64.52,43.78,145.53,191.41,0.91,0.0,0.46,1.55,0.85,39.06,31.63,15.72,45.67,6.5,50.76,1.42,10-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-May-2018 - 00:00,31.6,982.0,221.55,102.92,41.2,187.53,216.7,0.96,0.0,0.53,1.82,0.99,58.65,35.5,18.81,57.72,6.72,67.22,1.55,11-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-May-2018 - 00:00,34.54,978.88,293.52,137.96,31.33,172.13,229.56,1.02,0.0,0.79,2.43,1.09,52.62,47.15,22.19,61.71,7.88,67.35,2.01,12-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-May-2018 - 00:00,35.56,978.12,451.21,155.25,35.09,129.29,136.6,1.12,0.0,0.63,1.86,0.98,73.92,45.1,14.03,52.42,8.68,64.1,1.92,13-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-May-2018 - 00:00,32.47,978.68,303.57,80.08,45.2,134.45,98.66,2.24,0.0,0.37,0.89,0.7,73.07,15.03,2.61,26.1,3.3,98.85,1.22,14-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-May-2018 - 00:00,30.22,979.99,176.83,45.96,44.29,160.14,138.45,1.14,0.0,0.21,1.01,0.73,49.29,24.41,5.01,29.02,4.35,77.85,1.05,15-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-May-2018 - 00:00,32.52,978.62,227.42,64.46,44.87,152.76,95.92,1.2,0.0,0.29,1.22,0.75,62.27,26.7,4.73,31.16,6.84,85.67,1.31,16-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-May-2018 - 00:00,34.7,977.16,263.88,62.79,31.1,162.47,245.74,1.52,0.0,0.44,1.08,0.73,30.16,22.59,6.47,35.34,3.69,79.72,1.06,17-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-May-2018 - 00:00,35.25,977.49,347.26,91.92,25.27,149.76,169.04,1.12,0.0,0.45,1.26,0.75,34.75,25.0,10.12,37.28,5.76,93.54,1.28,18-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-May-2018 - 00:00,34.6,977.61,294.33,90.08,27.98,138.53,121.24,1.22,0.0,0.47,1.66,0.8,43.68,28.12,11.06,40.17,5.24,75.25,1.31,19-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-May-2018 - 00:00,34.1,977.24,337.65,99.96,32.84,141.68,227.17,1.16,0.0,0.59,1.7,0.93,52.07,44.12,27.94,60.29,5.89,62.34,1.45,20-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-May-2018 - 00:00,35.04,978.51,268.67,75.96,22.78,157.75,179.07,1.27,0.0,0.82,1.26,0.94,27.13,29.28,9.39,31.96,3.75,80.86,1.21,21-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-May-2018 - 00:00,36.84,978.7,235.0,59.62,12.54,159.87,161.63,1.46,0.0,0.5,1.12,0.7,23.21,17.64,3.97,26.4,4.87,101.18,1.28,22-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-May-2018 - 00:00,37.0,977.68,329.92,96.33,15.23,156.87,164.76,1.08,0.0,1.06,1.22,0.64,26.03,53.0,16.73,35.54,7.45,83.49,1.77,23-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-May-2018 - 00:00,37.16,976.71,384.83,103.83,21.66,154.53,101.31,1.06,0.0,1.41,2.1,0.8,40.13,75.55,27.4,56.94,6.59,67.17,1.93,24-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-May-2018 - 00:00,36.78,975.86,316.74,99.5,16.28,146.13,197.98,1.26,0.0,0.55,1.95,0.71,41.39,32.09,12.54,38.06,10.36,85.7,1.46,25-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-May-2018 - 00:00,36.67,976.06,269.38,71.71,13.8,170.06,247.7,1.04,0.0,0.83,1.55,0.87,26.24,48.35,27.08,52.87,6.15,70.4,1.61,26-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-May-2018 - 00:00,36.82,974.99,349.78,111.0,14.62,168.07,230.41,0.86,0.0,1.26,1.4,0.8,30.88,58.13,23.8,44.33,9.79,63.74,1.99,27-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-May-2018 - 00:00,37.46,974.08,389.83,77.54,13.34,167.23,242.92,1.3,0.0,,,,27.94,33.64,22.53,51.33,7.28,57.5,1.36,28-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-May-2018 - 00:00,36.74,973.1,354.21,105.0,22.44,147.01,97.92,1.03,0.0,0.32,0.44,0.27,47.75,57.78,18.54,44.75,11.28,47.72,2.07,29-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-May-2018 - 00:00,37.17,971.6,426.57,114.58,26.68,147.78,166.05,1.37,0.0,0.74,1.32,0.7,63.55,52.78,25.19,56.22,7.04,73.38,1.92,30-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-May-2018 - 00:00,34.85,973.18,360.38,50.12,37.79,94.96,172.53,1.93,0.0,0.43,0.6,0.45,48.4,17.43,5.97,50.57,2.31,68.89,1.06,31-May-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-May-2018 - 00:00,36.48,974.98,308.96,68.17,33.7,138.69,155.03,1.22,0.0,0.55,0.82,0.59,21.87,32.69,16.9,45.02,2.53,22.49,0.7,01-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Jun-2018 - 00:00,35.0,976.05,290.13,82.58,42.88,113.12,114.0,1.84,0.0,0.45,0.78,0.51,18.56,15.23,3.19,16.39,2.32,103.65,0.58,02-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Jun-2018 - 00:00,32.32,977.2,201.92,43.83,42.12,146.5,128.74,1.74,0.0,0.52,0.59,0.48,17.6,13.52,3.48,32.44,1.58,86.65,1.07,03-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Jun-2018 - 00:00,33.77,974.92,174.08,62.5,47.4,152.42,98.39,1.47,0.0,0.49,0.59,0.54,22.47,16.31,3.14,54.13,1.2,76.21,1.07,04-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Jun-2018 - 00:00,36.05,973.72,228.67,55.29,42.82,131.01,130.53,1.79,0.0,0.49,0.51,0.46,17.09,15.46,2.95,48.89,0.88,80.01,1.21,05-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Jun-2018 - 00:00,36.23,975.95,180.29,44.5,42.59,136.96,110.74,1.6,0.0,0.49,0.51,0.48,12.06,16.66,3.02,43.63,1.27,72.99,1.34,06-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Jun-2018 - 00:00,33.45,977.92,206.0,55.25,53.79,120.23,66.76,1.81,0.0,0.75,0.62,0.48,20.08,17.58,3.37,38.84,0.5,62.15,1.37,07-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Jun-2018 - 00:00,35.7,973.69,208.08,60.5,46.93,140.42,113.84,1.07,0.0,0.49,0.9,0.53,30.54,21.6,4.01,43.29,1.87,72.75,1.25,08-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Jun-2018 - 00:00,35.93,970.19,232.38,63.75,48.39,127.44,137.5,1.86,0.0,0.54,0.57,0.47,17.35,15.82,2.91,46.91,1.13,66.86,1.2,09-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Jun-2018 - 00:00,31.81,969.93,144.91,48.33,66.22,118.09,152.72,1.76,0.03,0.63,0.51,0.86,5.23,29.86,5.87,41.57,0.41,47.75,0.85,10-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Jun-2018 - 00:00,32.26,970.25,182.54,47.83,62.0,169.28,223.77,1.06,0.0,0.71,0.94,0.86,9.73,48.73,16.81,32.43,1.05,5.77,0.07,11-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Jun-2018 - 00:00,34.75,968.8,270.04,58.25,51.44,215.64,278.17,1.46,0.0,0.65,0.69,0.6,15.84,53.8,15.0,33.72,0.89,8.2,0.36,12-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Jun-2018 - 00:00,36.37,964.43,529.53,98.71,42.52,169.6,287.72,1.87,0.0,1.8,1.82,2.85,12.39,37.9,13.97,28.17,1.74,4.97,0.03,13-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Jun-2018 - 00:00,37.59,,866.33,164.0,34.8,,,,,2.64,3.35,3.06,6.6,41.11,12.65,12.93,2.92,5.64,0.21,14-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Jun-2018 - 00:00,36.89,,847.57,126.75,32.25,,,,,2.43,3.61,4.39,5.73,28.5,16.29,14.46,2.55,5.85,0.03,15-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Jun-2018 - 00:00,36.59,,543.31,81.25,31.98,,,,,2.74,9.43,6.44,6.02,28.84,19.75,14.16,3.27,5.32,0.04,16-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Jun-2018 - 00:00,35.82,,547.92,70.38,39.35,,,,,4.13,4.08,4.3,4.69,28.28,13.6,15.34,2.96,4.6,0.08,17-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Jun-2018 - 00:00,32.36,,372.67,62.21,51.79,,,,,4.18,3.77,,2.05,27.68,13.02,18.13,3.22,3.14,0.05,18-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Jun-2018 - 00:00,32.48,,183.98,41.38,46.69,,,,,4.91,3.98,4.4,4.37,26.69,14.69,24.44,2.58,3.97,0.06,19-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Jun-2018 - 00:00,33.89,715.92,190.04,45.58,44.05,,,,,5.49,4.55,2.28,2.36,30.01,15.84,16.42,2.9,3.51,0.08,20-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Jun-2018 - 00:00,36.39,,251.46,53.58,37.32,,,,,4.77,3.82,3.3,3.55,25.46,16.32,25.77,3.27,3.39,0.08,21-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Jun-2018 - 00:00,36.65,,372.38,61.0,37.67,,,,,5.27,4.62,4.52,3.54,32.78,17.62,22.83,2.99,3.27,0.1,22-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Jun-2018 - 00:00,37.75,707.75,269.33,59.46,34.69,,,,,5.97,4.43,4.1,4.0,26.9,21.83,15.22,5.28,3.83,0.1,23-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Jun-2018 - 00:00,38.02,,305.42,71.58,34.06,,,,,6.96,5.28,6.13,6.06,36.08,21.21,29.88,3.44,3.66,0.31,24-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Jun-2018 - 00:00,37.78,702.5,220.83,46.79,31.31,,,,,4.53,4.84,6.59,3.75,31.86,16.12,16.77,3.49,3.11,0.09,25-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Jun-2018 - 00:00,37.59,,339.46,47.57,34.91,,,,,3.48,3.5,,1.79,36.33,15.98,10.88,3.22,2.86,0.07,26-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Jun-2018 - 00:00,31.17,973.03,107.37,28.38,70.09,164.69,,,,1.37,19.5,,34.64,21.72,3.88,14.68,8.51,74.36,,28-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Jun-2018 - 00:00,29.43,974.45,47.53,14.69,80.58,138.63,,,,1.04,17.49,,45.96,23.34,6.76,17.93,7.43,29.09,,29-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Jun-2018 - 00:00,30.06,974.5,82.86,29.62,77.42,127.12,105.75,0.85,,1.89,26.45,,30.47,25.75,6.69,19.18,6.73,28.49,1.83,30-Jun-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Jun-2018 - 00:00,30.34,974.62,108.57,32.65,82.55,107.28,185.45,0.96,,1.19,25.31,,,29.62,8.59,22.79,9.4,20.85,1.24,01-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Jul-2018 - 00:00,32.14,973.09,104.86,22.27,74.86,164.48,260.04,1.34,,0.83,18.97,,,20.28,5.95,15.63,9.66,24.19,0.61,02-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Jul-2018 - 00:00,32.16,970.83,126.91,21.89,68.3,143.22,243.35,1.67,,0.87,17.63,,31.44,22.46,6.68,17.42,9.51,29.67,0.67,03-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Jul-2018 - 00:00,31.64,971.46,142.16,35.88,71.6,166.49,116.98,1.2,,1.75,28.38,,25.53,32.65,6.79,22.9,9.65,49.06,1.2,04-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Jul-2018 - 00:00,32.09,971.59,150.99,37.73,66.66,146.87,149.38,1.18,,1.74,26.21,,33.95,24.61,4.14,16.46,9.16,44.29,0.81,05-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Jul-2018 - 00:00,32.51,972.76,217.22,58.61,64.74,158.71,201.69,1.14,,2.09,28.21,,31.04,32.63,8.86,24.56,11.71,48.02,1.1,06-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Jul-2018 - 00:00,33.4,972.85,228.38,48.68,58.33,173.2,270.15,1.09,,1.7,22.58,,42.13,28.43,5.93,19.99,10.48,48.14,0.99,07-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Jul-2018 - 00:00,34.51,971.97,211.9,58.7,51.88,162.49,222.9,1.02,,1.89,26.83,,48.69,26.57,3.56,16.96,13.64,75.19,1.01,08-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Jul-2018 - 00:00,36.02,970.94,226.53,62.74,46.52,158.9,174.01,0.86,,2.5,29.82,,52.53,38.49,7.33,26.41,11.45,90.14,1.16,09-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Jul-2018 - 00:00,35.18,970.92,222.4,67.29,57.36,156.59,138.19,1.28,,1.61,22.58,,48.67,30.14,2.06,17.71,9.83,70.77,1.02,10-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Jul-2018 - 00:00,34.36,971.44,158.88,42.71,66.36,143.22,114.43,1.18,,1.16,20.31,,41.95,23.17,2.66,14.5,12.95,54.49,0.78,11-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Jul-2018 - 00:00,32.75,970.99,147.42,38.92,68.44,126.37,171.39,1.34,,1.36,23.23,,34.52,28.13,4.26,18.32,12.83,43.72,0.86,12-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Jul-2018 - 00:00,32.39,970.38,164.67,39.75,68.34,128.27,202.83,1.02,,1.13,22.66,,27.72,27.54,4.9,18.64,10.67,52.69,0.89,13-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Jul-2018 - 00:00,28.88,972.12,73.17,24.92,89.75,87.97,150.37,0.99,,1.4,27.33,,24.39,32.32,8.19,23.87,16.13,24.0,1.12,14-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Jul-2018 - 00:00,29.29,972.02,88.79,35.08,92.2,96.93,115.61,1.05,,2.0,38.57,,30.29,34.05,12.41,28.21,13.06,34.57,1.06,15-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Jul-2018 - 00:00,31.25,971.26,99.84,27.3,80.47,144.14,119.84,1.11,,1.23,26.3,,24.23,25.2,4.0,16.67,14.22,28.33,0.85,16-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Jul-2018 - 00:00,30.19,972.15,113.58,39.29,91.86,89.11,120.7,1.2,,1.28,43.5,,20.85,32.23,9.78,25.14,11.03,19.0,1.21,17-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Jul-2018 - 00:00,32.6,972.24,134.32,27.53,78.4,141.5,102.67,0.93,,1.36,35.91,,37.2,31.57,9.2,24.28,14.28,26.04,1.06,18-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Jul-2018 - 00:00,32.28,972.85,133.45,31.55,81.09,144.04,86.54,1.3,,1.54,32.15,,35.68,30.17,9.03,23.38,11.95,29.57,0.96,19-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Jul-2018 - 00:00,32.3,972.64,135.39,33.04,78.72,154.01,145.08,1.12,,1.29,24.78,,35.83,26.54,7.06,19.88,12.85,32.75,0.89,20-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Jul-2018 - 00:00,30.17,972.32,127.21,34.07,88.45,86.12,182.34,0.94,,2.6,40.9,,22.67,31.35,4.48,20.33,14.39,31.29,1.07,21-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Jul-2018 - 00:00,29.33,972.42,129.66,48.98,92.8,73.98,177.75,0.77,,2.26,38.06,,22.86,41.35,13.74,33.24,12.19,33.58,1.23,22-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Jul-2018 - 00:00,28.12,973.21,50.34,20.19,97.46,89.69,112.35,0.94,,1.23,28.6,,27.56,29.51,6.56,21.05,8.94,19.23,1.06,23-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Jul-2018 - 00:00,30.73,973.03,103.05,28.29,80.66,143.46,154.72,0.98,,1.48,30.25,,45.81,40.45,13.82,32.73,11.74,21.23,1.06,24-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Jul-2018 - 00:00,32.4,973.38,171.09,35.84,76.54,156.96,135.66,0.87,,1.27,26.79,,45.34,49.47,14.59,38.22,10.86,31.37,1.06,25-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Jul-2018 - 00:00,29.07,972.77,138.98,24.36,96.18,65.94,239.78,1.19,,0.61,21.49,,31.92,29.88,16.28,29.23,16.12,19.64,0.99,26-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Jul-2018 - 00:00,26.74,972.9,56.97,19.89,98.93,44.37,278.71,0.93,,0.82,28.32,,30.03,23.75,8.87,19.86,12.93,13.55,0.8,27-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Jul-2018 - 00:00,26.55,972.02,34.76,15.88,98.93,53.78,289.09,1.03,,1.03,36.92,,22.71,18.65,4.52,13.59,11.95,16.06,0.79,28-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Jul-2018 - 00:00,27.37,972.57,63.55,23.8,97.54,92.9,260.62,1.12,,1.03,24.21,,22.39,19.06,6.71,15.62,12.29,17.57,0.86,29-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Jul-2018 - 00:00,30.31,973.06,160.85,29.6,84.18,174.29,268.08,0.86,,0.79,21.61,,30.06,20.9,10.44,19.63,10.28,21.3,0.98,30-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Jul-2018 - 00:00,30.15,972.65,164.42,28.11,84.29,146.46,271.07,1.03,,0.97,19.89,,30.88,22.55,13.57,23.06,8.23,20.29,1.05,31-Jul-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Jul-2018 - 00:00,30.29,971.87,210.26,37.1,82.21,106.09,273.27,1.07,,1.07,21.08,,29.31,22.21,9.18,19.3,11.81,25.92,0.94,01-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Aug-2018 - 00:00,30.86,972.34,268.72,38.1,76.27,167.3,265.6,1.04,,1.54,25.53,,27.28,25.12,18.73,28.65,9.59,20.11,1.21,02-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Aug-2018 - 00:00,31.24,973.37,369.67,54.11,74.02,129.27,267.24,1.19,,1.25,21.58,,28.49,21.1,17.63,25.62,10.21,16.93,1.1,03-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Aug-2018 - 00:00,30.96,973.66,372.79,51.73,68.74,109.56,263.92,1.29,,1.76,24.41,,25.47,21.77,21.36,28.96,12.43,14.9,1.24,04-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Aug-2018 - 00:00,31.5,973.33,368.21,61.78,62.31,134.15,261.29,1.13,,1.54,24.95,,25.24,23.02,16.9,26.0,10.17,16.72,1.19,05-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Aug-2018 - 00:00,29.72,973.91,327.42,54.4,76.71,82.22,221.28,1.44,,1.34,21.52,,26.02,19.2,9.79,18.17,11.08,11.54,0.95,06-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Aug-2018 - 00:00,27.9,974.67,190.86,46.58,93.23,51.97,102.51,1.08,,2.04,31.86,,39.52,29.35,16.72,29.27,11.97,27.1,1.3,07-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Aug-2018 - 00:00,28.0,974.2,144.14,39.06,94.5,93.32,147.95,0.99,,1.79,30.71,,32.42,29.13,13.42,26.44,12.4,39.09,1.09,08-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Aug-2018 - 00:00,29.73,974.57,117.39,31.39,87.59,128.2,148.37,1.06,,1.66,26.92,,29.0,23.3,10.82,21.21,10.61,27.05,1.17,09-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Aug-2018 - 00:00,31.9,977.15,166.95,36.82,74.45,167.42,115.53,1.11,,1.48,26.24,,29.31,25.27,10.83,22.28,13.44,41.87,1.08,10-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Aug-2018 - 00:00,31.93,975.83,203.33,40.89,77.5,146.24,200.74,0.84,,1.23,23.48,,27.99,38.25,15.91,33.34,12.9,24.35,1.39,11-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Aug-2018 - 00:00,31.86,972.17,132.16,23.89,77.35,162.74,264.17,1.51,,0.37,12.61,,26.32,18.61,8.49,16.81,10.97,20.55,0.78,12-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Aug-2018 - 00:00,30.7,970.62,131.31,18.99,78.14,97.37,248.64,1.19,,0.39,11.53,,22.89,18.37,8.56,16.76,11.23,15.62,0.86,13-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Aug-2018 - 00:00,30.5,972.01,154.99,28.57,78.02,127.6,196.92,0.99,,0.75,18.04,,20.71,24.16,8.88,20.07,12.09,25.24,0.94,14-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Aug-2018 - 00:00,32.0,973.05,209.67,49.55,75.78,126.39,166.42,0.9,,1.29,22.04,,31.57,34.69,10.45,26.98,8.12,25.17,1.32,15-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Aug-2018 - 00:00,31.09,974.65,149.16,34.29,77.4,138.59,189.99,1.29,,1.03,16.5,,33.87,23.67,6.22,17.66,8.65,39.57,1.16,16-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Aug-2018 - 00:00,30.53,976.1,144.27,36.69,88.76,99.13,126.7,0.83,,1.25,29.82,,30.05,34.19,18.74,33.46,11.81,27.18,1.77,17-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Aug-2018 - 00:00,31.94,973.24,129.79,35.51,81.82,57.75,95.46,1.51,,1.28,26.85,,31.04,25.04,14.73,25.33,7.13,27.75,1.42,18-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Aug-2018 - 00:00,31.62,972.83,122.55,27.71,84.26,68.06,128.34,1.19,,0.34,19.34,,32.84,28.63,8.7,22.3,13.01,26.95,1.16,19-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Aug-2018 - 00:00,29.17,973.12,121.78,49.04,93.99,39.87,186.25,0.79,,0.49,29.24,,23.06,39.78,20.53,37.91,13.73,40.16,1.72,20-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Aug-2018 - 00:00,31.13,975.05,203.57,72.66,84.35,125.5,162.93,0.79,,0.49,23.92,,37.31,36.6,20.17,35.93,13.16,51.16,1.62,21-Aug-2018 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
