from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
09-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-May-2018 - 00:00,21.3,13.3,2.4,22.4,27.6,82.7,0.8,155.0,44.0,0.5,14.3,43.8,,741.0,27.0,0.0,2.1,221.0,429.0,17-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-May-2018 - 00:00,26.92,15.1,0.97,25.29,8.08,145.82,0.64,172.5,70.0,1.16,6.75,38.26,32.5,741.0,32.33,0.0,0.3,65.0,57.5,19-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-May-2018 - 00:00,50.99,31.33,5.18,21.05,16.06,110.25,0.69,246.86,60.27,,,39.04,33.12,741.0,24.07,0.0,0.3,100.59,176.84,22-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-May-2018 - 00:00,60.46,39.93,9.56,33.44,34.91,79.89,1.17,302.57,106.87,,,36.61,32.84,741.0,27.23,0.0,0.3,126.14,129.51,23-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-May-2018 - 00:00,49.83,37.44,13.44,48.36,38.25,101.04,1.32,318.79,123.88,,,36.41,32.14,740.72,33.46,0.0,0.3,133.88,123.23,24-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-May-2018 - 00:00,61.23,56.19,29.06,56.15,26.73,63.61,1.37,292.17,108.11,3.14,10.05,34.38,31.51,740.54,42.3,0.0,0.3,117.93,93.63,25-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-May-2018 - 00:00,72.46,59.59,26.44,36.71,35.61,79.17,1.25,271.32,105.28,3.29,10.34,36.49,31.44,740.77,29.81,0.0,0.3,136.92,134.27,26-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-May-2018 - 00:00,61.44,41.74,11.13,28.22,49.5,59.92,1.13,274.03,93.24,3.36,14.76,37.62,31.69,740.35,25.76,0.0,0.3,151.75,127.78,27-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-May-2018 - 00:00,38.27,23.05,3.3,38.12,26.14,101.06,0.93,292.61,84.3,3.13,7.82,36.76,32.94,740.25,28.41,0.0,0.3,148.73,124.71,28-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-May-2018 - 00:00,41.27,25.27,4.08,45.9,33.7,93.77,1.28,295.26,101.54,2.98,8.94,35.89,31.82,740.08,33.94,0.0,0.3,135.8,115.95,29-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-May-2018 - 00:00,32.68,19.14,2.16,47.56,20.16,99.58,1.0,343.99,87.26,2.54,5.92,35.54,32.02,740.0,39.08,0.0,0.3,139.1,125.55,30-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-May-2018 - 00:00,20.7,11.46,0.55,29.94,11.23,86.44,0.67,269.66,44.03,1.03,4.64,32.7,31.62,740.35,42.64,0.0,0.3,130.96,114.92,31-May-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
31-May-2018 - 00:00,21.79,12.23,0.78,37.89,17.31,81.97,0.84,221.12,59.42,1.87,4.86,34.91,31.74,740.65,41.8,0.0,0.3,132.12,113.57,01-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Jun-2018 - 00:00,16.7,9.31,0.54,30.1,10.25,90.47,0.68,253.68,45.1,0.74,3.63,32.97,31.01,740.8,45.24,0.0,0.3,125.35,127.39,02-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Jun-2018 - 00:00,18.46,10.21,0.53,25.45,8.09,98.51,0.53,106.65,29.42,0.8,4.19,30.41,31.77,741.0,45.4,0.0,0.3,137.38,121.89,03-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Jun-2018 - 00:00,19.44,10.85,0.65,31.21,9.85,85.41,0.68,120.22,39.79,1.03,4.24,32.49,31.83,740.55,47.73,0.0,0.3,128.23,124.35,04-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Jun-2018 - 00:00,19.07,10.56,0.53,30.83,14.67,90.29,0.74,170.58,51.45,1.46,4.17,35.04,33.0,740.27,44.45,0.0,0.3,133.36,119.03,05-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Jun-2018 - 00:00,18.91,10.43,0.49,26.02,10.1,82.13,0.72,149.65,41.99,1.19,4.41,35.53,32.97,740.73,43.35,0.0,0.3,144.0,120.88,06-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Jun-2018 - 00:00,18.98,10.57,0.6,27.7,10.93,72.65,0.79,140.36,46.59,1.2,4.22,32.52,32.63,741.0,50.58,0.0,0.3,170.26,90.3,07-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Jun-2018 - 00:00,18.02,10.01,0.55,29.35,16.06,87.39,0.84,132.74,51.06,1.29,4.16,35.13,31.02,740.52,45.48,0.0,0.3,238.92,129.7,08-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Jun-2018 - 00:00,18.96,10.56,0.59,32.67,15.16,80.15,0.96,176.61,54.99,1.52,3.62,34.21,31.51,740.0,48.64,0.0,0.3,232.69,114.66,09-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Jun-2018 - 00:00,20.88,11.69,0.76,29.64,8.54,63.16,0.72,143.3,38.6,0.78,3.47,31.04,31.11,740.0,55.8,0.09,0.78,242.78,103.84,10-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Jun-2018 - 00:00,34.34,19.81,1.9,36.22,18.31,78.93,0.8,119.0,44.6,0.9,3.5,32.33,29.27,740.0,51.03,0.0,0.52,232.49,132.88,11-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Jun-2018 - 00:00,39.44,23.39,2.96,42.52,14.51,79.95,0.85,234.02,58.18,1.17,4.62,35.1,30.48,739.85,45.59,0.0,0.52,289.38,126.28,12-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Jun-2018 - 00:00,38.83,22.59,2.38,32.91,20.1,54.22,0.77,625.92,101.9,1.6,6.85,37.38,32.75,739.57,39.96,0.0,0.57,308.65,120.57,13-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Jun-2018 - 00:00,28.91,18.0,3.22,25.15,11.33,36.32,0.5,960.12,164.36,0.87,4.57,38.64,32.31,739.57,36.52,0.0,3.44,316.82,114.41,14-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Jun-2018 - 00:00,24.86,14.71,1.82,18.6,8.39,37.26,0.47,855.47,141.09,0.71,4.25,37.51,32.37,740.0,35.07,0.0,3.94,323.82,102.04,15-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Jun-2018 - 00:00,19.55,11.53,1.39,18.54,10.14,45.46,0.49,642.66,91.2,6.43,74.09,36.43,31.74,740.0,36.76,0.0,3.66,300.03,124.73,16-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Jun-2018 - 00:00,19.66,11.42,1.17,36.87,10.57,45.45,0.71,631.67,121.49,1.1,3.42,33.48,30.68,740.0,47.61,0.0,2.95,240.61,102.26,17-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Jun-2018 - 00:00,16.83,9.6,0.81,30.98,8.02,52.55,0.49,296.69,71.83,0.67,2.97,31.78,32.27,740.19,48.73,0.0,3.0,147.73,123.77,18-Jun-2018 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
