from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,AT,RH,VWS,BP,SR,Eth-Benzene,RF,WS,WD,NO,NO2,NOx,to date,station
24-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,0.0,-0.5,731.39,317.45,,0.0,0.0,208.1,0.0,0.0,16.77,25-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Apr-2018 - 00:00,0.0,0.0,0.0,1.02,,,,,0.0,0.0,-0.37,729.52,313.38,,0.0,0.0,190.3,0.41,0.34,14.62,26-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,,,,,0.0,-0.13,-0.15,728.83,326.44,,0.0,0.0,191.86,0.0,0.0,15.59,27-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Apr-2018 - 00:00,2.92,0.07,0.99,1.33,,,,,0.0,0.0,0.44,734.67,283.39,,0.0,0.0,96.69,0.29,0.34,14.94,28-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,3.26,,,,26.52,21.18,0.46,732.37,272.38,,0.0,0.0,94.83,0.0,0.0,14.48,29-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,3.7,,,,33.14,28.0,-0.02,732.08,273.4,,0.01,0.0,149.36,1.86,0.0,13.11,30-Apr-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Apr-2018 - 00:00,0.0,0.0,2.13,0.0,3.35,,,,33.26,28.68,0.05,733.11,310.7,,0.0,0.0,101.43,11.75,1.55,13.17,01-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-May-2018 - 00:00,0.09,0.22,0.0,0.0,1.79,,,,31.39,31.81,0.86,737.81,312.46,,0.0,0.0,93.67,9.51,13.03,12.23,02-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-May-2018 - 00:00,0.0,0.0,0.0,0.0,1.41,,,,30.43,30.2,0.68,735.38,296.0,,0.0,0.0,91.42,9.17,13.17,11.76,03-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-May-2018 - 00:00,0.0,0.0,0.0,0.0,1.38,,,,29.24,30.81,0.6,736.3,273.21,,0.0,0.0,97.24,9.01,19.35,15.2,04-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-May-2018 - 00:00,0.0,0.0,0.0,0.09,3.02,,,,31.1,31.42,0.39,737.22,321.24,,0.0,0.0,101.62,9.35,17.15,14.3,05-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-May-2018 - 00:00,0.0,0.0,0.0,0.0,77.14,,,,33.99,28.93,-0.12,733.48,320.67,,0.0,0.0,137.75,9.27,14.8,12.87,06-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-May-2018 - 00:00,0.0,0.0,0.0,0.0,134.13,,,,32.57,29.58,0.14,734.47,299.5,,0.0,0.0,93.63,9.03,17.13,14.02,07-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-May-2018 - 00:00,0.0,0.0,0.0,92.4,63.76,,,,33.73,28.67,-0.15,733.09,308.46,,0.0,0.0,206.43,9.45,15.88,13.48,08-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-May-2018 - 00:00,0.0,0.0,0.0,124.45,0.21,,,,30.53,31.81,0.31,737.8,330.37,,0.0,0.0,243.87,8.34,20.51,15.23,09-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-May-2018 - 00:00,0.0,0.0,2.15,95.39,0.77,,,,30.06,32.99,-0.18,739.57,257.2,,0.0,0.0,184.92,8.9,21.12,16.04,10-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-May-2018 - 00:00,0.0,0.0,0.0,105.53,1.08,,,,31.92,32.9,-0.17,739.44,342.53,,0.0,0.0,206.39,9.08,21.96,16.65,11-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-May-2018 - 00:00,0.0,0.0,0.0,157.72,2.15,,,,39.0,30.39,-0.2,735.67,316.51,,0.0,0.0,196.82,8.52,22.24,16.33,12-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-May-2018 - 00:00,0.0,0.0,2.23,188.48,1.87,,,,42.15,29.09,-0.16,733.72,249.03,,0.0,0.46,151.4,8.58,23.15,16.84,13-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-May-2018 - 00:00,0.0,0.0,0.0,150.35,0.62,,,,34.85,28.79,0.48,733.27,254.01,,0.08,1.22,89.55,8.14,23.91,16.87,14-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-May-2018 - 00:00,0.0,0.0,0.0,73.59,0.56,,,,30.01,28.17,0.1,732.34,304.75,,0.0,0.79,144.93,8.56,25.74,18.2,15-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-May-2018 - 00:00,0.0,0.0,0.0,97.14,0.9,,,,33.51,26.55,0.05,729.91,291.48,,0.0,0.75,102.31,8.4,25.99,18.22,16-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-May-2018 - 00:00,0.0,0.0,0.0,173.89,0.51,,,,37.33,28.33,0.19,732.59,315.44,,0.0,0.85,229.78,8.9,26.3,18.76,17-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-May-2018 - 00:00,0.0,0.0,0.0,181.36,0.76,,,,38.15,32.77,-0.08,739.23,282.75,,0.0,0.52,180.13,12.28,30.52,22.26,18-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-May-2018 - 00:00,0.0,0.0,0.0,115.84,1.28,,,,36.8,32.7,-0.11,739.13,277.33,,0.0,0.49,119.3,14.07,30.43,22.96,19-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-May-2018 - 00:00,0.0,0.0,0.0,147.51,1.2,,,,35.62,32.81,-0.2,739.3,251.21,,0.0,0.29,170.58,11.63,30.17,21.0,20-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-May-2018 - 00:00,0.0,0.0,0.0,106.72,0.97,,,,38.09,33.48,-0.1,740.3,273.93,,0.0,0.46,147.22,11.63,30.05,21.0,21-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-May-2018 - 00:00,0.0,0.0,0.0,112.07,0.63,,,,40.14,33.54,-0.05,740.4,312.77,,0.0,0.51,149.95,8.69,27.38,19.13,22-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-May-2018 - 00:00,0.0,0.0,0.0,128.49,1.14,,,,38.17,32.64,-0.17,739.05,305.58,,0.0,0.43,135.85,8.86,27.26,19.2,23-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-May-2018 - 00:00,0.0,0.0,25.83,169.66,2.63,,,,36.4,31.84,-0.22,737.84,264.76,,0.0,0.39,139.17,8.6,27.36,19.09,24-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-May-2018 - 00:00,0.47,0.08,0.0,131.11,1.31,,,,36.27,31.5,-0.09,737.33,260.58,,0.0,0.45,182.24,8.81,27.36,19.25,25-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-May-2018 - 00:00,0.43,0.11,0.0,138.04,1.36,,,,36.24,31.73,-0.12,737.68,330.83,,0.0,0.53,225.26,8.61,27.34,19.09,26-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-May-2018 - 00:00,0.44,0.13,0.0,131.47,1.87,,,,36.71,30.91,-0.26,736.44,329.04,,0.0,0.32,199.86,8.47,27.49,19.05,27-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-May-2018 - 00:00,0.3,0.04,0.0,184.04,0.78,,,,37.86,30.3,-0.09,735.52,330.72,,0.0,0.54,230.99,8.44,27.51,19.07,28-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-May-2018 - 00:00,0.42,0.12,47.84,149.29,2.59,,,,36.62,29.48,-0.25,734.3,255.02,,0.0,0.33,131.82,8.54,27.47,19.09,29-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-May-2018 - 00:00,0.48,0.11,46.38,153.47,1.52,,,,37.16,28.66,-0.01,733.07,281.5,,0.0,0.61,150.66,8.79,27.4,19.27,30-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-May-2018 - 00:00,0.29,0.11,45.17,133.02,0.19,,,,36.27,30.2,0.35,735.38,248.23,,0.0,0.98,140.07,8.6,27.68,19.25,31-May-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-May-2018 - 00:00,0.31,0.08,34.43,106.3,0.61,,,,37.06,31.04,0.03,736.64,287.47,,0.0,0.67,143.13,8.51,27.79,19.23,01-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Jun-2018 - 00:00,0.3,0.11,52.94,146.46,0.4,,,,35.66,31.71,0.72,737.64,287.27,,0.0,1.67,89.75,8.73,27.69,19.36,02-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Jun-2018 - 00:00,0.22,0.09,64.65,86.83,0.08,,,,33.03,32.65,0.49,739.05,282.15,,0.0,1.26,100.9,8.5,27.86,19.26,03-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Jun-2018 - 00:00,0.19,0.1,59.76,63.79,0.06,,,,35.5,30.9,0.55,736.44,283.79,,0.0,1.48,98.47,8.53,27.95,19.34,04-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Jun-2018 - 00:00,0.2,0.07,56.44,89.08,0.18,,,,38.1,30.08,0.54,735.2,268.89,,0.0,1.33,86.95,8.24,26.16,18.88,05-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Jun-2018 - 00:00,0.26,0.08,52.12,68.91,0.07,,,,38.21,31.57,0.61,737.44,267.34,,0.0,1.51,91.6,6.93,22.35,17.49,06-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Jun-2018 - 00:00,0.23,0.06,37.44,69.96,0.24,,,,35.87,33.01,0.46,739.6,228.96,,0.0,1.39,92.57,6.81,22.35,17.37,07-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Jun-2018 - 00:00,0.25,0.07,46.34,68.05,0.32,,,,37.56,30.09,0.12,735.21,310.9,,0.0,0.8,105.67,6.83,22.39,17.43,08-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Jun-2018 - 00:00,0.22,0.1,47.91,89.01,0.15,,,,37.86,27.92,0.44,731.96,267.46,,0.0,1.12,82.56,6.82,22.45,17.46,09-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Jun-2018 - 00:00,0.27,0.11,30.77,91.71,0.07,,,,33.93,28.22,0.3,732.42,277.09,,0.31,0.97,113.5,7.24,23.45,19.61,10-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Jun-2018 - 00:00,0.3,0.08,26.11,52.88,0.15,,,,34.7,28.59,-0.13,732.97,324.46,,0.0,0.48,238.41,7.77,25.38,23.51,11-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Jun-2018 - 00:00,0.22,0.07,35.92,87.75,0.28,,,,37.51,27.07,0.07,730.68,341.98,,0.0,0.76,269.53,7.69,23.94,22.96,12-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Jun-2018 - 00:00,0.32,0.08,23.46,267.23,0.14,,,,39.76,25.27,0.06,727.98,294.64,,0.0,0.75,258.85,10.02,25.53,24.22,13-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Jun-2018 - 00:00,0.26,0.04,20.81,572.93,0.0,,,,40.82,25.23,0.19,727.93,277.29,,0.0,0.88,261.19,11.62,28.12,25.49,14-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Jun-2018 - 00:00,0.35,0.05,24.51,461.11,0.02,,,,39.71,26.6,0.22,730.0,265.97,,0.0,0.89,256.68,11.49,27.65,25.14,15-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Jun-2018 - 00:00,0.29,0.29,25.63,361.69,0.03,,,,37.91,27.94,0.14,732.05,315.92,,0.0,0.8,254.82,12.82,27.04,26.1,16-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Jun-2018 - 00:00,0.25,0.13,23.22,233.04,0.02,,,,37.08,29.38,0.17,734.21,289.47,,0.0,0.86,230.52,13.37,27.0,27.54,17-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Jun-2018 - 00:00,0.2,0.77,33.04,214.16,0.01,,,,33.84,30.45,0.19,735.82,288.49,,0.0,0.82,118.59,12.54,24.31,27.54,18-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Jun-2018 - 00:00,0.37,1.14,39.51,140.59,0.11,,,,33.27,30.86,0.09,736.43,277.5,,0.0,0.75,245.64,11.07,23.45,26.94,19-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Jun-2018 - 00:00,7.26,1.03,46.59,123.36,0.08,,,,34.66,30.6,0.01,736.06,339.81,,0.0,0.61,237.56,10.62,22.31,26.56,20-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Jun-2018 - 00:00,10.08,1.32,44.18,173.89,0.34,,,,37.42,30.59,-0.06,736.03,309.98,,0.0,0.51,197.34,10.54,21.52,26.07,21-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Jun-2018 - 00:00,9.9,1.42,64.22,236.15,0.11,,,,36.67,30.54,-0.09,735.96,270.43,,0.0,0.47,179.64,9.58,21.58,24.59,22-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Jun-2018 - 00:00,11.78,1.53,59.43,151.51,0.46,,,,37.82,29.4,-0.11,734.26,348.34,,0.0,0.47,188.75,8.62,19.48,21.49,23-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Jun-2018 - 00:00,8.86,1.69,56.1,170.9,0.43,,,,37.24,29.34,-0.1,734.15,225.41,,0.0,0.53,170.46,8.45,20.11,21.67,24-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Jun-2018 - 00:00,5.86,0.68,41.6,84.66,0.23,,,,37.06,28.95,-0.02,733.57,277.96,,0.0,0.59,249.86,8.53,21.93,22.69,25-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Jun-2018 - 00:00,6.94,0.8,29.32,121.58,0.1,,,,35.9,27.78,0.13,731.82,301.77,,0.0,0.75,281.93,8.75,21.86,22.82,26-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Jun-2018 - 00:00,7.67,0.78,20.64,73.38,0.0,,,,31.65,28.86,-0.17,733.44,90.54,,0.0,0.38,248.87,8.66,21.92,22.81,27-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Jun-2018 - 00:00,6.74,0.89,43.77,46.2,0.0,,,,29.92,30.27,0.38,735.56,242.12,,0.31,1.28,153.95,8.38,19.65,21.38,28-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Jun-2018 - 00:00,4.59,1.9,25.83,59.81,0.0,,,,28.91,31.25,0.51,737.06,263.12,,0.14,1.49,105.25,8.58,20.76,22.12,29-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Jun-2018 - 00:00,5.82,1.1,21.16,40.84,0.0,,,,29.2,31.21,0.42,737.03,225.5,,0.09,1.24,116.65,8.45,21.71,22.51,30-Jun-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Jun-2018 - 00:00,5.89,0.82,20.88,37.28,0.0,,,,30.24,31.35,-0.16,737.23,257.63,,0.0,0.42,138.57,8.56,21.6,22.56,01-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Jul-2018 - 00:00,6.22,0.91,25.04,37.4,0.0,,,,31.64,30.4,-0.01,735.8,297.67,,0.0,0.63,263.29,8.49,21.39,22.38,02-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Jul-2018 - 00:00,5.89,1.12,22.75,43.96,0.0,,,,31.55,28.85,-0.0,733.48,273.19,,0.07,0.55,257.18,8.59,21.44,22.48,03-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Jul-2018 - 00:00,6.19,0.89,29.37,48.36,0.16,,,,31.32,28.91,0.04,733.58,304.25,,0.0,0.72,143.5,8.6,21.69,22.62,04-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Jul-2018 - 00:00,10.81,0.64,29.78,54.74,0.58,,,,31.74,29.09,0.0,733.83,300.37,,0.0,0.64,136.15,8.74,21.4,22.58,05-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Jul-2018 - 00:00,6.0,0.58,25.8,60.95,0.38,,,,32.18,30.09,0.04,735.31,321.39,,0.0,0.71,196.63,8.51,21.4,22.4,06-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Jul-2018 - 00:00,4.11,0.61,34.37,70.37,0.45,,,,33.04,30.12,-0.04,735.39,332.56,,0.0,0.61,252.47,8.42,21.69,22.48,07-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Jul-2018 - 00:00,2.55,0.74,42.67,68.5,0.82,,,,33.73,29.55,-0.08,734.55,333.48,,0.0,0.54,205.47,8.7,21.23,22.46,08-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Jul-2018 - 00:00,4.28,0.72,42.1,78.08,1.09,,,,35.27,28.68,-0.14,733.28,343.18,,0.0,0.48,183.7,8.44,21.09,22.19,09-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Jul-2018 - 00:00,4.67,0.84,35.11,111.54,0.5,,,,35.1,39.16,0.19,732.98,294.4,,0.0,0.86,127.59,8.41,21.3,22.26,10-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Jul-2018 - 00:00,4.37,0.82,29.72,58.23,0.24,,,,33.99,54.07,0.22,733.66,297.73,,0.0,0.91,103.47,8.51,21.42,22.42,11-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Jul-2018 - 00:00,5.13,0.75,27.46,58.99,0.18,,,,32.53,58.83,0.04,733.61,242.11,,0.0,0.61,160.64,8.61,21.15,22.35,12-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Jul-2018 - 00:00,4.76,0.45,28.52,70.15,1.61,,,,31.32,54.4,-0.11,734.26,256.28,,0.32,0.39,210.55,8.58,23.41,22.52,13-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Jul-2018 - 00:00,4.69,0.44,22.19,41.45,0.91,,,,27.87,56.53,0.15,737.29,184.36,,0.2,0.56,139.21,8.56,25.73,22.61,14-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Jul-2018 - 00:00,7.5,0.65,30.95,34.06,1.15,,,,28.38,56.19,-0.02,736.77,191.42,,0.12,0.67,130.7,8.7,25.76,22.74,15-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Jul-2018 - 00:00,5.53,0.83,25.22,32.17,0.1,,,,30.58,55.55,0.02,735.82,311.79,,0.0,0.84,97.34,8.53,25.51,22.47,16-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Jul-2018 - 00:00,7.34,0.68,21.44,54.58,1.21,,,,30.32,56.07,-0.28,736.59,187.8,,0.0,0.68,121.52,8.55,25.93,22.7,17-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Jul-2018 - 00:00,6.6,0.8,25.14,57.38,0.62,,,,32.14,55.96,-0.49,736.44,251.87,,0.0,0.82,116.33,8.78,26.09,22.85,18-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Jul-2018 - 00:00,6.45,0.68,29.12,61.15,0.77,,,,32.62,56.34,-0.38,737.01,293.27,,0.0,0.68,86.34,8.88,25.58,22.92,19-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Jul-2018 - 00:00,5.64,0.63,25.33,53.23,0.47,,,,31.66,56.32,-0.52,737.0,262.1,,0.0,0.54,153.55,8.53,25.51,22.47,20-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Jul-2018 - 00:00,5.82,0.79,26.73,64.75,0.5,,,,29.58,56.34,-0.33,737.13,163.87,,0.07,0.39,188.25,8.53,25.85,22.65,21-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Jul-2018 - 00:00,5.83,0.89,27.32,59.33,1.15,,,,29.32,56.49,-0.03,737.36,177.33,,0.03,0.47,163.97,8.65,25.96,22.81,22-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Jul-2018 - 00:00,5.49,0.53,17.98,35.46,0.2,,,,28.06,56.97,0.02,738.06,223.01,,0.26,0.38,172.14,8.55,26.0,22.75,23-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Jul-2018 - 00:00,6.02,0.61,17.71,47.02,0.61,,,,30.42,56.49,-0.15,737.32,284.34,,0.0,0.71,138.1,8.76,25.61,22.71,24-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Jul-2018 - 00:00,6.1,1.09,39.87,71.61,0.25,,,,31.99,56.65,-0.45,737.48,321.22,,0.0,0.5,123.01,8.45,25.73,22.52,25-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Jul-2018 - 00:00,6.04,0.54,15.14,53.84,0.17,,,,28.67,57.06,-0.09,738.09,104.59,,0.08,0.28,242.09,8.47,25.97,22.65,26-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Jul-2018 - 00:00,5.14,0.62,15.31,46.38,0.21,,,,26.78,57.41,0.17,738.61,94.97,,0.27,0.56,216.57,8.77,26.04,22.94,27-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Jul-2018 - 00:00,5.44,0.52,16.37,24.64,0.2,,,,26.57,56.8,0.23,737.7,117.88,,0.27,0.55,265.99,8.78,25.39,22.52,28-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Jul-2018 - 00:00,5.57,0.5,19.71,31.93,0.15,,,,27.96,56.91,0.29,737.86,238.54,,0.01,0.72,247.18,8.87,24.98,22.51,29-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Jul-2018 - 00:00,5.19,0.51,20.74,54.77,0.11,,,,30.02,56.91,0.16,737.86,315.65,,0.0,0.39,241.22,8.57,24.83,22.12,30-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Jul-2018 - 00:00,5.3,0.59,20.77,63.45,0.06,,,,30.66,56.61,-0.68,737.41,304.59,,0.0,0.59,265.93,8.5,24.85,22.1,31-Jul-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Jul-2018 - 00:00,6.04,0.63,19.73,68.46,0.07,,,,30.38,56.15,-0.71,736.79,179.47,,0.12,0.48,250.07,8.69,25.06,22.37,01-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Aug-2018 - 00:00,5.21,0.88,17.37,77.83,0.16,,,,30.69,56.43,-0.38,737.21,312.91,,0.0,0.47,236.48,8.72,25.94,21.95,02-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Aug-2018 - 00:00,6.03,0.55,17.4,126.77,0.23,,,,32.17,57.2,-0.66,738.33,276.35,,0.0,0.52,251.55,8.71,25.34,22.54,03-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Aug-2018 - 00:00,6.98,0.67,15.93,119.36,0.23,,,,32.36,57.56,-0.7,738.94,256.95,,0.0,0.54,256.97,9.66,25.94,23.4,04-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Aug-2018 - 00:00,6.24,0.54,16.94,173.74,0.16,,,,30.67,57.41,-0.93,738.6,237.98,,0.0,0.35,222.27,8.71,25.02,22.36,05-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Aug-2018 - 00:00,5.53,0.54,16.2,152.37,0.04,,,,29.32,57.77,-0.96,739.15,136.57,,0.0,0.4,221.66,8.67,24.97,22.3,06-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Aug-2018 - 00:00,5.91,0.5,25.47,67.8,0.62,,,,27.73,58.14,-0.63,739.72,97.99,,0.0,0.41,121.96,8.79,24.98,22.41,07-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Aug-2018 - 00:00,6.28,1.12,21.07,62.69,0.5,,,,27.73,57.99,-0.27,739.48,194.31,,0.05,0.6,117.3,8.59,24.76,22.12,08-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Aug-2018 - 00:00,5.7,0.64,18.13,46.55,0.31,,,,29.17,58.03,0.29,739.53,244.13,,0.0,0.55,123.58,8.57,24.97,22.22,09-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Aug-2018 - 00:00,6.12,0.49,22.0,44.16,0.25,,,,31.08,59.37,0.35,741.54,309.13,,0.0,0.77,95.83,,,,10-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Aug-2018 - 00:00,6.6,0.57,16.83,58.94,0.5,,,,30.79,58.8,0.15,740.7,202.16,,0.0,0.21,175.26,,,,11-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Aug-2018 - 00:00,5.95,0.52,18.68,57.42,0.0,,,,30.99,56.43,0.15,737.14,302.8,,0.04,0.56,242.28,,,,12-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Aug-2018 - 00:00,5.49,0.48,15.14,66.7,0.0,,,,29.47,55.52,-0.16,735.77,158.59,,0.05,0.3,238.53,,,,13-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Aug-2018 - 00:00,5.46,0.38,18.45,69.38,0.0,,,,29.57,56.28,0.29,736.91,228.61,,0.29,0.39,189.74,,,,14-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Aug-2018 - 00:00,7.63,0.63,15.55,76.31,0.0,,,,30.67,56.87,-2.16,737.81,250.68,,0.08,0.2,166.61,24.09,34.33,37.2,15-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Aug-2018 - 00:00,3.57,0.38,17.56,72.92,,,,,30.67,57.98,0.29,739.46,279.81,,0.0,0.41,206.05,17.09,16.26,22.14,16-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Aug-2018 - 00:00,5.91,0.54,16.2,50.51,,,,,31.38,59.04,0.0,741.06,229.68,,0.0,0.34,117.56,23.65,19.22,28.97,17-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
