from date,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
25-Jul-2018 - 00:00,,2.76,5.98,17.72,14.29,6.88,1.94,192.38,28.95,32.46,719.24,50.61,0.0,-0.17,0.99,8.6,2.1,38.38,28.53,26-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Jul-2018 - 00:00,,4.3,18.61,16.23,22.41,8.28,2.07,232.83,29.88,32.61,719.25,32.43,0.56,-0.23,0.92,6.91,1.72,612.35,27.13,27-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Jul-2018 - 00:00,,4.36,14.72,32.01,28.9,6.35,1.72,251.97,29.81,32.48,717.56,70.51,0.01,-0.18,2.04,12.01,2.38,271.68,27.38,28-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Jul-2018 - 00:00,,3.55,14.11,21.24,22.72,5.92,3.17,248.24,28.43,32.88,718.42,107.92,0.0,-0.33,1.29,7.11,1.72,125.41,27.41,29-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Jul-2018 - 00:00,,2.61,11.17,20.12,19.78,8.25,2.12,250.24,27.7,32.62,719.2,173.91,0.0,-0.23,0.96,5.47,1.77,63.67,29.71,30-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Jul-2018 - 00:00,,5.94,8.95,20.58,18.22,9.59,2.21,243.42,28.93,32.62,718.9,153.06,0.0,-0.23,0.9,4.9,1.46,66.04,29.93,31-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Jul-2018 - 00:00,,2.82,6.67,22.22,17.24,9.49,2.29,217.16,28.76,32.62,718.15,77.04,0.0,-0.23,0.9,6.41,2.06,81.25,29.51,01-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Aug-2018 - 00:00,,2.98,8.75,23.21,19.45,10.04,2.35,229.91,28.87,32.68,718.71,182.51,0.0,-0.26,0.97,6.84,1.89,90.54,30.19,02-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Aug-2018 - 00:00,,2.44,7.14,22.07,17.54,11.9,3.16,234.02,28.76,32.89,719.99,170.15,0.0,-0.33,0.77,5.85,1.45,124.75,30.99,03-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Aug-2018 - 00:00,,4.42,8.23,24.76,19.86,11.06,3.18,234.08,29.25,32.88,720.61,135.74,0.0,-0.33,0.8,5.14,1.46,117.79,30.7,04-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Aug-2018 - 00:00,,4.96,6.6,23.61,17.92,16.87,2.47,214.07,28.67,32.65,720.27,124.92,0.0,-0.24,0.91,7.56,1.79,120.25,30.57,05-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Aug-2018 - 00:00,,2.26,5.56,20.15,15.24,7.76,2.53,177.15,27.68,32.53,720.53,54.82,0.0,-0.2,0.96,5.48,1.3,105.08,28.61,06-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Aug-2018 - 00:00,,3.68,7.25,23.96,18.64,6.12,1.64,146.91,28.19,32.32,720.68,57.22,0.0,-0.12,1.37,7.25,1.56,83.67,27.73,07-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Aug-2018 - 00:00,,3.65,8.7,23.04,19.32,8.68,1.71,150.56,29.01,32.34,720.56,116.29,0.0,-0.13,1.35,9.06,2.1,66.25,28.18,08-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Aug-2018 - 00:00,,3.14,12.96,23.24,22.9,36.17,2.4,109.67,29.17,32.35,721.13,162.08,0.0,-0.13,1.43,7.61,2.56,124.58,29.66,09-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Aug-2018 - 00:00,,2.96,4.24,20.09,14.13,9.89,2.43,99.47,27.62,32.36,723.65,169.09,0.0,-0.13,1.08,5.77,1.51,43.08,30.73,10-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Aug-2018 - 00:00,,3.0,12.52,34.16,28.33,8.89,1.41,175.48,28.88,32.36,722.52,92.32,0.1,-0.13,1.86,9.32,3.09,142.92,30.55,11-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Aug-2018 - 00:00,,2.79,6.11,32.06,21.8,8.67,3.27,219.87,29.72,32.91,719.14,168.33,0.0,-0.34,0.88,7.02,1.66,134.84,30.57,12-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Aug-2018 - 00:00,,1.76,4.78,26.58,18.03,9.94,1.91,203.94,28.09,32.51,717.27,66.08,0.0,-0.19,0.69,5.15,0.71,30.88,29.85,13-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Aug-2018 - 00:00,,1.85,3.99,28.27,18.28,14.16,2.12,172.04,28.69,32.46,718.45,126.05,0.0,-0.17,0.91,5.67,0.74,39.96,30.05,14-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Aug-2018 - 00:00,,2.91,3.22,30.54,18.87,18.14,1.81,186.98,28.45,32.39,719.12,175.04,0.0,-0.15,1.17,8.4,1.95,62.05,31.21,15-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Aug-2018 - 00:00,,3.34,3.36,25.09,16.07,12.78,2.38,177.45,27.7,32.47,721.2,134.54,0.0,-0.17,0.81,6.26,1.74,47.88,29.74,16-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Aug-2018 - 00:00,,5.34,11.97,46.4,34.41,11.58,1.52,150.82,31.18,32.35,722.53,141.67,0.04,-0.13,0.71,3.0,0.53,38.6,29.85,17-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Aug-2018 - 00:00,,10.14,184.33,182.8,166.31,7.03,2.44,102.83,43.96,32.32,720.75,165.58,0.0,-0.12,0.71,2.89,0.49,285.58,31.59,18-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Aug-2018 - 00:00,,2.6,21.37,41.36,39.37,9.57,1.49,117.3,28.09,32.32,719.93,140.71,0.0,-0.12,0.66,3.0,0.84,39.61,30.42,19-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Aug-2018 - 00:00,,2.71,10.11,33.57,25.97,8.57,1.55,159.8,27.97,32.37,719.95,73.1,0.34,-0.14,0.63,2.75,0.76,219.11,28.42,20-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Aug-2018 - 00:00,,2.25,8.07,32.24,23.71,12.82,1.73,138.86,28.89,32.34,721.49,128.4,0.0,-0.13,1.14,6.35,1.75,73.62,29.92,21-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Aug-2018 - 00:00,,3.31,4.74,25.59,17.46,10.42,2.17,104.82,29.56,32.37,721.38,185.04,0.0,-0.14,0.9,3.52,1.02,37.5,30.46,22-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Aug-2018 - 00:00,,2.17,3.61,21.62,14.43,10.89,2.12,127.1,29.1,32.39,720.75,137.53,0.0,-0.14,1.14,4.45,1.12,42.75,30.59,23-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Aug-2018 - 00:00,,2.15,6.21,27.6,19.73,7.66,2.44,213.14,29.14,32.68,721.53,110.7,0.02,-0.25,0.74,4.51,1.02,364.0,28.77,24-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Aug-2018 - 00:00,,4.76,4.5,24.74,16.53,6.37,2.17,210.07,29.43,32.63,720.89,105.84,0.0,-0.23,0.71,8.46,1.32,,29.48,25-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Aug-2018 - 00:00,,2.58,4.29,23.66,16.07,18.79,3.07,233.3,29.6,32.85,720.17,121.24,0.0,-0.32,0.58,4.88,0.8,48.5,29.44,26-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Aug-2018 - 00:00,,2.74,3.47,22.72,14.9,7.83,3.05,213.06,28.43,32.79,719.68,181.36,0.0,-0.29,0.64,4.08,0.79,38.01,29.82,27-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Aug-2018 - 00:00,,2.54,6.36,32.77,21.67,9.2,1.72,148.83,29.4,32.32,722.01,112.97,0.01,-0.12,1.11,6.99,1.73,318.07,28.9,28-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Aug-2018 - 00:00,0.01,2.77,4.33,23.58,16.06,12.43,2.21,125.81,29.72,32.38,722.5,126.01,0.04,-0.14,1.16,6.68,1.57,32.83,28.5,29-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Aug-2018 - 00:00,,3.18,4.12,23.01,15.59,11.17,2.07,135.62,29.35,32.41,723.62,85.16,0.08,-0.15,0.95,5.07,1.34,109.42,27.98,30-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Aug-2018 - 00:00,,2.31,4.39,27.37,18.12,16.59,1.87,229.68,29.27,32.49,722.52,164.7,0.0,-0.18,1.2,8.88,0.72,43.34,29.76,31-Aug-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Aug-2018 - 00:00,,2.82,3.32,27.21,17.17,12.03,2.36,217.51,29.21,32.56,722.76,144.81,0.0,-0.21,0.0,0.0,7.67,73.25,30.37,01-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Sep-2018 - 00:00,,2.8,6.16,36.54,24.44,11.72,1.77,195.84,29.26,32.43,735.01,41.22,0.09,-0.16,0.0,0.0,33.76,54.38,27.73,02-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Sep-2018 - 00:00,,2.91,3.95,28.85,18.55,11.62,2.13,237.22,27.54,32.6,722.58,84.15,0.03,-0.22,,,113.76,40.5,27.07,03-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Sep-2018 - 00:00,,3.03,3.97,31.78,20.12,33.5,1.15,178.58,27.49,32.34,723.02,62.4,0.03,-0.13,,,,36.5,27.18,04-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Sep-2018 - 00:00,,3.79,5.8,48.38,29.65,18.08,1.3,214.47,28.43,32.43,724.04,65.88,0.14,-0.16,1.99,10.79,24.04,137.64,26.91,05-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Sep-2018 - 00:00,,3.35,4.77,37.79,23.97,13.29,2.07,250.54,28.39,32.57,723.3,118.0,0.0,-0.21,1.29,7.35,9.38,56.0,27.6,06-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Sep-2018 - 00:00,,2.21,3.65,33.22,20.64,16.24,2.37,248.33,28.56,32.64,722.71,155.17,0.03,-0.24,1.1,7.51,2.37,553.25,28.35,07-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Sep-2018 - 00:00,,3.7,7.49,44.62,29.25,21.84,1.33,193.6,28.48,32.34,724.62,113.12,0.04,-0.13,1.59,10.63,3.44,,26.31,08-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Sep-2018 - 00:00,,3.2,3.47,29.64,18.59,9.63,2.74,117.58,28.97,32.38,724.75,86.78,0.03,-0.14,0.75,5.2,1.6,39.75,26.48,09-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Sep-2018 - 00:00,,2.38,3.03,22.55,14.44,9.03,2.86,120.69,27.32,32.29,726.37,141.49,0.0,-0.11,0.54,2.8,0.58,111.08,27.37,10-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Sep-2018 - 00:00,,1.99,3.12,27.95,17.28,10.64,1.61,162.14,28.51,32.35,728.12,95.5,0.0,-0.13,0.7,5.29,1.11,130.96,27.96,11-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Sep-2018 - 00:00,,1.58,2.92,24.25,21.47,11.93,2.31,226.97,28.16,32.6,727.32,147.68,0.0,-0.22,0.57,5.37,0.87,42.92,28.9,12-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Sep-2018 - 00:00,,2.7,3.32,30.74,18.55,7.42,2.96,234.46,27.7,32.77,724.56,109.75,0.0,-0.29,0.45,4.62,1.22,148.2,29.11,13-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Sep-2018 - 00:00,,3.39,2.68,23.65,14.75,9.81,3.2,234.37,27.64,32.83,724.37,163.43,0.0,-0.31,0.38,4.02,0.83,54.08,29.53,14-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Sep-2018 - 00:00,,3.21,3.22,30.43,18.8,11.05,2.54,243.21,28.14,32.69,726.72,161.26,0.0,-0.26,0.52,3.76,1.07,55.58,29.35,15-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Sep-2018 - 00:00,,3.04,3.56,39.24,23.77,12.85,2.84,256.7,28.2,32.73,728.45,172.38,0.0,-0.27,0.73,4.4,1.49,57.46,29.69,16-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Sep-2018 - 00:00,,3.37,3.47,40.93,24.59,13.34,3.39,259.07,27.11,32.83,727.03,166.69,0.0,-0.31,1.19,5.9,1.91,57.79,29.72,17-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Sep-2018 - 00:00,,3.75,3.32,38.75,23.31,24.58,2.84,233.36,28.03,32.68,725.95,152.3,0.0,-0.25,0.84,3.99,1.27,75.67,29.71,18-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Sep-2018 - 00:00,,4.22,3.62,43.65,26.15,20.78,2.43,255.23,27.92,32.62,726.08,150.9,0.0,-0.23,1.09,5.91,1.65,76.29,29.62,19-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Sep-2018 - 00:00,,3.52,4.03,54.16,32.07,24.16,2.24,255.03,27.97,32.57,725.91,163.62,0.0,-0.21,2.01,10.82,2.82,83.88,29.98,20-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Sep-2018 - 00:00,,4.38,5.33,61.53,37.05,32.73,1.6,158.72,28.06,32.3,726.27,141.87,0.0,-0.11,0.51,2.78,0.71,100.07,30.13,21-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Sep-2018 - 00:00,,2.63,2.95,32.94,19.92,20.84,3.46,104.2,27.8,42.46,728.84,124.1,0.0,-0.12,0.29,1.84,0.5,47.53,27.98,22-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Sep-2018 - 00:00,,4.17,3.57,29.18,18.28,13.12,3.37,106.4,27.99,57.35,728.81,53.26,0.12,-0.13,0.09,0.85,0.21,109.05,25.53,23-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Sep-2018 - 00:00,,3.06,3.07,24.73,15.61,17.33,3.82,106.63,26.97,57.39,728.6,85.81,0.05,-0.15,0.12,0.86,0.2,34.0,26.52,24-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Sep-2018 - 00:00,,3.8,4.01,36.04,21.8,10.64,0.27,171.39,28.57,57.36,726.83,36.72,0.01,-0.13,,,,117.72,25.35,25-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Sep-2018 - 00:00,,4.22,3.76,37.66,23.03,15.57,0.27,259.3,28.2,57.68,728.08,109.34,0.0,-0.25,,,,38.38,24.72,26-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Sep-2018 - 00:00,,3.55,5.71,51.42,31.21,23.93,1.15,253.51,28.0,57.48,727.96,165.97,0.0,-0.18,,,,150.57,27.24,27-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Sep-2018 - 00:00,,5.74,26.13,130.14,95.53,29.51,1.3,243.57,32.27,57.42,728.87,155.51,0.0,-0.16,,,,78.92,28.58,28-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Sep-2018 - 00:00,,6.73,17.08,84.32,58.72,22.7,1.35,236.69,27.9,57.42,729.51,161.83,0.0,-0.16,,,,775.04,29.57,29-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Sep-2018 - 00:00,,6.73,29.89,84.77,69.36,33.07,1.9,235.8,28.12,57.49,730.19,157.38,0.0,-0.18,0.0,0.0,0.0,89.75,29.21,30-Sep-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Sep-2018 - 00:00,,3.72,3.78,51.98,30.7,28.58,2.43,255.09,26.98,57.63,729.63,157.63,0.0,-0.24,0.0,0.0,0.0,74.75,28.48,01-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Oct-2018 - 00:00,,3.8,4.5,66.98,39.28,43.78,1.88,253.05,28.09,57.45,729.35,157.14,0.0,-0.17,,,,73.12,28.93,02-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Oct-2018 - 00:00,,3.99,6.16,72.66,43.65,57.02,1.9,249.25,26.71,57.48,730.02,152.9,0.0,-0.18,,,,84.79,29.31,03-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Oct-2018 - 00:00,,3.63,3.76,65.71,37.99,35.46,1.52,239.57,28.22,57.4,729.51,160.4,0.0,-0.15,0.08,0.54,0.25,68.2,29.71,04-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Oct-2018 - 00:00,,4.11,3.74,66.09,38.14,36.99,1.61,217.76,27.62,57.38,730.89,140.19,0.0,-0.14,0.05,0.32,0.14,106.85,29.32,05-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Oct-2018 - 00:00,,7.71,4.84,98.19,56.09,45.15,1.26,219.73,27.75,57.32,731.84,117.78,0.0,-0.12,,,,130.96,29.18,06-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Oct-2018 - 00:00,,7.57,12.03,93.43,59.46,32.57,1.84,255.83,28.94,57.49,731.74,148.44,0.0,-0.18,,,,102.48,28.47,07-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Oct-2018 - 00:00,,3.49,6.94,81.68,55.81,41.97,1.46,255.21,29.54,57.38,731.1,147.82,0.0,-0.14,,,,104.27,28.48,08-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Oct-2018 - 00:00,,6.92,6.74,74.02,47.7,47.39,1.23,177.68,28.92,57.32,729.62,133.31,0.0,-0.12,,,,156.02,28.87,09-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Oct-2018 - 00:00,,5.4,3.11,40.88,24.28,46.4,1.56,125.29,28.7,57.28,728.56,144.63,0.0,-0.11,,,,139.53,28.68,10-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Oct-2018 - 00:00,,4.85,3.5,37.82,22.95,43.65,2.31,112.67,27.95,57.28,729.16,134.88,0.0,-0.1,,,,105.14,28.19,11-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Oct-2018 - 00:00,,6.17,2.64,30.75,18.47,45.8,2.29,131.57,28.74,57.26,731.0,103.48,0.0,-0.1,,,,88.34,26.04,12-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Oct-2018 - 00:00,,11.32,4.31,56.09,32.46,33.55,1.32,183.58,27.99,57.3,732.97,141.92,0.0,-0.11,,,,180.53,26.31,13-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Oct-2018 - 00:00,,10.45,5.23,77.77,45.39,40.07,1.66,253.02,28.02,57.42,733.3,137.05,0.0,-0.16,,,,201.02,25.82,14-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Oct-2018 - 00:00,,7.58,4.05,63.97,37.1,37.93,2.18,261.34,27.05,57.56,732.4,154.3,0.0,-0.21,,,,262.26,26.3,15-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Oct-2018 - 00:00,,9.16,5.91,82.26,48.03,47.66,1.52,185.48,27.05,57.35,732.9,150.84,0.0,-0.13,,,,373.05,27.59,16-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Oct-2018 - 00:00,,10.32,3.8,78.77,44.98,37.46,1.18,173.8,27.81,57.34,732.39,112.97,0.0,-0.13,,,,138.92,27.59,17-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Oct-2018 - 00:00,,9.23,19.82,85.31,61.5,42.61,1.1,187.48,28.36,57.32,730.95,130.96,0.0,-0.12,,,,152.88,27.94,18-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Oct-2018 - 00:00,,5.99,14.42,88.52,58.81,30.27,1.48,145.51,27.88,57.29,730.36,122.83,0.0,-0.11,,,,146.79,27.38,19-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Oct-2018 - 00:00,,8.35,3.54,85.3,48.25,47.68,1.37,235.35,26.85,57.32,731.93,104.54,0.0,-0.12,,,,136.57,27.1,20-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Oct-2018 - 00:00,,13.12,6.74,92.58,53.58,47.63,1.17,193.32,28.1,57.28,734.46,123.17,0.0,-0.1,,,,258.48,27.56,21-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Oct-2018 - 00:00,,12.03,4.2,106.14,59.51,35.9,1.62,243.99,26.82,57.37,735.07,121.23,0.0,-0.14,,,,220.32,26.14,22-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Oct-2018 - 00:00,,8.4,3.43,77.7,42.51,38.12,2.23,260.16,28.53,57.56,734.0,142.39,0.0,-0.21,,,,202.67,25.75,23-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Oct-2018 - 00:00,,14.01,9.26,112.23,65.6,38.74,1.0,224.94,28.08,57.36,733.69,133.01,0.0,-0.13,,,,322.19,26.31,24-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Oct-2018 - 00:00,,16.24,9.79,112.32,65.58,48.34,1.35,141.5,27.95,57.3,733.63,130.68,0.0,-0.11,,,,287.24,26.95,25-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Oct-2018 - 00:00,,18.11,17.59,99.1,67.69,36.3,1.28,133.68,28.17,57.27,735.07,123.63,0.0,-0.1,,,,413.24,26.03,26-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Oct-2018 - 00:00,,14.14,11.84,118.3,70.92,38.85,0.83,199.19,28.29,57.3,737.05,83.39,0.0,-0.11,,,,280.62,25.25,27-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Oct-2018 - 00:00,,11.46,8.53,127.05,74.47,23.78,0.92,226.39,27.66,57.31,737.26,92.61,0.0,-0.11,,,,,24.94,28-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Oct-2018 - 00:00,,7.4,4.34,104.58,59.16,38.87,1.38,251.7,26.76,57.4,736.81,116.86,0.0,-0.15,,,,928.25,25.1,29-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Oct-2018 - 00:00,,6.4,5.91,104.83,60.57,36.17,1.01,251.81,27.92,57.36,736.02,105.76,0.0,-0.13,,,,209.92,25.13,30-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Oct-2018 - 00:00,,12.18,7.54,120.93,70.45,42.29,0.71,192.97,28.26,57.3,735.87,94.95,0.0,-0.11,,,,304.13,25.35,31-Oct-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Oct-2018 - 00:00,,8.43,5.03,101.11,57.87,45.5,0.66,176.31,28.09,57.29,736.45,95.63,0.0,-0.11,,,,256.71,24.95,01-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Nov-2018 - 00:00,,6.28,6.95,128.38,73.95,56.14,0.8,157.14,28.0,57.3,735.23,93.62,0.0,-0.11,,,,261.54,24.72,02-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Nov-2018 - 00:00,,9.15,2.49,67.01,37.67,48.98,1.27,118.86,28.06,57.31,733.63,92.6,0.0,-0.12,,,,247.54,25.02,03-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Nov-2018 - 00:00,,2.37,2.32,46.09,26.41,51.08,2.39,121.41,27.46,57.33,732.37,99.91,0.0,-0.12,,,,180.83,24.69,04-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Nov-2018 - 00:00,,2.34,2.39,42.93,24.78,51.27,2.25,175.14,26.87,57.37,734.0,106.19,0.0,-0.14,,,,107.17,23.58,05-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Nov-2018 - 00:00,,2.98,2.42,54.42,30.91,32.13,2.21,260.1,28.04,57.55,734.56,90.04,0.0,-0.21,,,,417.12,21.46,06-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Nov-2018 - 00:00,,3.97,2.29,41.24,23.8,43.11,2.47,262.91,28.0,57.72,734.99,124.6,0.0,-0.27,,,,174.38,22.1,07-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Nov-2018 - 00:00,,17.14,3.86,54.33,32.04,67.86,1.02,255.1,28.96,54.67,735.61,119.51,0.0,-0.17,,,,324.04,21.76,08-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Nov-2018 - 00:00,,20.32,14.59,88.38,57.43,26.33,0.43,195.96,28.09,41.29,735.74,84.28,0.0,-0.11,,,,860.43,21.63,09-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Nov-2018 - 00:00,,10.16,5.81,87.66,49.88,25.68,0.57,218.06,28.46,41.3,733.44,112.12,0.0,-0.11,,,,510.09,23.29,10-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Nov-2018 - 00:00,,8.03,2.74,123.38,67.85,29.59,0.56,190.78,28.04,41.3,734.74,76.34,0.0,-0.11,,,,357.88,21.85,11-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Nov-2018 - 00:00,,7.42,8.18,127.22,74.32,35.77,0.47,194.7,27.34,41.31,735.16,88.85,0.0,-0.12,,,,589.13,22.76,12-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Nov-2018 - 00:00,,6.87,16.0,123.5,78.7,39.14,0.86,148.09,28.42,41.29,733.15,88.12,0.0,-0.11,,,,538.53,23.09,13-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Nov-2018 - 00:00,,6.97,1.88,87.28,47.95,32.32,1.49,135.75,27.06,41.29,730.83,78.77,0.0,-0.11,,,,278.42,23.37,14-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Nov-2018 - 00:00,,3.95,1.43,62.97,34.66,25.6,1.6,154.36,27.31,41.35,731.84,88.47,0.02,-0.13,,,,155.29,22.74,15-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Nov-2018 - 00:00,,2.53,1.4,52.56,29.1,25.54,1.7,207.27,28.19,41.42,735.07,92.65,0.0,-0.16,,,,116.83,22.13,16-Nov-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
