from date,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
11-Feb-2018 - 00:00,0.0,28.74,115.08,68.27,129.87,29.98,0.92,159.2,27.49,50.31,736.34,105.83,0.0,-0.1,10.69,34.43,16.72,158.21,19.14,12-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Feb-2018 - 00:00,0.0,3.66,32.2,45.67,50.45,26.59,1.81,127.51,28.28,61.42,738.87,75.34,0.0,-0.09,4.08,8.99,3.29,248.84,16.76,13-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Feb-2018 - 00:00,0.0,12.48,60.22,62.38,82.14,27.34,0.77,209.35,28.9,59.1,743.01,111.88,0.0,-0.19,6.66,23.59,8.19,274.75,18.26,14-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Feb-2018 - 00:00,0.0,4.82,59.76,53.35,76.96,31.54,2.65,269.1,27.23,59.04,742.68,132.47,0.0,-0.38,4.07,12.28,3.54,72.44,17.7,15-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Feb-2018 - 00:00,0.0,10.85,33.53,55.03,56.86,36.8,2.28,266.53,29.08,59.49,740.59,129.81,0.0,-0.36,4.54,10.16,3.4,98.04,18.63,16-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Feb-2018 - 00:00,0.0,11.98,50.95,61.59,74.82,35.14,1.21,267.76,28.72,57.51,739.07,120.39,0.0,-0.28,5.55,13.78,3.82,109.83,19.68,17-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Feb-2018 - 00:00,0.0,11.4,45.03,62.94,70.09,36.08,1.37,257.71,28.41,56.24,733.74,124.55,0.0,-0.26,5.55,14.47,1.91,102.38,20.49,18-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Feb-2018 - 00:00,0.0,9.51,53.2,61.68,76.06,43.86,1.01,262.8,27.56,54.51,732.89,136.54,0.0,-0.21,5.65,15.56,2.37,105.0,20.67,19-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Feb-2018 - 00:00,0.0,19.15,85.4,70.11,107.78,40.65,0.53,245.58,28.04,50.89,734.5,132.32,0.0,-0.16,7.3,20.21,4.86,219.74,21.29,20-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Feb-2018 - 00:00,0.0,22.13,64.43,73.58,91.52,36.9,0.78,249.86,27.4,51.34,734.05,130.22,0.0,-0.19,7.74,21.82,4.67,228.83,22.0,21-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Feb-2018 - 00:00,0.0,33.58,132.46,74.62,147.38,32.62,0.31,197.99,27.44,53.6,731.87,120.2,0.0,-0.13,11.33,47.81,13.5,216.46,23.55,22-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Feb-2018 - 00:00,0.0,16.39,142.2,83.53,159.84,30.0,0.35,199.73,29.84,54.47,730.87,115.6,0.0,-0.15,11.22,43.7,2.73,173.25,24.49,23-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
