from date,Benzene,Toluene,BP,CO,Eth-Benzene,MP-Xylene,O Xylene,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,Temp,VWS,WD,WS,to date,station
03-Feb-2018 - 00:00,2.22,0.45,763.62,1.19,2.32,,1.78,18.34,21.5,24.58,39.73,66.61,,7.36,118.06,24.91,0.37,142.33,2.92,04-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
04-Feb-2018 - 00:00,1.86,0.43,763.43,1.07,3.16,,2.14,9.11,17.45,15.04,48.43,27.08,,3.06,130.89,25.44,0.37,70.9,0.75,05-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
05-Feb-2018 - 00:00,3.13,1.0,764.4,1.13,3.49,,1.74,9.68,17.9,15.78,40.82,36.43,,6.88,105.32,25.31,0.37,83.07,0.49,06-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
06-Feb-2018 - 00:00,2.15,0.58,763.97,1.54,2.28,,1.76,9.63,16.92,15.17,27.28,33.93,,11.75,88.51,25.68,0.37,88.82,0.58,07-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
07-Feb-2018 - 00:00,2.07,0.37,762.89,1.13,2.59,,2.38,8.97,13.79,13.05,17.4,27.86,,6.15,100.76,26.57,0.37,110.55,0.49,08-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
08-Feb-2018 - 00:00,1.95,0.59,762.12,1.35,2.62,,2.47,8.1,14.61,12.89,20.74,34.16,,6.79,120.77,26.51,0.37,122.32,1.81,09-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
09-Feb-2018 - 00:00,2.34,0.46,761.97,1.29,2.14,,1.85,11.01,14.17,14.79,17.17,38.27,,5.22,132.6,25.98,0.37,174.66,0.98,10-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
10-Feb-2018 - 00:00,2.03,0.66,763.14,1.29,2.36,,1.49,11.82,16.91,15.89,32.75,51.74,,6.62,121.18,26.07,0.37,131.04,2.33,11-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
11-Feb-2018 - 00:00,2.09,0.44,763.88,1.08,1.44,,1.72,9.89,16.21,13.13,24.15,56.22,,6.07,132.72,26.59,0.37,124.16,1.33,12-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
12-Feb-2018 - 00:00,1.87,0.59,764.97,0.95,2.66,,1.32,4.8,10.62,8.06,31.92,45.74,,5.64,105.94,26.45,0.37,64.92,0.27,13-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
13-Feb-2018 - 00:00,1.67,0.57,765.87,1.41,2.2,,0.92,12.72,17.86,18.19,33.1,62.97,,9.45,116.52,25.92,0.37,98.68,1.08,14-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
14-Feb-2018 - 00:00,2.38,0.31,765.78,1.4,0.8,,1.14,8.89,20.97,16.75,40.99,46.36,,9.74,137.23,26.91,0.37,55.26,1.45,15-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
15-Feb-2018 - 00:00,1.49,0.0,765.71,1.27,0.6,,0.62,7.44,17.12,13.26,41.37,58.02,,16.33,128.12,26.93,0.38,53.54,1.25,16-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
16-Feb-2018 - 00:00,0.75,0.65,765.23,1.15,0.81,,1.31,5.88,11.01,9.13,43.07,49.67,,8.33,145.35,26.06,0.37,104.3,0.5,17-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
17-Feb-2018 - 00:00,0.79,0.27,762.77,1.64,1.39,,0.68,5.52,10.57,8.61,49.05,49.57,,4.68,135.75,25.72,0.37,160.02,0.16,18-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
18-Feb-2018 - 00:00,0.57,0.09,762.24,0.97,1.85,,1.15,5.82,10.14,8.62,59.18,56.78,,7.56,149.99,25.57,0.37,142.03,0.59,19-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
19-Feb-2018 - 00:00,0.5,0.17,762.64,1.0,1.65,,1.45,6.05,10.84,9.18,40.52,54.65,,10.39,148.71,25.42,0.37,135.08,0.54,20-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
20-Feb-2018 - 00:00,0.99,0.37,762.32,0.97,1.17,,1.3,6.67,11.16,9.84,44.46,57.31,,10.5,149.68,25.76,0.37,119.61,0.64,21-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
21-Feb-2018 - 00:00,1.43,0.43,761.49,1.05,1.29,,0.96,7.11,10.98,10.09,34.67,78.18,,11.11,148.91,25.53,0.37,126.16,0.63,22-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
22-Feb-2018 - 00:00,1.92,1.7,761.32,1.03,1.92,,3.01,7.79,10.69,10.49,34.1,54.31,,11.5,150.86,25.36,0.37,138.83,0.69,23-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
23-Feb-2018 - 00:00,1.01,0.22,761.84,0.96,0.98,,2.0,7.34,10.49,10.02,30.49,51.51,,8.31,157.8,25.77,0.37,129.11,0.52,24-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
24-Feb-2018 - 00:00,0.68,0.1,762.93,1.05,0.83,,1.66,6.01,9.87,8.63,27.21,36.39,,9.78,141.29,26.15,0.37,105.58,0.54,25-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
25-Feb-2018 - 00:00,0.86,0.26,762.97,1.05,1.0,,1.43,6.94,9.89,9.39,23.72,28.82,,16.08,153.98,26.32,0.37,94.47,0.99,26-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
26-Feb-2018 - 00:00,1.02,0.0,762.68,1.24,1.75,,2.07,7.66,10.85,10.46,22.93,47.71,,26.95,80.58,24.97,0.37,131.11,0.84,27-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
28-Feb-2018 - 00:00,1.95,0.46,762.15,1.31,1.18,,0.0,5.43,10.72,8.61,10.39,39.33,,6.55,2.91,26.03,0.37,72.62,1.83,01-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
01-Mar-2018 - 00:00,2.81,2.52,761.22,1.02,1.75,,1.76,6.9,10.69,9.77,52.09,36.46,,9.84,136.28,26.76,0.37,162.77,1.68,02-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
02-Mar-2018 - 00:00,1.62,2.09,760.94,1.03,2.38,,1.37,6.93,11.0,9.96,40.8,51.57,,9.7,138.33,27.21,0.37,146.37,1.01,03-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
03-Mar-2018 - 00:00,0.91,0.47,760.49,1.1,0.48,,0.52,6.55,10.97,9.64,48.67,50.62,,10.63,141.41,27.34,0.37,176.98,1.02,04-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
04-Mar-2018 - 00:00,0.55,0.41,760.58,1.19,0.46,,0.66,7.52,11.3,10.59,36.01,46.88,,9.15,141.21,26.53,0.37,187.43,0.83,05-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
05-Mar-2018 - 00:00,0.6,0.39,761.43,1.13,0.35,,0.1,7.44,10.1,9.9,27.64,39.26,,5.37,142.15,26.13,0.37,155.17,0.69,06-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
06-Mar-2018 - 00:00,0.68,0.16,761.9,1.04,0.72,,0.62,8.26,10.64,10.84,27.06,41.28,,7.07,135.5,26.33,0.37,177.1,0.74,07-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
07-Mar-2018 - 00:00,1.03,0.28,761.65,1.63,0.5,,0.77,8.69,10.66,11.19,36.55,54.29,,5.02,139.21,26.63,0.37,172.84,0.61,08-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
08-Mar-2018 - 00:00,0.92,0.47,761.58,1.2,0.94,,0.52,11.89,12.82,14.88,41.98,66.21,,10.27,139.56,26.58,0.37,151.53,0.63,09-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
09-Mar-2018 - 00:00,0.6,0.97,761.65,1.29,0.4,,0.42,7.19,11.53,10.44,55.23,58.43,,4.89,122.7,27.3,0.37,90.9,1.35,10-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
10-Mar-2018 - 00:00,0.55,0.15,761.49,1.12,0.64,,0.57,6.99,10.04,9.51,35.01,70.5,,5.12,122.02,27.01,0.37,123.9,0.21,11-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
11-Mar-2018 - 00:00,0.39,0.46,761.88,1.33,0.32,,0.92,7.27,10.68,10.06,39.27,55.09,,5.39,142.96,27.47,0.37,114.32,0.16,12-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
12-Mar-2018 - 00:00,0.41,0.39,762.21,1.55,0.34,,0.33,7.22,9.06,9.18,18.01,29.34,,4.81,139.96,28.16,0.37,89.8,0.16,13-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
13-Mar-2018 - 00:00,0.42,0.43,761.42,1.56,0.34,,0.35,6.59,8.49,8.37,18.24,25.07,,4.0,120.91,28.45,0.37,54.62,0.22,14-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
14-Mar-2018 - 00:00,0.64,0.41,760.81,1.28,0.25,,0.04,5.06,8.14,6.97,16.41,20.53,,5.11,117.62,28.56,0.37,133.11,0.43,15-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
15-Mar-2018 - 00:00,0.49,0.38,760.45,1.19,0.42,,0.09,5.36,8.64,7.47,14.96,19.07,,6.03,136.69,28.34,0.37,173.21,0.93,16-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
16-Mar-2018 - 00:00,0.62,0.49,759.5,1.35,0.11,,0.23,5.25,8.33,7.22,16.83,18.83,,4.3,132.8,28.6,0.37,166.79,0.97,17-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
17-Mar-2018 - 00:00,0.29,0.87,761.07,1.64,0.36,,0.0,5.54,7.22,7.25,15.99,27.19,,6.82,80.21,27.05,0.36,148.45,0.63,18-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
18-Mar-2018 - 00:00,0.42,0.27,761.42,0.99,0.36,,0.11,7.27,8.18,8.75,22.21,55.36,,6.42,161.98,27.82,0.37,135.24,0.55,19-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
19-Mar-2018 - 00:00,0.37,0.47,762.22,1.22,0.39,,0.3,6.26,8.3,8.01,26.25,46.72,,7.25,157.62,27.89,0.37,161.39,0.59,20-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
20-Mar-2018 - 00:00,0.55,0.94,761.44,1.18,0.05,,0.1,6.94,8.79,8.81,23.28,56.71,,6.93,158.87,27.8,0.37,179.96,0.64,21-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
21-Mar-2018 - 00:00,0.95,0.67,760.43,1.74,0.32,,0.76,6.05,7.8,7.58,22.45,58.59,,3.5,158.39,28.24,0.37,185.55,0.99,22-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
22-Mar-2018 - 00:00,0.78,0.64,758.51,1.87,0.77,,0.85,5.34,8.59,7.43,29.3,46.45,,3.56,146.02,29.16,0.37,178.8,0.94,23-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
23-Mar-2018 - 00:00,1.09,1.56,758.4,1.08,0.54,,1.97,4.26,8.32,6.42,32.59,44.8,,4.09,138.5,29.19,0.37,168.56,1.05,24-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
24-Mar-2018 - 00:00,0.51,2.6,760.13,1.28,0.91,,2.72,4.57,7.59,6.29,39.9,41.81,,6.74,149.17,28.97,0.37,174.87,1.1,25-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
25-Mar-2018 - 00:00,1.07,2.33,762.04,1.36,1.24,,2.2,4.98,7.07,6.35,29.47,38.22,,4.05,151.53,28.39,0.37,151.55,0.64,26-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
26-Mar-2018 - 00:00,1.15,3.05,762.33,1.52,0.82,,2.62,5.6,6.98,7.04,23.14,38.09,,5.03,152.57,28.06,0.36,158.59,0.69,27-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
27-Mar-2018 - 00:00,0.6,2.64,761.05,1.45,0.86,,3.47,6.01,7.27,7.28,15.56,34.43,,5.89,149.17,28.47,0.37,181.88,1.05,28-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
28-Mar-2018 - 00:00,0.85,2.86,759.96,1.64,1.21,,4.51,4.85,8.06,6.75,19.46,19.41,,5.24,140.26,29.43,0.37,183.32,1.2,29-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
29-Mar-2018 - 00:00,1.03,3.17,759.54,1.45,0.89,,1.29,4.69,9.74,7.51,24.22,19.93,,7.12,152.81,29.54,0.37,177.22,1.27,30-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
30-Mar-2018 - 00:00,0.94,2.23,759.19,1.23,0.43,,1.92,4.5,7.1,5.97,30.68,18.83,,4.85,144.58,29.43,0.37,172.29,1.27,31-Mar-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
31-Mar-2018 - 00:00,1.19,1.2,759.21,1.32,0.08,,0.53,4.33,6.65,5.6,42.99,21.55,,1.74,132.51,29.21,0.37,192.95,1.16,01-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
02-Apr-2018 - 00:00,0.0,0.0,761.17,1.83,0.0,,,4.29,15.61,10.26,44.33,27.92,,4.88,190.59,32.1,0.34,170.04,0.85,03-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
04-Apr-2018 - 00:00,1.3,1.3,757.65,0.96,0.14,,0.61,4.22,6.71,5.55,43.51,0.02,,4.35,759.6,32.28,0.39,147.62,1.65,05-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
10-Apr-2018 - 00:00,1.75,3.43,758.18,0.91,0.3,,0.86,4.5,9.16,7.05,22.98,25.84,,9.81,765.83,33.19,0.38,101.43,0.67,11-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
13-Apr-2018 - 00:00,0.18,5.94,759.11,0.83,1.28,,0.42,27.51,36.0,33.18,28.62,251.52,,6.01,406.55,32.63,0.37,137.45,1.11,14-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
16-Apr-2018 - 00:00,0.0,0.51,760.22,1.56,0.0,,3.23,14.9,18.47,17.49,24.77,104.72,,13.66,80.85,32.31,0.37,164.26,1.24,17-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
17-Apr-2018 - 00:00,0.0,0.0,759.45,3.9,0.0,,5.57,41.27,51.47,48.22,36.82,18.26,,5.81,181.65,32.29,0.35,143.51,1.69,18-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
18-Apr-2018 - 00:00,0.0,0.0,757.27,5.23,0.0,,0.0,41.57,51.76,48.51,46.05,0.0,,3.28,200.61,32.96,0.38,131.33,2.04,19-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
19-Apr-2018 - 00:00,0.0,0.0,756.15,3.18,2.55,,0.0,30.63,40.72,37.47,23.87,14.49,,2.86,37.76,32.09,0.36,155.96,1.58,20-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
20-Apr-2018 - 00:00,0.0,0.0,757.5,1.23,0.0,,0.0,39.16,49.36,46.11,9.67,113.06,,10.87,1.57,30.67,0.36,156.72,1.46,21-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
21-Apr-2018 - 00:00,0.0,0.0,756.75,0.7,0.0,,0.0,177.56,220.8,205.11,33.73,0.0,,0.97,702.33,34.21,0.36,134.65,2.96,22-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
22-Apr-2018 - 00:00,0.0,0.0,758.78,0.31,0.0,,0.0,12.15,15.56,14.56,31.44,0.0,,5.96,786.81,34.37,0.33,219.39,1.18,23-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
26-Apr-2018 - 00:00,0.0,0.0,759.53,1.68,0.0,,0.0,11.48,10.91,12.68,33.02,28.32,,,127.81,32.11,0.35,185.96,2.41,27-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
28-Apr-2018 - 00:00,0.0,0.0,757.95,1.5,0.0,,0.0,8.19,18.85,14.19,19.99,7.74,,5.74,28.82,31.5,0.39,136.25,0.75,29-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
