from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
09-May-2018 - 00:00,28.89,982.88,246.12,74.46,47.57,157.24,128.43,1.12,0.56,3.26,0.09,53.07,17.98,47.31,33.97,0.95,49.8,15.87,10-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
10-May-2018 - 00:00,32.43,981.91,334.18,95.82,37.48,222.22,219.7,1.21,1.46,5.8,0.89,62.55,26.42,61.65,46.43,1.04,60.04,23.19,11-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
11-May-2018 - 00:00,35.47,980.82,525.47,155.12,31.07,201.29,219.69,1.42,2.11,6.8,1.17,62.3,32.43,69.3,65.49,1.53,55.11,29.29,12-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
12-May-2018 - 00:00,35.93,980.1,517.23,161.07,36.28,164.88,116.68,1.57,1.11,3.74,0.75,111.63,21.42,63.29,54.19,1.74,50.42,22.21,13-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
13-May-2018 - 00:00,32.54,980.38,328.71,98.98,47.2,172.95,112.18,2.7,0.34,1.49,0.01,113.48,13.74,53.32,37.97,0.8,36.59,16.9,14-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
14-May-2018 - 00:00,30.5,981.84,222.53,67.46,44.63,190.02,136.04,1.61,0.23,1.49,0.03,61.38,15.61,54.27,43.94,0.71,44.71,17.65,15-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
15-May-2018 - 00:00,32.92,980.41,261.42,81.62,45.19,181.4,114.72,1.82,0.33,1.45,0.0,75.64,30.37,74.2,69.19,0.88,53.24,16.03,16-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
16-May-2018 - 00:00,34.37,979.18,255.81,86.4,34.99,214.11,261.57,1.97,0.73,3.02,0.2,60.88,17.56,50.08,47.54,0.76,49.22,11.39,17-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
17-May-2018 - 00:00,35.54,979.26,346.58,120.91,26.05,197.11,244.2,1.44,0.92,4.11,0.12,51.9,20.26,60.98,50.19,0.87,55.4,19.7,18-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
18-May-2018 - 00:00,36.92,978.61,263.48,89.81,26.69,221.54,78.13,1.39,0.52,1.63,0.05,52.06,20.79,58.98,49.22,0.79,62.39,14.62,19-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
19-May-2018 - 00:00,35.25,978.91,374.39,126.98,31.28,146.55,222.14,1.31,2.74,1.18,0.0,25.08,86.92,73.5,92.17,0.44,31.39,6.72,20-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
20-May-2018 - 00:00,35.41,955.09,251.21,91.04,22.81,243.48,280.71,1.44,2.92,1.76,0.22,28.45,30.43,54.97,51.82,0.91,47.14,7.86,21-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
21-May-2018 - 00:00,36.52,980.61,257.17,83.04,14.26,225.04,256.68,2.06,0.47,1.44,0.01,37.62,12.56,52.48,42.14,0.67,37.89,13.01,22-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
22-May-2018 - 00:00,37.27,979.47,300.54,103.04,16.23,204.34,201.74,1.44,0.96,2.04,0.03,39.07,30.1,58.03,94.35,1.28,55.53,16.14,23-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
23-May-2018 - 00:00,37.29,978.28,350.58,137.75,22.44,198.64,115.93,1.14,1.16,1.52,0.02,58.65,35.64,70.63,84.4,1.37,57.35,15.51,24-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
24-May-2018 - 00:00,36.14,977.65,297.33,114.25,22.57,166.56,198.65,1.43,1.64,2.4,0.05,62.67,22.83,58.12,53.17,1.02,45.58,17.4,25-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
25-May-2018 - 00:00,37.13,977.88,282.96,87.62,14.68,193.62,256.97,1.53,2.64,4.47,0.06,42.01,42.06,67.85,94.11,1.05,52.74,11.79,26-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
26-May-2018 - 00:00,38.02,976.72,339.62,116.58,15.28,186.44,254.49,1.27,2.82,5.01,0.12,43.77,50.87,71.52,125.92,1.25,51.27,15.02,27-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
27-May-2018 - 00:00,38.56,976.05,387.75,111.88,15.03,182.18,198.24,1.71,2.01,8.51,0.85,44.14,45.19,84.57,93.1,0.92,32.51,24.6,28-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
28-May-2018 - 00:00,36.88,974.6,330.34,123.9,25.36,20.88,90.54,1.17,1.51,1.44,0.0,43.48,56.16,87.33,89.51,1.3,56.29,15.58,29-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
29-May-2018 - 00:00,37.61,973.63,368.09,127.14,29.61,170.18,152.61,1.84,2.27,2.56,0.03,71.93,34.38,72.61,102.18,1.13,49.15,12.57,30-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
30-May-2018 - 00:00,35.16,975.53,345.09,95.64,39.48,167.41,140.56,2.78,0.42,1.53,0.18,77.81,14.65,43.84,33.08,0.55,44.48,11.23,31-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
31-May-2018 - 00:00,36.47,977.34,278.58,92.16,37.4,161.76,123.49,1.88,0.54,1.64,0.04,73.86,18.34,50.89,37.02,0.8,41.43,14.22,01-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
01-Jun-2018 - 00:00,34.64,978.51,258.83,102.29,46.17,165.17,113.32,2.78,0.32,1.26,0.06,79.13,14.32,42.84,30.34,0.58,36.49,9.98,02-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
02-Jun-2018 - 00:00,32.27,979.26,216.46,59.21,44.57,161.52,123.82,2.55,0.27,1.32,0.02,52.83,14.08,37.75,30.04,0.53,44.53,15.49,03-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
03-Jun-2018 - 00:00,33.88,976.92,165.92,63.54,48.56,163.1,112.99,2.3,0.26,1.23,0.01,69.84,15.9,42.87,31.11,0.59,38.97,11.47,04-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
04-Jun-2018 - 00:00,36.07,976.54,227.17,77.67,45.09,215.46,134.27,2.62,0.76,0.59,0.03,47.61,23.12,61.16,34.0,0.4,19.28,5.81,05-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
05-Jun-2018 - 00:00,36.46,978.08,254.42,100.71,43.83,201.65,114.07,2.56,0.77,0.97,0.0,52.66,17.41,51.83,31.24,0.74,30.91,9.64,06-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
06-Jun-2018 - 00:00,32.79,980.1,184.58,70.96,56.43,100.18,73.92,2.3,0.33,1.22,0.0,62.9,11.33,39.76,26.47,0.63,23.4,9.08,07-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
07-Jun-2018 - 00:00,35.73,975.74,189.83,78.62,49.1,157.43,110.85,1.62,0.35,1.49,0.01,74.12,14.3,42.04,30.41,0.76,41.62,12.21,08-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
08-Jun-2018 - 00:00,35.94,972.57,273.08,104.04,50.81,142.89,125.06,2.82,0.35,1.33,0.04,79.36,16.38,42.3,30.17,0.8,20.43,8.63,09-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
09-Jun-2018 - 00:00,32.21,972.16,174.79,64.5,65.47,134.8,146.3,2.47,0.41,1.73,0.03,72.09,13.15,39.87,24.51,0.64,11.83,6.5,10-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
10-Jun-2018 - 00:00,33.12,972.43,153.0,63.92,59.75,209.02,231.53,1.33,0.5,2.2,0.07,75.77,19.09,45.0,27.49,0.69,30.63,6.0,11-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
11-Jun-2018 - 00:00,36.12,970.32,224.46,90.92,46.64,211.89,296.64,2.09,0.59,4.42,0.0,74.61,16.33,42.89,31.69,0.6,28.19,7.41,12-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
12-Jun-2018 - 00:00,37.93,967.94,425.44,241.25,38.84,182.34,280.94,2.03,5.23,11.91,6.11,57.05,20.02,45.15,26.49,0.57,14.66,18.07,13-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
13-Jun-2018 - 00:00,38.96,968.05,952.0,362.68,33.35,169.43,277.12,2.47,15.27,16.3,10.17,47.78,17.82,38.69,22.74,0.6,10.43,19.06,14-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
14-Jun-2018 - 00:00,38.12,970.07,824.71,304.71,31.12,169.24,268.56,2.61,22.82,150.17,4.16,43.53,26.47,49.6,27.3,0.84,21.37,19.58,15-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
15-Jun-2018 - 00:00,37.27,972.38,651.68,204.21,32.44,178.41,240.66,2.36,32.69,157.12,10.31,38.23,24.01,46.11,26.39,0.84,25.12,22.32,16-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
16-Jun-2018 - 00:00,35.54,974.8,666.0,194.08,43.73,159.91,165.54,1.84,9.92,42.65,7.26,46.48,16.19,39.9,24.56,0.97,18.67,12.19,17-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
17-Jun-2018 - 00:00,31.82,976.23,288.0,87.04,55.32,194.33,102.47,2.0,7.82,12.38,4.03,36.12,7.87,40.42,17.89,0.79,32.23,6.35,18-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
18-Jun-2018 - 00:00,32.64,976.07,210.0,60.79,47.53,154.56,231.23,1.76,3.35,13.79,1.79,43.73,12.91,34.61,23.4,0.88,36.66,9.63,19-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
19-Jun-2018 - 00:00,33.92,976.15,195.79,60.79,47.06,214.44,244.17,1.72,5.65,26.56,1.42,42.72,8.06,28.15,21.83,0.81,58.01,8.37,20-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
20-Jun-2018 - 00:00,36.49,976.72,225.04,71.06,41.9,179.45,151.18,1.43,3.63,29.58,2.85,45.02,15.88,37.03,39.49,0.92,70.48,14.04,21-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
21-Jun-2018 - 00:00,36.9,976.47,370.97,103.68,40.82,195.18,194.89,1.84,4.0,22.33,3.97,49.64,9.88,37.94,31.01,1.04,69.86,14.1,22-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
22-Jun-2018 - 00:00,38.04,975.33,328.17,95.33,36.06,189.75,187.61,1.26,7.69,25.92,4.61,50.5,23.82,50.56,52.72,1.24,67.1,14.25,23-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
23-Jun-2018 - 00:00,38.31,974.75,300.45,86.19,35.94,181.82,230.85,1.67,6.91,33.76,6.08,55.19,19.34,48.23,42.34,1.14,68.63,11.74,24-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
24-Jun-2018 - 00:00,37.99,974.15,163.41,44.39,48.97,147.36,257.92,2.38,3.04,14.59,1.67,37.46,7.56,29.25,30.5,0.95,61.44,21.55,25-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
25-Jun-2018 - 00:00,,,189.13,13.33,81.15,35.88,,6.67,,,,34.2,21.2,41.16,44.89,1.02,33.16,33.35,26-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
26-Jun-2018 - 00:00,32.48,973.25,253.46,30.8,66.26,36.14,193.61,4.67,17.2,189.52,,37.27,26.68,47.59,48.74,1.1,19.97,37.48,27-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
27-Jun-2018 - 00:00,31.09,975.13,132.68,60.44,71.61,165.56,144.17,4.8,9.87,92.25,,52.49,25.9,47.55,49.8,1.24,35.74,24.92,28-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
28-Jun-2018 - 00:00,30.36,976.51,130.12,26.67,77.27,155.95,112.82,2.45,3.29,82.48,,53.88,19.55,39.7,44.6,1.09,20.14,19.22,29-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
29-Jun-2018 - 00:00,31.19,976.39,160.17,61.84,72.17,122.25,121.4,2.52,3.37,45.61,,48.76,41.59,65.94,60.51,1.08,22.73,19.36,30-Jun-2018 - 00:00,"Wazirpur, Delhi - DPCC"
30-Jun-2018 - 00:00,31.91,976.7,156.96,54.31,71.69,135.57,186.29,1.72,5.14,116.2,,51.08,26.5,51.01,55.32,1.2,17.46,20.77,01-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
01-Jul-2018 - 00:00,33.51,975.24,162.31,43.25,66.36,160.62,253.26,1.25,3.11,179.9,,50.71,27.97,52.04,55.02,,13.02,22.77,02-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
02-Jul-2018 - 00:00,33.44,972.88,215.62,45.26,61.09,172.18,225.31,2.17,2.13,126.51,,36.51,24.92,45.42,48.81,0.87,16.48,22.41,03-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
03-Jul-2018 - 00:00,31.91,973.46,224.56,63.98,68.24,160.58,94.75,1.61,4.23,81.68,,42.53,33.69,56.97,55.71,1.09,27.48,17.19,04-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
04-Jul-2018 - 00:00,31.73,973.83,163.52,59.62,70.43,191.75,119.2,1.43,3.93,84.77,,54.26,28.72,49.5,48.69,0.94,37.28,16.19,05-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
05-Jul-2018 - 00:00,32.92,975.1,192.73,56.83,61.27,180.01,221.22,1.54,3.04,119.64,,40.59,22.98,43.79,47.12,0.97,30.37,17.98,06-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
06-Jul-2018 - 00:00,34.2,975.15,215.94,65.75,53.9,191.2,282.97,1.7,2.59,140.47,,47.96,8.41,29.28,42.17,0.92,30.2,17.85,07-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
07-Jul-2018 - 00:00,34.92,974.41,192.33,69.79,51.1,214.36,260.1,1.57,2.26,67.15,,54.8,3.96,23.76,38.59,0.9,51.53,17.92,08-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
08-Jul-2018 - 00:00,36.38,973.46,198.38,65.92,45.84,222.92,181.95,1.31,2.49,70.09,,63.26,9.36,32.92,47.6,0.87,58.82,18.28,09-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
09-Jul-2018 - 00:00,34.86,973.46,267.52,65.9,62.8,162.37,134.97,2.05,2.3,64.5,,67.34,21.75,49.23,59.1,1.05,28.22,16.92,10-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
10-Jul-2018 - 00:00,34.51,973.99,181.11,48.6,66.63,197.64,118.43,2.07,2.15,43.78,,67.86,20.95,42.95,48.66,0.97,27.6,16.84,11-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
11-Jul-2018 - 00:00,32.96,973.48,190.68,50.93,68.13,137.7,138.95,1.93,4.83,77.85,,47.93,19.98,39.47,43.41,1.11,20.4,19.72,12-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
12-Jul-2018 - 00:00,33.55,972.88,211.97,46.79,62.69,135.79,178.81,1.45,3.82,104.8,,42.56,13.24,32.64,41.03,1.0,32.24,17.97,13-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
13-Jul-2018 - 00:00,29.42,974.33,116.64,34.33,84.86,84.6,134.01,1.61,2.68,70.9,,42.59,24.24,41.59,41.24,1.08,15.69,18.11,14-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
14-Jul-2018 - 00:00,29.57,973.97,150.33,32.51,87.34,143.45,84.08,1.52,2.59,71.39,,50.03,20.56,36.29,36.75,1.15,14.59,17.05,15-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
15-Jul-2018 - 00:00,31.56,973.54,168.75,35.93,79.46,180.55,111.16,1.67,1.97,46.03,,44.52,25.53,39.72,35.65,1.06,15.66,16.51,16-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
16-Jul-2018 - 00:00,30.19,974.15,138.49,29.03,89.78,83.96,154.96,1.66,1.65,102.13,,46.03,25.33,43.26,42.51,1.31,9.15,17.9,17-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
17-Jul-2018 - 00:00,32.77,974.4,158.6,37.39,75.97,161.69,97.87,1.46,1.92,51.74,,58.71,27.95,43.43,38.74,1.12,23.6,17.77,18-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
18-Jul-2018 - 00:00,32.54,975.09,159.42,37.79,75.56,157.75,74.36,1.72,1.6,38.75,,56.77,19.34,30.14,27.05,0.95,17.87,17.54,19-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
19-Jul-2018 - 00:00,32.83,974.79,142.42,38.58,72.82,198.09,111.18,1.56,2.56,94.0,,43.87,21.76,34.65,32.0,1.04,14.97,17.78,20-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
20-Jul-2018 - 00:00,30.48,974.32,121.9,41.15,83.77,83.01,170.1,1.24,2.85,118.63,,41.75,15.12,29.03,31.47,1.1,10.2,17.44,21-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
21-Jul-2018 - 00:00,29.46,974.62,151.3,73.01,88.83,77.77,136.94,1.32,4.57,106.2,,46.61,24.76,38.7,34.74,1.43,27.83,19.06,22-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
22-Jul-2018 - 00:00,29.05,975.22,89.03,39.61,90.66,120.22,114.67,1.29,2.43,70.53,,43.97,20.02,32.44,30.25,1.03,12.51,18.16,23-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
23-Jul-2018 - 00:00,31.1,974.98,152.99,38.92,78.23,141.28,90.71,1.54,2.97,46.99,,37.24,11.59,20.95,21.63,1.09,11.74,18.21,24-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
24-Jul-2018 - 00:00,32.72,975.36,188.32,63.51,72.43,144.84,122.12,1.11,3.71,79.82,,54.92,16.24,26.85,25.54,1.3,17.67,20.4,25-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
25-Jul-2018 - 00:00,30.11,974.76,159.0,56.4,85.18,59.82,222.96,1.49,3.93,258.42,,40.02,25.62,40.5,37.22,1.15,7.62,26.95,26-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
26-Jul-2018 - 00:00,27.4,974.91,52.27,28.85,95.71,40.37,252.3,1.59,2.18,109.58,,37.68,23.51,38.49,36.12,0.98,7.25,19.35,27-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
27-Jul-2018 - 00:00,26.86,974.01,35.46,23.52,97.27,47.7,294.05,1.7,2.0,53.3,,29.28,19.78,32.59,30.99,0.97,8.59,16.78,28-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
28-Jul-2018 - 00:00,28.31,974.5,69.23,35.75,88.29,101.72,311.93,1.92,2.77,86.61,,25.52,30.56,45.58,38.91,1.07,12.2,18.26,29-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
29-Jul-2018 - 00:00,31.69,975.05,131.4,64.75,74.52,199.44,294.11,1.49,1.8,112.27,,33.92,42.44,62.96,53.46,1.0,11.29,17.9,30-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
30-Jul-2018 - 00:00,31.03,974.85,136.31,58.11,72.36,101.99,276.79,1.56,3.29,215.26,,39.13,53.71,78.79,67.81,1.01,7.12,17.66,31-Jul-2018 - 00:00,"Wazirpur, Delhi - DPCC"
31-Jul-2018 - 00:00,31.82,973.91,159.09,65.24,68.22,103.07,273.16,1.87,2.61,200.24,,37.35,40.55,67.98,65.92,0.96,12.01,16.74,01-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
01-Aug-2018 - 00:00,32.85,974.48,205.77,68.54,60.14,187.13,274.81,1.76,5.42,165.96,,36.97,43.1,66.94,60.52,1.05,13.57,22.92,02-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
02-Aug-2018 - 00:00,33.5,975.77,255.29,79.54,56.37,177.27,272.55,2.16,3.41,403.13,,32.45,54.12,75.78,59.71,0.82,10.69,24.56,03-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
03-Aug-2018 - 00:00,33.09,976.25,238.6,71.71,54.56,153.05,268.44,2.16,3.6,369.93,,27.57,67.07,90.02,66.48,0.87,8.77,27.78,04-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
04-Aug-2018 - 00:00,33.44,975.92,251.31,81.31,52.58,166.41,259.9,1.89,4.43,324.08,,26.59,59.14,79.04,57.79,0.9,11.6,23.6,05-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
05-Aug-2018 - 00:00,31.07,976.14,216.77,81.46,67.43,81.98,213.22,2.22,3.27,125.03,,29.69,66.89,86.25,59.86,0.87,6.57,22.53,06-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
06-Aug-2018 - 00:00,28.47,976.69,118.6,50.13,82.66,58.46,111.37,1.38,3.29,63.96,,47.96,62.18,79.77,54.71,0.95,7.02,18.3,07-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
07-Aug-2018 - 00:00,29.7,976.55,116.17,60.93,79.59,99.27,103.53,1.35,4.04,79.37,,41.83,41.13,57.49,44.89,1.09,12.23,19.1,08-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
08-Aug-2018 - 00:00,30.34,977.09,92.81,54.88,81.68,145.53,98.21,1.53,3.6,66.21,,42.29,40.99,58.68,47.58,1.2,16.13,17.17,09-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
09-Aug-2018 - 00:00,32.4,979.39,153.42,54.21,69.72,176.22,108.56,1.8,2.97,56.31,,46.87,48.45,67.88,53.38,1.07,17.38,19.79,10-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
10-Aug-2018 - 00:00,32.81,978.05,138.62,46.88,68.23,116.19,203.0,1.24,3.79,140.46,,46.54,46.46,72.58,65.17,1.25,16.97,18.67,11-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
11-Aug-2018 - 00:00,33.66,974.31,124.77,39.75,65.56,176.08,276.61,2.05,2.1,253.5,,43.48,36.32,55.71,49.14,0.92,10.77,20.61,12-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
12-Aug-2018 - 00:00,31.51,972.81,140.26,46.26,68.91,70.73,238.95,1.56,2.64,192.4,,35.38,38.69,54.75,43.48,0.9,10.12,21.44,13-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
13-Aug-2018 - 00:00,31.48,974.28,108.52,40.23,70.07,120.42,222.95,1.34,2.87,117.79,,33.7,58.39,70.61,43.38,0.99,12.41,20.07,14-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
14-Aug-2018 - 00:00,32.51,975.25,139.81,44.77,69.37,143.77,122.18,1.41,4.83,57.67,,43.33,24.89,49.76,55.51,1.14,18.2,16.27,15-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
15-Aug-2018 - 00:00,32.38,976.87,113.98,38.73,68.55,163.12,174.18,1.73,2.19,73.33,,42.02,26.61,44.81,43.36,0.84,23.1,15.51,16-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
16-Aug-2018 - 00:00,31.21,978.53,102.9,36.54,76.75,123.46,104.88,1.15,3.46,75.21,,38.2,38.94,57.39,47.69,1.3,22.33,17.06,17-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
17-Aug-2018 - 00:00,31.66,976.3,88.96,29.81,78.79,166.91,94.03,1.77,2.11,47.07,,43.36,51.95,67.01,46.41,1.0,18.18,15.96,18-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
18-Aug-2018 - 00:00,31.24,975.83,113.69,35.31,79.49,129.72,129.59,1.48,3.26,69.11,,43.35,57.61,75.64,53.71,1.18,24.7,14.83,19-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
19-Aug-2018 - 00:00,29.95,975.69,114.02,39.0,84.92,66.25,148.67,0.98,3.94,104.7,,42.64,49.23,71.11,58.03,1.59,12.76,14.78,20-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
20-Aug-2018 - 00:00,32.19,977.16,102.55,45.87,75.77,155.38,125.61,1.25,5.86,84.94,,49.14,52.73,76.69,63.22,1.45,17.97,18.02,21-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
21-Aug-2018 - 00:00,32.26,976.93,99.7,50.31,71.5,128.64,116.18,1.57,3.29,42.8,,45.48,64.62,86.67,63.86,1.29,13.17,19.65,22-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
22-Aug-2018 - 00:00,31.28,976.5,126.33,41.96,78.46,104.13,127.78,1.42,3.01,55.77,,41.13,52.81,75.26,60.22,1.19,9.99,18.69,23-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
23-Aug-2018 - 00:00,29.95,977.11,102.77,37.08,85.62,110.49,252.53,1.61,2.03,150.07,,43.45,43.17,60.83,48.03,1.06,7.25,22.66,24-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
24-Aug-2018 - 00:00,31.34,976.29,162.85,43.73,73.92,118.8,281.37,1.7,3.05,206.02,,35.03,47.69,63.87,46.89,1.07,8.92,21.81,25-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
25-Aug-2018 - 00:00,31.4,975.7,151.7,40.23,69.99,139.75,273.46,2.07,3.21,263.6,,30.43,42.27,59.28,46.04,0.97,8.41,24.19,26-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
26-Aug-2018 - 00:00,31.35,975.44,97.88,29.56,69.71,175.33,205.42,2.03,1.5,88.28,,27.29,19.59,32.01,30.1,0.8,12.33,21.32,27-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
27-Aug-2018 - 00:00,30.36,977.27,70.94,25.99,79.61,117.15,80.13,1.28,1.92,26.03,,27.91,22.9,37.89,36.16,0.94,9.68,19.8,28-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
28-Aug-2018 - 00:00,28.77,978.41,98.57,37.63,90.43,82.45,119.88,1.82,2.73,57.9,,30.88,38.28,55.64,45.65,1.45,14.0,18.82,29-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
29-Aug-2018 - 00:00,28.96,979.43,160.97,79.04,91.29,80.79,171.72,0.92,4.0,67.23,,33.71,30.23,39.93,28.68,1.51,18.68,22.12,30-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
30-Aug-2018 - 00:00,31.69,977.11,147.07,52.99,78.14,179.65,259.81,1.29,2.95,111.97,,38.02,6.96,10.3,8.66,1.41,19.45,20.99,31-Aug-2018 - 00:00,"Wazirpur, Delhi - DPCC"
31-Aug-2018 - 00:00,31.64,977.3,201.32,57.94,75.84,130.84,256.16,2.03,2.07,136.5,,34.75,5.89,9.03,7.93,1.01,12.35,23.82,01-Sep-2018 - 00:00,"Wazirpur, Delhi - DPCC"
01-Sep-2018 - 00:00,28.39,979.51,154.05,52.79,90.74,44.52,192.5,1.3,2.81,91.82,,35.29,6.16,7.6,6.48,1.42,7.34,22.68,02-Sep-2018 - 00:00,"Wazirpur, Delhi - DPCC"
02-Sep-2018 - 00:00,27.26,979.3,89.19,45.61,93.37,56.27,198.98,1.32,2.21,61.8,,38.13,0.24,0.2,0.23,1.03,14.04,19.02,03-Sep-2018 - 00:00,"Wazirpur, Delhi - DPCC"
