from date,BP,PM10,PM2.5,RF,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
11-Jun-2018 - 00:00,750.26,170.79,54.33,,264.47,2.07,0.85,0.16,0.57,0.26,0.91,18.31,10.1,18.32,27.44,51.51,5.71,12-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Jun-2018 - 00:00,748.9,269.62,73.29,,220.61,1.64,0.33,0.1,0.36,0.17,0.69,17.06,10.49,15.55,25.28,35.25,5.79,13-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Jun-2018 - 00:00,749.45,403.38,66.54,,216.78,2.45,0.21,0.06,0.21,0.1,0.5,15.16,21.27,12.61,27.94,34.02,6.54,14-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Jun-2018 - 00:00,750.59,360.44,69.15,,216.42,2.67,0.4,0.64,1.12,0.93,0.45,11.61,8.57,12.66,21.22,50.08,6.58,15-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Jun-2018 - 00:00,751.74,229.68,52.37,,218.57,2.78,0.46,0.41,0.95,0.74,0.57,16.76,8.41,13.03,21.43,49.71,6.86,16-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Jun-2018 - 00:00,753.09,169.83,53.64,,211.96,1.85,0.35,0.21,0.62,0.4,0.72,15.29,8.43,13.45,21.88,50.73,6.7,17-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Jun-2018 - 00:00,753.1,140.97,50.66,,244.92,1.6,0.4,0.21,0.62,0.36,0.68,12.59,9.22,15.08,24.3,46.54,6.49,18-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Jun-2018 - 00:00,753.25,252.64,70.87,,221.53,1.23,0.41,0.19,0.65,0.4,0.72,10.63,8.7,15.81,24.51,61.05,6.4,19-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Jun-2018 - 00:00,753.56,123.07,54.58,,193.34,1.04,0.45,0.18,0.46,0.3,0.68,12.51,8.43,20.76,29.2,66.14,5.77,20-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Jun-2018 - 00:00,754.05,103.96,58.55,,229.29,1.19,0.51,0.31,0.76,0.47,0.67,17.15,11.22,35.24,46.46,63.85,9.26,21-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Jun-2018 - 00:00,753.7,174.68,67.52,,146.18,1.01,0.68,0.29,0.72,0.44,0.8,17.15,9.25,34.5,43.75,65.25,8.29,22-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Jun-2018 - 00:00,752.94,148.58,65.62,,245.64,0.94,0.83,0.5,1.15,0.74,0.87,15.97,11.42,38.39,49.81,63.23,6.97,23-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Jun-2018 - 00:00,752.53,140.87,65.85,,227.36,1.22,0.57,0.44,0.94,0.61,0.49,15.15,8.38,25.59,33.96,68.18,6.36,24-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Jun-2018 - 00:00,752.63,117.2,62.78,,225.73,1.41,0.48,0.35,0.63,0.45,0.63,,,,,67.62,5.68,25-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Jun-2018 - 00:00,751.49,95.04,57.04,,224.15,1.33,0.52,0.33,0.71,0.48,0.63,10.15,10.28,24.45,34.73,63.46,5.6,26-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Jun-2018 - 00:00,751.34,70.89,41.54,,232.33,1.08,0.57,0.26,0.68,0.41,0.72,15.26,9.4,23.08,31.69,49.11,5.92,27-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Jun-2018 - 00:00,751.88,77.72,95.3,,127.33,1.12,0.77,0.26,0.98,0.5,0.89,17.17,14.7,21.92,36.63,24.52,6.18,28-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Jun-2018 - 00:00,752.56,39.88,63.38,,64.16,1.28,0.36,0.07,0.2,0.11,0.66,13.61,10.15,11.73,21.86,40.28,5.9,29-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Jun-2018 - 00:00,752.64,43.88,189.74,,87.49,1.09,6.08,0.43,0.77,12.36,0.3,17.64,11.79,15.43,25.96,22.67,5.4,30-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Jun-2018 - 00:00,754.45,40.86,279.15,,221.72,1.16,0.49,0.09,0.33,3.94,0.35,15.84,13.53,15.25,28.78,27.17,2.9,01-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Jul-2018 - 00:00,753.14,137.95,43.02,,225.38,1.3,2.56,5.35,6.46,7.39,0.45,22.16,19.28,29.42,48.69,26.71,5.97,02-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Jul-2018 - 00:00,752.25,109.0,62.92,,217.01,1.95,0.97,3.35,4.07,4.84,0.67,15.54,13.55,20.31,33.86,31.77,6.56,03-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Jul-2018 - 00:00,751.69,70.86,61.21,,218.91,1.88,0.8,0.33,0.88,0.35,0.66,13.18,13.36,18.33,31.69,31.18,7.86,04-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Jul-2018 - 00:00,751.95,77.58,47.68,,235.16,1.59,0.65,0.25,0.72,0.53,0.55,12.31,13.27,16.65,29.93,23.17,7.88,05-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Jul-2018 - 00:00,753.14,149.73,103.02,,244.5,1.12,0.69,0.24,0.72,0.53,0.8,11.58,13.8,16.58,30.37,24.48,6.94,06-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Jul-2018 - 00:00,753.15,165.14,47.67,,287.41,0.88,0.53,0.17,0.52,0.36,0.68,10.96,13.23,18.61,31.84,38.04,7.25,07-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Jul-2018 - 00:00,752.2,219.43,74.0,,265.52,0.85,0.51,0.15,0.67,0.36,0.95,10.37,11.23,24.34,35.57,51.99,5.51,08-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Jul-2018 - 00:00,751.72,194.32,64.68,,251.84,1.18,0.47,0.1,0.41,0.22,0.76,10.56,11.1,19.68,30.79,52.55,5.93,09-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jul-2018 - 00:00,751.26,183.9,67.99,,216.33,1.08,0.45,0.11,0.47,0.23,0.73,11.0,11.81,19.44,31.25,55.19,8.13,10-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jul-2018 - 00:00,751.89,134.48,59.12,,222.81,1.06,0.46,0.12,0.53,0.27,0.7,15.96,13.38,18.74,31.57,48.05,9.07,11-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Jul-2018 - 00:00,752.01,87.86,45.21,,252.09,0.91,0.46,0.15,0.57,0.34,1.01,16.87,12.62,21.93,32.78,27.29,8.84,12-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Jul-2018 - 00:00,751.59,87.34,105.87,,239.58,1.0,0.48,0.14,0.61,0.34,0.96,14.12,12.88,18.28,31.16,25.63,9.73,13-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Jul-2018 - 00:00,751.86,54.44,16.7,,189.19,0.85,0.54,0.13,0.63,0.38,0.62,13.49,13.19,18.66,31.85,22.91,8.53,14-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Jul-2018 - 00:00,751.44,58.11,21.0,,155.9,0.67,0.56,0.13,0.56,0.39,0.67,13.5,12.93,17.7,30.64,25.25,7.25,15-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Jul-2018 - 00:00,751.52,42.62,30.93,,135.84,0.58,0.73,0.24,0.89,0.55,0.78,13.17,13.07,19.46,32.52,25.11,8.08,16-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Jul-2018 - 00:00,751.7,40.8,41.73,,85.48,0.91,0.63,0.19,0.79,0.47,0.67,15.55,12.69,24.88,37.5,25.3,8.41,17-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Jul-2018 - 00:00,752.15,51.95,20.12,,111.51,0.95,0.43,0.1,0.38,0.29,0.66,18.68,9.35,22.74,32.1,25.81,7.65,18-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Jul-2018 - 00:00,752.59,72.8,150.31,,108.54,1.03,0.52,0.14,0.56,0.39,0.63,18.46,6.86,20.09,26.95,23.13,8.76,19-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Jul-2018 - 00:00,752.42,54.64,19.9,,99.98,0.81,0.94,0.29,1.25,0.77,0.98,16.84,10.91,20.45,31.35,17.25,6.25,20-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Jul-2018 - 00:00,751.69,60.83,26.89,,100.63,1.06,0.86,0.29,1.11,0.69,0.82,14.24,9.42,17.79,27.21,21.3,8.3,21-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Jul-2018 - 00:00,751.92,55.2,142.29,,191.35,0.7,0.89,0.29,0.97,0.61,0.98,12.44,9.62,16.05,25.67,16.2,8.66,22-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Jul-2018 - 00:00,752.05,57.09,25.74,,275.17,0.72,0.5,0.18,0.66,0.46,0.74,11.63,10.88,18.83,29.71,18.97,9.16,23-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Jul-2018 - 00:00,751.44,60.18,25.61,,280.03,0.79,0.8,0.27,1.12,0.69,0.8,10.14,10.81,14.47,25.28,17.94,9.76,24-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Jul-2018 - 00:00,751.64,51.12,30.79,,261.13,0.82,0.64,0.22,0.96,0.62,0.99,10.15,12.4,15.23,27.62,14.94,9.0,25-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Jul-2018 - 00:00,751.46,75.39,25.1,,240.21,0.71,0.48,0.18,0.71,0.49,0.73,9.24,12.41,14.86,27.27,12.14,9.13,26-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
