from date,BP,PM10,PM2.5,RF,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
10-Dec-2018 - 00:00,760.54,127.08,46.24,,162.82,1.4,0.94,0.29,1.08,0.48,0.94,24.11,11.68,37.45,49.13,61.26,8.66,11-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Dec-2018 - 00:00,761.11,134.89,37.51,,119.35,1.45,0.55,0.06,0.17,0.08,0.83,18.7,7.05,23.08,30.13,91.67,7.89,12-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Dec-2018 - 00:00,761.91,95.39,34.09,,106.5,1.4,0.68,0.12,0.45,0.24,0.88,18.19,7.35,21.03,28.38,77.56,5.65,13-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Dec-2018 - 00:00,764.64,76.51,32.23,,71.11,1.81,0.78,0.18,0.75,0.33,0.96,12.69,10.91,36.95,47.86,41.5,6.29,14-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Dec-2018 - 00:00,766.43,63.26,23.6,,65.26,1.79,0.64,0.13,0.58,0.26,0.79,10.0,9.82,34.38,44.2,52.38,7.57,15-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Dec-2018 - 00:00,766.3,73.18,25.32,,42.98,1.76,0.77,0.16,0.75,0.38,0.75,10.06,12.04,39.16,51.2,44.57,8.23,16-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Dec-2018 - 00:00,766.15,349.85,23.25,,72.69,1.9,0.78,0.13,0.54,0.3,1.01,9.41,12.03,35.94,47.17,50.57,9.48,17-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Dec-2018 - 00:00,765.21,98.03,28.05,,59.5,1.8,1.1,0.21,0.87,0.46,1.32,11.36,10.93,41.02,51.95,47.73,12.73,18-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Dec-2018 - 00:00,764.07,126.48,37.35,,157.36,1.21,2.06,0.68,1.89,0.96,1.73,14.04,20.41,42.83,63.24,45.26,8.27,19-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Dec-2018 - 00:00,763.38,233.19,47.77,,148.2,1.32,3.32,0.98,3.01,1.51,2.45,21.32,50.72,54.14,104.86,34.66,7.04,20-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Dec-2018 - 00:00,763.33,162.8,51.91,,159.28,1.18,3.77,1.33,4.11,2.11,2.37,26.23,60.22,61.98,122.19,23.54,9.36,21-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Dec-2018 - 00:00,762.52,138.63,54.15,,171.14,1.43,3.33,0.94,3.01,1.95,2.13,19.91,40.33,51.54,91.87,32.07,9.14,22-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Dec-2018 - 00:00,762.39,143.59,48.29,,117.47,1.27,1.14,0.16,0.72,0.38,1.1,12.46,15.44,38.3,53.74,58.44,5.58,23-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Dec-2018 - 00:00,762.75,128.62,43.53,,98.25,1.39,0.57,0.07,0.19,0.09,0.89,7.94,7.25,19.66,26.9,97.76,6.76,24-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Dec-2018 - 00:00,762.45,141.13,50.0,,128.69,1.4,0.99,0.24,0.88,0.41,1.43,10.62,12.88,32.55,45.43,77.46,7.41,25-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Dec-2018 - 00:00,762.29,134.89,45.24,,113.71,1.49,0.9,0.21,0.76,0.38,1.22,9.99,12.06,35.82,47.88,55.8,6.75,26-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Dec-2018 - 00:00,761.31,143.52,49.59,,135.17,1.42,2.4,0.51,1.79,0.84,1.87,15.5,39.68,44.12,83.8,35.59,6.27,27-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Dec-2018 - 00:00,762.36,146.52,48.54,,229.36,1.55,1.37,0.3,1.24,0.62,0.95,10.6,15.59,39.95,55.54,34.45,7.43,28-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Dec-2018 - 00:00,762.72,152.26,50.58,,212.29,1.4,2.2,0.61,2.04,1.12,1.64,14.75,33.12,47.13,80.24,29.6,9.73,29-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Dec-2018 - 00:00,764.11,189.9,57.85,,156.17,1.29,3.39,0.89,2.56,1.29,2.3,21.13,57.37,54.97,111.92,29.3,5.13,30-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Dec-2018 - 00:00,765.36,145.87,48.07,,148.3,1.36,1.61,0.43,1.6,0.78,1.26,16.11,37.59,40.07,77.65,41.79,3.87,31-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Dec-2018 - 00:00,765.67,132.24,50.58,,141.79,1.18,4.61,0.86,3.25,1.54,1.09,21.6,50.32,63.21,113.53,0.59,1.65,01-Jan-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
