from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
12-Feb-2018 - 00:00,12.84,2.92,742.84,0.35,33.72,10.44,42.77,53.14,46.83,150.62,70.12,1.92,65.88,10.63,70.09,100.5,2.45,0.22,10.04,13-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Feb-2018 - 00:00,13.46,8.19,742.72,0.72,29.1,57.85,63.05,101.76,32.89,170.88,102.83,4.97,67.69,10.64,96.43,209.64,0.61,-0.11,16.27,14-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Feb-2018 - 00:00,13.44,3.53,742.85,0.33,27.2,12.95,45.9,56.16,54.49,169.25,80.92,2.04,55.94,12.3,106.86,238.94,1.38,-0.16,13.2,15-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Feb-2018 - 00:00,14.46,4.3,742.91,0.62,30.73,16.58,54.46,71.98,58.46,202.79,96.42,2.89,56.43,17.12,104.83,231.11,1.41,-0.2,14.72,16-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Feb-2018 - 00:00,15.15,6.09,742.96,1.03,38.68,31.13,69.97,101.12,47.31,233.88,146.33,4.6,60.52,27.29,101.63,232.75,0.95,-0.15,16.64,17-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Feb-2018 - 00:00,15.92,6.16,742.97,1.45,39.22,40.59,79.39,124.41,46.53,256.33,131.46,5.45,58.64,36.18,103.61,229.39,1.1,-0.17,18.31,18-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Feb-2018 - 00:00,15.76,6.79,742.98,1.68,38.01,76.91,76.24,98.09,47.85,248.29,141.62,6.48,56.1,26.09,109.47,228.02,0.93,-0.15,18.47,19-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Feb-2018 - 00:00,15.48,9.32,742.98,2.41,33.51,168.84,87.13,198.22,40.04,289.62,156.62,12.58,53.24,26.35,106.2,223.74,0.77,-0.13,23.83,20-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Feb-2018 - 00:00,16.95,12.92,742.96,2.45,40.26,92.24,96.5,172.49,48.27,365.46,208.17,8.93,53.05,27.91,106.16,226.24,0.8,-0.12,18.88,21-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Feb-2018 - 00:00,19.06,16.23,742.98,3.69,34.44,122.86,95.76,148.19,36.48,378.29,178.88,17.67,53.5,25.45,101.06,207.57,0.56,-0.11,29.97,22-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
