from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
12-Aug-2018 - 00:00,27.37,0.9,989.96,1.18,17.65,9.93,21.91,19.55,19.73,74.96,29.57,,68.71,16.2,77.98,216.25,0.69,0.01,9.92,13-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Aug-2018 - 00:00,27.8,1.43,989.97,1.09,35.88,15.05,58.69,43.49,26.71,95.55,36.15,,67.52,15.01,116.27,199.02,0.74,0.01,15.09,14-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Aug-2018 - 00:00,29.25,2.12,989.97,1.32,39.39,23.2,77.01,59.87,31.43,129.5,52.1,,64.81,15.79,112.19,185.39,0.62,0.0,17.03,15-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Aug-2018 - 00:00,28.89,0.99,989.98,,39.81,3.73,37.99,23.25,37.88,115.19,46.97,,65.41,14.64,127.7,190.44,0.94,0.09,9.16,16-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Aug-2018 - 00:00,28.26,3.07,989.98,1.74,40.15,64.88,64.33,87.11,25.45,92.88,45.19,,69.57,17.59,109.03,174.73,0.74,0.08,21.24,17-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Aug-2018 - 00:00,29.74,2.75,990.0,0.86,18.49,27.41,19.55,32.74,28.06,83.27,38.4,,66.53,13.02,127.66,138.93,1.23,0.18,26.29,18-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Aug-2018 - 00:00,29.04,2.02,989.81,0.8,23.43,18.09,26.06,28.61,26.96,78.86,35.62,,68.84,13.84,122.01,140.0,0.93,0.04,19.48,19-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Aug-2018 - 00:00,26.34,3.3,989.63,1.18,17.34,24.2,19.8,30.27,23.45,93.99,53.7,,79.06,15.7,58.58,184.31,0.48,0.02,30.25,20-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Aug-2018 - 00:00,28.49,3.07,989.91,1.0,21.01,18.53,24.58,28.18,41.38,133.76,76.95,,72.27,12.74,108.53,166.44,0.87,0.08,25.66,21-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Aug-2018 - 00:00,29.27,1.34,990.01,0.86,17.77,6.96,19.12,15.85,28.82,71.39,33.67,,65.27,14.06,128.28,142.44,1.22,0.11,13.43,22-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Aug-2018 - 00:00,28.99,1.71,990.03,0.82,15.74,10.44,17.16,17.64,26.03,77.49,33.91,,67.63,15.77,117.35,164.7,0.89,0.09,14.91,23-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Aug-2018 - 00:00,26.77,1.01,990.01,0.64,13.54,5.46,11.58,10.62,17.71,66.54,31.9,,75.6,14.64,84.26,220.23,0.84,0.03,11.47,24-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Aug-2018 - 00:00,27.51,1.15,990.02,0.79,14.28,13.29,17.53,20.16,18.93,93.66,30.73,,70.12,15.2,96.29,227.54,1.04,,10.88,25-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Aug-2018 - 00:00,27.78,0.71,989.71,0.55,9.39,4.1,8.64,9.01,21.06,93.65,26.99,,65.6,16.1,115.06,229.79,1.54,,9.57,26-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Aug-2018 - 00:00,28.68,0.87,990.04,0.65,8.22,4.14,9.82,8.61,26.05,88.65,32.49,,62.12,16.17,133.48,203.93,1.16,0.0,9.3,27-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Aug-2018 - 00:00,27.01,1.99,990.02,0.92,9.61,9.01,16.88,16.34,21.21,67.88,37.15,,72.88,16.65,95.29,159.41,0.78,0.02,17.15,28-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Aug-2018 - 00:00,25.87,2.05,989.9,0.9,16.73,15.58,27.11,27.13,,62.53,40.74,,80.39,16.37,89.85,155.34,0.84,0.04,19.81,29-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Aug-2018 - 00:00,26.17,1.54,989.83,0.95,9.24,10.35,11.33,14.44,8.51,59.66,37.26,,78.1,17.3,86.59,150.88,1.0,0.07,15.55,30-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Aug-2018 - 00:00,28.35,2.41,989.88,1.05,7.36,10.73,9.41,13.76,21.96,100.52,59.64,,72.17,15.08,136.44,216.03,0.57,0.0,23.83,31-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
31-Aug-2018 - 00:00,28.58,2.32,989.98,0.9,8.15,9.5,12.07,14.16,17.63,166.67,55.67,,68.12,18.26,119.02,199.46,0.89,,20.32,01-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Sep-2018 - 00:00,25.39,3.71,989.8,1.26,9.59,15.48,14.16,20.16,12.79,120.08,58.23,,80.39,16.24,41.39,188.0,0.54,0.01,30.34,02-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Sep-2018 - 00:00,24.41,3.19,989.88,1.02,10.58,12.98,12.46,17.22,31.17,84.86,48.3,,81.31,15.56,67.64,201.67,0.5,,31.33,03-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Sep-2018 - 00:00,24.18,3.56,989.91,1.25,10.03,18.95,17.49,24.76,24.77,86.02,57.48,,82.85,17.09,49.63,155.64,0.38,0.03,27.07,04-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Sep-2018 - 00:00,24.32,2.79,989.94,1.12,7.82,14.53,14.06,19.33,16.69,90.35,61.94,,81.57,16.45,55.38,211.83,0.43,0.0,23.55,05-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Sep-2018 - 00:00,25.33,1.89,989.95,1.0,7.06,12.66,11.38,16.39,17.93,104.26,46.89,,76.56,17.27,98.03,219.96,0.53,,16.87,06-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Sep-2018 - 00:00,26.72,2.01,989.95,0.83,7.71,10.57,11.9,14.94,26.69,130.34,46.36,,71.35,15.74,130.42,209.04,0.85,,19.75,07-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Sep-2018 - 00:00,25.51,3.54,989.99,1.25,8.78,20.87,18.42,26.82,26.39,89.4,52.15,,77.72,17.08,81.57,186.68,0.43,0.03,29.07,08-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Sep-2018 - 00:00,25.57,2.28,989.93,0.86,7.54,12.47,11.33,16.19,19.41,84.1,51.47,,75.48,15.76,95.47,106.71,1.69,0.12,18.6,09-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Sep-2018 - 00:00,25.36,0.69,989.96,0.61,6.47,3.83,6.81,6.74,17.27,46.43,34.35,,72.51,16.83,105.01,122.2,1.84,0.2,8.69,10-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Sep-2018 - 00:00,25.79,0.89,989.98,0.69,6.24,3.5,7.76,6.99,24.5,67.76,37.09,,73.82,16.9,95.52,213.45,0.52,0.02,8.85,11-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Sep-2018 - 00:00,27.38,0.94,990.0,0.72,6.66,5.38,9.54,9.46,20.82,87.76,34.87,,70.1,18.17,116.99,232.14,1.03,,10.02,12-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-Sep-2018 - 00:00,27.6,0.64,989.98,0.65,6.81,4.43,10.01,8.93,18.15,135.48,32.04,,65.46,15.91,125.82,227.2,1.67,,7.94,13-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Sep-2018 - 00:00,27.55,0.04,989.98,0.65,5.95,6.09,8.43,9.46,17.98,154.7,36.44,,60.29,16.93,130.54,227.24,1.57,,1.38,14-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Sep-2018 - 00:00,27.38,0.0,990.02,0.99,5.93,16.51,10.34,18.96,21.81,136.55,41.86,,60.37,19.01,130.58,224.86,1.14,,0.0,15-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Sep-2018 - 00:00,27.51,0.0,989.92,1.05,7.24,20.22,14.71,23.57,24.46,132.04,46.18,,58.07,16.9,126.43,215.79,0.99,0.8,0.06,16-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Sep-2018 - 00:00,27.51,0.0,990.03,0.52,11.12,24.79,19.59,30.61,20.77,140.58,49.48,,61.02,17.16,133.4,215.14,1.01,,0.04,17-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Sep-2018 - 00:00,27.81,0.0,990.01,0.75,6.75,12.14,8.65,14.51,38.76,184.57,60.17,,61.56,16.07,126.25,220.12,0.75,,0.0,18-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Sep-2018 - 00:00,27.83,0.0,989.99,0.81,7.38,7.89,12.51,13.09,37.76,208.53,60.86,,58.48,17.1,128.8,214.9,0.76,,0.0,19-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Sep-2018 - 00:00,27.52,0.0,990.0,0.98,9.81,18.81,18.82,25.34,44.22,213.72,64.9,,58.88,17.65,129.36,209.81,0.68,,0.0,20-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Sep-2018 - 00:00,28.02,0.0,990.0,1.37,20.15,49.68,47.5,63.81,52.75,222.8,88.31,,58.45,16.98,125.5,170.8,0.68,0.02,0.0,21-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Sep-2018 - 00:00,26.42,0.0,989.97,0.74,25.02,8.79,27.65,21.83,28.07,99.54,43.27,,62.87,17.84,116.89,122.96,2.16,0.26,0.0,22-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Sep-2018 - 00:00,22.86,0.0,989.79,0.77,21.93,16.21,28.93,28.56,18.22,54.08,27.89,,79.17,16.13,45.16,103.12,2.2,0.24,0.0,23-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Sep-2018 - 00:00,24.14,0.0,989.87,0.72,21.3,7.69,21.95,17.96,26.89,59.3,33.49,,76.95,16.36,67.04,103.81,2.92,0.28,0.02,24-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Sep-2018 - 00:00,22.26,0.0,989.8,0.66,40.41,28.85,78.87,65.47,16.29,36.11,22.74,,83.62,16.43,44.55,158.02,1.23,0.13,0.0,25-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Sep-2018 - 00:00,21.27,0.01,989.89,0.89,25.27,24.13,40.56,41.26,21.88,58.35,31.03,,81.66,16.62,61.31,227.24,0.85,,0.06,26-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Sep-2018 - 00:00,24.59,,989.92,0.69,22.76,74.32,53.47,89.03,30.66,116.03,48.59,,71.46,18.21,131.01,214.76,0.67,,,27-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Sep-2018 - 00:00,25.51,,989.92,2.54,29.67,181.04,59.15,205.09,39.28,188.68,85.76,,70.29,17.81,124.8,211.79,0.56,,,28-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Sep-2018 - 00:00,26.27,,989.94,2.92,35.62,172.5,61.94,196.8,36.65,202.82,96.5,,64.85,18.67,125.66,204.59,0.64,,,29-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Sep-2018 - 00:00,26.48,,989.94,1.83,38.33,117.92,77.07,147.04,35.74,217.62,83.68,,61.61,14.08,124.5,208.01,0.7,0.0,,30-Sep-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Sep-2018 - 00:00,26.01,,989.95,1.5,39.0,66.23,63.62,87.83,43.69,164.15,71.76,,62.2,16.98,125.99,209.88,0.84,,,01-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Oct-2018 - 00:00,26.11,,989.98,1.9,35.1,103.17,76.59,147.14,42.41,215.34,87.98,,61.54,18.01,124.0,207.23,0.63,,,02-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Oct-2018 - 00:00,26.46,,989.99,1.19,41.32,97.29,68.49,115.67,36.7,193.33,83.74,,60.15,13.62,123.6,207.39,0.67,,,03-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Oct-2018 - 00:00,26.39,,989.96,1.85,36.05,130.45,87.96,156.01,20.4,164.58,66.64,,54.56,18.31,120.21,204.69,0.63,0.0,,04-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Oct-2018 - 00:00,26.13,,989.97,1.76,46.04,108.32,92.25,145.54,5.38,233.52,100.06,,59.04,16.47,115.79,189.84,0.67,0.03,,05-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Oct-2018 - 00:00,25.81,,989.99,2.1,54.84,200.84,115.4,232.88,48.53,284.85,130.81,,61.26,17.03,112.02,180.11,0.55,0.0,111.36,06-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Oct-2018 - 00:00,25.02,,989.99,1.81,42.76,146.02,81.43,183.86,37.59,247.35,100.29,,57.56,17.61,120.03,202.39,0.59,,108.54,07-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Oct-2018 - 00:00,24.69,,989.98,1.96,43.12,156.79,87.73,182.95,45.53,259.4,100.46,,56.53,19.72,119.36,195.45,0.6,,104.35,08-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Oct-2018 - 00:00,25.0,,990.01,2.35,50.86,140.02,107.01,188.68,50.51,338.55,145.1,,59.25,19.6,114.16,191.3,0.53,0.0,101.55,09-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Oct-2018 - 00:00,25.19,,990.0,2.44,48.9,59.0,80.83,94.71,58.9,290.69,129.85,,58.16,22.32,115.5,149.38,0.92,0.09,101.45,10-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Oct-2018 - 00:00,25.54,,989.98,1.37,46.77,32.14,79.94,70.95,42.09,217.91,93.71,,60.27,18.92,111.38,122.43,1.39,0.16,,11-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Oct-2018 - 00:00,23.5,,989.97,1.16,36.68,19.69,59.52,47.71,39.13,203.01,71.28,,57.19,18.91,105.09,143.1,1.42,0.05,,12-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-Oct-2018 - 00:00,22.63,,989.99,1.72,27.93,103.45,81.1,127.48,38.27,220.24,91.42,,51.57,23.74,112.67,164.24,0.6,0.0,,13-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Oct-2018 - 00:00,21.82,,990.02,1.58,32.4,135.49,68.51,154.27,47.27,366.88,124.47,,56.82,20.12,113.05,206.0,0.62,,,14-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Oct-2018 - 00:00,22.09,,990.0,1.5,27.83,77.32,62.87,96.48,44.2,,104.35,,51.74,20.32,115.93,212.18,0.81,,,15-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Oct-2018 - 00:00,22.68,,990.01,2.31,32.0,122.92,77.92,141.24,49.78,401.98,136.89,,55.63,22.43,110.36,198.28,0.52,0.0,,16-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Oct-2018 - 00:00,23.18,,990.03,2.7,39.63,185.8,76.56,212.71,60.17,323.09,138.91,,59.59,17.8,98.23,191.03,0.46,0.0,,17-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Oct-2018 - 00:00,23.63,,990.02,2.21,38.42,106.84,61.34,144.02,46.41,337.23,144.76,,55.2,17.63,109.71,194.14,0.49,0.0,,18-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Oct-2018 - 00:00,22.4,,990.01,2.7,39.56,199.83,62.19,201.3,32.38,306.28,134.48,,61.09,18.59,95.94,163.51,0.7,0.09,,19-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Oct-2018 - 00:00,22.67,,990.04,1.58,44.79,57.84,104.91,102.95,37.93,305.77,143.71,,54.61,16.5,101.54,192.7,0.53,0.0,,20-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Oct-2018 - 00:00,22.47,,990.05,1.64,52.17,116.67,126.4,162.21,46.88,328.85,173.93,,51.37,20.93,103.74,187.17,0.45,,,21-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Oct-2018 - 00:00,21.23,,990.04,,49.43,176.98,104.56,199.91,41.68,320.9,156.96,,53.36,21.61,103.65,186.95,0.52,,,22-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Oct-2018 - 00:00,20.56,,990.02,3.02,46.79,147.92,105.06,176.4,41.17,287.08,124.82,,50.07,20.79,104.72,206.45,0.75,,,23-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Oct-2018 - 00:00,21.14,,990.02,2.37,37.14,98.13,110.37,155.46,41.34,361.51,141.24,,48.22,17.77,104.57,203.31,0.59,,,24-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Oct-2018 - 00:00,21.18,,990.01,3.11,47.19,184.17,125.51,223.86,48.86,388.54,188.36,,56.34,15.47,99.65,184.58,0.48,0.03,,25-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Oct-2018 - 00:00,20.64,,990.02,3.36,41.8,211.45,120.59,235.68,38.08,389.45,177.28,,60.01,15.1,96.54,176.08,0.55,0.01,,26-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Oct-2018 - 00:00,19.92,,990.06,3.43,32.41,178.9,65.6,194.49,28.74,392.07,188.67,,62.0,11.66,83.34,176.62,0.42,0.0,,27-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Oct-2018 - 00:00,19.79,,990.05,3.13,30.94,136.18,53.32,139.38,37.57,411.7,224.41,,63.99,9.57,87.17,188.03,0.44,,,28-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Oct-2018 - 00:00,20.13,,990.06,1.54,29.56,118.47,42.93,119.42,44.9,405.23,233.95,,61.88,9.48,96.78,199.19,0.49,,,29-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Oct-2018 - 00:00,20.06,,990.01,3.87,30.74,125.8,50.7,129.53,36.72,473.46,289.06,,62.27,8.94,92.0,203.52,0.45,,,30-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Oct-2018 - 00:00,20.14,,990.0,2.81,31.16,165.62,56.64,165.16,33.21,479.66,263.43,,64.11,6.97,84.96,194.08,0.4,0.0,,31-Oct-2018 - 00:00,"R K Puram, Delhi - DPCC"
31-Oct-2018 - 00:00,20.01,,990.01,2.96,29.69,165.97,48.16,160.93,39.91,422.71,231.85,,66.23,5.77,88.64,179.94,0.42,0.0,,01-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Nov-2018 - 00:00,19.97,,990.01,2.97,34.3,162.51,53.59,160.99,35.61,404.82,226.27,,66.23,6.99,83.97,170.69,0.52,0.03,,02-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Nov-2018 - 00:00,20.47,,990.06,2.44,33.17,127.85,55.87,133.95,36.79,368.08,210.42,,63.1,5.69,83.53,157.85,0.59,0.04,,03-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Nov-2018 - 00:00,21.11,,990.05,1.1,36.59,14.72,55.29,41.14,21.21,305.51,170.43,,58.29,6.11,79.59,120.04,1.5,0.14,,04-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Nov-2018 - 00:00,20.19,,990.05,0.77,35.92,5.03,53.31,32.46,14.28,173.72,101.39,,53.0,5.2,92.89,168.22,1.21,0.09,,05-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Nov-2018 - 00:00,16.5,,990.01,1.36,48.73,36.06,82.04,73.04,26.92,493.06,351.61,,63.76,6.24,76.66,214.4,0.85,,,06-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Nov-2018 - 00:00,17.72,,989.98,1.0,25.91,22.11,59.08,49.44,42.14,326.03,183.1,,43.53,4.31,96.77,215.6,1.14,,,07-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Nov-2018 - 00:00,16.05,,990.0,1.79,23.4,68.89,51.19,83.4,52.8,345.52,230.82,,45.25,12.19,96.23,210.01,0.79,0.0,,08-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Nov-2018 - 00:00,14.83,,990.02,2.42,28.15,159.31,65.61,164.77,22.79,565.0,399.5,,62.14,14.33,73.57,174.49,0.33,,,09-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Nov-2018 - 00:00,16.14,,990.03,2.7,32.92,164.77,68.5,182.71,41.62,376.55,298.17,,64.01,8.36,82.86,183.06,0.37,0.0,,10-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Nov-2018 - 00:00,16.17,,990.1,3.11,43.93,203.56,88.41,214.43,46.66,569.37,321.36,,69.43,6.65,72.16,169.4,0.42,0.03,,11-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Nov-2018 - 00:00,17.38,,990.08,2.79,57.7,128.22,99.33,160.62,68.2,424.85,226.64,,65.25,6.99,84.0,188.54,0.4,0.0,,12-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-Nov-2018 - 00:00,17.81,,990.05,2.42,62.88,191.77,145.14,228.66,68.98,498.43,291.08,,67.37,7.29,79.08,176.85,0.44,0.03,,13-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Nov-2018 - 00:00,17.82,,990.74,2.16,63.81,160.29,134.98,208.46,48.52,420.92,254.06,,69.5,5.36,54.32,178.38,0.57,0.03,,14-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Nov-2018 - 00:00,18.49,,994.12,2.04,56.59,80.64,89.18,121.07,38.87,215.14,129.69,,69.3,5.48,76.55,155.47,0.86,0.05,,15-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Nov-2018 - 00:00,17.87,,,1.25,51.31,49.94,87.4,87.21,32.55,182.55,102.85,,68.77,3.89,88.15,182.43,0.61,0.0,,16-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Nov-2018 - 00:00,16.46,,989.99,0.93,37.84,16.9,87.09,60.09,41.32,242.38,142.83,,57.02,4.0,96.97,220.77,1.21,,,17-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Nov-2018 - 00:00,15.87,,989.99,2.23,34.09,104.1,98.7,137.45,38.19,272.49,143.09,,59.14,5.41,93.56,204.96,0.76,,,18-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Nov-2018 - 00:00,16.48,,991.56,2.14,39.28,158.31,94.81,179.5,37.18,272.35,152.94,,62.68,5.65,90.71,164.71,0.65,0.11,,19-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Nov-2018 - 00:00,18.15,,989.99,1.45,44.69,36.84,104.63,85.68,37.16,297.03,173.45,,57.09,4.76,77.9,129.21,1.15,0.16,,20-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Nov-2018 - 00:00,17.71,,991.11,2.03,51.53,129.61,116.5,167.63,36.98,380.53,216.97,,65.49,6.16,85.3,196.45,0.5,,,21-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Nov-2018 - 00:00,16.54,,990.17,1.79,44.5,127.51,109.64,162.61,37.41,366.2,223.85,,60.48,6.47,89.4,198.56,0.68,,,22-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Nov-2018 - 00:00,16.51,,990.0,2.23,31.94,117.29,138.32,163.55,28.82,303.88,134.25,,52.96,7.98,84.28,191.97,0.48,0.0,,23-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Nov-2018 - 00:00,16.57,,990.0,1.44,38.02,96.37,113.57,153.27,34.06,305.72,167.02,,51.73,5.91,88.77,208.09,0.8,,,24-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Nov-2018 - 00:00,16.18,,990.04,1.13,31.96,40.24,87.16,79.17,24.87,257.57,106.06,,49.44,5.81,93.21,215.25,1.16,,,25-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Nov-2018 - 00:00,15.77,,990.06,1.49,33.75,113.2,106.47,148.92,25.02,262.41,122.46,,54.16,7.6,88.93,203.82,0.62,,,26-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Nov-2018 - 00:00,15.32,,990.04,1.33,42.41,134.36,116.29,168.15,33.07,394.76,223.05,,64.66,12.16,84.23,194.34,0.51,,,27-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Nov-2018 - 00:00,15.72,,990.07,3.02,44.44,201.64,91.71,224.45,29.27,339.93,189.7,,66.12,6.9,77.0,173.96,0.55,0.03,,28-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Nov-2018 - 00:00,16.16,,990.05,2.98,45.85,173.36,94.34,195.39,27.11,355.29,193.9,,69.41,7.3,71.51,165.77,0.49,0.03,104.79,29-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Nov-2018 - 00:00,15.7,,990.03,1.68,44.83,139.48,107.89,191.56,25.42,354.98,184.21,,67.58,4.87,73.73,204.34,0.66,,101.52,30-Nov-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Nov-2018 - 00:00,15.24,,989.98,1.74,39.65,112.71,109.03,149.87,25.29,324.98,187.01,,63.17,5.7,78.94,197.44,0.66,,,01-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Dec-2018 - 00:00,14.52,,989.99,2.45,35.29,85.52,99.57,128.09,25.74,351.51,171.3,,60.89,6.67,81.27,204.15,0.71,,,02-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Dec-2018 - 00:00,13.78,,990.05,2.71,35.14,209.9,93.66,223.03,28.03,335.56,187.04,,62.11,7.32,78.34,181.07,0.48,0.0,100.62,03-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Dec-2018 - 00:00,13.67,,990.02,3.07,37.82,181.31,112.73,212.14,27.52,412.05,214.82,,62.6,6.49,76.54,193.09,0.51,,102.72,04-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Dec-2018 - 00:00,13.24,,990.1,1.88,40.38,197.36,115.81,242.44,26.04,411.05,217.52,,65.43,4.93,69.57,190.6,0.44,,,05-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Dec-2018 - 00:00,13.11,,990.11,0.76,40.44,168.09,100.13,202.61,26.03,385.92,216.44,,65.68,5.97,74.08,198.35,0.55,,,06-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Dec-2018 - 00:00,13.0,7.66,990.15,3.72,40.46,228.58,115.07,254.6,24.64,411.64,226.78,,67.66,5.28,67.4,182.71,0.47,0.0,81.26,07-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Dec-2018 - 00:00,12.39,10.62,990.09,2.86,41.37,175.15,93.39,192.22,24.02,388.61,226.22,,67.92,6.27,69.65,198.33,0.64,0.0,93.48,08-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Dec-2018 - 00:00,12.34,,990.1,2.61,42.55,155.96,104.03,180.5,25.47,416.18,255.54,,67.14,5.69,68.77,194.19,0.45,,101.91,09-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
