from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
15-Jan-2018 - 00:00,32.56,756.96,117.05,168.26,0.0,75.54,332.96,29.38,0.01,160.91,2.2,0.84,0.17,1.07,2.73,1.46,56.54,2.27,30.49,,73.64,15.26,16-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Jan-2018 - 00:00,33.87,755.78,80.08,121.24,0.0,74.71,243.12,29.69,-0.01,188.1,2.22,0.51,0.1,0.59,1.62,1.29,37.57,2.5,24.98,,75.59,12.03,17-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Jan-2018 - 00:00,31.67,756.12,69.88,114.52,0.0,69.76,186.89,29.66,-0.0,173.91,2.25,0.52,0.12,0.77,1.84,1.02,28.45,2.39,27.15,22.06,77.76,12.87,18-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Jan-2018 - 00:00,28.86,756.49,65.99,112.7,0.0,70.25,197.45,28.52,-0.01,199.7,2.32,0.49,0.14,0.84,1.92,1.22,26.64,2.65,29.16,17.76,75.91,13.17,19-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Jan-2018 - 00:00,27.71,757.33,78.61,130.0,0.0,71.9,183.67,29.17,0.0,176.72,2.06,0.62,0.18,1.11,2.56,1.09,30.84,2.79,33.82,20.23,70.9,15.03,20-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Jan-2018 - 00:00,26.16,756.77,81.06,132.59,0.0,73.07,187.91,29.81,-0.01,185.95,2.19,0.53,0.15,0.97,2.05,1.25,32.43,2.45,30.39,18.24,82.61,18.44,21-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Jan-2018 - 00:00,26.14,756.02,83.66,137.05,0.0,70.65,189.56,29.58,0.01,177.86,2.63,0.5,0.09,0.58,1.69,0.97,29.81,1.85,27.82,16.31,94.97,18.97,22-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Jan-2018 - 00:00,26.05,755.17,85.84,142.09,0.0,73.26,190.57,29.65,-0.01,222.27,2.4,0.53,0.13,0.8,1.98,1.29,32.04,2.45,30.53,18.31,92.56,17.44,23-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Jan-2018 - 00:00,26.47,754.61,73.78,125.34,0.0,71.12,187.08,29.64,-0.01,192.89,2.17,0.54,0.14,0.83,1.92,1.01,28.51,2.56,28.27,17.2,84.18,12.57,24-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Jan-2018 - 00:00,26.73,753.55,78.6,130.58,0.0,73.71,188.07,29.79,-0.01,204.1,2.17,0.58,0.17,0.86,1.96,1.22,36.19,2.67,29.39,17.8,79.89,12.07,25-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Jan-2018 - 00:00,27.35,752.9,91.67,152.62,0.0,73.16,187.49,29.7,0.0,221.45,1.86,0.67,0.2,1.11,2.35,1.44,51.22,3.18,35.19,21.39,64.02,11.91,26-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Jan-2018 - 00:00,27.21,754.02,81.91,137.82,0.0,77.05,186.08,29.37,0.01,174.73,2.43,0.61,0.1,0.77,1.96,1.12,42.1,2.39,29.63,17.71,64.83,10.95,27-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Jan-2018 - 00:00,27.42,754.61,76.77,127.81,0.0,74.67,187.18,29.53,0.01,178.71,2.56,0.49,0.11,0.67,1.72,1.15,30.39,2.59,26.84,16.46,70.94,10.1,28-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Jan-2018 - 00:00,27.51,755.89,75.68,141.67,0.0,70.78,186.25,29.74,0.04,112.22,2.42,0.51,0.08,0.65,1.73,0.96,25.95,1.93,26.98,15.92,84.68,11.74,29-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Jan-2018 - 00:00,27.2,757.3,74.7,130.85,0.0,70.53,186.91,29.77,0.02,151.22,2.44,0.49,0.11,0.73,1.7,1.18,24.61,2.43,27.7,16.8,87.54,11.11,30-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Jan-2018 - 00:00,25.66,757.41,73.88,127.04,0.0,70.73,188.23,29.59,-0.02,198.35,2.38,0.58,0.13,0.75,1.69,1.27,25.54,2.36,28.27,17.05,81.3,13.31,31-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
31-Jan-2018 - 00:00,26.35,756.98,72.55,133.81,0.0,70.74,191.02,29.65,-0.01,206.64,2.26,0.59,0.12,0.77,2.04,1.29,30.99,2.97,31.68,19.27,71.33,13.21,01-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Feb-2018 - 00:00,26.67,756.42,58.55,122.32,0.0,58.52,190.57,29.64,-0.0,219.54,2.62,0.69,0.22,1.1,2.46,1.26,33.86,3.13,39.48,23.54,60.5,15.86,02-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Feb-2018 - 00:00,26.28,756.04,52.06,119.09,0.0,52.42,191.59,27.64,-0.0,205.76,2.49,0.61,0.17,0.92,2.09,1.16,29.0,3.51,37.97,23.13,66.12,14.46,03-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Feb-2018 - 00:00,25.57,756.93,55.84,127.5,0.0,52.67,193.43,27.79,0.01,181.44,2.43,0.64,0.17,1.05,2.17,0.99,25.53,3.92,38.26,23.53,67.81,16.89,04-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Feb-2018 - 00:00,24.08,757.41,52.45,113.41,0.0,57.54,193.84,27.69,0.01,173.34,2.7,0.53,0.11,0.81,1.86,0.86,24.46,2.89,32.84,19.77,66.0,12.46,05-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Feb-2018 - 00:00,23.87,758.76,50.1,106.19,0.0,63.12,192.42,27.64,0.03,175.24,2.92,0.51,0.09,0.73,1.95,0.93,26.66,3.66,34.7,21.53,56.11,9.67,06-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Feb-2018 - 00:00,23.6,758.39,41.61,90.75,0.0,69.28,191.03,27.68,0.01,181.57,2.6,0.41,0.11,0.73,1.67,0.99,30.0,4.11,30.05,19.33,51.78,8.53,07-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Feb-2018 - 00:00,24.12,756.73,46.58,96.62,0.0,75.92,189.72,28.44,-0.02,228.61,1.87,0.44,0.12,0.72,1.77,1.12,32.91,5.7,35.53,23.53,47.03,10.03,08-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Feb-2018 - 00:00,25.47,754.91,65.91,133.73,0.0,73.97,182.32,27.98,0.03,185.51,2.17,0.67,0.12,0.86,2.16,1.3,40.99,5.91,34.08,23.03,49.46,14.52,09-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Feb-2018 - 00:00,26.03,754.94,36.27,68.21,0.0,74.01,189.33,27.99,0.02,164.28,2.27,0.42,0.09,0.61,1.69,0.92,31.37,4.82,25.23,17.34,37.95,9.38,10-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Feb-2018 - 00:00,25.9,756.79,41.88,86.34,0.0,75.36,183.75,28.09,-0.0,167.55,2.25,0.38,0.09,0.58,1.83,0.92,27.76,3.39,25.77,16.45,37.88,10.04,11-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Feb-2018 - 00:00,25.16,758.31,72.7,123.44,0.0,79.21,183.99,28.12,0.07,117.59,3.06,0.3,0.05,0.54,1.31,0.99,31.94,2.66,24.08,14.97,44.02,8.57,12-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Feb-2018 - 00:00,25.39,759.58,62.91,114.55,0.0,75.91,191.17,28.04,0.08,105.56,3.49,0.31,0.1,0.63,1.69,0.97,24.11,3.13,22.6,14.56,54.85,10.04,13-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Feb-2018 - 00:00,25.35,760.89,56.61,106.17,0.0,67.83,191.82,27.74,0.07,101.19,3.47,0.44,0.07,0.56,1.46,1.01,20.43,2.11,25.95,15.52,84.91,16.11,14-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Feb-2018 - 00:00,24.73,761.12,60.88,122.86,0.0,60.5,192.79,27.76,0.03,135.05,2.88,0.52,0.12,0.76,1.78,1.16,21.27,2.75,30.8,18.61,83.62,15.23,15-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Feb-2018 - 00:00,24.87,760.9,53.31,107.49,0.0,63.29,191.25,28.22,0.01,183.96,2.59,0.53,0.08,0.61,1.59,1.17,24.34,2.9,29.85,18.33,80.04,16.9,16-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Feb-2018 - 00:00,25.2,759.27,53.68,100.24,0.0,68.83,194.52,28.28,-0.0,193.12,2.47,0.45,0.08,0.5,1.48,1.14,27.19,2.89,27.35,16.98,70.07,12.13,17-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Feb-2018 - 00:00,25.77,755.75,43.79,87.93,0.0,74.67,191.86,28.48,0.01,190.8,2.58,0.43,0.08,0.54,1.44,1.08,28.02,3.06,24.21,15.45,62.3,10.78,18-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Feb-2018 - 00:00,25.61,755.06,53.2,92.94,0.0,73.88,192.97,28.55,0.0,154.76,2.48,0.38,0.09,0.48,1.3,1.08,25.76,1.96,23.58,14.14,67.42,12.91,19-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Feb-2018 - 00:00,25.87,755.85,55.22,96.05,0.0,70.0,193.11,28.58,0.06,120.03,2.61,0.44,0.07,0.62,1.57,1.07,23.19,2.38,24.23,14.91,68.85,14.53,20-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Feb-2018 - 00:00,25.48,755.5,56.22,114.64,0.0,68.73,192.95,29.15,0.08,153.32,2.53,0.45,0.09,0.6,1.49,1.05,23.23,2.86,28.59,17.62,56.77,14.29,21-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Feb-2018 - 00:00,25.6,754.22,53.84,123.91,0.0,64.31,191.53,29.86,0.03,172.86,2.48,0.47,0.1,0.74,1.72,1.06,24.06,3.7,30.43,19.18,58.43,15.07,22-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Feb-2018 - 00:00,25.7,753.91,57.01,116.44,0.0,61.86,193.57,29.9,-0.01,193.9,2.49,0.52,0.09,0.71,1.73,1.0,25.35,5.08,31.2,20.72,60.18,15.6,23-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Feb-2018 - 00:00,25.86,755.0,49.72,131.01,0.0,60.32,195.62,30.04,0.03,158.52,2.72,0.54,0.12,0.8,1.84,1.11,25.25,2.6,30.97,18.66,70.54,16.11,24-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Feb-2018 - 00:00,25.55,756.94,53.78,118.17,0.0,62.65,196.39,29.96,0.03,158.91,2.66,0.51,0.1,0.86,1.94,1.04,24.01,4.88,34.67,22.51,53.99,11.21,25-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Feb-2018 - 00:00,25.19,756.86,73.16,136.0,0.0,50.74,197.83,29.67,0.01,200.95,2.38,0.67,0.16,0.95,2.14,1.36,25.25,8.23,42.0,29.03,57.49,14.49,26-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Feb-2018 - 00:00,25.86,755.2,75.19,147.2,0.0,50.64,196.31,29.85,-0.03,235.96,2.1,0.83,0.34,1.67,3.06,1.67,35.45,14.35,47.0,36.67,48.29,10.78,27-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Feb-2018 - 00:00,26.03,754.71,73.92,144.03,0.0,52.11,192.78,29.98,0.0,222.5,2.25,0.72,0.15,1.06,2.34,1.46,39.53,8.22,42.78,29.53,49.71,12.12,28-Feb-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Feb-2018 - 00:00,25.61,754.39,63.31,133.01,0.0,62.78,193.34,30.34,0.01,209.79,2.56,0.54,0.13,0.64,1.68,1.37,36.15,4.61,33.22,21.51,56.55,11.33,01-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Mar-2018 - 00:00,25.75,754.04,42.93,96.22,0.0,64.3,193.93,30.31,0.01,203.8,2.55,0.48,0.16,0.88,1.87,1.07,27.9,3.35,32.78,20.16,47.53,9.23,02-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Mar-2018 - 00:00,25.71,753.24,56.91,110.67,0.0,62.06,195.34,30.31,0.0,212.96,2.51,0.5,0.08,0.65,1.63,1.16,31.03,5.62,31.24,21.19,55.73,10.39,03-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Mar-2018 - 00:00,24.54,752.47,48.64,102.86,0.0,63.38,136.64,30.13,0.0,240.54,2.24,0.47,0.09,0.76,1.67,1.13,27.33,5.2,33.36,21.97,37.56,11.02,04-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Mar-2018 - 00:00,25.62,752.8,40.04,83.41,0.0,53.87,244.87,33.48,-0.04,229.49,3.51,0.33,6.82,0.3,,1.54,34.37,6.73,53.16,33.75,45.18,9.63,05-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Mar-2018 - 00:00,28.89,753.71,28.25,70.78,0.0,51.19,217.54,29.47,-0.0,234.52,2.69,0.05,7.82,0.18,,0.34,28.45,8.65,44.02,28.98,42.09,8.64,06-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Mar-2018 - 00:00,25.29,754.52,60.28,111.61,0.0,65.58,195.57,29.35,-0.03,245.68,2.56,0.09,0.1,0.09,0.28,0.0,33.17,8.56,28.02,21.96,50.95,12.76,07-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Mar-2018 - 00:00,25.64,754.39,47.72,92.07,0.0,71.79,194.6,29.38,-0.01,245.46,2.58,0.05,0.09,0.08,0.23,0.0,28.39,2.92,20.4,13.32,56.14,5.04,08-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Mar-2018 - 00:00,26.8,754.51,61.04,124.38,0.0,69.89,192.85,29.42,0.06,136.66,2.82,0.1,0.08,0.13,0.36,0.0,27.21,5.04,25.79,17.91,75.42,12.7,09-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Mar-2018 - 00:00,27.39,754.84,49.49,100.2,0.0,73.29,188.91,29.62,0.05,134.78,2.67,0.05,0.08,0.09,0.29,,26.48,2.74,20.85,13.42,65.08,11.29,10-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Mar-2018 - 00:00,27.71,754.49,47.43,97.15,0.0,64.84,188.98,29.5,0.0,176.69,2.44,0.08,0.08,0.09,0.35,,21.35,3.35,24.85,15.94,81.3,10.46,11-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Mar-2018 - 00:00,27.77,755.35,41.35,89.03,0.0,66.86,186.0,29.48,0.06,122.88,2.77,0.06,0.08,0.08,0.25,,22.64,2.13,21.58,13.21,79.45,11.59,12-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Mar-2018 - 00:00,27.11,755.85,40.22,85.56,0.0,72.72,189.71,29.66,-0.02,220.56,2.33,0.09,1.14,0.06,9.04,,24.37,5.42,24.17,17.36,57.97,11.46,13-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Mar-2018 - 00:00,27.63,754.95,32.04,70.59,0.0,66.7,192.09,29.48,-0.01,226.88,2.53,0.05,0.09,0.08,0.24,,23.5,3.53,22.04,14.59,56.65,11.89,14-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Mar-2018 - 00:00,27.14,753.6,35.79,70.56,0.0,68.98,192.73,29.23,-0.0,217.01,2.35,0.17,0.1,0.03,25.57,0.3,25.21,3.68,23.63,15.65,47.26,11.2,15-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Mar-2018 - 00:00,27.86,753.31,22.76,47.41,0.0,74.8,191.98,29.41,-0.0,220.35,2.63,0.27,1.92,0.42,30.31,0.7,23.9,3.67,16.01,11.59,40.12,9.33,16-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Mar-2018 - 00:00,27.64,752.89,25.58,58.28,0.0,75.3,185.7,29.55,0.01,200.6,1.98,0.64,0.11,0.49,1.34,0.54,19.6,2.44,17.48,11.29,40.3,8.62,17-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Mar-2018 - 00:00,26.18,754.39,54.38,105.79,0.0,79.17,173.94,29.33,0.02,148.51,1.88,0.51,0.21,1.3,2.34,1.21,24.51,3.65,31.08,19.58,41.71,14.95,18-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Mar-2018 - 00:00,27.5,754.65,49.18,80.9,0.0,63.49,198.12,29.35,0.04,207.75,2.35,0.32,0.06,0.52,1.28,0.43,27.15,2.21,22.56,13.8,70.66,11.2,19-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Mar-2018 - 00:00,27.79,755.46,47.04,86.96,0.0,66.47,198.68,29.44,0.0,207.46,2.44,0.42,0.11,0.58,1.55,2.57,25.81,4.02,23.12,15.58,63.16,11.76,20-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Mar-2018 - 00:00,27.73,754.15,42.43,76.26,0.0,71.7,188.36,29.42,-0.01,181.03,2.25,0.29,0.05,0.48,1.26,0.83,24.17,3.03,21.37,13.93,54.12,10.14,21-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Mar-2018 - 00:00,28.12,752.68,39.42,69.9,0.0,76.01,194.76,29.54,0.0,217.68,2.65,0.19,0.06,0.28,0.93,0.78,23.26,4.31,18.17,13.25,43.0,9.05,22-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Mar-2018 - 00:00,28.34,750.48,32.69,62.93,0.0,76.75,195.22,29.71,0.0,234.66,2.93,0.16,0.08,0.19,0.92,0.47,20.36,3.04,15.65,10.88,54.37,11.1,23-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Mar-2018 - 00:00,29.15,750.52,43.04,80.48,0.0,74.7,190.64,29.65,0.02,226.71,2.84,0.17,0.07,0.18,0.85,0.84,20.15,2.55,16.89,11.13,75.62,17.02,24-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Mar-2018 - 00:00,28.71,753.2,38.84,73.07,0.0,76.8,189.05,29.71,0.02,186.58,2.55,0.14,0.11,0.3,0.83,0.71,18.64,2.67,15.49,10.5,62.55,9.57,25-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Mar-2018 - 00:00,28.68,755.53,33.68,74.05,0.0,72.83,193.43,29.74,0.01,176.57,2.8,0.2,0.07,0.26,0.76,0.62,17.82,1.84,12.26,8.02,63.31,9.43,26-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Mar-2018 - 00:00,27.89,755.38,36.53,75.88,0.0,75.86,195.31,30.08,0.0,230.38,2.94,0.15,0.09,0.28,0.82,0.78,17.73,2.79,15.24,10.38,46.8,8.84,27-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Mar-2018 - 00:00,27.52,753.76,27.4,55.93,0.0,75.4,193.76,30.87,-0.0,227.22,2.72,0.16,1.14,0.27,,0.55,17.87,3.13,15.77,10.93,62.52,7.95,28-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Mar-2018 - 00:00,27.72,752.56,19.51,48.93,0.0,76.85,194.29,30.79,0.01,215.09,2.77,0.2,0.06,0.37,1.11,0.71,17.27,4.14,17.02,12.4,34.54,7.14,29-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Mar-2018 - 00:00,28.25,752.11,20.47,46.92,0.0,76.2,192.78,30.81,0.02,193.77,2.82,0.22,0.07,0.39,1.09,0.71,16.99,2.82,15.06,10.3,46.18,9.6,30-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Mar-2018 - 00:00,29.4,751.66,15.01,41.18,0.0,75.08,195.76,30.8,0.02,195.61,2.94,0.14,0.08,0.29,0.82,0.73,14.82,2.71,13.82,9.66,50.65,7.21,31-Mar-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
31-Mar-2018 - 00:00,31.49,751.6,21.1,53.27,0.0,73.7,228.79,30.64,0.02,157.04,3.01,0.17,0.04,0.3,0.86,0.76,14.59,2.2,15.13,9.84,56.56,9.17,01-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Apr-2018 - 00:00,32.54,751.9,16.0,48.68,0.0,62.54,204.27,31.19,0.01,191.67,3.86,0.2,0.11,0.51,1.36,0.76,42.22,2.07,16.0,9.99,60.12,8.22,03-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Apr-2018 - 00:00,32.03,751.26,18.04,50.19,0.0,69.88,156.98,30.73,0.04,174.57,3.3,0.24,0.08,0.5,1.31,0.75,21.96,2.3,15.38,10.05,40.22,7.49,04-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Apr-2018 - 00:00,31.17,751.06,20.19,57.21,0.01,73.28,198.25,29.92,0.02,160.76,3.08,0.2,0.06,0.2,0.88,0.83,18.28,2.93,16.42,11.11,49.79,11.93,05-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Apr-2018 - 00:00,30.76,750.23,18.6,47.04,0.02,72.71,203.08,28.21,-0.01,207.68,2.93,0.13,0.08,0.09,0.68,0.72,17.27,2.71,17.07,11.38,57.23,9.0,06-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
