from date,Benzene,MP-Xylene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
02-Feb-2018 - 00:00,12.35,13.88,4.0,1.53,2.7,140.49,98.22,115.7,68.98,59.94,226.38,62.54,309.74,24.89,192.47,1.23,36.64,03-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Feb-2018 - 00:00,11.79,12.32,4.34,1.65,2.35,139.62,84.36,108.74,68.9,55.28,232.67,68.84,289.45,25.31,189.88,1.27,36.28,04-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Feb-2018 - 00:00,9.82,14.18,1.43,1.26,4.33,134.8,90.17,108.92,70.05,44.94,211.71,55.87,267.31,25.24,215.65,1.37,26.89,05-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Feb-2018 - 00:00,15.95,19.14,1.1,1.97,2.95,153.98,113.65,129.83,79.23,51.58,296.19,74.41,238.76,25.27,201.57,1.35,47.55,06-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Feb-2018 - 00:00,24.67,152.21,2.06,1.72,2.34,135.2,67.99,99.03,77.13,59.86,263.51,63.45,186.59,25.84,187.5,1.42,54.78,07-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Feb-2018 - 00:00,15.72,80.61,2.35,1.05,2.61,126.85,36.9,80.15,65.21,54.2,238.17,61.25,141.45,25.86,167.38,1.28,47.47,08-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Feb-2018 - 00:00,13.27,26.06,0.97,1.08,2.07,126.76,66.85,93.71,66.04,44.87,231.27,80.3,255.52,24.76,209.01,1.45,39.68,09-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Feb-2018 - 00:00,7.54,22.26,2.06,0.78,2.67,106.48,73.85,86.6,57.48,30.67,153.43,44.43,312.82,24.02,183.32,1.36,31.64,10-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Feb-2018 - 00:00,7.53,16.07,1.64,1.68,1.8,101.92,79.1,86.87,54.7,28.95,141.96,34.88,279.76,23.53,200.74,1.51,35.12,11-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Feb-2018 - 00:00,5.08,10.4,0.83,0.46,2.66,70.58,43.34,54.14,43.51,23.83,96.72,27.66,301.84,23.76,214.99,1.63,28.25,12-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
