from date,CO,PM10,WD,AT,SR,WS,RH,NO,NO2,NOx,SO2,to date,station
24-Jan-2018 - 00:00,0.5,72.91,194.25,23.96,169.05,0.33,57.41,1.96,44.96,22.85,1.24,25-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Jan-2018 - 00:00,0.48,80.44,191.06,24.15,195.66,0.34,47.98,1.94,38.36,19.64,1.03,26-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Jan-2018 - 00:00,0.47,68.3,149.88,23.5,198.07,0.4,43.11,1.96,40.86,20.88,1.01,27-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Jan-2018 - 00:00,0.8,94.24,126.9,22.89,174.81,0.49,49.35,2.17,45.38,23.21,1.32,28-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Jan-2018 - 00:00,0.36,69.89,144.83,23.09,197.68,0.43,50.08,1.93,33.15,17.1,1.16,29-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Jan-2018 - 00:00,0.45,62.83,154.31,23.05,200.08,0.44,46.33,2.01,37.56,19.31,1.05,30-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-Jan-2018 - 00:00,0.43,64.51,139.38,22.59,211.76,0.44,55.37,1.97,37.21,19.11,1.58,31-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
31-Jan-2018 - 00:00,0.47,63.18,105.2,22.81,216.14,0.55,47.42,2.04,42.41,21.67,1.61,01-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Feb-2018 - 00:00,0.48,57.09,48.08,23.31,217.55,0.72,32.24,2.03,49.25,24.99,1.55,02-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Feb-2018 - 00:00,0.48,57.2,37.11,23.86,214.86,0.72,35.82,3.06,47.25,23.03,1.78,03-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Feb-2018 - 00:00,0.44,56.57,28.0,23.12,220.48,0.73,34.64,5.0,36.58,20.7,1.93,04-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Feb-2018 - 00:00,0.43,56.48,54.05,22.46,218.89,0.7,44.66,4.57,29.84,17.15,1.74,05-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Feb-2018 - 00:00,0.44,50.22,54.11,22.76,221.92,0.71,47.59,4.91,31.61,18.22,1.61,06-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Feb-2018 - 00:00,0.47,57.22,142.23,24.98,200.15,0.46,53.5,4.72,30.22,17.42,1.75,07-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Feb-2018 - 00:00,0.47,49.83,214.24,24.19,150.91,0.32,58.11,4.24,22.85,13.53,1.81,08-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Feb-2018 - 00:00,0.7,45.73,245.89,24.56,158.46,0.32,51.63,12.25,36.98,25.31,1.89,09-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Feb-2018 - 00:00,0.41,49.51,220.24,25.54,181.83,0.37,55.63,5.2,30.17,17.69,1.86,10-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Feb-2018 - 00:00,0.47,42.34,219.72,25.42,197.97,0.52,55.86,6.84,35.45,21.27,1.99,11-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Feb-2018 - 00:00,0.39,45.25,237.35,25.11,220.22,0.32,52.41,5.61,25.22,15.53,1.72,12-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Feb-2018 - 00:00,0.44,47.08,195.16,24.33,220.73,0.34,51.64,5.87,24.73,15.45,1.63,13-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Feb-2018 - 00:00,0.39,54.28,219.95,24.57,223.25,0.3,49.58,4.13,22.39,13.25,1.57,14-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Feb-2018 - 00:00,0.41,68.06,216.1,24.16,229.62,0.32,51.74,5.06,24.95,15.06,1.61,15-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Feb-2018 - 00:00,0.44,59.18,232.44,24.4,229.96,0.34,56.12,5.17,25.38,15.34,1.67,16-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Feb-2018 - 00:00,0.48,54.53,143.51,25.15,239.06,0.6,43.98,9.7,34.48,22.53,3.69,17-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Feb-2018 - 00:00,0.48,71.27,120.72,25.32,225.3,0.51,49.37,6.64,34.78,20.82,7.99,18-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Feb-2018 - 00:00,0.38,63.33,165.06,25.38,237.7,0.38,47.38,4.23,28.23,16.16,8.05,19-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Feb-2018 - 00:00,0.5,61.75,98.68,25.41,276.42,0.57,43.47,4.4,29.85,17.01,5.0,20-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Feb-2018 - 00:00,0.43,55.38,80.74,20.64,225.21,0.63,35.54,3.35,23.56,13.38,1.18,21-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Feb-2018 - 00:00,0.45,69.79,33.32,23.74,291.62,0.68,35.46,3.52,33.99,18.27,2.19,22-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Feb-2018 - 00:00,0.41,66.07,32.65,26.83,316.77,0.66,38.79,3.96,30.2,16.78,1.7,23-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Feb-2018 - 00:00,0.5,67.34,35.05,24.26,228.71,0.7,34.37,4.21,34.58,19.25,0.69,24-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Feb-2018 - 00:00,0.47,57.12,93.57,23.05,214.44,0.55,51.91,5.18,27.46,16.19,0.56,25-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Feb-2018 - 00:00,0.46,30.74,157.36,22.73,236.06,0.35,53.42,4.45,19.55,12.07,0.41,26-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Feb-2018 - 00:00,0.51,25.77,127.34,25.6,277.04,0.49,44.96,10.87,32.97,22.4,1.4,27-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Feb-2018 - 00:00,0.51,29.81,141.81,26.34,252.37,0.43,39.9,9.45,32.92,21.63,2.96,28-Feb-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Feb-2018 - 00:00,0.56,58.46,72.76,26.16,255.15,0.63,38.64,6.78,33.18,20.12,2.75,01-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Mar-2018 - 00:00,0.52,96.0,48.83,25.68,318.35,0.7,37.5,4.83,29.43,16.93,2.31,02-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Mar-2018 - 00:00,0.74,103.89,27.24,25.79,264.91,0.69,33.97,3.8,33.11,18.12,2.7,03-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Mar-2018 - 00:00,0.49,127.32,34.85,26.07,218.37,0.69,32.54,6.2,36.11,20.98,2.77,04-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Mar-2018 - 00:00,0.31,80.41,40.42,18.03,105.86,0.44,21.95,2.78,24.66,13.03,1.97,05-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Mar-2018 - 00:00,0.39,93.66,38.74,27.13,252.29,0.7,30.05,6.25,32.29,19.24,2.88,06-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Mar-2018 - 00:00,0.37,109.27,31.59,27.24,257.68,0.73,29.63,5.55,32.6,19.09,2.77,07-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Mar-2018 - 00:00,0.54,115.4,61.1,26.59,251.17,0.66,37.1,4.78,32.58,18.61,2.7,08-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Mar-2018 - 00:00,0.64,125.43,82.05,26.48,260.08,0.56,39.98,5.34,34.09,19.69,3.04,09-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Mar-2018 - 00:00,0.71,134.14,21.56,27.21,254.12,0.67,35.15,6.6,43.82,24.9,3.77,10-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Mar-2018 - 00:00,0.6,137.78,72.25,25.44,224.94,0.49,35.52,3.69,33.14,18.22,3.47,11-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Mar-2018 - 00:00,0.63,124.42,116.71,26.66,237.21,0.47,41.61,3.85,29.1,16.12,3.12,12-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Mar-2018 - 00:00,0.64,104.26,140.37,26.37,266.88,0.41,54.76,4.76,26.17,15.46,2.96,13-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Mar-2018 - 00:00,0.64,62.57,208.5,24.8,118.35,0.31,63.58,6.09,21.84,14.17,2.87,14-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Mar-2018 - 00:00,0.82,83.96,172.59,27.4,192.68,0.35,54.92,5.53,25.59,15.66,3.26,15-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Mar-2018 - 00:00,0.76,52.21,193.68,24.97,174.1,0.44,64.96,7.56,23.96,15.94,3.65,16-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Mar-2018 - 00:00,0.69,34.21,209.27,25.27,240.39,0.55,77.19,6.5,21.93,14.46,3.27,17-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Mar-2018 - 00:00,0.71,33.71,207.35,25.03,206.13,0.54,69.17,4.82,21.97,13.46,2.18,18-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Mar-2018 - 00:00,0.68,34.1,188.39,26.16,227.5,0.33,63.67,4.56,19.54,12.12,2.4,19-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Mar-2018 - 00:00,0.74,58.96,201.62,26.83,261.99,0.39,45.85,5.39,31.74,18.57,2.38,20-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Mar-2018 - 00:00,0.75,69.67,167.87,28.01,253.2,0.44,40.74,5.94,42.42,24.11,2.64,21-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Mar-2018 - 00:00,0.74,112.93,177.05,28.32,243.63,0.37,43.76,4.55,33.64,31.51,2.51,22-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Mar-2018 - 00:00,1.02,181.09,170.97,27.83,226.13,0.52,54.18,11.74,35.82,47.56,3.61,23-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Mar-2018 - 00:00,0.76,137.93,114.04,29.03,267.2,0.49,46.2,10.04,35.82,45.86,3.99,24-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Mar-2018 - 00:00,0.67,139.01,182.13,29.34,211.28,0.4,50.26,4.81,32.43,37.23,3.5,25-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Mar-2018 - 00:00,0.72,112.14,201.75,28.6,245.8,0.39,45.93,4.55,27.58,32.13,3.62,26-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Mar-2018 - 00:00,0.62,92.92,130.14,27.11,260.42,0.49,47.03,6.78,34.17,40.95,5.0,27-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Mar-2018 - 00:00,0.55,72.46,19.88,28.01,311.3,0.49,44.86,7.97,31.82,38.99,6.85,28-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Mar-2018 - 00:00,0.0,0.0,20.75,28.22,292.8,0.56,44.2,0.0,0.0,0.0,0.0,29-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Mar-2018 - 00:00,0.88,132.04,47.77,28.66,260.06,0.56,55.35,5.86,44.18,49.81,1.5,30-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-Mar-2018 - 00:00,0.8,123.75,140.72,27.13,182.37,0.47,58.74,3.56,24.88,28.4,1.57,31-Mar-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
31-Mar-2018 - 00:00,0.87,95.42,253.7,26.52,208.46,0.56,66.84,3.67,24.58,28.25,2.62,01-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Apr-2018 - 00:00,0.85,112.78,216.63,28.45,213.76,0.38,56.36,3.57,22.49,26.07,2.83,02-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Apr-2018 - 00:00,0.93,96.35,234.17,26.63,207.4,0.47,65.14,6.26,28.46,34.72,3.06,03-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Apr-2018 - 00:00,0.97,102.86,249.5,27.24,221.82,0.53,58.65,9.46,39.6,49.01,3.87,04-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Apr-2018 - 00:00,0.85,106.05,204.81,28.53,238.89,0.38,49.78,5.65,35.46,41.08,3.42,05-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Apr-2018 - 00:00,0.91,114.61,216.99,28.08,246.44,0.32,49.4,5.07,32.02,37.09,3.4,06-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Apr-2018 - 00:00,0.85,106.84,174.1,28.63,179.92,0.36,43.96,6.81,36.74,42.86,3.63,07-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Apr-2018 - 00:00,0.6,107.89,200.21,28.95,259.67,0.34,45.64,4.31,26.64,30.09,3.53,08-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Apr-2018 - 00:00,0.6,90.89,238.98,27.36,172.7,0.32,45.43,4.46,23.83,27.66,3.53,09-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Apr-2018 - 00:00,0.51,57.37,192.36,24.06,270.42,0.47,41.41,4.14,20.21,23.81,2.86,10-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Apr-2018 - 00:00,0.71,64.24,180.66,28.08,254.14,0.35,45.32,6.65,30.04,35.46,3.47,11-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Apr-2018 - 00:00,0.63,46.07,109.14,21.55,353.1,0.36,30.95,3.72,17.63,19.87,2.49,12-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Apr-2018 - 00:00,0.82,61.43,146.25,27.49,222.93,0.4,43.08,5.43,25.6,30.79,3.04,13-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Apr-2018 - 00:00,0.81,56.91,186.29,28.73,221.45,0.43,48.48,5.83,25.39,31.21,3.56,14-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Apr-2018 - 00:00,0.77,61.06,142.92,29.34,246.93,0.51,46.94,4.6,21.79,26.37,3.8,15-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Apr-2018 - 00:00,0.78,55.93,205.62,29.37,213.14,0.3,48.79,4.0,16.81,20.81,3.49,16-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Apr-2018 - 00:00,0.9,55.23,185.32,28.59,206.11,0.44,55.04,5.69,20.24,25.9,2.98,17-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Apr-2018 - 00:00,0.88,63.37,213.55,29.54,276.72,0.49,59.46,7.58,27.03,34.2,2.79,18-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Apr-2018 - 00:00,0.87,72.52,151.41,30.9,317.9,0.44,49.22,5.99,31.14,37.13,2.75,19-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Apr-2018 - 00:00,0.8,65.39,142.65,25.07,224.33,0.35,42.33,3.49,21.62,25.11,2.18,20-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Apr-2018 - 00:00,0.83,62.8,219.36,27.89,220.73,0.6,50.96,8.95,34.61,43.33,2.22,21-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Apr-2018 - 00:00,0.98,85.91,157.18,29.32,201.44,0.55,52.58,7.45,38.09,45.48,2.84,22-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Apr-2018 - 00:00,0.78,74.2,177.83,28.22,202.82,0.39,52.17,3.5,18.75,22.2,3.96,23-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Apr-2018 - 00:00,0.78,59.29,187.07,28.54,304.11,0.26,50.44,3.8,17.81,21.26,4.05,24-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Apr-2018 - 00:00,0.9,74.34,179.18,25.47,179.15,0.48,59.54,6.68,31.42,37.64,3.43,25-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Apr-2018 - 00:00,0.78,56.62,159.56,27.57,326.2,0.51,64.36,3.44,20.0,22.78,3.11,26-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,27-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,28-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,29-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,30-Apr-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,01-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-May-2018 - 00:00,,,,,,,,,,,,02-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-May-2018 - 00:00,,,,,,,,,,,,03-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,04-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-May-2018 - 00:00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-May-2018 - 00:00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-May-2018 - 00:00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-May-2018 - 00:00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-May-2018 - 00:00,1.73,119.83,149.81,26.15,152.62,0.55,52.41,19.73,40.69,60.41,3.95,19-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-May-2018 - 00:00,0.79,92.62,46.61,26.09,225.96,0.57,59.0,18.76,35.42,54.18,5.53,20-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-May-2018 - 00:00,0.87,65.85,83.58,26.12,268.67,0.52,51.39,3.52,14.8,18.15,3.38,21-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-May-2018 - 00:00,0.99,59.45,133.78,24.6,179.25,0.5,51.44,3.58,20.42,23.97,4.3,22-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-May-2018 - 00:00,0.97,71.28,141.57,26.37,266.74,0.48,51.23,3.12,18.7,21.82,1.96,23-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-May-2018 - 00:00,0.9,85.02,107.65,26.17,177.25,0.53,55.09,3.56,23.27,26.84,2.44,24-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-May-2018 - 00:00,0.98,66.87,121.85,27.63,292.18,0.48,56.63,4.09,21.71,25.8,2.27,25-May-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
