from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
03-Mar-2018 - 00:00,0.0,267.99,750.39,95.79,,33.63,31.48,16.99,1.04,0.47,65.51,39.82,0.64,25.48,0.0,,52.02,14.42,04-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Mar-2018 - 00:00,0.0,288.63,750.99,98.16,,30.78,28.7,15.41,0.91,0.49,71.34,41.06,0.73,24.19,0.0,,43.03,12.02,05-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Mar-2018 - 00:00,0.0,289.53,752.71,135.61,18.73,33.61,29.09,14.02,1.12,-0.2,57.19,41.4,0.98,25.84,25.01,,44.37,10.83,06-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Mar-2018 - 00:00,0.0,281.41,753.0,131.46,142.5,36.28,28.84,11.92,0.68,-0.04,65.7,40.57,1.1,26.15,80.66,,42.09,13.08,07-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Mar-2018 - 00:00,382.61,286.37,752.58,152.58,125.64,40.79,40.71,11.91,0.97,0.09,66.87,37.81,0.91,27.2,190.59,,36.93,11.2,08-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Mar-2018 - 00:00,33.33,273.93,753.03,96.64,328.3,73.23,76.11,43.59,1.78,0.15,97.2,46.24,0.49,25.21,400.3,,77.94,14.63,09-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Mar-2018 - 00:00,0.0,291.45,753.03,121.11,243.9,63.2,45.67,15.07,1.9,0.42,97.24,38.37,0.94,26.01,209.6,,85.32,11.3,10-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Mar-2018 - 00:00,0.0,281.02,752.5,135.02,77.59,40.35,29.08,9.52,0.81,0.33,58.1,31.39,1.37,26.42,333.23,,65.09,6.35,11-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Mar-2018 - 00:00,0.0,282.68,752.08,130.72,138.68,48.05,33.62,10.08,0.84,0.16,62.34,32.98,1.03,27.09,232.6,,55.57,14.54,12-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Mar-2018 - 00:00,0.0,277.9,752.06,128.45,149.73,45.62,31.85,9.48,0.98,0.19,72.87,34.47,1.18,28.25,172.82,,48.12,20.24,13-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Mar-2018 - 00:00,263.8,222.92,751.37,132.06,377.29,54.76,44.15,18.77,1.3,-0.22,101.38,44.39,1.33,27.63,185.8,,41.84,22.77,14-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Mar-2018 - 00:00,,154.75,750.59,112.54,717.9,61.62,61.66,36.27,1.5,0.4,134.47,58.54,1.76,23.09,229.13,,46.96,50.79,15-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Mar-2018 - 00:00,0.0,198.02,750.67,117.08,360.39,37.22,30.02,12.78,0.87,0.4,113.58,63.75,1.53,24.55,254.37,,20.71,26.48,16-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Mar-2018 - 00:00,0.0,264.02,751.27,125.85,352.17,26.51,22.34,10.3,1.25,0.18,111.76,64.61,1.37,26.36,192.61,,16.0,11.48,17-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Mar-2018 - 00:00,0.0,315.55,751.79,150.26,258.24,15.85,15.77,9.21,0.63,0.08,57.28,55.71,1.72,27.51,248.86,,9.15,7.51,18-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Mar-2018 - 00:00,572.33,284.75,752.4,151.42,277.69,9.9,12.37,9.03,0.63,0.04,65.63,52.44,1.42,28.13,224.94,,5.31,10.0,19-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Mar-2018 - 00:00,0.0,239.68,752.99,131.19,330.05,39.76,29.68,10.67,0.68,-0.0,61.03,45.47,1.22,28.78,220.42,,34.01,13.23,20-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Mar-2018 - 00:00,45.05,174.73,751.68,122.72,469.26,78.73,64.99,28.89,1.39,-0.06,115.92,41.8,0.56,28.93,229.13,,55.8,26.5,21-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Mar-2018 - 00:00,40.25,175.84,750.69,99.27,343.96,49.36,39.53,16.62,0.98,-0.88,128.22,53.78,1.43,27.83,284.92,,52.63,37.94,22-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Mar-2018 - 00:00,0.0,194.16,751.1,112.05,269.47,39.05,30.72,12.44,1.11,0.68,66.35,57.75,1.6,26.63,331.69,,40.87,14.17,23-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Mar-2018 - 00:00,0.0,324.11,751.67,142.31,242.8,35.91,27.24,10.6,0.81,-3.48,53.64,54.72,1.46,26.46,289.36,,43.06,9.91,24-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
