from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
20-Apr-2018 - 00:00,227.46,22.06,976.65,304.52,,44.48,34.73,34.95,0.0,5.28,11.31,5.5,,,21-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Apr-2018 - 00:00,297.48,31.78,980.57,229.51,,42.58,37.99,29.73,0.0,3.43,11.91,5.27,,,22-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Apr-2018 - 00:00,305.8,24.73,981.56,292.92,,43.55,44.37,29.17,0.0,4.31,11.37,5.44,,,23-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Apr-2018 - 00:00,299.97,21.03,980.62,285.08,,63.16,42.89,30.61,0.0,3.45,9.57,7.19,,,24-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Apr-2018 - 00:00,291.0,20.6,979.43,273.37,,80.03,40.59,32.57,0.0,2.76,11.95,8.16,,,25-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Apr-2018 - 00:00,234.54,17.86,976.76,271.06,,93.61,38.28,34.72,0.0,2.05,12.68,7.73,,,26-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Apr-2018 - 00:00,121.1,20.36,975.24,216.9,,83.58,54.65,35.25,0.0,2.41,17.81,6.13,,,27-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Apr-2018 - 00:00,109.27,43.11,978.41,224.26,,43.21,55.22,32.42,0.0,3.19,9.47,6.4,,,28-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Apr-2018 - 00:00,105.5,43.48,978.14,223.21,,36.92,56.3,32.75,0.0,3.74,11.07,4.54,,,29-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
29-Apr-2018 - 00:00,110.99,41.71,975.28,216.26,,50.24,54.57,33.3,0.0,2.21,13.14,5.33,,,30-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
30-Apr-2018 - 00:00,132.85,40.23,973.68,245.53,,53.81,51.57,33.16,0.0,2.79,10.27,6.33,,,01-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-May-2018 - 00:00,108.16,52.47,977.0,241.11,,31.29,56.17,30.5,0.0,4.02,5.87,5.44,,,02-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-May-2018 - 00:00,116.31,51.63,978.44,217.68,,32.24,52.99,29.65,0.0,4.13,5.46,5.63,,,03-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-May-2018 - 00:00,121.32,50.11,978.93,208.82,,38.22,41.77,28.72,0.0,4.38,7.0,5.04,,,04-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-May-2018 - 00:00,97.19,51.89,979.24,249.6,,37.4,49.45,29.86,0.0,3.5,9.66,5.24,,,05-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-May-2018 - 00:00,161.14,40.44,978.41,246.77,,63.99,54.17,33.43,0.0,1.8,12.73,6.87,,,06-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-May-2018 - 00:00,87.61,35.77,979.05,237.01,,63.73,41.01,32.71,0.0,3.72,20.46,7.63,,,07-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-May-2018 - 00:00,187.95,31.64,977.12,235.69,,63.59,57.08,33.9,0.0,2.01,23.12,7.84,,,08-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-May-2018 - 00:00,249.2,39.64,977.83,239.88,,32.64,47.98,29.69,0.0,4.02,5.57,4.7,,,09-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-May-2018 - 00:00,142.89,45.43,979.54,190.05,,67.24,42.35,28.69,0.0,1.91,16.37,6.46,,,10-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-May-2018 - 00:00,204.05,39.33,980.26,259.87,,77.94,48.94,31.96,0.0,1.85,11.61,5.64,,,11-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-May-2018 - 00:00,200.24,33.57,977.2,242.64,,90.98,66.82,34.98,0.0,2.08,15.62,6.56,,,12-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-May-2018 - 00:00,116.68,39.15,976.44,198.17,,73.41,63.05,35.08,28.33,2.55,20.26,6.25,,,13-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-May-2018 - 00:00,103.0,49.94,976.63,207.43,,27.44,58.57,31.61,0.0,5.02,11.99,5.15,,,14-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-May-2018 - 00:00,127.96,47.16,978.21,231.85,,43.66,48.99,29.53,0.0,2.38,10.65,4.78,,,15-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-May-2018 - 00:00,103.13,48.59,976.78,226.65,,46.54,50.92,31.87,0.0,2.43,11.16,5.58,,,16-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-May-2018 - 00:00,243.11,37.26,975.69,255.31,,60.35,44.04,33.82,0.0,3.25,7.25,5.65,,,17-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-May-2018 - 00:00,202.14,29.35,975.94,319.18,,40.17,59.17,35.07,0.0,2.48,14.79,5.66,,,18-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-May-2018 - 00:00,68.87,31.42,975.44,256.71,,50.78,45.6,35.53,0.0,2.75,18.21,6.74,,,19-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-May-2018 - 00:00,202.71,34.24,975.48,212.04,,87.59,39.83,34.62,0.0,1.97,14.97,6.96,,,20-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-May-2018 - 00:00,211.03,27.37,976.76,233.91,,52.34,49.05,35.02,0.0,2.88,13.81,6.24,,,21-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-May-2018 - 00:00,249.25,17.76,977.04,258.67,,38.67,52.21,36.18,0.0,3.95,11.76,5.75,,,22-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-May-2018 - 00:00,190.12,18.52,975.89,254.47,,74.23,49.15,37.4,10.0,2.56,14.63,6.69,,,23-May-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
