from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
13-Feb-2018 - 00:00,,,,,,,,,,134.49,66.95,62.46,17.54,80.0,1.57,,15.12,0.0,0.0,0.0,,0.0,14-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
14-Feb-2018 - 00:00,,,,,,,,,,105.94,52.36,40.94,14.17,54.95,1.16,,16.47,0.0,0.0,0.0,,0.0,15-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
15-Feb-2018 - 00:00,,,,,,,,,,120.09,47.27,41.76,14.25,55.98,1.18,,17.95,0.0,0.0,0.0,,0.0,16-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
16-Feb-2018 - 00:00,,,,,,,,,,173.79,73.85,56.41,14.74,71.12,1.51,,16.23,0.0,0.0,0.0,,0.0,17-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
17-Feb-2018 - 00:00,,,,,,,,,,191.02,84.68,59.75,15.42,75.17,1.61,,16.88,0.18,0.0,0.0,,0.0,18-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
18-Feb-2018 - 00:00,,,,,,,,,,174.72,65.57,72.64,15.14,87.78,1.66,,22.49,0.0,0.0,0.0,,0.0,19-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
19-Feb-2018 - 00:00,,,,,,,,,,229.79,100.59,130.73,19.04,149.76,2.45,,21.53,0.0,0.0,0.0,,0.0,20-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
20-Feb-2018 - 00:00,,,,,,,,,,251.52,113.09,137.54,22.66,159.9,2.26,,20.83,0.0,0.0,0.0,,0.0,21-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
21-Feb-2018 - 00:00,,,,,,,,,,281.81,112.14,217.8,36.7,254.23,2.73,,20.74,3.02,0.0,0.0,,0.0,22-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
22-Feb-2018 - 00:00,,,,,,,,,,246.68,109.86,143.24,25.65,168.56,1.95,0.0,21.22,4.58,0.0,0.0,,0.0,23-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
23-Feb-2018 - 00:00,,,,,,,,,,280.71,123.27,142.95,32.71,172.75,1.65,0.0,27.13,4.16,0.0,0.0,,0.0,24-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
24-Feb-2018 - 00:00,,,,,,,,,,310.34,130.72,80.41,24.05,104.27,1.04,,31.07,4.47,0.0,0.0,,0.0,25-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
25-Feb-2018 - 00:00,,,,,,,,,,184.68,79.9,56.49,17.86,74.32,0.77,,27.97,1.39,0.0,0.0,,0.0,26-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
26-Feb-2018 - 00:00,,,,,,,,,,105.9,39.46,39.39,15.02,54.11,0.57,0.0,27.91,0.51,0.0,0.0,,0.0,27-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
27-Feb-2018 - 00:00,,,,,,,,,,141.11,55.91,59.34,19.31,78.51,2.13,0.0,24.05,0.57,0.0,0.0,,0.0,28-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
28-Feb-2018 - 00:00,,,,,,,,,,242.37,90.21,88.86,21.89,110.68,4.04,,25.36,0.0,0.0,0.0,,0.0,01-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
01-Mar-2018 - 00:00,,,,,,,,,,201.54,79.4,96.26,23.18,112.89,2.72,0.0,24.2,0.0,0.0,0.0,,0.0,02-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
02-Mar-2018 - 00:00,,,,,,,,,,192.68,84.26,104.02,20.12,124.14,2.62,,26.99,0.0,0.0,0.0,,0.0,03-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
03-Mar-2018 - 00:00,,,,,,,,,,165.9,64.78,60.53,18.07,78.6,1.8,,22.41,0.0,0.0,0.0,,0.0,04-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
