from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
18-Feb-2018 - 00:00,32.44,197.96,52.61,25.3,0.79,136.09,0.0,116.34,0.95,63.06,3.81,14.16,4.35,6.22,19.45,1.02,15.15,0.7,19-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Feb-2018 - 00:00,34.89,177.06,55.9,26.33,0.75,131.2,0.0,115.18,0.94,74.95,3.54,12.56,3.15,6.22,17.04,1.4,13.92,1.53,20-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Feb-2018 - 00:00,37.69,180.42,59.61,26.93,0.85,129.47,0.0,130.01,0.94,73.62,2.7,11.83,2.75,6.1,15.0,1.7,12.71,1.21,21-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Feb-2018 - 00:00,40.19,183.05,59.66,27.2,0.87,121.11,0.0,123.74,0.94,78.64,2.13,10.46,2.13,6.19,14.16,1.58,12.35,1.97,22-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Feb-2018 - 00:00,43.91,193.21,54.15,27.02,0.73,131.93,0.0,135.62,0.97,71.87,2.97,10.99,2.23,6.14,13.9,1.45,12.18,3.31,23-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Feb-2018 - 00:00,41.74,194.6,50.53,27.2,1.07,136.91,0.0,158.31,0.9,71.99,2.94,12.41,2.76,6.43,13.07,1.18,11.97,0.88,24-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Feb-2018 - 00:00,40.09,200.86,48.76,27.59,1.04,122.63,0.0,144.87,0.94,69.99,2.5,10.0,1.68,6.24,11.88,1.35,11.21,0.83,25-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Feb-2018 - 00:00,42.74,201.44,47.77,27.7,0.72,147.98,0.0,143.82,0.94,67.99,3.28,14.39,3.86,6.41,13.06,1.16,11.95,1.44,26-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Feb-2018 - 00:00,41.89,192.17,46.07,28.18,0.86,178.65,0.0,141.51,0.92,69.52,3.84,14.85,4.13,6.08,13.05,1.18,11.69,1.29,27-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Feb-2018 - 00:00,32.29,197.26,39.28,29.09,0.98,148.34,0.0,113.4,0.93,69.25,2.14,9.1,1.87,6.05,12.31,1.05,11.26,2.57,28-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
