from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
30-Mar-2018 - 00:00,29.0,976.9,32.43,226.25,285.65,2.67,150.85,38.0,0.0,0.84,0.6,0.94,28.56,21.78,69.05,64.45,28.5,82.06,1.38,31-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-Mar-2018 - 00:00,25.96,980.44,44.58,273.98,98.93,1.47,170.88,45.97,0.0,0.53,0.71,0.73,30.64,46.88,58.92,109.4,10.7,93.8,1.34,01-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Apr-2018 - 00:00,29.0,981.61,40.39,256.61,110.85,1.39,105.69,47.25,0.0,0.05,0.19,,24.19,2.95,34.45,42.16,26.47,128.55,0.99,02-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Apr-2018 - 00:00,28.74,981.71,41.7,182.57,123.42,1.34,128.05,50.73,0.0,0.19,0.48,0.62,28.73,24.73,46.02,47.32,31.04,104.02,1.18,03-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Apr-2018 - 00:00,30.44,980.21,38.82,172.39,134.8,1.35,147.85,57.33,0.0,0.17,0.24,0.45,32.63,24.43,34.25,38.11,43.66,98.64,1.12,04-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Apr-2018 - 00:00,30.89,977.8,38.21,177.8,120.98,1.05,144.03,55.85,0.0,1.04,1.08,0.91,34.45,39.08,72.76,80.99,37.26,69.22,1.65,05-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Apr-2018 - 00:00,30.96,976.45,38.66,166.17,206.88,1.11,186.0,58.38,0.0,2.2,1.36,0.86,42.47,45.56,105.14,125.67,37.27,51.78,2.05,06-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Apr-2018 - 00:00,28.85,978.6,41.99,147.06,140.19,1.83,117.56,29.67,0.0,0.41,0.53,0.38,34.62,18.39,61.48,56.02,45.28,94.85,1.07,07-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Apr-2018 - 00:00,27.3,980.73,52.32,211.19,136.82,1.49,101.89,38.54,0.0,0.12,0.31,0.27,28.21,10.31,45.42,42.87,23.06,92.09,0.8,08-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Apr-2018 - 00:00,28.77,981.27,46.9,203.48,118.08,1.77,103.5,44.12,0.0,0.05,0.09,,27.72,0.73,32.86,28.71,23.1,96.37,0.68,09-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Apr-2018 - 00:00,25.46,981.86,62.28,127.54,127.27,1.58,91.69,38.04,0.0,0.24,0.29,0.65,33.23,15.3,58.02,52.03,24.11,59.65,0.85,10-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Apr-2018 - 00:00,28.15,980.7,52.4,183.65,157.41,1.23,162.08,49.16,0.0,0.41,0.57,0.59,33.28,20.18,49.12,50.74,16.45,45.03,0.57,11-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Apr-2018 - 00:00,26.07,980.49,56.69,150.81,114.7,1.94,81.03,39.21,0.0,0.08,0.09,,29.54,1.58,32.62,28.64,33.44,80.77,0.74,12-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Apr-2018 - 00:00,27.09,979.72,49.82,212.06,250.42,1.79,85.83,31.24,0.0,0.17,0.38,0.75,27.01,16.13,67.44,53.08,29.68,68.76,1.05,13-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Apr-2018 - 00:00,28.16,980.6,31.5,237.26,283.61,1.52,122.53,31.36,0.0,1.37,0.93,0.58,29.76,47.62,76.43,119.93,30.03,69.74,1.49,14-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Apr-2018 - 00:00,29.31,979.37,27.69,215.06,296.72,1.74,161.85,34.76,0.0,2.42,1.69,1.14,35.62,49.22,94.2,120.0,37.09,61.15,1.65,15-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Apr-2018 - 00:00,31.07,978.81,29.29,207.56,274.44,1.17,131.43,43.11,0.0,1.08,1.09,0.95,35.63,28.35,88.84,70.7,38.47,58.74,1.38,16-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Apr-2018 - 00:00,31.67,979.24,30.81,151.8,122.42,1.31,234.86,51.1,0.0,1.64,1.0,1.26,42.13,29.63,64.93,119.79,42.39,83.99,1.68,17-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Apr-2018 - 00:00,32.03,980.3,27.42,216.46,210.18,1.59,237.35,43.95,0.0,0.67,0.72,0.95,31.65,23.17,68.83,62.63,33.55,78.98,1.18,18-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Apr-2018 - 00:00,32.28,979.4,23.19,241.03,305.49,2.57,235.07,53.43,0.0,0.23,0.43,0.77,27.58,14.49,65.66,53.0,32.56,64.71,0.97,19-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Apr-2018 - 00:00,32.73,976.15,23.81,226.61,299.06,1.87,270.03,42.17,0.0,0.84,0.79,0.98,30.46,34.69,85.0,86.68,36.3,59.81,1.41,20-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Apr-2018 - 00:00,33.09,975.41,21.87,182.97,201.8,2.41,313.09,31.29,0.0,0.22,0.39,0.67,26.56,8.85,43.39,43.69,35.27,73.43,0.76,21-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Apr-2018 - 00:00,29.99,980.01,25.38,211.42,312.35,2.14,417.91,41.5,0.0,0.11,0.24,0.63,23.97,7.38,45.33,39.92,27.9,76.09,0.81,22-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Apr-2018 - 00:00,29.17,980.96,21.73,257.2,320.22,2.36,142.29,38.18,0.0,0.11,0.26,0.73,24.83,7.78,49.37,46.64,38.42,91.34,0.81,23-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Apr-2018 - 00:00,29.83,980.08,18.83,251.68,302.06,2.38,179.5,38.07,0.0,0.15,0.44,0.9,23.87,15.0,64.23,53.72,29.93,92.91,1.01,24-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Apr-2018 - 00:00,31.54,978.89,17.82,240.56,282.87,2.05,194.26,38.8,0.0,0.4,0.59,0.86,26.76,12.9,65.26,65.1,33.66,72.08,1.12,25-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Apr-2018 - 00:00,33.79,976.23,14.07,236.35,249.64,1.79,170.29,35.45,0.0,0.74,0.62,0.63,21.97,17.06,78.05,69.17,27.98,63.01,1.12,26-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
