from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
11-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-May-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Jun-2018 - 00:00,46.99,33.23,10.13,25.77,15.83,1.09,21.09,343.56,107.61,1.52,155.96,35.88,3.02,43.56,82.33,739.0,100.5,,26-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Jun-2018 - 00:00,43.69,32.44,11.58,23.66,15.55,1.14,20.57,184.41,61.2,1.14,107.98,31.79,1.53,50.17,64.4,739.0,70.24,,27-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Jun-2018 - 00:00,47.87,34.75,11.43,13.74,12.22,0.98,27.31,97.43,52.6,0.8,76.73,30.96,1.38,56.2,42.01,739.0,103.6,4.0,28-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Jun-2018 - 00:00,42.02,31.2,10.89,7.96,8.64,1.0,20.29,44.35,49.48,0.53,68.09,30.58,2.19,59.56,45.12,739.18,123.17,2.6,29-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Jun-2018 - 00:00,36.67,22.68,3.91,6.87,11.02,1.03,21.77,68.48,51.61,0.54,23.59,31.22,2.42,56.53,42.05,739.05,125.79,,30-Jun-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Jun-2018 - 00:00,34.69,21.64,3.91,8.56,11.96,1.12,22.68,93.28,89.34,0.76,25.19,31.76,1.27,56.95,48.53,739.2,108.83,,01-Jul-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Jul-2018 - 00:00,38.53,23.45,3.63,8.24,13.38,1.35,24.64,116.0,136.73,0.91,35.16,32.28,1.16,58.84,64.29,739.0,118.29,9.5,02-Jul-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Jul-2018 - 00:00,40.28,26.55,6.3,9.6,8.04,1.04,20.31,99.08,115.17,0.79,49.99,31.84,1.37,59.84,79.01,739.0,116.25,6.58,03-Jul-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Jul-2018 - 00:00,45.55,32.11,9.7,6.86,10.92,0.95,27.88,69.5,66.67,0.64,72.0,29.46,1.32,60.39,38.3,739.0,119.3,11.5,04-Jul-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Jul-2018 - 00:00,42.8,26.8,4.97,7.17,8.36,1.34,23.06,65.71,75.64,1.09,41.79,28.0,1.11,63.65,38.7,739.0,89.95,5.25,05-Jul-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Jul-2018 - 00:00,43.9,26.91,4.37,9.73,8.23,1.27,27.81,114.46,88.85,1.19,48.76,31.44,1.28,57.16,71.05,739.0,147.35,,06-Jul-2018 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
