from date,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,CO,AT,WS,SO2,Benzene,Toluene,NH3,to date,station
02-Feb-2018 - 00:00,257.08,,-0.32,246.69,59.93,743.4,103.87,30.3,63.68,60.25,7.81,141.96,6.89,15.59,1.23,10.75,,,24.36,03-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
03-Feb-2018 - 00:00,225.88,,-0.01,264.6,50.47,743.13,107.91,19.31,45.65,60.99,12.5,115.08,9.91,14.65,1.33,10.27,,,20.43,04-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
04-Feb-2018 - 00:00,217.17,,-0.03,261.53,51.35,743.1,111.37,12.84,35.75,47.74,15.99,128.58,2.06,13.36,1.57,5.29,3.68,17.21,22.71,05-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
05-Feb-2018 - 00:00,266.0,,-0.01,257.48,50.62,743.2,87.14,25.64,53.75,74.79,24.46,151.67,0.77,11.64,1.03,5.78,3.99,8.27,20.51,06-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
06-Feb-2018 - 00:00,256.08,,-0.01,258.66,45.68,743.0,82.27,15.24,48.74,61.29,26.58,130.08,0.76,14.29,1.98,8.04,3.2,7.73,22.47,07-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
07-Feb-2018 - 00:00,227.88,,-0.01,265.91,45.39,742.88,112.56,16.39,41.38,55.82,35.33,129.75,0.83,13.52,1.75,10.46,2.9,7.22,21.53,08-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
08-Feb-2018 - 00:00,279.67,,-0.01,262.75,54.73,743.28,99.64,68.28,62.23,131.85,26.7,168.04,1.92,11.18,0.9,25.4,3.73,12.63,22.39,09-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
09-Feb-2018 - 00:00,300.89,,-0.01,266.24,58.56,875.86,134.44,68.64,73.96,119.42,32.57,194.01,2.28,14.33,0.68,23.44,5.9,13.9,26.1,10-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
10-Feb-2018 - 00:00,298.29,,-0.01,244.6,52.84,743.22,101.13,83.58,123.72,118.25,29.55,175.5,2.61,12.57,0.62,20.69,16.74,20.74,24.29,11-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
11-Feb-2018 - 00:00,223.85,,-0.95,188.23,49.51,742.96,91.25,30.61,77.8,67.06,21.46,114.21,0.96,14.17,1.31,17.54,5.41,5.13,16.31,12-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
12-Feb-2018 - 00:00,90.29,,-1.54,134.44,67.67,743.35,75.57,16.83,46.18,46.66,13.64,87.79,0.66,13.72,2.51,5.6,1.53,3.56,17.69,13-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
13-Feb-2018 - 00:00,91.7,,-0.21,226.54,70.65,743.47,104.64,23.52,48.27,63.82,19.8,96.12,0.89,13.83,1.27,11.52,2.5,7.57,26.42,14-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
14-Feb-2018 - 00:00,95.0,,-0.01,252.82,56.79,743.32,112.41,8.05,30.63,27.74,20.53,68.79,0.74,14.55,2.5,6.53,1.86,4.41,20.96,15-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
15-Feb-2018 - 00:00,73.0,,-0.0,254.31,57.03,743.16,111.66,4.68,34.86,36.69,21.29,81.42,1.03,15.6,2.48,8.91,1.78,5.08,17.59,16-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
16-Feb-2018 - 00:00,,,-0.01,261.87,61.44,743.35,107.28,10.95,42.49,49.69,21.71,129.58,1.28,15.97,1.34,13.62,2.29,6.03,22.9,17-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
17-Feb-2018 - 00:00,,,-0.0,256.85,59.75,743.36,109.41,8.76,47.07,51.24,24.41,139.33,1.25,16.63,1.37,16.34,2.42,7.06,22.33,18-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
18-Feb-2018 - 00:00,186.12,,-0.02,257.39,56.68,743.4,113.76,26.61,48.42,80.35,20.57,129.62,1.57,15.82,1.17,14.81,1.7,6.72,20.18,19-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
19-Feb-2018 - 00:00,292.12,,-0.01,259.65,54.56,743.27,111.84,60.67,65.73,133.1,26.34,161.92,2.04,15.2,0.96,23.72,4.59,11.99,17.5,20-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
20-Feb-2018 - 00:00,285.0,,-0.0,264.91,56.31,743.35,110.53,53.52,111.91,69.96,51.48,168.55,2.32,16.48,1.03,18.69,8.8,9.99,18.68,21-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
21-Feb-2018 - 00:00,315.74,,0.0,258.26,53.14,743.2,106.82,85.33,140.32,124.72,45.61,158.83,2.56,18.99,0.84,26.9,10.71,17.26,23.08,22-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
22-Feb-2018 - 00:00,286.52,,0.0,251.49,57.96,743.3,103.03,45.16,63.64,110.48,23.8,149.96,1.59,19.83,0.83,23.42,5.42,14.69,20.78,23-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
23-Feb-2018 - 00:00,340.17,,-0.01,227.56,56.77,743.38,93.8,55.23,80.18,138.87,20.56,153.88,1.69,20.71,0.61,21.58,3.52,13.13,23.26,24-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
24-Feb-2018 - 00:00,330.58,,-0.83,186.4,55.25,743.06,91.93,34.76,74.23,108.56,22.06,159.67,1.57,21.86,0.89,21.01,2.68,9.81,28.25,25-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
25-Feb-2018 - 00:00,215.62,,-0.12,248.99,53.87,743.1,103.8,15.05,39.24,52.55,24.8,95.21,0.93,20.99,1.72,15.38,1.65,6.31,25.15,26-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
26-Feb-2018 - 00:00,208.42,,-0.06,252.34,56.32,743.37,120.47,4.26,27.11,29.09,29.59,57.46,0.7,19.63,2.66,3.96,1.2,3.39,21.43,27-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
27-Feb-2018 - 00:00,172.21,,-0.03,253.24,57.11,743.32,110.55,18.12,42.09,63.91,25.03,79.96,1.4,20.37,1.54,5.42,2.23,7.13,22.19,28-Feb-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
28-Feb-2018 - 00:00,272.75,,-0.02,256.08,62.36,743.41,105.06,35.55,64.47,103.25,25.47,135.83,1.39,20.46,1.06,17.03,3.33,13.12,24.44,01-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
01-Mar-2018 - 00:00,215.33,,-0.02,254.75,57.18,743.4,98.99,33.33,61.25,96.79,22.13,106.79,1.45,19.33,1.01,14.65,2.73,11.26,20.56,02-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
