from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WS,WD,RH,BP,Toluene,Temp,to date,station
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,01-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,,,,02-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,,,,03-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,,,,06-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,,07-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,,,,08-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,,,,09-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,,,,10-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,,,,11-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,,,,12-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,,,,13-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,,,,,16-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-May-2018 - 00:00,,,,,,,,,,,,,,,,,17-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,,,,18-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-May-2018 - 00:00,,,,,,,,,,,,,,,,,19-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,,,,20-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,,,,21-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,,,,,22-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-May-2018 - 00:00,,,,,,,,,,,,,,,,,23-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,,,,,24-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,,,,,25-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,,,,,26-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,,,,,27-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,,,,28-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,,,,,29-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-May-2018 - 00:00,,,,,,,,,,,,,,,,,30-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,,,,,31-May-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,07-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,21-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,22-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,23-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,24-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,25-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Jun-2018 - 00:00,13.3,5.9,12.9,7.0,5.5,,28.03,14.0,38.0,0.4,,258.0,52.0,703.0,8.0,,26-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,28-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,30-Jun-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,01-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,02-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Jul-2018 - 00:00,9.65,4.7,11.86,3.64,8.25,0.5,26.29,13.12,43.48,0.42,1.93,,59.02,,8.69,26.92,03-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Jul-2018 - 00:00,7.26,4.84,11.19,4.47,19.16,0.47,20.55,19.49,51.61,0.46,1.7,,67.97,,8.81,26.58,04-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Jul-2018 - 00:00,6.66,5.81,8.28,3.64,18.87,0.42,17.05,15.79,52.67,0.45,1.84,,69.12,,7.95,26.83,05-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Jul-2018 - 00:00,5.65,5.1,9.0,3.95,9.55,,19.29,17.57,63.21,0.4,2.0,,64.19,,7.39,26.39,06-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Jul-2018 - 00:00,7.35,6.55,7.43,4.19,15.64,0.52,18.53,15.67,49.89,0.41,2.07,230.28,74.07,704.84,7.35,26.41,07-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
