from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
10-May-2018 - 00:00,,,,,,,,,,,,,,11-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,12-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,13-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,14-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,15-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,,16-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-May-2018 - 00:00,,,,,,,,,,,,,,17-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,18-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-May-2018 - 00:00,,,,,,,,,,,,,,19-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,20-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,21-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,,22-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-May-2018 - 00:00,,,,,,,,,,,,,,23-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,,24-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,,25-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,,26-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,,27-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,28-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,,29-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-May-2018 - 00:00,,,,,,,,,,,,,,30-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,,31-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Jun-2018 - 00:00,,,,,,,,,,,,,,07-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
