from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
17-Feb-2018 - 00:00,19.16,987.36,174.22,103.96,65.08,158.91,274.44,0.45,0.0,0.58,2.06,0.36,67.52,20.5,49.03,30.54,1.16,56.27,7.79,18-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
18-Feb-2018 - 00:00,19.08,986.74,162.12,102.33,60.85,174.6,252.05,0.38,0.0,1.05,1.47,0.28,52.45,23.79,54.17,50.98,1.46,64.07,5.63,19-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
19-Feb-2018 - 00:00,19.08,988.33,218.7,131.12,56.74,214.03,247.54,0.29,0.0,2.25,1.3,0.41,35.36,36.09,65.31,133.84,2.09,40.18,4.94,20-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
20-Feb-2018 - 00:00,20.28,987.75,215.95,131.93,57.03,340.79,252.9,0.32,0.0,2.03,1.68,0.3,47.58,39.06,65.03,105.86,2.24,49.67,6.03,21-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
21-Feb-2018 - 00:00,22.04,985.6,251.48,151.46,59.08,299.54,231.45,0.31,0.0,2.67,2.46,,5.25,61.99,7.72,354.42,0.78,21.26,1.9,22-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
22-Feb-2018 - 00:00,22.79,984.69,189.62,117.62,62.72,286.53,250.34,0.29,0.0,3.07,1.64,0.43,34.76,32.98,59.17,129.98,2.17,50.19,6.25,23-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
23-Feb-2018 - 00:00,23.13,985.13,237.96,143.12,62.42,242.93,222.7,0.28,0.0,2.91,1.84,0.46,40.15,38.69,78.78,139.36,2.23,39.29,6.4,24-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
24-Feb-2018 - 00:00,24.1,987.19,232.92,138.12,57.83,260.28,131.83,0.78,0.0,0.98,1.85,0.4,64.14,33.65,71.19,54.27,1.38,54.2,7.89,25-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
25-Feb-2018 - 00:00,23.03,990.06,138.33,93.62,58.46,303.12,274.31,0.48,0.0,0.49,1.29,0.23,52.15,18.7,37.7,25.51,0.83,71.84,8.61,26-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
26-Feb-2018 - 00:00,21.74,988.16,141.12,64.17,60.63,362.08,266.85,0.67,0.0,0.52,0.92,0.22,35.56,6.48,29.78,18.0,0.61,75.32,4.81,27-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
27-Feb-2018 - 00:00,22.97,987.58,217.46,101.87,60.67,332.7,272.06,0.49,0.0,0.47,1.41,0.29,42.75,17.46,43.24,24.75,0.98,64.83,6.34,28-Feb-2018 - 00:00,"Patparganj, Delhi - DPCC"
28-Feb-2018 - 00:00,23.37,987.72,304.58,168.38,67.04,297.43,266.41,0.39,0.0,0.87,2.35,0.4,50.36,28.81,57.05,41.93,1.35,52.11,8.67,01-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
01-Mar-2018 - 00:00,22.96,986.04,305.46,121.92,59.11,215.08,264.95,0.35,0.0,0.99,1.9,0.35,41.44,34.6,58.21,54.52,1.42,56.53,8.52,02-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
02-Mar-2018 - 00:00,24.05,984.39,291.25,116.25,58.26,171.88,258.74,0.38,0.0,1.34,1.11,0.36,31.48,26.06,59.43,75.39,1.7,69.63,4.28,03-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
03-Mar-2018 - 00:00,24.8,982.45,239.33,74.0,54.31,159.28,242.25,0.37,0.0,0.5,1.31,0.31,41.03,19.56,42.77,28.45,0.94,62.19,8.91,04-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
04-Mar-2018 - 00:00,23.31,983.7,206.96,65.92,52.49,144.8,247.9,0.56,0.0,0.53,1.07,0.25,34.83,16.28,38.38,25.05,0.78,56.87,6.53,05-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
05-Mar-2018 - 00:00,22.41,987.37,190.67,88.0,55.02,179.8,271.89,0.5,0.0,0.53,1.11,0.27,34.81,18.99,43.17,28.5,0.73,67.17,6.44,06-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
06-Mar-2018 - 00:00,22.05,988.11,184.12,71.38,53.23,184.07,266.47,0.6,0.0,0.44,0.93,0.2,33.83,8.41,33.7,26.64,0.62,73.05,6.51,07-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
07-Mar-2018 - 00:00,22.5,987.17,205.71,72.75,51.66,186.42,259.32,0.55,0.0,0.85,0.99,0.2,31.75,16.52,37.48,46.38,1.01,79.34,6.35,08-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
08-Mar-2018 - 00:00,23.12,988.34,291.42,109.58,57.6,162.89,201.12,0.48,0.0,2.13,1.23,0.33,24.92,32.51,47.52,143.77,2.09,45.35,6.43,09-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
09-Mar-2018 - 00:00,24.2,988.19,302.54,115.71,52.87,193.45,252.16,0.39,0.0,2.1,1.81,0.42,30.48,30.35,52.97,110.46,1.77,75.72,7.12,10-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
10-Mar-2018 - 00:00,24.84,987.11,185.71,67.75,46.59,273.62,261.02,0.55,0.0,0.5,1.16,0.24,32.77,10.09,33.25,23.58,0.75,57.76,7.06,11-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
11-Mar-2018 - 00:00,24.55,986.2,212.46,81.0,50.59,267.01,271.83,0.44,0.0,0.42,1.14,0.25,37.51,16.7,41.15,25.03,0.93,69.37,8.0,12-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
12-Mar-2018 - 00:00,25.57,986.12,249.0,94.18,48.42,214.39,249.62,0.56,0.0,0.5,1.54,0.33,38.73,27.47,56.75,35.76,1.18,55.69,8.71,13-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
13-Mar-2018 - 00:00,27.01,984.6,287.51,103.29,44.56,175.39,202.82,0.55,0.0,1.37,1.35,0.33,37.06,33.49,57.49,71.2,1.7,51.65,6.76,14-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
14-Mar-2018 - 00:00,26.24,982.81,379.37,123.43,39.27,154.19,181.3,0.52,0.0,1.31,1.05,0.31,29.02,33.95,58.19,100.36,1.45,44.99,5.31,15-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
15-Mar-2018 - 00:00,25.68,982.89,291.54,103.97,43.67,147.08,217.53,0.87,0.0,0.55,1.28,0.28,40.56,24.84,52.01,37.32,0.82,37.75,7.0,16-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
16-Mar-2018 - 00:00,22.81,984.42,258.39,118.71,58.54,144.48,249.08,0.62,0.0,0.66,1.26,0.25,47.06,24.86,53.81,55.91,0.94,34.55,12.14,17-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
20-Mar-2018 - 00:00,30.97,983.65,180.08,98.85,27.13,200.14,174.71,0.64,0.0,1.49,1.3,0.31,37.74,30.47,51.91,82.16,1.47,122.37,7.46,21-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
21-Mar-2018 - 00:00,26.4,982.7,206.6,117.48,45.82,131.39,223.74,0.99,0.0,0.53,1.75,0.24,56.62,25.39,48.55,30.89,0.98,68.01,12.99,22-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
22-Mar-2018 - 00:00,24.65,983.53,117.68,67.21,51.74,131.42,249.76,0.99,0.0,0.25,1.03,0.14,51.3,8.56,28.89,22.79,0.49,58.4,10.21,23-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
23-Mar-2018 - 00:00,25.23,985.03,103.67,62.85,45.96,192.94,251.92,0.93,0.0,0.46,1.67,0.22,30.94,11.81,40.42,27.11,0.79,72.39,5.45,24-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
24-Mar-2018 - 00:00,25.98,987.33,114.03,83.87,45.8,175.86,255.23,1.13,0.0,0.59,1.76,0.13,39.3,6.63,32.66,25.37,0.9,77.43,5.89,25-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
25-Mar-2018 - 00:00,26.31,988.53,118.55,93.64,45.12,172.11,243.57,1.08,0.0,0.71,1.49,0.12,39.19,7.17,32.63,26.44,0.65,79.09,7.9,26-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
26-Mar-2018 - 00:00,26.99,986.85,120.83,78.54,40.38,172.86,242.74,1.09,0.0,0.91,1.31,0.17,33.52,14.74,38.49,36.48,0.84,78.73,5.94,27-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
27-Mar-2018 - 00:00,28.19,983.71,156.1,96.86,33.85,171.82,212.65,0.64,0.0,1.7,1.69,0.15,30.62,39.54,58.73,105.34,1.54,59.01,6.04,28-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
28-Mar-2018 - 00:00,29.41,982.87,187.76,97.26,33.14,167.39,215.35,0.75,0.0,2.53,1.87,0.22,30.21,23.93,45.69,105.42,1.4,68.86,4.94,29-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
29-Mar-2018 - 00:00,28.84,982.16,123.1,75.45,33.65,162.76,246.77,0.99,0.0,0.75,2.14,0.18,38.7,10.62,36.46,26.13,0.66,68.88,8.29,30-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
30-Mar-2018 - 00:00,29.19,979.97,161.12,80.15,32.67,170.57,227.1,0.96,0.0,0.95,2.14,0.26,31.41,13.98,44.16,32.12,0.77,74.29,6.66,31-Mar-2018 - 00:00,"Patparganj, Delhi - DPCC"
31-Mar-2018 - 00:00,26.25,983.01,165.23,96.56,42.49,152.64,121.09,1.35,0.0,0.69,2.06,0.21,34.19,16.78,40.12,37.83,0.85,70.38,8.05,01-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
01-Apr-2018 - 00:00,29.07,984.84,117.42,63.44,38.84,208.38,95.49,1.29,0.0,0.47,1.09,0.14,26.77,8.7,33.58,24.24,0.7,97.52,5.66,02-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
02-Apr-2018 - 00:00,28.82,984.88,127.3,76.15,40.81,146.18,93.98,1.08,0.0,0.45,1.65,0.21,31.92,21.03,52.45,35.28,0.83,68.57,6.88,03-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
03-Apr-2018 - 00:00,30.46,983.32,133.48,84.96,37.88,137.6,98.84,1.03,0.0,0.44,1.86,0.21,33.95,20.63,54.88,36.48,0.88,72.9,8.66,04-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
04-Apr-2018 - 00:00,30.84,980.68,188.93,99.25,38.3,143.09,174.18,0.66,0.0,0.86,1.92,0.27,35.67,28.73,57.25,44.71,1.19,62.87,8.79,05-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
05-Apr-2018 - 00:00,30.95,979.22,318.63,106.51,40.16,139.28,239.55,0.54,0.0,2.38,1.87,0.35,35.78,29.85,52.6,95.42,1.65,113.66,6.78,06-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
06-Apr-2018 - 00:00,28.79,981.43,143.35,72.09,41.58,100.38,199.91,1.12,0.0,0.53,1.67,0.2,37.69,20.49,43.12,32.24,0.72,65.66,9.48,07-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
07-Apr-2018 - 00:00,27.35,983.91,72.56,38.15,49.8,246.58,105.63,1.33,0.0,0.39,1.06,0.14,33.6,14.87,36.73,25.8,0.54,71.54,5.51,08-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
08-Apr-2018 - 00:00,28.83,984.57,70.0,32.5,44.61,235.18,72.33,1.5,0.0,0.32,0.84,0.09,30.27,8.0,26.29,18.74,0.46,77.57,6.06,09-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
09-Apr-2018 - 00:00,25.48,985.63,67.56,27.23,60.35,162.41,132.93,1.08,0.0,0.6,1.01,0.1,29.99,16.94,31.62,49.05,1.03,45.03,7.34,10-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
10-Apr-2018 - 00:00,28.24,983.84,113.74,55.37,50.21,225.97,142.66,0.89,0.0,0.47,1.45,0.16,37.71,17.65,40.25,28.81,0.81,76.27,7.34,11-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
11-Apr-2018 - 00:00,26.49,983.67,58.08,28.45,52.56,192.59,162.06,1.39,0.0,0.33,1.08,0.1,32.44,9.58,25.4,19.37,0.5,59.28,6.45,12-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
12-Apr-2018 - 00:00,27.04,982.79,82.67,24.25,48.8,250.59,219.42,0.78,0.0,0.51,1.18,0.18,27.53,18.26,37.84,29.67,0.81,58.22,5.73,13-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
13-Apr-2018 - 00:00,27.88,983.63,175.52,40.73,32.99,263.8,237.77,0.5,0.0,1.2,1.23,0.15,27.08,26.55,46.61,65.16,1.19,60.9,4.71,14-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
14-Apr-2018 - 00:00,29.03,982.36,204.58,56.75,28.92,248.47,213.66,0.52,0.0,1.54,1.56,0.37,28.23,31.1,55.39,70.04,1.11,54.73,5.94,15-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
15-Apr-2018 - 00:00,30.7,981.74,297.71,83.54,33.4,236.28,210.07,0.37,0.0,2.05,1.33,0.21,27.06,34.31,55.07,126.98,1.8,60.26,5.88,16-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
16-Apr-2018 - 00:00,31.12,982.26,369.67,97.29,32.8,179.19,142.98,0.79,0.0,1.7,1.14,0.36,33.52,30.42,57.05,120.37,1.57,45.27,7.15,17-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
17-Apr-2018 - 00:00,31.6,983.02,260.21,78.21,29.52,233.08,252.09,0.66,0.0,0.76,1.13,0.3,28.9,24.25,49.45,43.85,0.85,53.84,4.89,18-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
18-Apr-2018 - 00:00,31.94,982.25,232.92,61.83,23.94,246.77,256.39,0.84,0.0,0.39,0.87,0.18,29.48,9.03,33.5,23.41,0.51,52.67,6.21,19-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
19-Apr-2018 - 00:00,32.19,978.94,276.5,84.08,25.94,227.34,230.0,0.48,0.0,0.61,1.17,0.27,30.64,29.67,55.09,38.68,0.92,57.84,7.79,20-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
20-Apr-2018 - 00:00,32.46,978.07,375.86,81.58,23.11,195.11,179.69,1.36,0.0,0.39,0.81,0.14,34.26,18.89,39.51,30.66,0.53,41.81,7.27,21-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
21-Apr-2018 - 00:00,29.83,982.31,527.27,89.27,26.72,213.61,253.95,0.75,0.0,0.35,0.67,0.13,29.94,6.09,27.0,17.96,0.37,67.8,5.87,22-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
22-Apr-2018 - 00:00,29.03,983.28,211.61,48.58,22.06,255.84,255.75,0.89,0.0,0.36,0.62,0.15,29.05,7.4,30.3,20.84,0.45,80.93,7.89,23-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
23-Apr-2018 - 00:00,29.7,982.38,204.47,56.31,20.03,250.5,238.52,0.71,0.0,0.85,0.51,0.11,22.76,16.51,33.35,54.04,0.78,81.93,3.84,24-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
24-Apr-2018 - 00:00,30.95,981.35,271.95,103.96,21.34,238.89,208.87,0.52,0.0,1.16,0.95,0.25,27.38,26.65,52.58,69.2,1.32,68.85,5.61,25-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
25-Apr-2018 - 00:00,32.85,978.67,334.52,122.66,21.27,240.38,192.27,0.45,0.0,2.6,1.39,0.63,24.17,41.89,61.38,115.45,2.12,50.49,3.66,26-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
26-Apr-2018 - 00:00,33.96,977.07,456.9,149.18,20.26,196.15,212.9,0.63,0.0,1.58,1.44,0.41,38.66,38.62,62.42,108.46,1.81,27.09,7.75,27-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
27-Apr-2018 - 00:00,32.41,980.64,373.39,102.55,40.13,207.33,79.04,1.67,0.0,0.32,0.82,0.23,47.71,9.15,32.55,27.73,0.69,70.35,7.23,28-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
28-Apr-2018 - 00:00,33.05,980.39,385.49,95.28,39.88,209.13,90.92,1.68,0.0,0.18,0.66,0.16,38.73,6.7,26.54,22.89,0.7,82.93,8.13,29-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
29-Apr-2018 - 00:00,33.33,977.54,288.77,84.5,40.16,212.83,134.39,0.93,0.0,0.27,0.68,0.19,34.57,8.38,35.87,29.99,0.82,55.77,9.33,30-Apr-2018 - 00:00,"Patparganj, Delhi - DPCC"
30-Apr-2018 - 00:00,36.2,975.79,235.46,75.34,31.36,300.95,124.0,1.45,0.0,0.18,0.71,0.18,44.32,5.8,30.07,25.18,0.7,116.99,9.31,01-May-2018 - 00:00,"Patparganj, Delhi - DPCC"
01-May-2018 - 00:00,30.87,979.3,166.78,53.72,49.79,217.56,72.88,2.0,0.0,0.14,0.47,0.08,41.09,6.63,24.62,20.17,0.62,74.71,6.15,02-May-2018 - 00:00,"Patparganj, Delhi - DPCC"
02-May-2018 - 00:00,29.78,981.0,210.8,56.61,51.73,211.26,114.48,1.94,0.03,0.15,0.48,0.1,32.43,7.77,24.81,19.21,0.55,74.29,5.93,03-May-2018 - 00:00,"Patparganj, Delhi - DPCC"
03-May-2018 - 00:00,28.52,981.48,151.09,44.63,51.66,229.71,104.4,1.98,0.0,0.19,0.48,0.09,31.62,10.26,30.68,23.59,0.5,48.45,7.0,04-May-2018 - 00:00,"Patparganj, Delhi - DPCC"
04-May-2018 - 00:00,29.94,981.77,120.14,53.85,52.74,245.27,109.62,1.36,0.01,0.22,0.69,0.15,33.03,8.65,30.76,25.26,0.65,65.23,7.63,05-May-2018 - 00:00,"Patparganj, Delhi - DPCC"
05-May-2018 - 00:00,32.59,980.73,187.37,75.92,40.49,248.83,160.19,0.68,0.0,0.83,0.74,0.18,30.08,27.84,49.72,61.77,1.34,51.22,5.98,06-May-2018 - 00:00,"Patparganj, Delhi - DPCC"
06-May-2018 - 00:00,31.76,981.03,212.73,86.9,37.35,230.66,250.93,0.95,0.0,0.84,1.09,0.33,32.11,27.27,53.9,54.08,1.04,52.77,5.81,07-May-2018 - 00:00,"Patparganj, Delhi - DPCC"
07-May-2018 - 00:00,32.59,979.17,228.14,93.11,34.69,227.78,225.72,0.46,0.0,1.0,1.0,0.28,30.54,37.05,56.9,81.37,1.49,50.12,5.99,08-May-2018 - 00:00,"Patparganj, Delhi - DPCC"
