from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
16-Feb-2018 - 00:00,19.42,995.35,240.55,134.5,62.46,117.33,178.82,1.13,0.0,0.16,0.91,0.15,58.01,4.8,27.12,22.03,0.89,34.47,8.31,17-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
17-Feb-2018 - 00:00,20.2,989.97,278.5,147.86,60.33,120.23,268.41,1.49,0.0,0.17,1.18,0.17,59.59,5.11,29.71,23.84,0.95,33.4,8.29,18-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
18-Feb-2018 - 00:00,19.37,989.45,277.29,151.76,60.21,132.67,166.0,0.72,0.0,0.22,1.05,0.15,59.03,14.49,38.7,29.96,1.23,27.43,8.66,19-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
19-Feb-2018 - 00:00,19.2,990.76,418.38,239.39,55.51,124.97,196.45,0.55,0.0,0.49,1.18,0.29,49.56,29.35,64.34,63.39,1.61,36.91,7.79,20-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
20-Feb-2018 - 00:00,20.71,990.44,356.88,184.03,57.45,125.58,169.97,0.67,0.0,0.24,1.06,0.26,60.0,27.5,54.1,29.53,1.44,45.08,7.73,21-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
21-Feb-2018 - 00:00,22.39,988.2,406.71,200.33,58.15,114.18,156.27,0.43,0.0,0.62,1.06,0.37,50.13,33.69,68.58,78.2,1.9,52.34,8.14,22-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
22-Feb-2018 - 00:00,23.21,987.3,347.04,211.21,61.29,109.59,161.43,0.45,0.0,0.3,1.24,0.24,69.12,28.71,61.83,36.73,1.43,34.42,9.46,23-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
23-Feb-2018 - 00:00,20.9,987.64,443.43,272.34,71.32,3.89,153.63,0.21,0.0,0.29,1.45,0.19,73.12,22.83,54.51,33.24,2.01,4.36,12.29,24-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
24-Feb-2018 - 00:00,24.48,989.73,402.27,183.56,55.49,85.05,177.53,0.34,0.0,0.31,1.1,0.12,70.17,16.16,48.73,32.96,1.58,56.72,11.07,25-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
25-Feb-2018 - 00:00,23.29,992.84,262.84,126.05,56.48,109.74,191.45,1.08,0.0,0.16,0.9,0.06,61.82,10.48,32.12,21.08,1.07,25.73,10.55,26-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
26-Feb-2018 - 00:00,22.19,990.53,181.79,74.01,59.61,132.8,336.89,2.34,0.0,0.05,0.8,0.14,54.51,2.53,19.17,16.41,0.8,30.5,7.94,27-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
27-Feb-2018 - 00:00,23.88,989.87,198.69,97.73,56.69,118.1,284.93,1.38,0.0,0.09,0.78,0.09,54.52,5.83,27.34,20.78,1.0,30.71,8.33,28-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
28-Feb-2018 - 00:00,24.02,990.1,276.54,138.61,62.55,101.74,175.13,0.55,0.0,0.18,0.92,0.09,65.47,12.15,38.82,26.07,1.26,27.2,10.4,01-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
01-Mar-2018 - 00:00,23.3,988.51,268.48,125.65,57.58,95.15,146.17,0.61,0.0,0.12,0.79,0.08,63.14,11.31,36.1,24.77,1.22,25.97,9.74,02-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
02-Mar-2018 - 00:00,23.98,987.01,304.34,199.79,61.09,116.68,167.58,0.66,0.0,0.16,0.79,0.11,73.76,27.92,52.64,22.94,1.68,25.73,7.38,03-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-Mar-2018 - 00:00,25.52,985.92,203.62,97.55,50.67,59.18,227.89,0.45,0.0,0.29,0.45,0.09,40.58,17.01,47.03,23.93,0.27,4.54,8.2,04-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-Mar-2018 - 00:00,24.48,,237.57,119.0,49.55,,,,,0.39,0.43,0.12,36.41,18.18,61.07,24.95,0.05,6.01,5.41,05-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
05-Mar-2018 - 00:00,23.11,991.15,165.39,77.34,53.1,310.4,223.55,1.53,0.0,0.33,0.38,0.11,33.42,15.02,47.8,20.67,0.11,4.4,6.33,06-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
06-Mar-2018 - 00:00,23.07,990.42,182.69,81.07,51.1,129.77,223.04,1.84,0.0,0.31,0.31,0.1,33.54,9.72,37.24,20.04,0.53,21.75,5.79,07-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
07-Mar-2018 - 00:00,23.5,989.83,186.87,84.79,49.17,136.17,215.16,1.46,0.0,0.18,0.48,0.11,44.52,9.51,33.18,20.86,0.86,31.32,7.46,08-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
08-Mar-2018 - 00:00,23.15,990.95,411.66,207.54,57.66,105.09,159.78,0.38,0.0,0.45,0.71,0.26,46.16,24.28,58.39,63.42,1.82,53.77,9.17,09-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
09-Mar-2018 - 00:00,24.67,990.91,280.99,140.95,49.52,121.84,164.6,0.96,0.0,0.14,0.66,0.18,57.08,18.25,39.58,21.26,1.12,44.53,10.36,10-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
10-Mar-2018 - 00:00,25.91,989.81,185.13,74.03,42.62,132.73,247.56,1.66,0.0,0.05,0.55,0.07,50.36,3.46,20.04,16.34,0.88,37.82,9.75,11-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
11-Mar-2018 - 00:00,25.95,988.92,189.61,87.42,44.53,127.36,257.34,1.21,0.0,0.04,0.67,0.09,51.26,3.1,21.48,18.08,1.01,36.12,10.34,12-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
12-Mar-2018 - 00:00,27.15,988.75,235.55,116.88,46.12,125.13,250.12,1.36,0.0,0.07,0.72,0.14,55.32,4.7,25.03,19.95,0.96,38.47,10.73,13-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
13-Mar-2018 - 00:00,27.78,987.3,252.75,116.04,43.76,130.15,252.62,0.9,0.0,0.16,0.7,0.14,50.12,15.79,37.67,27.59,1.51,44.77,9.97,14-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
14-Mar-2018 - 00:00,26.27,985.7,367.67,145.42,42.92,101.51,207.14,0.51,0.0,0.42,0.8,0.22,45.06,31.7,57.46,40.48,1.54,77.44,10.35,15-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
15-Mar-2018 - 00:00,26.18,985.83,334.83,125.85,45.92,99.37,206.72,1.08,0.0,0.17,0.74,0.12,54.32,17.3,38.99,23.48,1.25,26.53,11.4,16-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
16-Mar-2018 - 00:00,25.13,987.18,287.03,162.14,46.64,109.16,276.22,1.02,0.0,0.06,0.52,0.07,58.5,11.47,33.77,22.03,1.24,32.02,12.43,17-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
17-Mar-2018 - 00:00,23.13,988.23,193.45,113.69,47.22,119.25,300.5,1.38,0.0,0.04,0.55,0.04,50.67,5.03,24.37,20.16,0.9,30.21,9.61,18-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
18-Mar-2018 - 00:00,28.88,990.1,160.64,72.05,27.37,191.34,315.52,1.24,0.0,0.03,0.51,0.05,42.4,2.43,21.28,18.74,0.87,66.04,10.48,19-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
19-Mar-2018 - 00:00,26.37,991.11,181.27,93.33,37.37,120.51,237.1,0.75,0.0,0.04,0.52,0.07,47.95,6.38,29.8,24.27,1.24,42.08,10.6,20-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
20-Mar-2018 - 00:00,27.17,988.3,254.89,132.77,41.45,112.85,203.4,0.4,0.0,0.08,0.67,0.11,54.95,18.07,47.47,29.91,1.65,52.19,11.39,21-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
21-Mar-2018 - 00:00,26.51,986.09,271.17,179.22,48.69,94.34,189.74,0.84,0.0,0.14,0.66,0.08,60.56,14.0,38.23,27.26,1.54,36.62,15.34,22-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
22-Mar-2018 - 00:00,25.2,986.99,178.5,124.17,52.44,106.0,211.33,0.92,0.0,0.04,0.5,0.07,54.2,5.35,25.8,20.47,1.11,38.57,11.01,23-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
23-Mar-2018 - 00:00,25.22,988.14,116.83,61.46,48.97,133.47,306.9,1.05,0.0,0.04,0.46,0.08,46.64,2.98,20.45,17.95,0.93,42.83,8.59,24-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
24-Mar-2018 - 00:00,26.87,990.58,163.67,84.25,45.6,136.3,305.32,1.21,0.0,0.03,0.43,0.06,48.24,3.06,21.11,18.52,1.03,49.6,10.59,25-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
25-Mar-2018 - 00:00,27.43,991.64,192.0,92.96,44.76,131.86,294.73,1.39,0.0,0.04,0.42,0.04,49.07,2.8,20.53,18.04,1.16,49.51,8.81,26-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
26-Mar-2018 - 00:00,28.32,989.92,221.28,97.58,39.63,135.8,294.84,1.23,0.0,0.03,0.49,0.08,47.99,3.57,23.33,19.96,1.15,46.91,9.29,27-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
27-Mar-2018 - 00:00,28.43,986.72,323.01,131.72,36.17,138.59,249.66,0.77,0.0,0.12,0.42,0.09,46.32,21.8,47.81,36.4,1.67,45.43,8.96,28-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
28-Mar-2018 - 00:00,29.72,985.83,326.82,122.83,35.81,133.42,259.16,0.85,0.0,0.42,0.45,0.12,30.41,19.85,45.67,107.71,1.87,55.15,6.73,29-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
29-Mar-2018 - 00:00,30.03,985.16,248.34,97.65,32.34,131.84,292.99,1.21,0.0,0.03,0.43,0.06,48.73,3.4,23.32,20.53,1.17,51.08,9.12,30-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
30-Mar-2018 - 00:00,29.76,982.89,257.91,90.46,33.43,133.85,266.91,1.03,0.0,0.03,0.49,0.09,48.48,3.62,26.37,23.39,1.26,49.38,9.89,31-Mar-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
31-Mar-2018 - 00:00,26.9,985.76,326.91,111.79,43.28,125.94,140.42,0.62,0.0,0.07,0.45,0.08,49.33,5.8,27.03,21.59,1.34,64.03,10.99,01-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
01-Apr-2018 - 00:00,29.85,987.5,227.44,72.9,39.33,172.71,129.79,0.52,0.0,0.04,0.35,0.05,51.5,2.53,21.8,18.95,1.18,66.25,9.06,02-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
02-Apr-2018 - 00:00,29.18,987.65,287.93,109.33,41.77,117.52,169.57,0.41,0.0,0.09,0.32,0.07,52.88,9.75,34.32,25.24,1.3,71.97,14.45,03-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-Apr-2018 - 00:00,30.86,986.18,280.21,109.86,39.22,111.13,172.01,0.37,0.0,0.1,0.4,0.05,56.19,9.14,32.82,24.95,1.44,75.47,13.21,04-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-Apr-2018 - 00:00,33.11,985.5,315.45,121.39,35.71,3.92,234.75,0.19,0.0,0.35,0.14,0.05,26.0,9.58,51.03,37.56,1.53,59.03,5.23,05-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
05-Apr-2018 - 00:00,31.21,,402.38,209.9,41.77,,,,,0.56,0.11,,12.43,,74.53,67.0,2.19,41.25,0.2,06-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
06-Apr-2018 - 00:00,29.89,984.98,256.62,113.91,38.27,11.66,181.95,2.06,0.0,0.33,0.15,0.07,26.47,2.56,48.47,20.12,1.31,52.76,3.06,07-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
07-Apr-2018 - 00:00,28.53,986.73,154.08,55.25,44.71,191.61,135.69,0.6,0.0,0.02,0.31,0.05,56.77,2.94,17.28,14.34,0.96,61.14,9.97,08-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
08-Apr-2018 - 00:00,31.83,987.24,170.94,47.97,39.37,252.35,114.09,0.85,0.0,0.01,0.26,0.04,55.56,1.26,14.56,12.82,1.0,72.76,11.77,09-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
09-Apr-2018 - 00:00,26.2,988.57,145.85,55.08,57.54,123.37,149.46,0.78,0.0,0.03,0.27,0.06,52.78,5.34,20.18,14.49,1.15,40.33,10.24,10-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
10-Apr-2018 - 00:00,24.71,987.88,219.88,118.15,65.8,71.6,177.02,0.34,0.0,0.12,0.48,0.11,55.45,14.17,34.71,20.56,1.38,30.69,12.79,11-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
12-Apr-2018 - 00:00,30.57,985.73,159.61,78.69,35.9,292.53,223.24,0.58,0.0,0.03,0.4,0.07,56.07,5.94,20.79,14.52,1.08,59.5,9.2,13-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
13-Apr-2018 - 00:00,28.55,986.78,209.46,137.02,33.24,280.06,236.7,0.75,0.0,0.06,0.36,0.05,47.28,7.86,24.65,15.73,0.92,58.16,10.31,14-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
14-Apr-2018 - 00:00,32.54,984.01,245.82,91.29,22.34,66.21,280.92,0.68,0.0,0.05,0.43,0.12,51.15,11.02,34.72,23.95,1.39,43.14,10.67,15-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
15-Apr-2018 - 00:00,31.34,984.4,249.12,146.6,29.22,3.07,178.43,0.24,0.0,0.1,0.4,0.13,17.72,23.14,40.38,41.41,1.4,16.25,1.48,16-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
16-Apr-2018 - 00:00,31.46,984.85,327.18,100.74,32.1,18.75,139.73,0.45,0.0,0.12,0.37,0.12,24.59,21.73,27.62,53.23,1.09,32.03,3.36,17-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
17-Apr-2018 - 00:00,32.4,986.25,237.59,74.82,29.23,168.3,207.94,0.81,0.0,0.04,0.31,0.09,48.19,13.01,31.76,20.9,0.98,59.26,9.25,18-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
18-Apr-2018 - 00:00,33.08,985.36,252.83,73.09,23.07,199.05,304.51,1.35,0.0,0.02,0.25,0.07,40.12,3.18,20.32,17.59,0.74,55.89,10.76,19-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
19-Apr-2018 - 00:00,33.93,982.17,281.02,91.05,22.57,181.76,273.0,0.81,0.0,0.03,0.28,0.09,41.68,4.9,25.4,21.0,0.9,64.15,12.35,20-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
20-Apr-2018 - 00:00,33.24,981.18,373.77,92.9,23.31,151.43,195.24,1.16,0.0,0.02,0.2,0.05,36.08,4.63,22.09,18.05,0.71,48.98,9.98,21-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
21-Apr-2018 - 00:00,30.41,985.48,528.0,80.32,29.33,164.6,303.37,1.1,0.0,0.02,0.18,0.05,37.97,2.56,17.61,15.18,0.73,60.63,10.54,22-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
22-Apr-2018 - 00:00,29.91,986.49,236.28,49.5,22.12,208.03,312.48,1.43,0.0,0.02,0.22,0.04,33.47,2.2,17.42,15.96,0.67,73.01,11.38,23-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
23-Apr-2018 - 00:00,30.92,985.52,240.15,77.52,18.26,195.93,284.87,1.16,0.0,0.03,0.26,0.07,32.0,5.06,22.38,18.16,1.07,77.1,10.62,24-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
24-Apr-2018 - 00:00,31.92,984.35,281.75,109.05,19.41,191.17,266.31,0.81,0.0,0.06,0.29,0.07,39.18,14.63,36.62,25.16,1.3,67.45,11.0,25-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
25-Apr-2018 - 00:00,32.52,981.79,308.72,120.23,22.57,193.64,238.37,0.65,0.0,0.39,0.3,0.07,32.9,29.08,48.47,71.5,2.49,64.05,5.97,26-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
26-Apr-2018 - 00:00,34.34,980.38,413.7,140.54,20.33,153.7,156.24,0.5,0.0,0.18,0.4,0.12,40.56,22.46,46.2,42.28,1.6,63.47,11.97,27-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
27-Apr-2018 - 00:00,33.07,983.63,336.15,93.88,41.34,162.38,128.52,0.68,0.0,0.04,0.18,0.05,53.6,5.75,25.75,22.5,0.93,89.77,13.55,28-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
28-Apr-2018 - 00:00,33.6,983.37,329.61,79.62,41.08,165.94,124.58,0.84,0.0,0.01,0.14,0.03,51.26,2.05,19.62,17.66,1.18,96.7,10.82,29-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
29-Apr-2018 - 00:00,33.96,980.44,257.37,90.25,39.32,160.84,142.97,0.4,0.0,0.02,0.17,0.04,50.42,3.12,23.21,19.95,1.36,84.96,14.1,30-Apr-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
30-Apr-2018 - 00:00,33.76,978.8,202.26,74.54,38.41,184.85,137.83,0.6,0.0,0.03,0.16,0.04,54.45,7.53,29.72,22.05,1.36,84.32,11.39,01-May-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
01-May-2018 - 00:00,31.39,982.23,158.03,55.59,50.58,183.23,130.97,0.95,0.0,0.01,0.14,0.02,52.34,1.35,15.17,13.79,1.2,69.37,8.67,02-May-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
02-May-2018 - 00:00,30.5,983.61,158.64,58.08,49.94,167.76,135.97,1.12,0.0,0.01,0.18,0.03,43.38,2.04,16.6,14.55,1.07,65.56,6.57,03-May-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-May-2018 - 00:00,29.59,984.14,149.33,44.71,48.29,149.08,135.91,1.07,0.0,0.01,0.15,0.04,40.46,3.24,19.16,16.11,1.1,52.3,7.38,04-May-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-May-2018 - 00:00,30.89,984.42,116.92,44.21,49.26,188.08,118.36,0.83,0.0,0.01,0.16,0.02,38.55,1.87,16.21,14.56,1.04,67.63,7.58,05-May-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
