from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
05-Feb-2018 - 00:00,50.41,23.94,0.5,44.15,42.1,67.93,0.94,1.0,69.28,48.64,253.44,100.12,0.0,0.07,0.0,0.0,0.0,751.46,21.95,10.11,06-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
06-Feb-2018 - 00:00,58.08,24.61,0.51,57.75,65.36,95.99,0.93,0.93,71.25,40.34,266.69,88.82,0.0,0.26,0.0,0.0,0.0,751.22,23.73,6.48,07-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
07-Feb-2018 - 00:00,83.59,24.5,0.49,38.48,98.91,76.6,0.8,0.68,130.0,16.07,221.99,90.22,0.0,0.07,0.0,0.0,0.0,753.15,20.19,8.79,08-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
08-Feb-2018 - 00:00,77.66,23.28,0.53,124.23,116.34,166.11,0.33,1.31,132.3,18.04,295.06,126.06,0.0,0.08,0.0,0.0,0.0,753.52,27.03,7.87,09-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
09-Feb-2018 - 00:00,89.2,23.55,0.67,112.65,111.24,158.05,0.43,1.09,145.13,16.82,272.64,118.34,0.0,0.0,0.0,0.0,0.0,753.91,31.89,5.53,10-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
10-Feb-2018 - 00:00,83.47,25.66,0.71,86.26,85.68,118.33,0.51,0.38,106.8,18.53,321.75,158.76,0.0,0.0,0.0,0.0,0.0,754.67,32.48,7.41,11-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
11-Feb-2018 - 00:00,66.58,25.1,0.55,14.08,56.43,42.01,0.77,0.84,143.23,14.57,235.5,99.11,0.0,0.0,0.0,0.0,0.0,755.23,36.67,9.81,12-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
12-Feb-2018 - 00:00,77.27,22.67,0.59,44.82,65.77,72.28,0.61,1.12,232.35,14.36,275.76,113.03,0.0,0.0,0.0,0.0,0.0,751.59,43.29,8.71,13-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
13-Feb-2018 - 00:00,84.49,24.73,0.6,28.87,77.66,64.71,0.75,0.78,72.14,20.68,236.02,99.36,0.0,0.0,0.0,0.0,0.0,748.35,37.8,8.37,14-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
14-Feb-2018 - 00:00,83.09,25.03,0.97,18.92,74.88,55.79,0.71,0.93,108.59,18.97,209.4,85.06,0.0,0.0,0.0,0.0,0.0,747.52,35.18,9.49,15-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
