from date,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NO,NOx,NO2,SO2,Ozone,to date,station
17-Jan-2018 - 00:00,734.82,93.5,65.75,83.96,17.82,-0.05,119.76,0.68,0.0,0.0,0.72,0.0,1.41,0.66,6.52,20.05,24.58,6.58,37.61,18-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Jan-2018 - 00:00,734.46,64.89,56.26,85.08,19.05,-0.18,172.19,0.63,0.0,0.0,0.0,0.0,0.0,0.55,7.31,21.72,27.03,6.21,46.18,19-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Jan-2018 - 00:00,734.22,57.16,56.66,75.6,18.5,-0.31,193.73,0.61,0.0,0.0,0.35,0.0,0.94,0.37,6.64,21.72,26.96,6.5,36.37,20-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Jan-2018 - 00:00,734.69,77.14,64.23,81.62,17.16,-0.09,197.04,0.6,0.0,0.0,0.0,0.0,0.0,1.04,8.41,21.04,23.71,8.07,43.96,21-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Jan-2018 - 00:00,734.56,88.47,62.37,79.89,17.35,0.11,143.54,0.71,0.0,0.0,0.0,0.0,0.0,0.97,8.43,20.96,23.77,8.5,68.94,22-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Jan-2018 - 00:00,734.75,115.78,68.25,80.89,17.45,0.12,137.43,0.73,0.0,0.0,0.0,0.0,0.0,0.87,8.38,21.22,23.79,9.89,71.19,23-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
23-Jan-2018 - 00:00,734.62,100.61,77.16,39.78,15.63,0.09,151.18,0.58,0.0,0.0,0.7,0.0,1.88,0.74,7.67,19.31,21.3,5.76,70.35,24-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
24-Jan-2018 - 00:00,735.62,51.41,80.14,86.84,16.65,-0.22,189.64,0.57,0.0,0.0,0.62,0.0,1.69,0.5,7.49,20.09,23.19,4.79,53.0,25-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
25-Jan-2018 - 00:00,735.69,66.77,80.61,91.68,16.13,-0.56,150.18,0.57,0.0,0.0,0.03,0.0,0.07,0.4,7.84,21.86,26.13,4.87,60.1,26-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
26-Jan-2018 - 00:00,735.76,99.75,90.0,63.5,13.62,-0.12,151.31,0.49,0.0,0.0,0.0,0.0,0.0,0.39,7.95,22.01,26.27,4.55,24.83,27-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
27-Jan-2018 - 00:00,735.86,115.04,86.17,84.24,14.67,0.45,152.82,0.55,0.0,0.0,0.0,0.0,0.0,0.39,7.97,22.15,26.36,4.67,24.9,28-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
28-Jan-2018 - 00:00,736.03,88.52,85.37,97.79,14.11,-0.17,174.12,0.5,0.0,0.0,0.0,0.0,0.0,0.39,7.97,22.01,26.44,4.19,25.18,29-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
29-Jan-2018 - 00:00,735.57,76.28,77.31,92.07,16.26,-0.27,174.2,0.51,0.0,0.0,0.06,0.0,0.16,0.65,7.54,19.81,23.26,4.95,26.54,30-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
30-Jan-2018 - 00:00,735.02,72.19,65.52,93.77,19.06,-0.99,197.23,0.52,0.0,0.0,0.0,0.0,0.0,0.79,9.45,21.67,23.59,6.44,21.64,31-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
31-Jan-2018 - 00:00,734.98,68.46,62.68,105.24,19.95,-1.89,220.45,0.41,0.0,0.0,0.0,0.0,0.0,0.72,9.48,21.83,23.67,5.26,24.24,01-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
01-Feb-2018 - 00:00,734.73,67.19,60.4,99.73,19.94,-0.38,178.36,0.58,0.0,0.0,0.0,0.0,0.0,0.71,9.43,21.79,23.43,6.83,12.49,02-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Feb-2018 - 00:00,734.82,67.28,62.55,91.14,19.58,-0.07,200.7,0.69,0.0,0.0,0.0,0.0,0.0,0.86,9.48,21.92,23.76,8.86,9.3,03-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Feb-2018 - 00:00,734.68,49.24,56.92,94.57,18.88,0.04,198.98,0.59,0.0,0.0,0.0,0.0,0.0,0.88,9.41,21.66,23.62,4.79,10.1,04-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Feb-2018 - 00:00,734.67,68.39,59.85,97.12,18.36,-0.07,206.61,0.65,0.0,0.0,0.0,0.0,0.0,0.97,9.46,21.69,23.24,11.3,6.23,05-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Feb-2018 - 00:00,734.56,68.9,57.81,92.74,18.58,0.12,177.99,0.55,0.0,0.0,0.21,0.0,0.56,0.89,8.17,19.6,22.18,8.5,29.83,06-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Feb-2018 - 00:00,734.3,61.98,52.1,96.1,19.01,-0.58,203.17,0.45,0.0,0.0,0.0,0.0,0.0,0.53,8.0,18.53,21.57,8.35,30.97,07-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Feb-2018 - 00:00,734.59,61.15,52.72,105.29,17.47,-0.53,185.94,0.53,0.0,0.0,0.39,0.0,1.15,0.84,6.93,20.09,24.3,10.67,33.6,08-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Feb-2018 - 00:00,734.44,52.65,49.31,101.35,17.91,-0.39,165.39,0.56,0.0,0.0,0.03,0.0,0.1,0.72,7.04,21.68,26.03,6.74,37.68,09-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Feb-2018 - 00:00,734.31,68.45,49.73,101.4,17.72,-0.29,182.88,0.66,0.0,0.0,0.0,0.0,0.0,0.8,7.95,21.11,25.75,7.08,41.81,10-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Feb-2018 - 00:00,734.01,48.71,43.94,102.59,18.74,1.11,143.48,0.7,0.0,0.0,0.0,0.0,0.0,0.72,7.94,21.17,25.71,4.22,58.36,11-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Feb-2018 - 00:00,734.08,54.27,44.25,99.46,20.57,2.32,199.69,0.63,0.0,0.0,0.0,0.0,0.0,0.87,7.97,21.27,25.55,4.28,64.79,12-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Feb-2018 - 00:00,735.11,43.69,80.17,55.78,17.98,0.53,179.41,0.54,0.0,0.0,0.0,0.0,0.0,0.67,7.98,21.12,25.39,4.3,83.62,13-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Feb-2018 - 00:00,735.6,25.99,74.41,104.01,18.62,0.03,169.32,0.48,0.0,0.0,0.06,0.0,0.18,0.83,7.74,19.44,22.6,4.08,83.11,14-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Feb-2018 - 00:00,735.73,37.58,73.59,115.79,18.11,-0.54,224.28,0.5,0.0,0.0,0.0,0.0,0.0,0.9,8.98,19.36,21.09,3.67,85.46,15-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Feb-2018 - 00:00,735.94,45.23,79.55,111.65,18.08,-0.36,181.54,0.44,0.0,0.0,0.08,0.0,0.26,0.61,6.82,19.64,23.85,3.72,67.58,16-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Feb-2018 - 00:00,735.95,70.57,77.24,117.04,19.23,-0.19,203.4,0.54,0.0,0.0,0.0,0.0,0.0,0.71,5.21,20.3,25.74,3.64,44.68,17-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Feb-2018 - 00:00,735.79,63.04,73.33,119.4,20.01,-0.51,171.96,0.56,0.0,0.0,0.0,0.0,0.0,0.86,5.19,20.17,25.76,3.07,51.57,18-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Feb-2018 - 00:00,734.96,48.74,58.53,119.28,19.28,0.23,161.63,0.65,0.0,0.0,0.0,0.0,0.0,0.8,5.21,20.25,25.67,2.98,57.99,19-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Feb-2018 - 00:00,735.11,51.13,60.0,119.94,20.36,-0.14,164.91,0.62,0.0,0.0,0.0,0.0,0.0,0.85,5.21,20.17,25.6,3.63,71.7,20-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Feb-2018 - 00:00,735.14,57.19,59.2,122.14,20.98,-0.32,185.72,0.58,0.0,0.0,0.24,0.0,0.74,0.78,5.54,20.89,27.11,3.22,52.27,21-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Feb-2018 - 00:00,735.32,201.27,62.58,119.06,22.16,0.05,168.58,0.65,0.0,0.0,0.0,0.0,0.0,0.71,4.26,19.43,27.13,3.36,26.43,22-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Feb-2018 - 00:00,735.43,77.63,65.99,121.39,22.15,1.57,156.67,0.64,0.0,0.0,0.0,0.0,0.0,0.77,4.26,19.25,27.08,2.82,22.22,23-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
23-Feb-2018 - 00:00,734.86,59.74,52.58,123.27,22.8,1.54,159.62,0.69,0.0,0.0,0.0,0.0,0.0,0.72,4.24,19.42,26.92,2.83,19.11,24-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
24-Feb-2018 - 00:00,734.16,36.31,51.77,82.83,23.07,0.81,120.8,0.57,0.0,0.0,0.0,0.0,0.0,0.8,4.23,19.45,26.77,3.21,22.07,25-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
25-Feb-2018 - 00:00,736.02,39.59,74.1,127.58,22.22,0.3,214.23,0.49,0.0,0.0,0.0,0.0,0.0,0.81,4.24,19.35,26.95,3.48,18.87,26-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
26-Feb-2018 - 00:00,736.1,49.64,72.39,142.37,22.21,1.84,208.84,0.43,0.0,0.0,0.13,0.0,0.38,0.65,5.57,19.87,26.36,3.06,28.9,27-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
27-Feb-2018 - 00:00,736.14,52.1,70.89,145.97,23.13,2.45,182.37,0.49,0.0,0.0,0.03,0.0,0.3,0.65,7.35,22.36,26.86,3.89,29.41,28-Feb-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
28-Feb-2018 - 00:00,735.53,53.11,70.97,114.12,22.52,1.47,159.81,0.61,0.0,0.0,0.0,0.0,0.0,0.58,7.22,23.98,27.13,2.69,29.6,01-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
01-Mar-2018 - 00:00,735.81,55.21,70.37,134.56,22.67,0.72,192.26,0.65,0.0,0.0,0.0,0.0,0.0,0.76,7.25,23.9,27.48,2.91,22.34,02-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Mar-2018 - 00:00,735.26,31.01,51.02,152.72,24.74,0.49,148.09,0.53,0.0,0.0,0.0,0.0,0.0,0.83,7.26,23.97,27.01,2.7,27.44,03-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Mar-2018 - 00:00,734.75,31.49,53.74,114.2,23.67,1.32,167.33,0.51,0.0,0.0,0.0,0.0,0.0,0.71,7.27,23.88,26.97,3.11,21.25,04-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Mar-2018 - 00:00,735.36,23.06,57.17,142.04,23.34,2.08,176.81,0.62,0.0,0.0,0.0,0.0,0.0,0.68,7.35,23.99,27.19,3.0,27.79,05-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Mar-2018 - 00:00,735.58,26.81,55.63,158.27,22.76,1.95,183.69,0.56,0.0,0.0,0.0,0.0,0.0,0.58,7.34,24.12,27.25,3.29,30.59,06-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Mar-2018 - 00:00,735.64,28.8,55.18,168.02,22.46,0.86,158.34,0.51,0.0,0.0,0.0,0.0,0.0,0.49,7.29,24.08,27.26,3.31,31.24,07-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Mar-2018 - 00:00,735.54,37.77,54.92,166.03,22.64,1.61,136.23,0.59,0.0,0.0,0.0,0.0,0.0,0.55,7.35,24.05,27.27,3.2,32.93,08-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Mar-2018 - 00:00,733.92,23.79,47.25,76.88,22.9,1.74,140.87,0.62,0.0,0.0,0.0,0.0,0.0,0.68,7.25,23.86,26.91,2.46,34.98,09-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Mar-2018 - 00:00,734.96,28.75,43.14,161.45,24.73,0.45,210.88,0.5,0.0,0.0,0.0,0.0,0.0,0.62,7.39,24.08,27.33,3.39,33.44,10-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Mar-2018 - 00:00,735.04,34.79,50.76,140.14,24.11,-0.3,180.86,0.56,0.0,0.0,0.0,0.0,0.0,0.55,7.36,24.08,27.22,3.1,31.35,11-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Mar-2018 - 00:00,735.68,44.14,55.29,166.59,24.54,0.37,158.98,0.54,0.0,0.0,0.0,0.0,0.0,0.6,7.37,23.87,27.34,2.88,34.26,12-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Mar-2018 - 00:00,735.73,56.85,56.2,165.52,25.1,0.42,190.49,0.58,0.0,0.0,0.0,0.0,0.0,0.87,7.3,24.08,27.2,2.78,33.05,13-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Mar-2018 - 00:00,735.33,50.13,44.98,170.1,26.59,0.55,159.68,0.7,0.0,0.0,0.0,0.0,0.0,0.58,7.28,23.93,27.13,3.08,33.26,14-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Mar-2018 - 00:00,735.2,53.93,47.35,163.68,26.36,0.32,172.79,0.69,0.0,0.0,0.0,0.0,0.0,0.65,7.36,24.21,27.17,3.4,28.28,15-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Mar-2018 - 00:00,734.41,,45.87,115.4,25.43,0.32,161.34,0.58,0.0,0.0,0.0,0.0,0.0,0.7,7.3,23.85,27.3,3.29,38.82,16-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Mar-2018 - 00:00,735.28,,43.29,174.13,24.24,0.31,183.37,0.61,0.0,0.0,0.0,0.0,0.0,0.64,7.34,23.94,27.0,3.28,33.61,17-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Mar-2018 - 00:00,735.66,,44.16,187.34,23.82,0.31,181.02,0.63,0.0,0.0,0.0,0.0,0.0,0.7,7.31,23.93,27.12,3.16,34.54,18-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Mar-2018 - 00:00,735.42,,44.63,188.3,24.49,0.31,184.96,0.61,0.0,0.0,0.0,0.0,0.0,0.59,7.36,23.91,27.01,2.98,40.9,19-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Mar-2018 - 00:00,735.45,45.45,45.39,182.95,24.9,0.31,166.51,0.59,0.0,0.0,0.0,0.0,0.02,0.66,7.84,24.15,28.34,3.37,42.76,20-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Mar-2018 - 00:00,735.51,61.63,47.86,177.26,25.95,0.32,197.08,0.67,0.0,0.0,0.0,0.0,0.0,0.64,7.7,21.8,27.79,3.06,34.7,21-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Mar-2018 - 00:00,735.33,46.72,56.06,140.86,25.0,0.32,175.58,0.58,0.0,0.0,0.0,0.0,0.0,0.69,7.66,21.89,27.85,3.71,31.96,22-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Mar-2018 - 00:00,735.22,34.62,53.62,148.21,24.6,0.31,210.67,0.48,0.0,0.0,0.0,0.0,0.0,0.86,7.63,22.17,28.02,4.03,31.11,23-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
23-Mar-2018 - 00:00,735.55,82.07,56.95,147.79,23.74,0.31,131.31,0.64,0.0,0.0,0.0,0.0,0.0,0.73,7.55,21.91,28.16,4.22,22.42,24-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
24-Mar-2018 - 00:00,737.33,87.28,54.45,272.05,25.96,0.32,231.21,0.51,0.0,0.0,0.0,0.0,0.0,0.51,7.68,22.35,27.66,5.74,34.35,25-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
25-Mar-2018 - 00:00,736.72,71.41,48.51,259.65,27.75,0.33,208.49,0.65,0.0,0.0,0.0,0.0,0.0,0.39,7.7,22.39,27.87,4.97,49.4,26-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
26-Mar-2018 - 00:00,736.19,50.79,44.25,228.15,27.84,0.32,205.81,0.58,0.17,0.0,0.12,0.0,0.4,0.82,9.64,21.36,24.39,14.91,49.79,27-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
27-Mar-2018 - 00:00,735.43,65.19,44.95,185.34,27.45,0.32,176.88,0.7,0.06,0.0,0.04,0.0,0.14,2.34,8.38,21.28,24.17,8.66,47.24,28-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
28-Mar-2018 - 00:00,735.43,53.9,42.17,185.49,28.34,0.32,203.87,0.49,0.0,0.0,0.0,0.0,0.0,1.07,7.18,21.02,23.83,9.57,48.6,29-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
29-Mar-2018 - 00:00,735.59,51.96,44.36,193.3,27.89,0.32,192.92,0.53,0.0,0.0,0.0,0.0,0.0,1.02,7.15,21.19,23.64,7.99,50.68,30-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
30-Mar-2018 - 00:00,735.34,55.79,38.22,187.45,27.77,0.32,164.03,0.69,0.0,0.0,0.0,0.0,0.0,1.23,7.19,21.29,23.68,9.62,52.7,31-Mar-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
31-Mar-2018 - 00:00,735.32,42.78,39.96,185.56,27.48,0.32,154.69,0.61,0.0,0.0,0.0,0.0,0.0,0.91,7.16,21.04,23.86,6.24,60.41,01-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
01-Apr-2018 - 00:00,735.34,41.86,44.89,178.67,27.55,0.32,137.67,0.64,0.0,0.0,0.0,0.0,0.0,1.11,7.18,21.13,23.71,5.97,63.96,02-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Apr-2018 - 00:00,735.24,52.63,46.46,165.6,28.38,0.32,134.61,0.66,0.0,0.0,0.0,0.0,0.0,0.84,7.17,20.89,23.75,6.25,60.38,03-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Apr-2018 - 00:00,735.12,59.29,44.04,165.33,29.68,0.33,144.74,0.59,0.31,0.0,0.21,0.0,0.72,1.23,6.33,21.27,24.37,5.78,63.29,04-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Apr-2018 - 00:00,734.99,63.02,42.82,157.77,29.76,0.33,165.5,0.63,0.0,0.0,0.0,0.0,0.0,0.89,6.38,20.13,23.15,6.76,54.84,05-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Apr-2018 - 00:00,734.9,66.29,44.6,152.87,28.98,0.33,177.84,0.53,0.03,0.06,0.06,0.02,0.07,1.2,6.03,20.82,26.47,10.86,40.75,06-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Apr-2018 - 00:00,734.84,47.95,39.69,154.52,29.42,0.32,209.34,0.69,0.02,0.04,0.04,0.01,0.05,1.02,6.62,20.75,27.63,7.17,43.19,07-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Apr-2018 - 00:00,735.28,49.86,47.94,167.16,28.22,0.31,151.3,0.59,0.0,0.0,0.0,0.0,0.0,0.95,7.27,19.77,23.91,9.65,41.97,08-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Apr-2018 - 00:00,735.45,34.03,49.2,173.01,28.68,0.31,163.89,0.65,0.0,0.0,0.0,0.0,0.0,1.3,7.2,19.91,24.02,4.89,49.61,09-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Apr-2018 - 00:00,735.15,31.71,60.42,123.04,26.82,0.32,187.72,0.65,0.05,0.09,0.1,0.03,0.1,1.06,7.21,19.92,24.13,6.25,29.34,10-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Apr-2018 - 00:00,736.04,41.17,58.95,178.51,27.96,0.33,187.02,0.6,0.06,0.07,0.06,0.02,0.06,1.47,7.87,19.9,23.67,5.43,36.58,11-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Apr-2018 - 00:00,734.96,31.4,71.65,74.5,24.18,0.32,159.46,0.56,0.05,0.0,0.09,0.08,0.09,1.06,7.3,17.59,20.33,6.51,17.29,12-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Apr-2018 - 00:00,736.48,31.57,57.32,209.44,26.19,0.32,193.8,0.6,0.0,0.0,0.0,0.0,0.0,1.06,8.03,17.98,21.0,11.99,27.7,13-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Apr-2018 - 00:00,735.68,30.19,41.14,212.11,27.08,0.31,211.91,0.65,0.0,0.0,0.0,0.0,0.0,1.05,7.96,17.86,21.02,8.87,40.01,14-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Apr-2018 - 00:00,735.42,34.04,39.86,197.17,28.24,0.32,195.84,0.55,0.0,0.0,0.0,0.0,0.0,0.95,8.0,17.8,20.93,7.37,42.23,15-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Apr-2018 - 00:00,735.41,37.35,35.89,208.18,29.52,0.32,174.24,0.66,0.0,0.0,0.0,0.0,0.0,1.17,7.9,17.76,20.97,7.84,45.01,16-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Apr-2018 - 00:00,734.45,31.79,33.36,159.84,30.63,0.32,139.53,0.56,0.05,0.0,0.1,0.08,0.09,1.48,7.57,18.31,21.45,6.04,42.73,17-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Apr-2018 - 00:00,736.24,28.03,37.75,248.7,30.21,0.33,178.23,0.68,0.0,0.0,0.0,0.0,0.0,0.76,7.99,19.43,21.07,3.65,50.62,18-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
