from date,AT,Benzene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,RF,RH,SO2,SR,Toluene,VWS,WD,WS,Xylene,to date,station
13-Feb-2018 - 00:00,16.12,33.56,747.99,2.31,32.8,38.36,48.08,47.35,70.9,0.0,64.68,8.47,55.22,113.89,0.0,256.01,0.62,82.36,14-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
14-Feb-2018 - 00:00,18.77,23.27,747.86,1.96,21.39,41.37,40.24,83.17,63.3,0.0,57.58,7.41,114.91,110.25,0.0,196.44,2.13,83.74,15-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
15-Feb-2018 - 00:00,17.56,26.56,748.0,2.29,23.97,60.75,52.89,98.14,75.8,0.0,48.15,7.79,128.01,120.89,0.0,196.48,1.58,104.59,16-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
16-Feb-2018 - 00:00,18.05,30.59,747.53,2.26,35.59,77.05,71.38,88.46,103.36,0.0,51.38,6.87,122.0,111.41,0.0,327.16,1.24,76.83,17-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
17-Feb-2018 - 00:00,19.17,28.52,747.0,0.96,21.14,81.5,61.6,94.96,82.52,0.0,52.18,1.91,116.11,109.21,0.0,339.11,1.38,86.22,18-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
18-Feb-2018 - 00:00,20.76,22.71,747.0,1.19,43.67,71.95,74.32,63.88,117.97,0.0,48.38,2.05,118.22,82.38,0.0,334.11,0.86,60.23,19-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
19-Feb-2018 - 00:00,21.88,16.9,747.0,1.46,17.32,79.9,57.16,73.3,113.46,0.0,46.94,2.05,115.86,65.12,0.0,243.02,0.73,51.31,20-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
20-Feb-2018 - 00:00,21.66,15.49,747.0,1.57,25.2,82.49,65.4,70.85,119.45,0.0,49.67,4.62,105.15,54.02,0.0,187.57,0.53,40.67,21-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
21-Feb-2018 - 00:00,20.77,6.54,747.0,1.17,26.43,50.5,49.37,64.5,135.83,0.0,47.46,10.13,117.2,14.11,0.0,331.07,0.75,21.05,22-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
22-Feb-2018 - 00:00,22.05,8.87,746.82,2.0,43.71,50.49,63.73,68.13,127.56,0.0,46.67,9.82,113.62,24.91,0.0,306.98,0.65,30.48,23-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
