from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,BP,PM2.5,PM10,RF,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Apr-2018 - 00:00,,,,,,,,49.23,,,,,,1.0,19.42,,12.51,,,7.27,02-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Apr-2018 - 00:00,,,,,,,47.32,56.31,,,,,,0.95,19.64,,12.49,,,8.39,03-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Apr-2018 - 00:00,,,,,,,41.08,78.32,,,,,,1.6,24.23,,17.28,,,12.15,04-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Apr-2018 - 00:00,,,,,,,36.62,67.2,,,,,,1.09,20.04,,16.63,,,7.92,05-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Apr-2018 - 00:00,,,,,,,64.06,63.72,,,,,,0.75,43.68,,22.32,,,12.92,06-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Apr-2018 - 00:00,,,,,,,80.93,97.59,,,,,,0.92,8.73,,12.11,,,10.53,07-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Apr-2018 - 00:00,,,,,,,17.82,50.92,,,,,,0.71,10.48,,13.95,,,11.58,08-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Apr-2018 - 00:00,,,,,,,69.15,116.58,,,,,,0.93,14.98,,29.98,,,20.22,09-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Apr-2018 - 00:00,,,,,,,61.88,118.66,,,,,,1.14,15.78,,31.87,,,12.15,10-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Apr-2018 - 00:00,,,,,,,30.27,90.05,,,,,,0.55,15.27,,30.02,,,7.42,11-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Apr-2018 - 00:00,,,,,,,14.64,52.43,,,,,,0.3,12.27,,20.75,,,9.66,12-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Apr-2018 - 00:00,,,,,,,21.57,45.37,,,,,,0.66,9.88,,20.05,,,3.94,13-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Apr-2018 - 00:00,,,,,,,39.91,77.57,,,,,,1.23,9.23,,27.1,,,7.87,14-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Apr-2018 - 00:00,,,,,,,41.16,87.11,,,,,,1.58,11.48,,35.43,,,11.37,15-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Apr-2018 - 00:00,,,,,,,37.83,73.22,,,,,,1.06,11.46,,40.32,,,15.11,16-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Apr-2018 - 00:00,,,,,,,32.79,82.19,,,,,,1.1,9.75,,35.0,,,9.84,17-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Apr-2018 - 00:00,,,,,,,27.79,73.11,,,,,,0.51,8.88,,30.89,,,16.03,18-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Apr-2018 - 00:00,,,,,,,5.01,58.51,,,,,,0.02,12.79,,40.84,,,7.75,19-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Apr-2018 - 00:00,,,,,,,7.59,6.1,,,,,,0.18,14.94,,43.82,,,,20-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Apr-2018 - 00:00,,,,,,,37.14,64.46,,,,,,0.83,15.85,,30.08,,,7.69,21-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Apr-2018 - 00:00,,,,,,,23.55,83.21,,,,,,0.92,16.15,,29.83,,,5.87,22-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Apr-2018 - 00:00,,,,,,,20.87,83.64,,,,,,1.12,16.28,,30.66,,,12.79,23-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Apr-2018 - 00:00,,,,,,,99.32,66.29,,,,,,0.93,18.54,,30.0,,,8.91,24-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Apr-2018 - 00:00,,,,,,,33.72,65.74,,,,,,0.83,20.26,,26.65,,,10.05,25-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Apr-2018 - 00:00,,,,,,,21.43,83.14,,,,,,0.98,19.76,,26.13,,,7.1,26-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Apr-2018 - 00:00,,,,,,,28.08,85.68,,,,,,0.89,19.43,,26.26,,,8.31,27-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Apr-2018 - 00:00,,,,,,,40.77,85.18,,,,,,1.24,21.29,,34.49,,,12.58,28-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Apr-2018 - 00:00,,,,,,,13.66,33.13,,,,,,0.84,49.95,,63.47,,,17.06,29-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-Apr-2018 - 00:00,,,,,,,53.43,59.38,,,,,,0.61,181.32,,427.62,,,32.28,30-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-Apr-2018 - 00:00,,,,,,,49.34,80.77,,,,,,0.53,7.52,,23.03,,,17.45,01-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-May-2018 - 00:00,,,,,,,38.95,86.45,,,,,,0.54,10.14,,23.49,,,10.99,02-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-May-2018 - 00:00,,,,,,,28.34,69.88,,,,,,0.42,12.16,,20.13,,,10.93,03-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-May-2018 - 00:00,,,,,,,64.12,77.31,,,,,,0.52,17.86,,39.3,,,12.24,06-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-May-2018 - 00:00,,,,,,,42.0,96.77,,,,,,0.7,14.83,,20.22,,,4.02,07-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-May-2018 - 00:00,,,,,,,42.21,77.65,,,,,,0.28,10.18,,13.32,,,5.37,08-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-May-2018 - 00:00,,,,,,,107.39,68.88,,,,,,0.29,9.81,,10.96,,,11.39,09-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-May-2018 - 00:00,,,,,,,55.62,78.27,,,,,,0.53,31.9,,28.68,,,9.33,10-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-May-2018 - 00:00,,,,,,,46.81,56.73,,,,,,0.76,59.87,,48.88,,,9.95,11-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-May-2018 - 00:00,,,,,,,141.48,69.6,,,,,,0.92,53.34,,43.16,,,10.97,12-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-May-2018 - 00:00,,,,,,,33.24,76.06,,,,,,0.74,52.64,,31.21,,,14.42,13-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-May-2018 - 00:00,,,,,,,57.9,111.0,,,,,,0.77,39.2,,28.08,,,11.13,14-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-May-2018 - 00:00,0.4,0.08,0.16,0.07,2.07,757.01,32.6,77.01,0.0,577.11,38.37,62.92,0.97,0.69,40.31,3.46,30.35,45.86,126.76,11.02,15-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-May-2018 - 00:00,,,,,,,45.0,87.49,,,,,,0.72,36.73,,23.19,,,12.47,16-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-May-2018 - 00:00,,,,,,,60.17,111.6,,,,,,1.23,49.13,,25.73,,,10.77,17-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-May-2018 - 00:00,,,,,,,59.58,108.93,,,,,,0.63,43.85,,21.72,,,11.35,18-May-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
