from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
18-Jul-2018 - 00:00,756.41,63.09,175.75,0.07,72.24,104.0,148.9,0.82,0.51,0.5,0.5,0.5,41.55,0.49,0.83,13.05,11.85,9.91,21.76,18.22,19-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Jul-2018 - 00:00,756.42,77.94,185.32,0.37,80.9,109.88,162.37,0.72,0.49,0.52,0.52,0.5,30.74,0.5,0.82,13.06,11.89,11.28,23.18,18.66,20-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Jul-2018 - 00:00,756.36,86.87,198.23,0.03,82.54,48.86,267.02,0.87,0.51,0.49,0.51,0.51,31.07,0.5,0.7,13.09,11.99,14.88,26.85,19.32,21-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Jul-2018 - 00:00,756.38,86.7,203.22,0.04,84.48,44.01,155.48,0.61,0.49,0.5,0.5,0.51,35.87,0.5,0.81,13.07,12.01,14.91,26.92,18.88,22-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Jul-2018 - 00:00,756.41,12.79,61.27,0.59,94.4,12.06,127.14,0.8,0.23,0.2,0.2,0.21,28.29,0.23,0.28,13.12,11.67,14.84,11.78,17.69,23-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Jul-2018 - 00:00,756.37,57.83,134.35,0.01,78.59,83.47,208.69,0.88,0.49,0.48,0.47,0.49,10.71,0.48,0.85,13.32,11.67,14.86,25.9,21.42,24-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Jul-2018 - 00:00,745.23,41.8,118.01,0.0,72.87,104.17,134.52,0.69,0.47,0.47,0.47,0.49,17.88,0.47,0.65,13.19,11.71,14.83,25.08,20.78,25-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Jul-2018 - 00:00,734.3,29.19,97.82,0.44,85.96,37.49,178.61,0.69,0.47,0.47,0.46,0.48,33.08,0.47,0.61,13.52,11.3,14.87,24.44,18.39,26-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Jul-2018 - 00:00,734.11,82.82,212.82,1.64,89.66,45.54,275.36,1.38,0.5,0.5,0.51,0.49,30.64,0.5,0.69,13.12,11.8,14.87,26.68,19.53,27-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Jul-2018 - 00:00,733.96,81.78,181.91,0.17,90.73,35.58,309.99,1.37,0.5,0.5,0.5,0.5,21.21,0.51,0.74,13.09,11.5,14.94,26.44,19.53,28-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
