from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
17-Feb-2018 - 00:00,,,,,,,,,,381.17,99.26,3.25,11.17,12.91,1.16,0.0,18.08,0.0,1.64,4.84,1.33,18-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
18-Feb-2018 - 00:00,,,,,,,,,,264.37,90.92,12.61,4.48,4.3,1.21,0.0,17.74,0.0,1.52,4.57,1.34,19-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
19-Feb-2018 - 00:00,,,,,,,,,,328.41,136.98,20.96,14.39,24.7,1.21,0.0,18.18,1.57,2.92,9.36,3.08,20-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
20-Feb-2018 - 00:00,,,,,,,,,,234.72,85.7,9.54,32.46,32.73,1.22,0.0,18.09,6.43,1.92,8.23,2.22,21-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
21-Feb-2018 - 00:00,,,,,,,,,,221.32,116.83,58.47,36.72,93.24,1.25,0.0,19.14,6.74,3.89,11.72,3.76,22-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
22-Feb-2018 - 00:00,,,,,,,,,,198.73,115.77,22.56,15.41,36.71,1.35,0.0,18.42,6.5,1.74,6.85,1.97,23-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
23-Feb-2018 - 00:00,,,,,,,,,,267.01,103.29,21.57,19.41,15.36,1.3,0.0,19.79,9.15,0.01,0.0,0.01,24-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
24-Feb-2018 - 00:00,,,,,,,,,,319.35,112.52,23.92,22.96,38.57,1.48,0.0,27.85,9.6,2.6,6.33,1.07,25-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
25-Feb-2018 - 00:00,,,,,,,,,,170.72,58.79,23.33,24.28,47.61,1.39,0.0,21.89,5.65,1.43,3.85,0.76,26-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
26-Feb-2018 - 00:00,,,,,,,,,,133.49,51.38,21.89,25.32,47.22,1.43,0.0,23.49,3.32,0.41,1.0,0.21,27-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
27-Feb-2018 - 00:00,,,,,,,,,,147.81,85.67,18.99,27.16,46.15,1.45,0.0,26.28,4.95,0.47,1.85,0.26,28-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
28-Feb-2018 - 00:00,,,,,,,,,,228.38,126.61,16.41,30.39,46.8,1.57,0.0,32.11,8.56,1.64,8.35,1.11,01-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
01-Mar-2018 - 00:00,,,,,,,,,,228.78,130.12,16.28,30.09,46.37,1.74,0.0,31.35,8.12,1.83,14.34,2.32,02-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
02-Mar-2018 - 00:00,,,,,,,,,,226.94,168.1,15.24,31.63,46.86,1.7,0.0,34.11,6.13,4.63,9.83,3.03,03-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
03-Mar-2018 - 00:00,,,,,,,,,,185.65,113.76,15.68,30.9,46.58,1.71,0.0,32.78,5.66,0.92,6.46,2.29,04-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
04-Mar-2018 - 00:00,,,,,,,,,,161.46,100.62,14.81,32.08,46.89,1.55,0.0,34.87,5.24,0.3,1.08,0.43,05-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
05-Mar-2018 - 00:00,,,,,,,,,,137.43,87.28,13.92,33.51,47.43,1.66,0.0,37.49,4.19,0.0,0.0,0.0,06-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
06-Mar-2018 - 00:00,,,,,,,,,,137.31,75.71,13.45,34.36,47.81,1.58,0.0,39.1,3.6,0.0,0.0,0.0,07-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
07-Mar-2018 - 00:00,,,,,,,,,,135.08,80.59,13.44,34.38,47.82,1.71,0.0,39.13,4.3,0.0,0.0,0.0,08-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
08-Mar-2018 - 00:00,,,,,,,,,,264.61,160.21,13.69,34.68,48.37,1.61,0.0,40.24,9.38,0.0,0.0,0.0,09-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
09-Mar-2018 - 00:00,,,,,,,,,,252.76,187.43,13.76,34.09,47.85,1.85,0.0,38.41,6.07,0.0,0.0,0.0,10-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
10-Mar-2018 - 00:00,,,,,,,,,,142.09,102.07,13.24,34.88,48.12,2.25,0.0,40.16,3.88,0.0,0.0,0.0,11-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
11-Mar-2018 - 00:00,,,,,,,,,,147.56,158.48,27.16,25.29,52.46,1.94,0.0,24.12,4.53,0.0,0.0,0.0,12-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
12-Mar-2018 - 00:00,,,,,,,,,,186.4,104.06,32.89,20.79,53.76,1.99,0.0,16.1,5.17,0.0,0.0,0.0,13-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
13-Mar-2018 - 00:00,,,,,,,,,,264.19,158.51,31.11,20.94,52.05,2.04,0.0,16.85,5.15,0.0,0.0,0.0,14-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
14-Mar-2018 - 00:00,,,,,,,,,,351.42,154.27,21.59,14.39,35.98,1.74,0.0,17.12,4.56,0.0,0.0,0.0,15-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
15-Mar-2018 - 00:00,,,,,,,,,,371.25,83.62,6.48,4.91,11.39,1.16,,17.0,4.74,0.0,0.0,0.0,16-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
16-Mar-2018 - 00:00,,,,,,,,,,277.13,74.03,6.56,4.92,11.48,1.1,,17.16,5.29,0.0,0.0,0.0,17-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
17-Mar-2018 - 00:00,,,,,,,,,,188.33,41.28,6.39,4.91,11.29,0.99,,17.02,1.19,0.0,0.0,0.0,18-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
18-Mar-2018 - 00:00,,,,,,,,,,215.49,69.98,6.39,4.92,11.31,1.0,,17.16,0.0,0.0,0.0,0.0,19-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
19-Mar-2018 - 00:00,,,,,,,,,,220.9,56.12,6.46,4.9,11.36,0.92,,17.03,0.0,0.0,0.0,0.0,20-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
20-Mar-2018 - 00:00,,,,,,,,,,283.63,86.37,6.46,4.92,11.38,0.92,,16.97,2.33,0.0,0.0,0.0,21-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
21-Mar-2018 - 00:00,,,,,,,,,,298.8,96.35,6.21,10.56,16.73,1.03,,16.81,2.76,0.0,0.0,0.0,22-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
22-Mar-2018 - 00:00,,,,,,,,,,197.08,111.44,5.55,15.74,21.29,1.12,,16.5,4.43,0.0,0.0,0.0,23-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
23-Mar-2018 - 00:00,,,,,,,,,,181.4,43.48,8.17,13.01,14.42,0.92,0.0,18.94,3.85,0.0,0.0,0.0,24-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
24-Mar-2018 - 00:00,,,,,,,,,,212.67,45.46,8.52,14.22,22.74,0.74,,13.56,4.23,0.0,0.0,0.0,25-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
25-Mar-2018 - 00:00,,,,,,,,,,201.87,46.52,8.46,13.75,22.21,0.74,,15.5,4.08,0.0,0.0,0.0,26-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
26-Mar-2018 - 00:00,,,,,,,,,,217.39,46.51,8.49,14.93,23.42,0.73,,17.85,4.06,0.0,0.0,0.0,27-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
27-Mar-2018 - 00:00,,,,,,,,,,290.67,120.7,8.65,18.78,27.42,0.73,,19.45,5.25,0.0,0.0,0.0,28-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
28-Mar-2018 - 00:00,,,,,,,,,,313.8,167.39,9.09,25.0,34.09,0.73,,22.84,0.0,0.0,0.0,0.0,29-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
29-Mar-2018 - 00:00,,,,,,,,,,233.21,235.04,8.55,16.63,25.18,0.72,,24.23,0.0,0.0,0.0,0.0,30-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
30-Mar-2018 - 00:00,,,,,,,,,,263.42,175.08,8.53,16.8,25.33,0.76,,26.83,2.32,0.0,0.0,0.0,31-Mar-2018 - 00:00,"North Campus, DU, Delhi - IMD"
31-Mar-2018 - 00:00,,,,,,,,,,331.02,74.25,8.45,17.6,26.07,0.76,,29.45,0.09,0.0,0.0,0.0,01-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
01-Apr-2018 - 00:00,,,,,,,,,,230.12,56.55,8.26,15.39,23.69,0.77,,35.53,0.0,0.0,0.0,0.0,02-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
02-Apr-2018 - 00:00,,,,,,,,,,250.48,70.72,8.06,16.95,24.99,0.79,,45.39,0.0,0.0,0.0,0.0,03-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
03-Apr-2018 - 00:00,,,,,,,,,,297.98,89.64,8.42,20.22,28.65,0.79,,44.67,0.0,0.0,0.0,0.0,04-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
04-Apr-2018 - 00:00,,,,,,,,,,309.94,110.69,8.6,22.74,30.93,0.76,,44.71,0.0,0.0,0.0,0.0,05-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
05-Apr-2018 - 00:00,,,,,,,,,,365.52,121.38,8.39,22.3,30.64,0.78,,21.31,0.0,0.0,0.0,0.0,06-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
06-Apr-2018 - 00:00,,,,,,,,,,258.93,68.01,6.89,18.05,24.92,0.77,,27.72,0.0,0.0,0.0,0.0,07-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
07-Apr-2018 - 00:00,,,,,,,,,,154.16,34.97,6.75,15.84,22.54,0.79,,23.51,0.0,0.0,0.0,0.0,08-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
08-Apr-2018 - 00:00,,,,,,,,,,162.99,47.63,6.13,15.04,20.79,0.86,,25.34,0.0,0.0,0.0,0.0,09-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
09-Apr-2018 - 00:00,,,,,,,,,,155.22,47.53,6.29,16.59,21.25,0.87,,19.5,0.0,0.0,0.0,0.0,10-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
10-Apr-2018 - 00:00,,,,,,,,,,253.1,81.54,6.8,19.84,24.23,0.84,,22.03,0.0,0.0,0.0,0.0,11-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
11-Apr-2018 - 00:00,,,,,,,,,,158.38,40.56,5.94,15.04,14.72,0.84,,20.38,0.0,0.0,0.0,0.0,12-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
12-Apr-2018 - 00:00,,,,,,,,,,131.64,46.36,5.34,16.15,16.19,0.85,,17.48,0.0,0.0,0.0,0.0,13-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
13-Apr-2018 - 00:00,,,,,,,,,,215.85,64.09,6.84,18.23,22.08,0.86,,18.88,0.0,0.0,0.0,0.0,14-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
27-Apr-2018 - 00:00,,,,,,,,,,40.0,,,,0.0,0.0,0.0,,1.3,0.0,0.0,0.0,28-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
28-Apr-2018 - 00:00,,,,,,,,,,195.96,58.9,16.07,12.96,14.54,0.47,0.0,25.97,0.0,0.0,0.0,0.0,29-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
29-Apr-2018 - 00:00,,,,,,,,,,284.0,64.96,8.0,17.67,25.12,0.9,,34.86,0.0,0.0,0.0,0.0,30-Apr-2018 - 00:00,"North Campus, DU, Delhi - IMD"
30-Apr-2018 - 00:00,,,,,,,,,,247.97,52.0,6.95,19.54,26.53,0.95,,30.56,0.0,0.0,0.0,0.0,01-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
01-May-2018 - 00:00,,,,,,,,,,181.7,51.81,6.79,15.16,21.96,0.92,,16.39,0.0,0.0,0.0,0.0,02-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
02-May-2018 - 00:00,,,,,,,,,,183.32,70.66,5.64,16.63,12.95,0.95,,16.34,0.0,0.0,0.0,0.0,03-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
03-May-2018 - 00:00,,,,,,,,,,183.08,32.45,,22.72,0.0,0.98,,17.22,1.46,0.0,0.0,0.0,04-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
04-May-2018 - 00:00,,,,,,,,,,162.69,34.55,,22.72,0.0,0.95,,22.43,3.62,0.0,0.0,0.0,05-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
05-May-2018 - 00:00,,,,,,,,,,224.72,65.15,,22.7,0.0,1.62,,33.11,6.19,0.0,0.0,0.0,06-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
06-May-2018 - 00:00,,,,,,,,,,315.93,86.15,,22.72,0.0,3.65,,44.25,5.87,0.0,0.0,0.0,07-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
07-May-2018 - 00:00,,,,,,,,,,310.4,78.58,,22.72,0.0,3.77,,36.79,8.19,0.0,0.0,0.0,08-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
08-May-2018 - 00:00,,,,,,,,,,157.98,50.71,,25.19,0.0,14.77,,37.72,2.36,0.0,0.0,0.0,09-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
09-May-2018 - 00:00,,,,,,,,,,225.8,58.69,,36.57,0.0,3.4,,47.97,6.12,0.0,0.0,0.0,10-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
10-May-2018 - 00:00,,,,,,,,,,235.15,88.31,,36.57,0.0,23.34,,45.91,7.7,0.0,0.0,0.0,11-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
11-May-2018 - 00:00,,,,,,,,,,343.17,133.29,,36.57,0.0,27.94,,55.58,9.53,0.0,0.0,0.0,12-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
12-May-2018 - 00:00,,,,,,,,,,359.76,135.94,,36.57,0.0,32.87,,51.76,10.9,0.0,0.0,0.0,13-May-2018 - 00:00,"North Campus, DU, Delhi - IMD"
