from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,BP,Toluene,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
