from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,BP,Toluene,to date,station
06-Sep-2018 - 00:00,36.8,9.76,8.66,26.6,7.47,0.31,9.46,13.5,69.62,0.15,25.63,,285.79,51.81,706.18,1.01,07-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Sep-2018 - 00:00,33.67,10.19,6.75,23.43,6.59,0.18,6.89,7.3,37.05,0.19,28.05,,300.0,67.25,706.9,0.32,08-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Sep-2018 - 00:00,34.18,10.48,7.47,24.27,6.25,0.2,8.13,8.39,38.0,0.15,26.77,,267.08,62.31,708.44,0.56,09-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Sep-2018 - 00:00,33.98,10.09,6.74,23.54,5.48,0.2,11.07,9.38,32.73,0.12,26.72,,243.54,52.44,707.83,0.43,10-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Sep-2018 - 00:00,41.57,8.64,8.96,29.39,6.07,0.4,10.17,20.33,44.59,0.19,26.85,,216.7,65.47,709.65,1.08,11-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Sep-2018 - 00:00,46.9,7.89,10.33,33.35,5.97,0.44,13.46,25.76,55.33,0.26,27.18,,222.11,60.52,709.48,1.64,12-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Sep-2018 - 00:00,40.98,9.81,8.17,28.44,5.82,0.28,14.29,13.26,19.18,0.19,27.91,,197.05,65.5,709.89,0.94,13-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Sep-2018 - 00:00,42.5,7.53,8.53,29.55,5.12,0.24,4.31,20.0,50.0,0.1,26.42,,181.5,69.25,707.0,0.78,14-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Sep-2018 - 00:00,41.25,8.66,9.5,29.68,3.3,0.29,16.59,17.15,47.34,0.15,27.21,,171.23,49.47,707.26,0.66,15-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Sep-2018 - 00:00,40.44,8.51,8.33,28.28,4.34,0.35,14.54,17.84,46.28,0.21,26.87,,224.86,56.02,708.48,1.16,16-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Sep-2018 - 00:00,40.85,8.45,8.78,28.85,6.55,0.46,8.33,22.75,48.25,0.35,26.25,,288.25,71.25,709.25,0.92,17-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Sep-2018 - 00:00,39.02,8.86,9.33,28.35,5.97,0.34,9.73,15.29,32.27,0.17,26.43,,266.6,59.12,706.49,1.15,18-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Sep-2018 - 00:00,38.89,8.16,9.12,28.11,5.06,0.31,9.08,11.61,32.6,0.16,26.25,,251.39,62.64,706.3,1.05,19-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Sep-2018 - 00:00,40.25,8.62,9.08,28.79,5.17,0.29,9.37,13.59,48.64,0.19,26.88,,247.19,58.45,706.23,1.06,20-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Sep-2018 - 00:00,41.22,9.44,8.26,28.64,7.38,0.35,12.89,23.71,68.45,0.2,27.56,,269.09,63.57,704.23,1.22,21-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Sep-2018 - 00:00,40.43,9.52,7.64,27.72,7.27,0.51,12.75,20.78,59.31,0.18,28.14,,267.83,66.46,704.94,1.18,22-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Sep-2018 - 00:00,42.05,8.94,9.38,29.99,5.64,0.32,14.15,15.93,70.38,0.19,28.15,,265.97,53.1,707.71,1.37,23-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Sep-2018 - 00:00,50.29,7.22,9.89,34.8,6.14,0.32,5.41,16.36,47.64,0.17,27.99,,174.64,66.43,709.14,1.53,24-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Sep-2018 - 00:00,43.59,9.54,8.2,29.86,7.43,0.48,13.94,16.73,41.57,0.27,26.1,,223.16,68.07,709.86,1.82,25-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Sep-2018 - 00:00,37.78,10.38,6.39,25.25,6.76,0.2,14.03,11.06,17.11,0.1,24.97,,177.44,74.89,709.39,0.44,26-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Sep-2018 - 00:00,40.09,8.94,7.37,27.33,6.49,0.36,15.78,22.56,52.02,0.16,26.52,,197.1,64.52,706.97,1.04,27-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Sep-2018 - 00:00,37.9,9.31,7.63,26.36,6.94,0.3,14.67,16.9,28.77,0.18,26.59,,149.79,64.71,707.46,0.55,28-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Sep-2018 - 00:00,36.33,9.17,7.21,25.2,6.46,0.25,10.54,10.96,22.44,0.11,26.16,,136.86,65.54,707.59,0.39,29-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Sep-2018 - 00:00,36.97,9.23,7.04,25.39,6.13,0.27,8.93,11.38,23.83,0.12,26.09,,138.5,62.85,707.91,0.48,30-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Sep-2018 - 00:00,36.68,9.67,6.53,24.81,5.76,0.26,10.16,19.07,34.81,0.12,23.78,,127.04,59.29,707.96,0.58,01-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Oct-2018 - 00:00,36.04,9.39,6.46,24.42,6.6,0.23,8.44,14.49,30.3,0.11,23.47,,150.12,60.25,707.94,0.33,02-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Oct-2018 - 00:00,35.36,9.95,6.7,24.25,5.41,,12.74,8.47,21.19,0.12,26.12,,143.49,60.6,708.65,0.38,03-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Oct-2018 - 00:00,36.21,9.33,7.44,25.3,4.04,,7.2,8.62,13.82,0.1,28.68,,154.55,73.24,708.97,0.29,04-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Oct-2018 - 00:00,37.04,8.46,8.73,26.81,8.18,,6.3,8.87,13.83,0.11,28.31,,128.98,76.12,708.66,0.46,05-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Oct-2018 - 00:00,34.49,9.0,7.44,24.39,6.17,,6.47,3.22,4.86,0.1,27.83,,128.96,71.68,708.56,0.27,06-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Oct-2018 - 00:00,35.94,13.44,8.33,25.9,5.37,,7.7,7.71,10.4,0.15,26.9,,133.39,73.64,708.61,0.65,07-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Oct-2018 - 00:00,36.4,9.08,6.34,24.52,7.6,,12.98,14.26,30.44,0.12,24.63,,137.69,62.29,708.37,0.43,08-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Oct-2018 - 00:00,37.42,8.79,6.67,25.33,7.44,0.57,12.54,26.66,52.34,0.3,20.57,,148.86,62.08,707.77,0.46,09-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Oct-2018 - 00:00,44.63,8.18,8.2,30.4,8.19,0.37,15.73,33.01,80.71,0.23,24.3,,182.19,54.28,707.26,1.35,10-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Oct-2018 - 00:00,53.44,7.06,9.9,36.46,10.48,0.27,15.9,46.41,117.77,0.62,25.74,,172.06,48.51,706.66,2.95,11-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Oct-2018 - 00:00,51.0,6.99,9.61,34.94,9.7,0.24,17.48,38.06,115.95,0.32,24.97,,211.06,41.55,706.54,2.04,12-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Oct-2018 - 00:00,47.88,7.36,9.44,33.13,9.04,0.29,19.22,45.84,125.29,0.27,24.99,,196.34,45.12,707.71,1.57,13-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Oct-2018 - 00:00,49.4,7.61,11.33,35.48,8.06,0.3,18.87,42.18,109.51,0.97,25.76,,189.24,47.2,709.03,1.48,14-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Oct-2018 - 00:00,41.16,8.25,6.8,27.43,6.97,0.23,20.63,49.54,101.45,0.37,21.71,,195.06,55.4,709.6,0.86,15-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Oct-2018 - 00:00,39.03,8.62,7.03,26.47,7.62,0.34,19.09,31.82,63.63,0.2,23.69,,146.47,50.08,710.08,0.46,16-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Oct-2018 - 00:00,37.78,8.49,7.22,25.96,8.05,0.34,14.28,25.77,46.11,0.13,24.91,,152.02,64.53,710.69,0.42,17-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Oct-2018 - 00:00,39.72,9.02,7.16,26.95,6.2,0.34,13.21,13.51,21.02,0.14,25.0,,235.28,71.53,710.43,0.78,18-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Oct-2018 - 00:00,37.84,11.14,6.3,25.24,3.01,0.34,10.03,7.79,12.02,0.11,17.31,,153.23,73.28,709.92,0.53,19-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Oct-2018 - 00:00,37.1,10.22,6.34,24.88,4.72,0.34,11.55,15.47,27.26,0.1,17.49,,141.4,66.36,709.99,0.36,20-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Oct-2018 - 00:00,37.28,9.11,5.78,24.53,5.2,0.34,15.6,23.09,49.28,0.1,16.85,,133.82,57.56,710.93,0.37,21-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Oct-2018 - 00:00,38.53,8.92,6.31,25.62,6.14,0.34,19.89,36.64,86.89,0.11,21.37,,98.01,49.53,711.2,0.36,22-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Oct-2018 - 00:00,44.06,8.8,7.82,29.79,8.16,0.28,19.18,39.75,101.67,0.21,22.92,,150.16,49.76,711.11,0.74,23-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Oct-2018 - 00:00,46.19,8.16,10.15,32.84,9.24,0.23,18.0,45.48,113.83,0.23,24.09,,159.83,50.06,711.0,0.99,24-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Oct-2018 - 00:00,44.15,8.47,8.88,30.7,7.12,0.23,15.42,37.09,87.32,0.21,24.22,,164.28,47.41,710.39,0.73,25-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Oct-2018 - 00:00,43.14,8.2,10.36,31.38,8.68,0.27,16.12,44.54,94.83,0.26,24.11,,138.15,53.68,711.57,0.66,26-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Oct-2018 - 00:00,41.79,8.21,8.55,29.18,9.19,0.36,19.01,52.08,96.69,0.19,23.36,,120.07,55.07,711.92,0.54,27-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Oct-2018 - 00:00,44.24,7.78,8.41,30.37,8.82,0.47,23.66,48.05,97.82,0.26,24.56,,109.96,50.83,711.61,2.67,28-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Oct-2018 - 00:00,45.36,8.65,9.19,31.6,10.57,0.39,25.8,34.19,87.38,0.2,25.64,,124.93,38.89,710.57,1.16,29-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Oct-2018 - 00:00,48.78,7.49,9.04,33.31,12.65,0.51,24.15,32.1,102.57,0.28,25.47,,139.56,37.97,709.22,1.37,30-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Oct-2018 - 00:00,48.82,9.05,11.19,35.07,8.29,0.48,17.93,26.94,82.84,0.2,25.19,,137.43,48.57,708.54,1.3,31-Oct-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Oct-2018 - 00:00,40.61,8.35,7.41,27.61,7.2,0.48,18.21,29.75,68.68,0.18,23.27,,119.82,57.06,708.62,0.78,01-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Nov-2018 - 00:00,36.23,9.02,6.65,24.67,4.8,0.41,16.58,12.51,39.38,0.1,24.84,,115.02,58.86,708.82,0.32,02-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Nov-2018 - 00:00,35.69,9.92,6.69,24.41,5.78,0.36,13.26,6.5,12.76,0.1,25.68,,136.52,69.36,709.05,0.17,03-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Nov-2018 - 00:00,35.16,10.45,6.65,24.1,6.3,0.4,14.76,11.65,21.65,0.1,24.64,,139.2,70.68,710.05,0.17,04-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Nov-2018 - 00:00,34.3,9.82,5.47,22.69,3.52,0.43,12.87,11.39,24.97,0.1,19.6,,140.94,68.45,710.46,0.17,05-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Nov-2018 - 00:00,40.47,9.07,7.49,27.62,6.15,0.45,13.03,21.11,46.71,0.29,22.45,,161.11,61.53,710.5,0.72,06-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Nov-2018 - 00:00,39.77,9.09,7.32,27.09,7.14,0.36,12.3,17.66,46.59,0.26,23.56,,149.53,59.04,710.8,0.65,07-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Nov-2018 - 00:00,39.72,8.94,6.88,26.73,6.53,0.33,17.3,42.17,67.58,0.29,21.19,,133.64,53.24,710.89,0.51,08-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Nov-2018 - 00:00,42.18,8.12,8.18,29.09,6.44,0.37,13.07,27.84,57.53,0.2,20.65,,161.92,49.82,710.14,0.69,09-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Nov-2018 - 00:00,39.94,8.03,8.31,27.99,9.42,0.35,14.24,20.68,45.52,0.3,24.44,,164.26,56.83,709.44,0.49,10-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Nov-2018 - 00:00,45.99,7.83,9.29,32.01,7.99,0.45,16.39,41.57,84.52,0.23,23.56,,172.06,49.2,710.02,1.7,11-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Nov-2018 - 00:00,43.64,8.63,6.94,28.85,8.37,0.46,21.07,39.06,77.61,0.17,22.89,,161.62,50.83,710.49,0.69,12-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Nov-2018 - 00:00,52.75,8.29,11.74,37.61,8.62,0.68,14.65,43.75,109.93,0.55,22.7,,156.94,46.67,709.59,2.18,13-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Nov-2018 - 00:00,54.82,7.41,11.22,38.29,8.93,0.61,20.29,44.18,122.3,0.59,23.2,,162.45,39.38,708.25,1.73,14-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Nov-2018 - 00:00,54.16,7.01,11.66,38.29,9.6,0.59,21.28,42.77,113.52,0.36,26.04,,153.09,39.79,708.08,1.44,15-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Nov-2018 - 00:00,45.39,7.78,11.2,33.24,6.64,0.51,11.2,30.28,80.68,0.31,25.88,,138.8,58.17,709.07,0.78,16-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Nov-2018 - 00:00,36.12,8.56,6.77,24.71,4.78,0.36,10.09,15.88,30.6,0.11,23.65,,121.69,69.39,709.43,0.2,17-Nov-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
