from date,NO,NO2,NOx,Ozone,CO,NH3,PM10,PM2.5,SO2,to date,station
31-Mar-2018 - 00:00,99.27,83.23,124.83,,,54.94,211.84,94.04,,01-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
01-Apr-2018 - 00:00,66.48,80.47,96.78,,,45.9,140.39,69.12,,02-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
02-Apr-2018 - 00:00,145.65,88.47,165.4,,,69.42,187.0,93.55,,03-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
03-Apr-2018 - 00:00,140.32,102.23,168.36,,,71.58,217.14,110.69,,04-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
04-Apr-2018 - 00:00,171.91,90.8,187.98,,,75.95,161.79,73.71,,05-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
05-Apr-2018 - 00:00,138.74,83.32,156.79,,,50.79,262.24,185.9,,06-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
06-Apr-2018 - 00:00,116.8,97.74,146.93,,,22.13,166.56,97.79,,07-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
07-Apr-2018 - 00:00,94.32,99.04,129.31,,,31.98,99.88,47.03,,08-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
08-Apr-2018 - 00:00,60.23,86.91,95.19,,,25.2,100.41,50.26,,09-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
09-Apr-2018 - 00:00,114.63,91.44,143.5,,,32.88,106.06,54.53,,10-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
10-Apr-2018 - 00:00,149.75,87.22,168.13,,,36.3,166.01,79.06,,11-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
11-Apr-2018 - 00:00,110.61,169.98,193.55,2.0,,48.92,106.68,48.16,,12-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
12-Apr-2018 - 00:00,99.17,183.97,176.22,,,38.45,98.98,46.27,,13-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
13-Apr-2018 - 00:00,114.45,228.46,217.28,,,73.64,159.96,79.56,,14-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
14-Apr-2018 - 00:00,182.81,230.12,257.95,,,68.33,179.11,83.35,,15-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
15-Apr-2018 - 00:00,60.01,260.88,175.49,,,91.42,232.11,111.18,,16-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
16-Apr-2018 - 00:00,166.44,297.73,303.96,,,98.83,303.5,123.69,,17-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
17-Apr-2018 - 00:00,98.81,202.69,167.86,,,56.3,211.04,67.68,,18-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
18-Apr-2018 - 00:00,72.7,172.42,150.61,,,35.25,187.4,54.66,,19-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
19-Apr-2018 - 00:00,123.32,210.19,202.57,,,45.78,238.88,76.83,,20-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
20-Apr-2018 - 00:00,187.19,223.77,267.34,,,60.08,323.82,81.19,,21-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
21-Apr-2018 - 00:00,,,,,,,403.51,77.49,,22-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
22-Apr-2018 - 00:00,,,,,,,153.95,40.39,,23-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
23-Apr-2018 - 00:00,,,,,,,162.36,58.06,,24-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
24-Apr-2018 - 00:00,,,,,,,210.38,91.01,,25-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
25-Apr-2018 - 00:00,39.33,217.1,126.0,8.73,2.89,91.26,194.45,80.53,5.07,26-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
26-Apr-2018 - 00:00,128.44,244.5,246.1,26.77,1.98,91.79,352.65,134.14,8.49,27-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
27-Apr-2018 - 00:00,143.0,211.62,226.94,0.0,0.0,63.25,277.91,89.61,0.0,28-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
28-Apr-2018 - 00:00,73.58,174.46,152.62,0.0,0.0,40.81,249.3,75.88,0.0,29-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
29-Apr-2018 - 00:00,108.94,195.46,191.35,0.0,0.0,38.26,201.48,87.33,0.0,30-Apr-2018 - 00:00,"ITO, Delhi - CPCB"
30-Apr-2018 - 00:00,132.33,195.16,211.29,0.0,0.0,46.04,184.26,75.9,0.0,01-May-2018 - 00:00,"ITO, Delhi - CPCB"
01-May-2018 - 00:00,74.19,171.7,151.63,0.0,0.0,34.75,124.23,45.83,0.0,02-May-2018 - 00:00,"ITO, Delhi - CPCB"
02-May-2018 - 00:00,69.08,161.09,141.84,,,31.02,131.3,52.18,0.0,03-May-2018 - 00:00,"ITO, Delhi - CPCB"
03-May-2018 - 00:00,73.67,111.54,119.23,,,83.96,119.35,44.08,0.68,04-May-2018 - 00:00,"ITO, Delhi - CPCB"
04-May-2018 - 00:00,33.35,75.39,67.2,,,109.76,97.66,40.0,0.99,05-May-2018 - 00:00,"ITO, Delhi - CPCB"
05-May-2018 - 00:00,96.77,97.51,122.54,,,166.44,167.55,85.28,1.15,06-May-2018 - 00:00,"ITO, Delhi - CPCB"
06-May-2018 - 00:00,117.98,83.52,140.18,,,151.68,195.3,101.28,1.71,07-May-2018 - 00:00,"ITO, Delhi - CPCB"
07-May-2018 - 00:00,116.47,94.86,144.75,,,214.58,240.06,104.84,2.33,08-May-2018 - 00:00,"ITO, Delhi - CPCB"
08-May-2018 - 00:00,16.67,53.48,41.56,,,71.1,140.11,38.34,0.59,09-May-2018 - 00:00,"ITO, Delhi - CPCB"
09-May-2018 - 00:00,45.9,95.99,88.25,,,142.93,140.16,66.14,1.2,10-May-2018 - 00:00,"ITO, Delhi - CPCB"
10-May-2018 - 00:00,91.79,80.1,116.41,,,153.43,176.21,100.79,0.04,11-May-2018 - 00:00,"ITO, Delhi - CPCB"
11-May-2018 - 00:00,141.67,144.82,196.46,,,190.94,258.08,163.92,3.19,12-May-2018 - 00:00,"ITO, Delhi - CPCB"
12-May-2018 - 00:00,167.26,173.39,228.2,,,256.15,247.47,161.19,7.8,13-May-2018 - 00:00,"ITO, Delhi - CPCB"
13-May-2018 - 00:00,29.41,105.87,96.05,,,128.36,150.36,86.93,6.67,14-May-2018 - 00:00,"ITO, Delhi - CPCB"
14-May-2018 - 00:00,57.9,80.73,96.55,,,150.86,98.15,60.25,4.9,15-May-2018 - 00:00,"ITO, Delhi - CPCB"
15-May-2018 - 00:00,47.77,69.48,77.35,,,129.7,109.85,55.25,1.57,16-May-2018 - 00:00,"ITO, Delhi - CPCB"
16-May-2018 - 00:00,52.96,104.15,98.17,,,158.52,109.96,45.74,1.85,17-May-2018 - 00:00,"ITO, Delhi - CPCB"
17-May-2018 - 00:00,53.42,122.04,109.04,,,175.46,206.75,88.67,3.93,18-May-2018 - 00:00,"ITO, Delhi - CPCB"
