from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
21-Jan-2018 - 00:00,23.13,0.68,12.94,3.55,19.8,13.41,12.94,8.4,56.13,141.29,0.32,1.6,1.64,0.87,23.55,42.82,1.24,157.64,135.02,743.0,0.0,22-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
22-Jan-2018 - 00:00,24.45,0.94,13.97,3.3,19.6,13.1,14.29,8.17,54.15,143.54,0.34,1.76,1.65,0.78,23.52,43.92,1.28,151.85,136.74,742.69,0.0,23-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
23-Jan-2018 - 00:00,25.07,0.43,13.62,2.31,19.3,12.15,15.08,8.15,75.18,135.91,0.23,1.11,1.46,1.0,24.12,46.65,1.94,132.44,121.52,742.32,0.0,24-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
24-Jan-2018 - 00:00,24.24,0.72,13.76,3.13,20.7,13.56,16.09,15.76,85.24,171.83,0.34,2.62,1.93,0.91,24.08,47.11,1.62,232.43,118.71,742.46,0.0,25-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
25-Jan-2018 - 00:00,24.6,0.6,14.31,3.33,20.58,13.65,11.4,15.87,59.09,154.28,0.33,2.64,2.13,1.07,23.1,39.23,1.52,241.11,136.64,742.59,0.0,26-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
26-Jan-2018 - 00:00,28.28,0.68,15.26,3.97,20.65,14.2,13.92,10.0,66.8,163.98,0.38,2.43,2.69,1.69,22.61,39.96,1.28,198.04,139.58,742.72,0.0,27-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
27-Jan-2018 - 00:00,28.34,0.73,15.36,2.84,20.66,13.29,14.54,11.71,73.73,151.98,0.37,1.86,2.19,1.37,22.99,39.39,1.42,176.11,136.6,742.84,0.0,28-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
28-Jan-2018 - 00:00,24.65,0.67,15.09,2.91,19.83,12.9,11.49,8.6,52.09,129.29,0.29,1.39,1.48,0.9,23.62,33.25,1.39,165.79,134.94,742.95,0.0,29-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
29-Jan-2018 - 00:00,25.69,0.81,15.84,2.93,19.51,12.75,12.26,8.68,90.04,178.99,0.37,1.7,1.51,0.8,23.63,36.07,1.38,130.19,192.5,743.01,0.0,30-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
30-Jan-2018 - 00:00,23.97,0.79,15.18,3.33,20.87,13.8,14.66,9.2,61.74,178.29,0.38,2.03,1.77,0.88,27.53,32.77,1.79,148.65,208.61,743.15,0.0,31-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
31-Jan-2018 - 00:00,25.19,0.75,15.48,3.97,20.65,14.21,16.39,17.99,45.41,172.78,0.4,2.06,1.8,0.91,24.81,34.91,1.32,226.1,145.02,743.01,0.0,01-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
01-Feb-2018 - 00:00,26.86,0.73,15.25,5.13,20.05,14.83,16.39,10.58,47.82,154.06,0.37,2.16,2.2,1.24,25.12,32.6,1.48,177.34,146.0,743.01,0.0,02-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Feb-2018 - 00:00,26.43,0.79,15.82,4.32,20.04,14.17,17.59,10.35,65.61,161.52,0.6,1.81,2.0,1.26,24.86,37.16,1.22,148.67,146.4,743.0,0.0,03-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Feb-2018 - 00:00,22.83,0.72,15.38,3.19,19.32,12.87,17.48,8.8,50.59,134.44,0.24,1.55,1.67,1.03,25.29,35.46,1.43,126.91,139.49,743.0,0.0,04-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Feb-2018 - 00:00,24.07,0.5,16.97,2.71,18.36,11.96,15.9,8.6,51.49,117.06,0.22,0.94,1.24,0.88,25.58,40.09,1.59,133.53,135.01,743.0,0.0,05-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Feb-2018 - 00:00,25.56,0.54,14.55,2.93,18.92,12.45,17.08,8.32,49.76,146.29,0.23,1.24,1.39,0.92,26.1,41.46,1.6,159.44,135.72,743.08,0.0,06-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Feb-2018 - 00:00,29.56,0.66,14.0,3.35,19.67,13.18,20.61,9.58,61.0,174.49,0.36,2.35,2.95,1.94,26.56,43.17,1.15,169.7,120.65,743.1,0.0,07-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Feb-2018 - 00:00,27.88,0.62,14.44,2.99,19.13,12.6,16.45,8.43,74.47,169.17,0.31,1.73,1.91,1.15,25.05,47.95,1.48,149.8,53.35,743.0,0.0,08-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Feb-2018 - 00:00,26.67,0.57,15.07,3.08,19.15,12.68,13.54,8.57,60.84,147.75,0.26,1.42,1.32,0.77,26.72,42.47,1.05,155.88,139.08,742.74,0.0,09-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Feb-2018 - 00:00,29.95,0.73,15.17,3.48,19.85,13.38,19.1,9.36,62.9,159.29,0.33,1.96,2.5,1.69,27.1,39.83,1.38,210.31,121.48,742.54,0.0,10-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Feb-2018 - 00:00,28.68,0.87,15.03,3.54,19.44,13.21,16.09,8.89,78.97,178.57,0.36,1.91,2.19,1.33,25.69,45.16,1.31,164.63,88.38,743.0,0.0,11-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Feb-2018 - 00:00,27.06,0.47,15.06,2.46,18.48,11.84,13.05,8.44,52.89,136.5,0.18,0.74,1.18,0.87,26.09,46.69,3.28,187.2,104.83,743.0,0.0,12-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Feb-2018 - 00:00,27.76,0.51,15.99,2.43,18.47,11.8,14.19,8.4,50.89,98.17,0.13,0.63,1.11,0.84,24.74,54.99,2.82,226.97,105.82,743.19,0.72,13-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Feb-2018 - 00:00,30.32,0.6,16.07,2.44,19.19,12.19,21.99,8.04,64.5,98.72,0.17,0.75,10.68,,24.41,61.53,1.5,225.84,123.04,743.48,0.31,14-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
14-Feb-2018 - 00:00,26.75,0.38,15.53,2.6,18.58,11.97,13.02,7.51,25.85,47.66,0.16,0.96,1.3,0.88,24.23,54.18,1.45,242.86,151.52,743.91,0.0,15-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
15-Feb-2018 - 00:00,36.64,0.59,15.95,3.07,20.6,13.45,31.67,11.17,36.81,77.1,0.13,0.98,16.65,,25.24,43.44,1.16,175.44,175.04,743.84,0.0,16-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
16-Feb-2018 - 00:00,27.47,0.42,14.46,2.87,19.87,12.89,15.73,9.29,39.39,91.34,0.22,1.4,1.88,1.27,25.04,42.22,1.05,190.18,169.66,743.31,0.0,17-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
17-Feb-2018 - 00:00,26.94,0.7,14.05,4.42,19.85,14.14,15.3,9.26,56.18,131.26,0.3,1.89,2.02,1.22,25.79,43.72,0.96,225.73,178.34,742.97,0.0,18-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
18-Feb-2018 - 00:00,27.4,0.64,13.89,3.71,19.78,13.55,16.48,8.75,68.04,127.32,0.28,1.64,2.07,1.36,26.78,41.65,1.36,174.79,173.69,742.67,0.0,19-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
19-Feb-2018 - 00:00,27.55,0.53,15.29,2.29,19.74,12.35,19.63,8.93,62.7,120.39,0.2,1.12,1.64,1.2,27.64,42.92,1.39,166.54,160.57,742.73,0.0,20-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
20-Feb-2018 - 00:00,25.95,0.5,15.74,2.1,19.38,12.01,18.37,8.71,62.98,120.75,0.17,0.94,1.12,0.75,27.79,46.35,1.47,144.81,152.57,742.88,0.0,21-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
21-Feb-2018 - 00:00,26.47,0.71,16.19,2.23,19.3,12.06,19.57,8.16,67.65,129.48,0.14,0.82,1.26,0.96,28.04,46.88,1.65,155.91,157.69,742.58,0.0,22-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
22-Feb-2018 - 00:00,27.34,1.0,16.42,2.1,19.33,11.98,18.33,8.47,66.23,136.67,0.18,1.06,1.53,1.13,28.11,42.95,1.44,164.02,161.92,742.46,0.0,23-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
23-Feb-2018 - 00:00,28.1,0.51,16.28,2.27,19.4,12.16,20.68,8.13,59.91,137.01,0.18,1.11,1.64,1.22,28.35,41.01,1.73,134.23,162.36,742.57,0.0,24-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
24-Feb-2018 - 00:00,25.58,0.53,15.41,2.43,19.28,12.24,18.63,9.18,61.26,144.27,0.19,1.07,1.37,0.95,28.75,40.84,1.88,154.8,168.0,743.0,0.0,25-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
25-Feb-2018 - 00:00,25.81,0.61,15.51,3.1,19.33,12.8,16.66,8.11,66.98,149.48,0.25,1.47,1.65,1.02,29.11,39.23,1.23,138.7,171.16,743.0,0.0,26-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
26-Feb-2018 - 00:00,26.68,1.17,16.66,3.25,19.9,13.22,17.79,8.88,70.68,166.05,0.31,1.94,1.94,1.08,29.34,39.41,1.4,170.4,161.8,742.92,0.0,27-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
27-Feb-2018 - 00:00,27.15,0.84,16.15,2.75,19.78,12.75,18.49,8.81,56.76,151.02,0.25,1.67,1.68,0.91,30.2,35.86,1.59,161.11,172.46,742.81,0.0,28-Feb-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
28-Feb-2018 - 00:00,27.25,0.84,15.62,3.76,19.86,13.61,21.02,9.28,68.25,145.9,0.31,1.89,1.86,1.06,29.36,36.11,1.17,165.62,180.38,742.79,0.0,01-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
01-Mar-2018 - 00:00,26.53,0.66,15.77,3.03,19.25,12.71,24.38,8.48,93.11,175.51,0.23,1.36,1.48,0.95,29.67,35.44,1.45,144.17,173.47,742.52,0.0,02-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Mar-2018 - 00:00,27.8,1.3,15.94,2.97,19.49,12.78,28.16,8.48,110.61,182.11,0.36,1.63,1.95,1.34,30.31,34.76,1.23,162.71,166.44,742.29,0.0,03-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Mar-2018 - 00:00,28.65,1.14,18.18,2.91,20.11,13.06,29.74,9.71,106.27,208.27,0.34,1.78,2.96,,30.6,35.25,1.55,194.1,156.4,742.2,0.0,04-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Mar-2018 - 00:00,24.39,0.57,17.91,2.38,19.0,12.04,21.17,8.75,90.8,178.42,0.24,1.18,1.26,0.8,30.25,36.03,1.33,155.3,150.84,742.19,0.0,05-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Mar-2018 - 00:00,24.76,0.5,19.26,2.41,19.04,12.08,22.94,8.58,60.56,126.66,0.2,0.95,1.03,0.68,30.24,34.16,1.86,132.56,146.34,742.36,0.0,06-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Mar-2018 - 00:00,25.27,0.54,18.26,2.66,19.65,12.61,26.61,9.22,73.41,148.56,0.2,1.12,2.24,,30.29,34.65,1.71,124.95,144.4,742.58,0.0,07-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Mar-2018 - 00:00,28.46,1.06,18.23,2.21,19.95,12.41,32.15,8.52,80.9,166.63,0.57,1.28,3.47,,30.13,34.98,1.72,125.7,144.68,742.63,0.0,08-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Mar-2018 - 00:00,26.43,0.95,18.54,2.27,19.61,12.28,27.32,8.15,91.19,163.51,0.21,1.23,1.3,1.26,29.91,35.92,1.26,127.81,134.45,742.61,0.0,09-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Mar-2018 - 00:00,26.72,0.86,19.79,2.26,19.26,12.1,26.16,8.75,78.11,148.86,0.16,0.98,1.16,1.08,29.45,35.91,1.5,153.82,135.96,742.81,0.0,10-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Mar-2018 - 00:00,25.52,0.96,22.95,3.18,20.78,13.63,26.55,9.01,108.16,202.59,0.2,1.18,1.12,0.71,29.98,38.71,0.96,166.42,131.38,742.69,0.0,11-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Mar-2018 - 00:00,22.85,1.13,17.09,3.39,20.45,13.63,21.54,8.67,99.42,205.21,0.24,1.55,1.35,0.67,29.33,41.43,1.48,202.95,90.73,742.92,0.0,12-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Mar-2018 - 00:00,27.29,0.87,17.21,2.79,19.5,12.64,22.69,8.7,80.08,165.1,0.24,1.54,1.47,0.82,30.18,39.74,1.07,190.08,153.93,742.84,0.0,13-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Mar-2018 - 00:00,27.27,0.81,18.52,2.75,19.6,12.67,23.98,8.95,56.32,137.0,0.18,1.32,1.46,0.9,31.23,36.08,1.31,172.14,171.24,742.7,0.0,14-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
14-Mar-2018 - 00:00,26.41,0.78,21.06,2.37,19.34,12.21,24.66,9.19,61.49,128.8,0.21,1.27,1.38,0.84,31.73,35.04,1.37,166.08,212.45,742.32,0.0,15-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
15-Mar-2018 - 00:00,29.04,0.96,20.01,2.16,20.2,12.51,28.33,9.08,64.5,164.53,0.25,1.63,1.78,1.23,33.91,31.59,1.49,236.14,159.72,742.41,0.0,16-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
16-Mar-2018 - 00:00,26.69,0.6,20.92,2.14,18.49,11.57,23.21,9.06,46.27,86.03,0.15,0.92,1.08,0.69,24.45,56.77,1.96,200.7,24.08,742.82,0.09,17-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
17-Mar-2018 - 00:00,26.47,0.68,18.18,2.6,18.66,12.03,20.54,8.32,66.21,115.62,0.16,0.92,1.09,0.73,25.94,57.72,0.64,218.8,168.36,742.64,0.0,18-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
18-Mar-2018 - 00:00,25.69,0.58,18.38,2.33,18.41,11.67,18.14,7.81,56.17,108.28,0.17,0.91,1.09,0.75,29.1,45.6,1.34,170.79,173.55,742.66,0.0,19-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
19-Mar-2018 - 00:00,27.7,0.58,18.28,2.87,19.07,12.47,26.54,8.53,51.4,135.06,0.17,1.09,1.45,1.04,30.63,39.07,1.38,170.15,178.6,742.96,0.0,20-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
20-Mar-2018 - 00:00,28.99,0.99,21.45,2.76,19.22,12.48,26.91,8.73,74.66,163.67,0.25,1.5,1.82,1.26,31.67,37.16,1.02,159.27,190.21,742.51,0.0,21-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
21-Mar-2018 - 00:00,28.47,1.54,24.9,4.13,21.07,14.57,31.14,9.91,90.93,224.73,0.28,1.97,1.96,1.2,34.89,33.15,1.01,218.77,234.15,742.23,0.0,22-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
22-Mar-2018 - 00:00,28.81,1.55,21.4,3.89,21.25,14.47,27.78,10.72,70.09,212.41,0.31,2.1,3.75,,31.73,32.17,1.36,279.57,193.03,742.15,0.0,23-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
23-Mar-2018 - 00:00,27.6,0.99,24.86,3.56,20.76,13.93,26.82,10.63,55.28,185.39,0.24,1.67,10.48,,31.49,29.74,1.57,241.04,197.2,742.14,0.0,24-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
24-Mar-2018 - 00:00,28.5,1.0,26.25,2.1,20.52,12.62,29.66,9.26,56.75,176.69,0.19,1.26,11.75,,32.37,29.32,1.72,192.83,189.51,742.48,0.0,25-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
25-Mar-2018 - 00:00,28.43,1.05,26.9,1.86,20.61,12.47,30.61,10.21,71.56,190.93,0.23,1.14,6.08,,31.91,29.53,1.58,192.41,184.66,742.96,0.0,26-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
26-Mar-2018 - 00:00,27.15,1.23,25.6,3.27,20.97,13.81,28.3,9.91,98.73,226.54,0.27,1.51,2.64,,31.97,29.78,1.53,184.49,189.96,742.84,0.0,27-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
27-Mar-2018 - 00:00,29.32,1.51,26.12,2.54,20.7,13.06,38.74,9.46,116.79,243.44,0.27,1.27,17.36,,32.18,29.61,1.15,180.24,187.14,742.3,0.0,28-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
28-Mar-2018 - 00:00,28.38,1.47,27.07,2.59,20.32,12.92,38.24,9.22,111.15,252.53,0.24,1.25,12.78,,32.9,31.61,1.03,151.42,173.02,742.19,0.0,29-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
29-Mar-2018 - 00:00,27.63,1.36,29.7,2.22,20.49,12.69,35.56,9.64,94.32,221.17,0.27,1.46,13.58,,33.48,29.41,1.12,182.07,180.73,742.14,0.0,30-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
30-Mar-2018 - 00:00,27.27,0.91,23.64,2.06,19.27,11.93,34.34,8.92,89.04,215.18,0.15,0.88,18.11,,33.19,33.03,1.25,162.03,180.75,742.11,0.0,31-Mar-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
31-Mar-2018 - 00:00,27.89,0.33,13.88,2.3,19.02,11.99,37.29,8.49,66.66,181.02,0.13,0.81,17.94,,33.92,37.41,1.2,183.11,180.73,742.0,0.0,01-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
01-Apr-2018 - 00:00,26.42,0.37,14.21,2.38,18.5,11.77,31.25,8.55,48.84,140.51,0.11,0.72,16.3,,33.83,38.69,2.5,197.53,183.3,742.07,0.0,02-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Apr-2018 - 00:00,28.04,0.43,14.11,2.15,18.31,11.49,33.38,8.86,36.34,113.09,0.11,0.73,15.5,,32.03,38.51,2.45,184.58,185.25,742.24,0.0,03-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Apr-2018 - 00:00,28.91,0.41,14.82,2.12,18.16,11.4,39.83,8.73,51.18,128.11,0.1,0.68,15.04,,33.16,41.64,1.51,164.2,178.35,742.17,0.0,04-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Apr-2018 - 00:00,28.5,0.48,14.18,2.15,18.26,11.46,41.97,8.37,61.85,161.23,0.13,0.71,18.0,,32.83,37.99,1.66,142.59,172.99,742.0,0.0,05-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Apr-2018 - 00:00,29.21,0.39,18.36,2.12,18.16,11.38,43.77,8.73,39.46,117.67,0.05,0.31,25.48,,33.07,38.79,2.52,165.01,169.85,741.99,0.0,06-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Apr-2018 - 00:00,28.21,0.39,21.77,2.69,18.04,11.78,42.71,8.57,41.8,113.7,0.04,0.33,23.97,,33.58,40.44,2.15,172.94,152.74,742.0,0.0,07-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Apr-2018 - 00:00,27.59,0.81,24.3,2.89,18.85,12.37,37.36,9.04,54.72,154.22,0.06,0.47,21.42,,33.36,33.55,1.7,161.5,117.64,742.23,0.0,08-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Apr-2018 - 00:00,23.78,0.37,24.42,3.47,16.47,11.59,23.94,8.19,26.55,71.16,0.1,0.71,0.79,0.53,28.04,46.48,2.96,178.27,67.27,742.47,0.0,09-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Apr-2018 - 00:00,26.74,0.38,24.35,3.0,17.11,11.53,28.23,8.33,27.25,81.14,0.07,0.43,12.1,,31.1,41.54,2.66,180.46,192.06,742.45,0.05,10-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Apr-2018 - 00:00,26.78,0.39,21.53,2.95,17.18,11.54,29.75,8.05,30.83,78.95,0.06,0.38,15.14,,30.5,42.91,2.2,184.55,184.55,742.4,0.05,11-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Apr-2018 - 00:00,25.54,0.27,13.0,3.1,16.56,11.32,29.3,7.85,34.77,79.2,0.07,0.49,13.11,,30.85,44.94,1.29,177.57,183.85,742.28,0.0,12-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Apr-2018 - 00:00,26.93,0.23,10.84,3.12,16.88,11.52,32.35,8.55,38.35,80.31,0.07,0.38,19.22,,31.56,39.61,2.0,186.4,196.9,742.17,0.04,13-Apr-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
