from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
18-Feb-2018 - 00:00,18.21,989.37,287.58,143.54,73.01,442.65,278.22,1.72,0.0,0.79,1.79,0.14,42.38,33.45,62.89,27.0,1.15,49.8,4.66,19-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
19-Feb-2018 - 00:00,17.8,990.79,443.17,232.04,67.82,444.23,286.7,1.08,0.0,1.18,4.4,0.39,54.95,87.21,120.52,42.22,2.17,54.86,6.89,20-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
20-Feb-2018 - 00:00,19.33,990.4,377.67,186.38,70.38,437.61,278.99,1.41,0.0,1.19,2.66,0.23,50.62,53.78,78.38,35.75,1.49,61.66,5.46,21-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
21-Feb-2018 - 00:00,21.39,988.24,448.17,210.12,69.61,412.41,257.59,1.32,0.0,0.93,3.03,0.27,54.56,96.3,132.56,41.9,2.35,71.12,6.66,22-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
22-Feb-2018 - 00:00,21.82,987.28,341.04,161.75,70.46,434.58,258.71,1.31,0.0,0.0,0.0,0.0,56.89,45.11,74.72,28.98,1.45,53.17,7.3,23-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
23-Feb-2018 - 00:00,22.56,987.55,341.04,156.96,69.73,407.98,256.54,1.35,0.0,0.0,0.0,0.0,56.77,18.55,49.23,23.78,1.48,41.21,7.76,24-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
24-Feb-2018 - 00:00,24.52,989.56,466.25,212.67,60.1,381.47,115.22,1.29,0.0,0.0,0.0,0.0,70.21,14.76,42.61,35.27,1.71,69.25,12.77,25-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
25-Feb-2018 - 00:00,21.71,992.68,206.0,94.5,70.72,421.32,298.18,2.26,0.0,0.0,0.0,0.0,34.23,2.18,33.76,15.14,0.75,44.53,7.4,26-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
26-Feb-2018 - 00:00,21.11,990.64,155.0,64.12,70.59,442.78,306.02,2.77,0.0,0.0,0.0,0.0,19.44,1.16,28.98,17.48,0.53,55.5,5.61,27-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
27-Feb-2018 - 00:00,22.55,990.05,186.46,88.21,69.91,422.49,298.8,1.84,0.0,0.64,1.33,,33.3,7.07,34.53,23.44,0.88,48.52,4.57,28-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
28-Feb-2018 - 00:00,22.23,990.35,317.5,156.0,75.16,420.27,292.33,1.77,0.0,0.67,3.22,,57.96,42.13,60.84,21.73,1.29,54.84,6.7,01-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
01-Mar-2018 - 00:00,21.55,988.74,290.17,77.62,72.23,298.56,275.49,1.48,0.0,0.47,2.33,,48.18,46.08,65.94,21.24,1.68,39.27,5.5,02-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-Mar-2018 - 00:00,22.36,987.09,313.88,189.38,73.44,233.0,284.84,1.51,0.0,0.63,2.34,,55.89,37.59,57.41,22.79,2.02,44.19,5.9,03-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-Mar-2018 - 00:00,23.71,984.95,226.99,103.74,66.71,225.46,245.18,1.47,0.0,0.38,1.71,,46.06,9.96,25.82,17.14,0.81,37.52,6.92,04-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-Mar-2018 - 00:00,22.49,986.43,211.7,87.62,64.91,215.97,282.24,1.88,0.0,0.96,1.78,,26.27,7.92,29.29,15.45,0.37,7.81,3.8,05-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
05-Mar-2018 - 00:00,21.51,990.12,177.94,79.45,65.49,240.99,298.48,1.89,0.0,0.26,2.03,,39.66,11.27,27.67,16.49,0.76,45.5,6.18,06-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
06-Mar-2018 - 00:00,21.73,990.87,161.41,71.36,63.31,236.87,294.32,2.22,0.0,0.27,1.57,,34.26,3.15,18.27,15.49,0.55,57.76,5.22,07-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
07-Mar-2018 - 00:00,21.82,989.84,194.12,87.88,62.86,240.83,289.12,2.0,0.0,0.35,1.85,1.09,36.21,20.93,41.33,20.91,1.1,58.28,5.89,08-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-Mar-2018 - 00:00,21.9,990.86,329.92,152.79,70.61,235.25,226.69,1.15,0.0,0.89,4.14,1.27,46.57,61.22,88.53,35.94,2.14,35.53,8.06,09-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-Mar-2018 - 00:00,22.9,990.86,320.17,153.25,64.44,238.96,291.63,1.72,0.0,0.82,2.78,1.15,42.68,23.58,42.25,24.15,1.37,56.95,6.28,10-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-Mar-2018 - 00:00,24.18,989.77,183.0,78.08,54.83,243.93,302.88,2.32,0.0,0.27,1.56,,35.06,3.78,17.91,15.3,0.53,57.43,6.09,11-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-Mar-2018 - 00:00,23.99,988.79,199.34,87.76,58.61,237.99,300.7,1.79,0.0,0.33,1.75,,37.26,7.29,27.63,20.57,0.89,54.9,6.06,12-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
12-Mar-2018 - 00:00,25.1,988.75,246.24,107.17,58.89,237.0,289.02,1.75,0.0,0.44,2.48,,40.46,12.0,33.69,22.44,0.88,54.08,7.35,13-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-Mar-2018 - 00:00,26.35,987.17,306.04,128.35,55.04,238.77,228.88,1.45,0.0,0.8,2.65,,44.16,30.92,58.54,38.14,1.43,59.75,8.63,14-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
14-Mar-2018 - 00:00,25.3,985.42,483.2,159.24,51.82,227.03,192.01,1.35,0.0,2.1,4.45,1.25,42.11,61.99,84.09,60.43,1.98,83.38,7.67,15-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
15-Mar-2018 - 00:00,24.94,985.56,400.35,127.37,56.29,242.06,245.07,2.04,0.0,0.76,2.7,,51.07,21.2,39.87,21.22,1.06,30.21,7.36,16-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
16-Mar-2018 - 00:00,23.18,986.89,281.77,115.92,61.16,226.6,291.41,2.1,0.0,0.36,1.92,,42.81,11.69,26.96,16.06,0.79,42.09,7.36,17-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
17-Mar-2018 - 00:00,21.56,987.96,228.56,103.81,57.23,218.47,288.55,1.94,0.0,0.37,1.33,,36.16,4.01,22.1,19.74,0.63,36.98,6.76,18-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
18-Mar-2018 - 00:00,26.9,989.67,191.21,62.86,36.43,318.11,318.6,2.41,0.0,0.27,1.44,,31.23,1.41,15.18,13.83,0.64,87.62,5.35,19-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
19-Mar-2018 - 00:00,24.43,990.74,226.17,80.46,51.7,236.72,272.29,1.74,0.0,0.41,2.7,,41.09,26.79,49.52,23.83,1.04,53.11,7.06,20-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
20-Mar-2018 - 00:00,25.92,987.89,323.46,128.75,52.4,231.1,210.96,1.18,0.0,1.02,6.57,,46.41,49.06,80.96,35.06,1.46,65.29,10.42,21-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
21-Mar-2018 - 00:00,24.94,985.64,337.21,170.12,61.87,231.88,239.85,2.09,0.0,0.68,4.21,,51.14,10.15,24.59,14.61,1.26,68.64,9.95,22-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
22-Mar-2018 - 00:00,23.37,986.54,194.75,90.11,69.08,245.67,294.78,2.05,0.0,0.32,1.45,,39.42,1.58,12.62,10.93,0.64,60.81,6.6,23-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
23-Mar-2018 - 00:00,23.36,987.83,173.71,62.38,62.56,257.99,313.34,1.82,0.0,0.33,1.55,,31.94,1.52,14.09,12.64,0.55,95.91,4.86,24-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
24-Mar-2018 - 00:00,25.27,990.05,205.82,74.77,56.29,269.12,319.55,2.38,0.0,0.27,1.36,,33.59,1.82,12.79,11.13,0.55,104.73,6.72,25-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
25-Mar-2018 - 00:00,28.51,991.54,208.17,62.72,42.38,340.82,309.06,2.63,0.0,0.27,1.14,,32.84,1.01,12.46,11.19,0.66,107.92,5.54,26-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
26-Mar-2018 - 00:00,26.44,989.66,238.67,95.71,50.53,260.52,307.65,2.14,0.0,0.32,1.66,,36.48,2.59,18.82,16.45,0.69,74.83,6.88,27-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
27-Mar-2018 - 00:00,26.8,986.28,352.9,141.76,48.1,264.18,239.92,1.41,0.0,0.73,2.74,1.13,40.56,54.04,76.61,31.5,1.64,50.58,9.55,28-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
28-Mar-2018 - 00:00,28.08,985.44,375.67,135.45,46.63,260.35,259.72,1.84,0.0,1.03,3.94,1.55,40.65,114.06,131.33,35.54,2.19,73.31,8.2,29-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
29-Mar-2018 - 00:00,28.31,984.72,298.17,103.3,39.94,258.47,299.99,2.09,0.0,0.35,1.62,,39.82,2.57,20.92,19.31,0.97,61.35,7.63,30-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
30-Mar-2018 - 00:00,27.88,982.51,290.43,96.99,42.55,257.11,274.15,2.16,0.0,0.54,2.48,,39.71,8.34,30.86,21.98,1.11,77.4,6.47,31-Mar-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
31-Mar-2018 - 00:00,26.78,985.32,377.25,116.81,46.93,251.83,109.49,1.96,0.0,0.66,4.99,,48.81,5.22,24.48,19.32,0.96,82.89,10.12,01-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
01-Apr-2018 - 00:00,29.89,987.25,299.02,109.67,40.73,344.56,91.2,1.73,0.0,0.61,3.69,,53.43,1.33,15.4,13.69,0.96,111.07,9.64,02-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-Apr-2018 - 00:00,29.62,987.26,350.19,151.68,42.83,249.84,100.5,1.59,0.0,0.95,4.06,,54.75,3.42,23.53,21.74,1.16,90.07,11.61,03-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-Apr-2018 - 00:00,31.1,985.76,331.79,126.25,41.57,250.72,123.08,1.54,0.0,0.89,4.32,,60.57,6.22,27.72,24.44,1.29,81.26,12.18,04-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-Apr-2018 - 00:00,30.54,983.37,389.83,165.42,49.31,248.68,148.76,1.27,0.0,0.85,4.5,,69.35,5.56,28.49,22.93,1.46,63.64,10.87,05-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
05-Apr-2018 - 00:00,29.65,982.05,355.25,165.17,54.33,250.51,256.1,1.43,0.0,0.58,2.94,,65.4,4.51,20.59,15.58,1.14,66.51,9.17,06-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
06-Apr-2018 - 00:00,28.88,983.96,285.57,116.38,48.38,216.79,187.22,2.36,0.01,0.51,1.66,,44.33,6.03,24.35,19.55,1.01,68.54,11.12,07-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
07-Apr-2018 - 00:00,28.48,986.33,179.67,62.0,47.49,255.11,130.14,1.99,0.0,0.38,1.62,,48.5,1.71,14.55,13.18,0.77,92.39,7.67,08-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-Apr-2018 - 00:00,29.78,987.07,190.5,59.54,44.96,253.18,110.42,2.15,0.0,0.34,1.47,,46.98,1.39,13.46,12.41,0.68,95.62,7.99,09-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-Apr-2018 - 00:00,26.14,988.26,159.0,59.08,63.37,196.47,134.57,2.22,0.0,0.35,1.45,,48.06,4.87,22.55,17.0,0.85,57.77,7.87,10-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-Apr-2018 - 00:00,28.56,986.28,275.33,99.29,54.48,252.73,152.4,1.8,0.0,0.47,1.84,,54.73,8.93,26.74,20.0,0.91,81.98,9.17,11-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-Apr-2018 - 00:00,26.37,986.22,153.08,60.96,58.0,212.44,84.51,2.87,0.0,0.33,1.59,,45.82,1.77,13.84,12.69,0.53,63.25,7.46,12-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
12-Apr-2018 - 00:00,27.21,985.36,125.46,53.75,51.38,255.43,222.3,1.96,0.01,0.28,1.47,,36.9,4.9,19.18,14.93,0.7,69.81,5.96,13-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-Apr-2018 - 00:00,26.92,986.2,201.71,89.04,43.85,261.68,288.07,1.49,0.0,0.29,1.43,,35.74,14.91,32.78,18.76,0.77,72.22,7.79,14-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
14-Apr-2018 - 00:00,28.53,985.0,252.42,96.07,33.91,256.27,286.39,1.72,0.0,0.56,3.57,,36.88,18.84,40.18,24.29,0.97,74.21,8.39,15-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
15-Apr-2018 - 00:00,29.93,984.35,306.89,109.92,38.61,266.07,261.71,1.15,0.0,0.85,4.59,,46.76,49.5,71.81,29.79,1.3,59.72,7.14,16-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
16-Apr-2018 - 00:00,31.13,984.88,413.46,145.73,37.05,234.5,125.78,1.63,0.0,0.86,4.57,,56.95,27.74,54.38,30.24,1.41,75.43,10.36,17-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
17-Apr-2018 - 00:00,31.2,985.86,315.42,83.67,35.95,262.55,221.43,2.1,0.0,0.62,3.52,,45.52,23.57,37.7,20.3,0.89,92.35,5.09,18-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
18-Apr-2018 - 00:00,31.46,985.0,298.88,59.21,28.83,267.91,313.51,2.57,0.0,0.27,2.11,,34.1,2.44,13.09,10.93,0.45,92.56,4.47,19-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
19-Apr-2018 - 00:00,32.21,981.67,315.75,82.88,28.14,265.61,288.49,1.63,0.0,0.34,1.73,,33.32,7.52,26.05,18.83,0.82,82.71,7.16,20-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
20-Apr-2018 - 00:00,32.71,980.72,421.73,93.54,25.75,248.38,183.2,3.27,0.0,0.34,1.17,,34.62,4.01,17.04,12.94,0.72,82.56,5.67,21-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
21-Apr-2018 - 00:00,28.9,985.22,519.81,89.76,36.92,265.44,306.72,2.09,0.0,0.21,1.41,,33.54,2.17,11.33,9.13,0.51,92.83,5.9,22-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
22-Apr-2018 - 00:00,31.52,986.25,236.22,42.1,17.66,348.02,304.31,2.63,0.0,0.36,2.56,,29.92,1.33,10.87,9.47,0.42,142.21,3.69,23-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
23-Apr-2018 - 00:00,29.35,985.12,238.4,65.66,23.53,274.23,297.74,1.97,0.0,0.39,2.62,,29.97,6.33,22.05,16.24,0.75,113.8,4.53,24-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
24-Apr-2018 - 00:00,30.31,984.02,311.67,114.92,25.55,273.85,269.73,1.6,0.0,0.54,4.01,,34.19,17.62,40.55,26.41,1.04,80.27,6.93,25-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
25-Apr-2018 - 00:00,31.75,981.27,334.75,110.21,26.95,275.7,242.26,1.3,0.0,0.91,5.47,1.0,40.68,78.66,97.3,39.29,2.05,59.46,4.82,26-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
26-Apr-2018 - 00:00,34.45,979.87,511.04,155.75,21.78,267.17,123.0,1.68,0.0,1.33,4.49,1.0,46.14,34.18,50.59,38.81,1.68,60.9,10.72,27-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
27-Apr-2018 - 00:00,33.32,983.04,403.08,99.54,42.24,263.67,122.9,2.12,0.0,0.58,3.7,,64.37,2.23,18.55,16.83,1.03,106.19,7.03,28-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
28-Apr-2018 - 00:00,33.64,982.86,394.25,93.88,42.56,261.18,110.08,2.29,0.0,0.55,3.01,,59.97,1.4,13.73,12.54,1.01,132.33,7.56,29-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
29-Apr-2018 - 00:00,34.07,979.88,326.12,108.71,40.81,248.92,127.35,1.46,0.0,0.52,3.17,,58.82,2.3,21.76,20.2,1.07,98.91,9.66,30-Apr-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
30-Apr-2018 - 00:00,33.62,978.25,265.57,94.47,40.6,266.6,141.61,1.95,0.0,0.51,2.84,,61.87,14.31,34.56,25.44,0.91,82.28,6.53,01-May-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
01-May-2018 - 00:00,31.6,981.62,202.98,64.94,52.44,267.12,122.24,2.7,0.0,0.41,2.41,,63.8,1.53,12.98,11.32,0.73,117.55,4.4,02-May-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-May-2018 - 00:00,30.54,983.1,195.57,69.2,51.93,251.07,126.1,3.18,0.0,0.37,1.97,,51.66,2.02,13.71,11.02,0.61,105.33,3.33,03-May-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-May-2018 - 00:00,29.72,983.56,188.68,51.52,49.38,255.02,124.82,2.95,0.0,0.42,2.47,,43.7,2.39,15.89,12.93,0.58,85.21,3.93,04-May-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-May-2018 - 00:00,30.99,983.91,153.86,48.31,51.57,262.69,103.71,2.34,0.0,0.47,2.59,,48.97,1.99,13.34,10.36,0.63,112.36,4.82,05-May-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
