from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
10-Sep-2018 - 00:00,29.07,983.5,115.88,28.4,83.27,138.01,53.99,151.18,0.9,1.43,1.23,16.92,70.44,48.13,83.1,11.65,13.23,11-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
11-Sep-2018 - 00:00,30.9,982.67,121.7,21.9,74.77,188.83,56.88,241.42,1.3,1.48,2.33,22.56,81.21,44.49,89.84,8.29,12.11,12-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
12-Sep-2018 - 00:00,30.82,979.99,131.23,20.85,71.94,197.44,50.35,246.8,1.9,1.17,2.15,20.66,50.67,35.3,61.24,9.32,11.08,13-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
13-Sep-2018 - 00:00,30.79,979.88,145.26,21.08,64.83,195.32,48.97,242.13,1.57,1.18,2.37,15.04,70.67,33.95,75.68,8.21,12.91,14-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
14-Sep-2018 - 00:00,30.39,982.25,140.81,24.73,66.83,198.55,49.09,236.16,1.16,1.24,2.24,22.8,70.17,41.09,78.96,10.32,12.75,15-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
15-Sep-2018 - 00:00,30.59,983.93,142.93,30.71,63.22,200.74,49.8,269.31,1.38,1.25,2.21,29.03,77.54,47.98,88.4,13.51,15.02,16-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
16-Sep-2018 - 00:00,30.69,982.55,143.1,38.1,65.83,188.64,62.19,286.16,1.37,1.04,2.18,33.75,52.48,48.95,68.88,17.19,12.74,17-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
17-Sep-2018 - 00:00,30.39,981.57,153.51,49.48,69.61,185.5,54.2,253.31,1.22,1.3,1.97,33.67,67.44,59.05,86.46,25.57,11.29,18-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
18-Sep-2018 - 00:00,31.25,981.57,159.04,50.21,60.9,196.21,51.56,293.03,1.25,1.26,2.52,34.6,70.05,67.21,92.8,27.34,13.17,19-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
19-Sep-2018 - 00:00,29.63,981.46,122.25,51.27,67.89,195.7,62.56,236.24,1.05,1.39,3.09,35.05,73.14,68.69,96.16,24.65,11.81,20-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
20-Sep-2018 - 00:00,29.64,981.88,100.83,59.71,69.84,182.13,43.69,94.05,0.82,1.2,2.21,35.36,28.46,47.86,48.65,68.62,11.45,21-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
21-Sep-2018 - 00:00,27.93,984.44,46.0,30.33,78.07,156.7,36.84,103.72,2.13,0.78,1.02,32.3,6.79,27.88,20.33,28.57,12.29,22-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
22-Sep-2018 - 00:00,25.39,984.68,26.96,12.54,92.03,48.98,33.2,77.9,2.9,0.65,0.54,23.57,1.76,16.89,10.42,27.08,7.04,23-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
23-Sep-2018 - 00:00,26.64,984.24,41.42,20.88,89.95,88.8,34.33,100.8,3.6,0.63,0.45,22.63,3.15,14.18,10.11,41.46,12.71,24-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
24-Sep-2018 - 00:00,25.17,982.38,44.25,13.1,95.85,57.62,41.69,170.6,1.63,0.93,1.01,20.74,36.19,28.64,44.66,16.92,12.73,25-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
25-Sep-2018 - 00:00,24.67,983.85,137.8,25.27,91.58,60.18,55.59,278.79,1.4,1.7,2.91,26.09,132.64,48.59,133.99,11.31,11.13,26-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
26-Sep-2018 - 00:00,27.49,983.56,181.84,40.54,80.24,188.39,58.64,236.94,0.88,1.68,3.97,37.45,113.39,55.59,122.09,15.26,10.51,27-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
27-Sep-2018 - 00:00,27.59,984.32,181.29,58.49,79.69,177.6,112.54,186.36,0.63,2.25,8.79,36.05,133.48,58.44,139.62,22.42,11.25,28-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
28-Sep-2018 - 00:00,28.41,985.01,190.69,58.36,73.69,182.56,107.63,159.37,0.66,2.28,10.04,42.38,148.97,76.02,162.1,16.08,11.99,29-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
29-Sep-2018 - 00:00,29.32,985.64,231.79,69.02,68.79,168.66,128.0,230.36,0.82,2.2,15.07,41.47,141.54,89.03,163.58,22.62,11.2,30-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
30-Sep-2018 - 00:00,28.96,985.03,182.33,55.06,67.8,177.28,107.5,270.53,1.13,1.39,8.29,41.8,79.35,68.78,101.42,22.72,10.22,01-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
01-Oct-2018 - 00:00,28.16,984.79,194.17,56.81,71.09,172.03,99.77,228.92,0.74,1.72,6.44,40.15,101.02,73.07,121.02,21.31,10.41,02-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
02-Oct-2018 - 00:00,28.47,985.46,177.81,58.69,69.38,168.05,93.19,198.39,0.8,1.59,6.03,41.11,95.85,60.78,110.67,26.01,9.74,03-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
03-Oct-2018 - 00:00,28.4,984.89,173.58,49.6,65.09,160.21,87.89,178.0,0.61,1.67,4.94,36.5,104.72,80.46,128.42,26.62,11.66,04-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
04-Oct-2018 - 00:00,28.54,986.35,217.17,80.35,68.32,140.95,82.56,140.83,0.67,1.77,5.69,44.96,96.78,74.83,118.65,39.72,13.24,05-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
05-Oct-2018 - 00:00,27.51,987.41,221.79,91.92,69.92,146.27,86.01,136.35,0.68,2.02,6.72,44.32,94.13,71.18,115.52,39.92,15.19,06-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
06-Oct-2018 - 00:00,26.94,987.04,215.62,70.54,66.15,157.63,128.05,220.27,0.8,1.97,12.57,42.23,121.66,68.26,135.18,16.13,11.41,07-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
07-Oct-2018 - 00:00,26.54,986.47,208.69,69.75,65.56,155.25,131.91,209.28,0.73,1.63,9.54,37.46,89.31,68.98,109.38,29.83,14.46,08-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
08-Oct-2018 - 00:00,27.2,984.89,213.19,91.79,64.77,142.93,108.62,140.62,0.54,1.76,7.31,39.15,69.19,92.21,105.62,44.9,13.09,09-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
09-Oct-2018 - 00:00,27.42,983.89,130.88,87.4,64.97,144.1,80.22,107.37,1.05,1.6,4.74,39.22,44.56,74.85,76.38,51.92,19.19,10-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
10-Oct-2018 - 00:00,27.77,984.49,99.54,75.08,69.31,132.48,67.6,106.52,1.63,1.28,3.19,40.19,24.63,59.72,51.94,47.3,12.32,11-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
11-Oct-2018 - 00:00,26.32,984.39,95.8,66.2,73.67,3.47,67.43,105.39,0.6,1.82,2.97,33.38,64.16,111.95,112.12,4.57,15.41,12-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
12-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
13-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
14-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
15-Oct-2018 - 00:00,28.19,988.08,271.05,83.8,49.39,326.85,88.17,137.82,4.24,1.91,6.75,36.25,96.79,101.55,133.17,48.06,15.58,16-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
16-Oct-2018 - 00:00,25.57,987.77,274.55,105.16,67.3,214.03,83.12,134.97,7.49,2.76,7.48,41.96,145.81,106.08,175.38,52.94,16.21,17-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
17-Oct-2018 - 00:00,25.73,986.36,276.82,98.45,62.34,203.89,93.43,134.97,7.5,2.29,6.81,42.64,143.08,94.8,166.9,20.02,13.71,18-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
18-Oct-2018 - 00:00,24.79,985.82,252.93,98.99,68.79,131.47,93.39,134.95,7.5,2.92,8.21,43.63,150.81,78.19,166.8,57.12,12.17,19-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
19-Oct-2018 - 00:00,25.01,987.51,331.6,131.9,64.47,134.58,91.84,134.96,7.5,2.02,8.98,46.51,77.26,99.96,116.25,40.02,18.08,20-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
20-Oct-2018 - 00:00,24.62,989.81,322.58,154.39,57.49,150.67,86.68,134.96,7.5,1.89,7.99,47.9,89.2,86.94,118.79,41.49,21.43,21-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
21-Oct-2018 - 00:00,23.34,990.53,268.56,123.33,59.71,141.14,102.69,134.96,7.5,1.74,7.63,48.61,95.32,81.2,121.0,31.86,21.38,22-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
22-Oct-2018 - 00:00,22.31,989.4,267.52,109.2,63.26,159.11,89.3,134.95,7.5,2.11,6.96,44.21,117.91,86.01,142.05,21.05,14.3,23-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
23-Oct-2018 - 00:00,22.61,989.12,266.15,94.92,61.4,151.95,81.04,134.95,7.49,2.31,7.37,43.65,152.55,103.17,178.94,16.88,15.39,24-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
24-Oct-2018 - 00:00,22.83,989.0,309.48,139.62,64.7,134.94,95.83,134.95,7.5,2.69,9.66,48.6,152.92,104.3,180.36,39.19,19.34,25-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
25-Oct-2018 - 00:00,22.11,990.41,324.06,159.75,68.97,122.54,86.14,134.96,7.5,2.47,8.86,54.01,89.64,99.46,126.05,76.9,25.05,26-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
26-Oct-2018 - 00:00,21.71,992.38,349.77,183.93,70.22,106.02,91.04,134.96,7.48,3.01,9.32,57.25,141.92,107.75,173.36,65.81,20.17,27-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
27-Oct-2018 - 00:00,21.8,992.62,361.83,185.77,71.93,117.45,102.56,134.96,7.5,2.91,10.91,59.43,153.66,120.35,189.34,30.41,21.85,28-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
28-Oct-2018 - 00:00,21.91,992.18,354.33,188.68,70.92,136.63,89.43,134.97,7.5,2.61,9.53,54.95,133.66,94.04,158.95,27.58,16.96,29-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
29-Oct-2018 - 00:00,22.02,991.27,398.39,220.34,72.36,125.57,77.27,127.0,3.98,3.24,8.76,54.5,163.37,111.85,192.81,8.93,13.85,30-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
30-Oct-2018 - 00:00,22.09,991.06,395.4,244.33,72.77,109.07,80.46,116.62,0.53,2.69,8.79,60.88,145.39,104.98,172.94,18.73,15.09,31-Oct-2018 - 00:00,"Pusa, Delhi - DPCC"
31-Oct-2018 - 00:00,21.89,991.51,331.07,204.98,76.56,103.52,68.07,103.7,0.51,3.45,7.66,64.06,129.56,106.11,162.26,26.09,15.08,01-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
01-Nov-2018 - 00:00,22.01,990.38,312.75,204.42,75.53,106.22,68.87,73.8,0.57,3.31,6.87,61.05,119.48,110.27,156.21,28.96,15.05,02-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
02-Nov-2018 - 00:00,23.07,988.74,330.76,214.06,69.56,105.66,57.85,78.91,0.93,2.21,5.24,63.18,63.52,106.57,108.31,40.72,17.32,03-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
03-Nov-2018 - 00:00,23.91,987.54,271.36,164.79,64.47,97.12,36.35,79.97,2.71,1.18,2.78,53.64,5.57,59.38,36.14,62.19,13.34,04-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
04-Nov-2018 - 00:00,23.34,989.2,202.67,104.03,57.71,120.36,39.93,143.15,1.88,1.41,2.59,35.82,73.17,81.64,102.81,45.83,16.5,05-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
05-Nov-2018 - 00:00,21.05,989.77,579.84,404.9,66.79,98.31,50.54,205.16,1.24,2.53,5.48,64.77,116.74,98.87,147.66,12.0,12.91,06-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
06-Nov-2018 - 00:00,22.25,990.07,384.36,197.72,40.57,131.38,46.63,216.66,1.76,2.04,3.77,40.81,128.43,98.98,157.17,19.22,18.46,07-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
07-Nov-2018 - 00:00,19.36,990.67,320.2,159.4,48.49,120.8,35.8,154.14,1.02,1.5,3.19,37.47,76.4,89.91,108.94,22.94,16.73,08-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
08-Nov-2018 - 00:00,16.91,990.85,569.85,437.78,70.16,87.97,39.61,114.02,0.45,1.96,4.1,42.56,93.11,88.97,123.12,17.66,18.7,09-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
09-Nov-2018 - 00:00,18.25,989.19,429.43,271.3,74.73,98.41,49.68,78.96,0.51,3.02,5.69,54.28,146.14,121.5,182.85,13.67,14.95,10-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
10-Nov-2018 - 00:00,18.36,990.01,364.53,243.19,80.16,85.05,56.2,50.41,0.52,2.97,5.46,58.27,104.01,100.33,138.54,22.25,13.35,11-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
11-Nov-2018 - 00:00,19.71,990.29,355.71,204.55,72.6,103.04,53.04,85.33,0.54,3.25,4.89,53.69,120.46,109.96,156.8,24.29,13.84,12-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
12-Nov-2018 - 00:00,20.04,988.31,388.39,229.33,76.55,91.06,47.71,99.14,0.59,3.54,6.01,59.39,97.88,103.6,134.81,36.41,12.95,13-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
13-Nov-2018 - 00:00,20.66,986.11,413.19,245.97,78.53,69.66,84.43,97.38,0.88,3.19,9.28,69.99,130.64,111.83,165.87,21.45,15.82,14-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
14-Nov-2018 - 00:00,21.68,986.93,203.92,121.12,78.25,96.84,61.98,99.04,1.09,2.02,5.0,63.96,58.12,87.85,94.06,19.62,11.25,15-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
15-Nov-2018 - 00:00,21.48,990.26,237.93,114.05,72.16,96.03,60.88,201.54,1.12,1.95,5.95,58.53,97.34,89.77,127.18,18.08,12.94,16-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
16-Nov-2018 - 00:00,21.09,989.44,294.79,147.98,54.46,114.02,58.25,211.88,1.85,1.57,4.71,45.12,106.57,102.73,141.22,15.98,11.58,17-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
17-Nov-2018 - 00:00,19.3,987.95,304.81,145.38,64.32,106.84,56.97,167.25,1.08,2.37,4.98,48.24,138.14,97.77,164.77,12.89,12.01,18-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
18-Nov-2018 - 00:00,18.75,988.96,238.77,133.75,72.21,100.38,47.82,49.93,0.91,2.74,3.67,45.55,82.6,89.3,114.89,32.49,12.72,19-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
19-Nov-2018 - 00:00,21.02,991.14,296.35,171.1,65.35,74.64,37.55,50.5,1.55,2.11,2.84,53.14,23.91,89.31,66.85,40.53,13.83,20-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
20-Nov-2018 - 00:00,20.08,991.5,374.29,203.9,75.43,92.04,55.96,140.84,0.67,2.75,5.57,65.62,141.57,118.88,178.48,14.76,14.09,21-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
21-Nov-2018 - 00:00,18.19,991.85,344.05,189.99,71.51,95.44,56.07,128.08,0.8,2.63,5.58,53.7,141.05,90.53,163.2,11.97,12.29,22-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
22-Nov-2018 - 00:00,18.07,992.53,262.84,113.39,68.81,83.17,55.49,107.67,0.51,2.21,4.9,43.9,164.88,102.96,189.61,13.43,13.83,23-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
23-Nov-2018 - 00:00,19.55,993.91,353.46,177.05,59.34,97.71,63.74,148.87,1.35,2.5,6.86,49.3,209.89,97.79,223.17,12.83,15.82,24-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
24-Nov-2018 - 00:00,19.72,992.29,283.75,115.4,53.17,95.51,46.69,183.84,1.77,1.7,3.97,41.06,102.69,84.8,128.8,18.31,12.42,25-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
25-Nov-2018 - 00:00,17.2,992.06,268.29,114.07,70.07,89.17,48.75,119.0,0.71,1.91,4.31,41.66,141.51,87.21,162.45,13.57,12.93,26-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
26-Nov-2018 - 00:00,17.12,991.18,335.95,176.88,75.54,84.96,55.35,97.8,0.66,2.77,5.78,49.43,170.95,101.75,192.86,12.66,20.13,27-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
27-Nov-2018 - 00:00,18.14,992.85,243.79,127.43,74.3,80.59,41.63,74.61,0.64,2.27,3.45,44.68,161.22,101.33,185.26,9.94,11.81,28-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
28-Nov-2018 - 00:00,18.81,993.77,255.49,140.91,77.88,76.68,42.93,86.53,0.54,2.2,3.57,47.91,142.13,89.84,164.04,15.82,11.43,29-Nov-2018 - 00:00,"Pusa, Delhi - DPCC"
