from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
22-Feb-2018 - 00:00,31.66,2.09,36.08,16.43,23.83,16.49,37.54,214.34,0.5,3.69,1.71,21.78,65.09,0.3,179.72,42.38,752.6,-0.14,23-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Feb-2018 - 00:00,32.25,1.25,94.45,6.96,16.04,8.63,38.84,155.57,0.42,3.06,1.36,24.67,58.82,0.3,190.68,58.24,752.53,-0.12,24-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Feb-2018 - 00:00,32.18,1.8,61.87,10.38,14.92,10.4,37.47,227.16,0.49,3.14,1.54,24.85,67.49,0.3,145.53,43.08,753.79,-0.17,25-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Feb-2018 - 00:00,31.28,1.65,54.59,9.29,12.64,9.1,38.56,167.2,0.41,3.27,1.18,24.32,72.72,0.3,132.0,37.48,753.7,-0.13,26-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-Feb-2018 - 00:00,31.51,1.4,49.78,7.63,10.74,7.57,27.01,170.23,0.37,3.0,1.09,24.45,68.89,0.33,204.36,43.4,752.95,-0.11,27-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-Feb-2018 - 00:00,31.12,1.2,68.41,7.47,12.34,7.89,35.54,117.8,0.35,2.92,0.82,22.98,61.76,0.3,185.1,52.8,753.65,-0.11,28-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-Feb-2018 - 00:00,31.35,1.29,68.85,8.87,11.62,8.56,33.59,147.65,0.35,3.28,0.87,23.69,65.34,0.3,187.43,46.01,753.34,-0.13,01-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
01-Mar-2018 - 00:00,31.84,1.48,85.8,11.24,47.19,26.59,41.08,144.39,0.33,2.63,0.74,24.76,64.18,0.32,194.16,50.69,752.7,-0.11,02-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Mar-2018 - 00:00,32.26,1.69,98.68,4.24,25.95,9.5,33.14,159.22,0.33,2.94,0.49,26.0,60.96,0.32,203.82,56.64,751.53,-0.11,03-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Mar-2018 - 00:00,31.97,1.2,112.16,3.12,12.14,5.15,40.12,81.04,0.06,2.55,0.36,26.23,56.46,0.36,216.16,59.14,750.5,-0.14,04-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Mar-2018 - 00:00,32.08,1.6,85.79,6.39,15.49,8.06,39.38,93.41,0.15,3.0,0.64,27.02,53.96,0.31,197.79,62.25,751.06,-0.11,05-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Mar-2018 - 00:00,31.44,1.47,81.39,5.24,12.57,6.57,35.29,103.44,0.31,3.03,0.66,26.02,57.02,0.34,197.75,48.68,752.5,-0.13,06-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Mar-2018 - 00:00,31.7,1.34,101.09,4.55,12.86,6.22,37.03,75.92,0.29,2.87,0.61,24.85,49.72,0.37,236.1,69.8,752.8,-0.15,07-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-Mar-2018 - 00:00,31.6,1.68,102.61,6.51,14.66,7.91,34.88,91.11,0.23,2.97,0.77,23.99,47.67,0.31,214.05,74.54,753.46,-0.14,08-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Mar-2018 - 00:00,31.91,1.69,51.41,7.68,15.4,8.83,37.13,116.7,0.35,3.38,0.96,23.93,50.04,0.3,184.86,64.51,754.02,-0.14,09-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Mar-2018 - 00:00,32.39,1.7,88.4,6.51,15.48,8.13,42.08,113.76,0.35,3.35,0.84,24.79,51.21,0.3,203.34,69.25,753.32,-0.13,10-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Mar-2018 - 00:00,32.23,1.46,111.48,4.56,10.76,5.67,38.42,114.02,0.35,2.71,0.7,25.35,49.62,0.33,200.48,69.46,752.95,-0.13,11-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Mar-2018 - 00:00,32.44,1.61,70.48,6.45,11.39,7.01,34.34,97.49,0.29,3.22,0.64,26.22,47.16,0.32,201.51,73.77,752.82,-0.13,12-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Mar-2018 - 00:00,31.71,1.76,68.18,23.05,69.98,34.41,38.56,135.41,0.35,3.06,0.85,26.16,53.29,0.3,178.33,63.59,752.78,-0.12,13-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Mar-2018 - 00:00,31.8,1.89,68.27,43.21,132.94,64.2,32.09,131.58,0.35,2.95,0.86,26.5,53.8,0.31,195.1,67.51,752.34,-0.11,14-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Mar-2018 - 00:00,32.84,2.13,71.05,45.34,138.66,64.76,44.78,167.51,0.4,3.46,1.11,27.15,60.38,0.3,174.45,57.85,751.93,-0.14,15-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Mar-2018 - 00:00,32.31,1.72,77.27,14.38,88.15,32.23,44.71,171.31,0.4,2.96,0.93,26.73,64.08,0.3,145.44,38.83,751.65,-0.12,16-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
