from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
13-Feb-2018 - 00:00,30.02,0.45,50.02,1.48,17.28,10.4,20.93,4.47,49.76,86.48,0.13,2.07,0.04,25.47,57.91,1.42,98.25,109.3,728.34,14-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Feb-2018 - 00:00,30.29,0.58,51.93,1.9,27.03,15.92,20.08,7.96,55.61,111.26,0.18,2.93,0.03,25.76,55.03,1.27,83.47,119.84,728.35,15-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Feb-2018 - 00:00,30.24,0.52,60.64,1.54,23.94,13.98,19.63,11.81,47.26,98.76,0.15,2.39,0.01,26.03,51.62,1.23,46.4,107.54,728.49,16-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Feb-2018 - 00:00,30.45,0.51,59.47,1.83,28.73,16.77,17.84,18.84,45.96,104.26,0.19,2.68,0.07,26.75,44.69,1.14,88.22,123.46,727.62,17-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Feb-2018 - 00:00,30.92,0.56,62.42,2.16,34.44,20.07,16.66,25.42,43.9,102.85,0.18,2.54,0.07,27.6,38.32,1.17,42.71,130.3,725.21,18-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Feb-2018 - 00:00,30.63,0.7,71.54,1.51,32.86,18.71,22.89,13.75,58.16,119.33,0.27,6.28,0.12,27.8,45.0,0.9,96.64,122.07,724.21,19-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Feb-2018 - 00:00,30.43,0.61,65.33,1.78,33.3,19.16,21.41,9.61,52.7,113.22,0.17,2.08,0.1,27.72,48.74,1.07,113.04,113.98,724.36,20-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Feb-2018 - 00:00,30.47,0.55,65.42,1.64,25.82,15.08,19.23,6.56,47.07,101.78,0.13,1.75,0.04,28.0,47.53,1.07,118.99,120.95,724.44,21-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Feb-2018 - 00:00,30.47,0.7,55.92,2.05,35.65,20.63,18.91,7.04,59.15,131.07,0.21,4.07,0.08,27.84,48.67,1.02,122.39,116.04,723.97,22-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Feb-2018 - 00:00,30.39,0.76,54.87,2.33,38.3,22.27,17.57,5.33,62.36,144.91,0.2,1.88,0.07,28.13,45.31,1.02,118.23,107.66,723.77,23-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
