from date,PM10,SO2,NOx,CO,WD,WS,Temp,RH,SR,to date,station
15-Jun-2018 - 00:00,105.72,23.72,26.48,0.92,227.79,,31.81,76.45,101.92,16-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Jun-2018 - 00:00,86.65,23.39,26.32,0.97,225.07,,29.24,83.02,42.77,17-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Jun-2018 - 00:00,54.7,23.69,26.55,0.99,210.99,,27.55,99.77,29.3,18-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Jun-2018 - 00:00,50.63,23.35,26.54,0.87,235.23,,29.09,89.98,17.24,19-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Jun-2018 - 00:00,48.01,23.42,26.4,0.58,214.38,,31.02,83.65,89.28,20-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Jun-2018 - 00:00,45.73,23.64,28.19,0.61,136.52,,31.93,78.2,59.09,21-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Jun-2018 - 00:00,,,,,,,,,,22-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Jun-2018 - 00:00,,,,,,,,,,23-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Jun-2018 - 00:00,,,,,,,,,,24-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Jun-2018 - 00:00,,,,,,,,,,25-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Jun-2018 - 00:00,,,,,,,,,,26-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Jun-2018 - 00:00,,,,,,,,,,27-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Jun-2018 - 00:00,,,,,,,,,,28-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Jun-2018 - 00:00,,,,,,,,,,29-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Jun-2018 - 00:00,,,,,,,,,,30-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Jun-2018 - 00:00,,,,,,,,,,01-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Jul-2018 - 00:00,,,,,,,,,,02-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Jul-2018 - 00:00,,,,,,,,,,03-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Jul-2018 - 00:00,,,,,,,,,,04-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Jul-2018 - 00:00,,,,,,,,,,05-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Jul-2018 - 00:00,,,,,,,,,,06-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Jul-2018 - 00:00,71.57,15.44,43.95,1.53,132.27,,29.24,98.57,10.41,07-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Jul-2018 - 00:00,127.34,33.79,45.6,1.71,117.63,,27.76,99.9,6.39,08-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Jul-2018 - 00:00,191.34,28.87,36.61,1.81,120.16,,26.95,99.9,19.05,09-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Jul-2018 - 00:00,,,,,,,,,,10-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Jul-2018 - 00:00,,,,,,,,,,11-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Jul-2018 - 00:00,,,,,,,,,,12-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Jul-2018 - 00:00,,,,,,,,,,13-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Jul-2018 - 00:00,10.26,3.74,56.67,0.18,,,28.14,99.39,,14-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Jul-2018 - 00:00,34.98,12.19,29.76,1.18,241.63,,29.14,98.02,21.9,15-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Jul-2018 - 00:00,28.35,10.09,26.29,1.44,235.77,,28.21,99.9,7.46,16-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Jul-2018 - 00:00,26.39,13.93,28.74,1.44,221.6,,28.36,99.23,7.62,17-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Jul-2018 - 00:00,28.52,20.56,25.8,1.44,232.73,,29.06,95.02,14.88,18-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Jul-2018 - 00:00,32.27,21.51,27.19,1.46,233.04,,29.16,93.57,32.05,19-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Jul-2018 - 00:00,44.5,24.07,26.93,1.48,225.4,,29.45,90.93,47.19,20-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Jul-2018 - 00:00,31.53,20.75,26.63,1.51,233.04,,28.73,95.41,7.82,21-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Jul-2018 - 00:00,37.8,22.39,23.8,1.57,235.61,,28.51,96.97,4.96,22-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Jul-2018 - 00:00,35.83,18.35,26.39,1.59,224.71,,28.7,95.83,3.84,23-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Jul-2018 - 00:00,57.25,23.96,40.96,1.61,230.33,,28.77,96.43,1.63,24-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Jul-2018 - 00:00,36.76,22.66,44.98,1.64,233.17,,29.05,93.83,12.69,25-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Jul-2018 - 00:00,37.76,22.91,42.76,1.67,232.68,,29.68,88.51,28.28,26-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Jul-2018 - 00:00,35.72,18.71,43.59,1.66,236.45,,29.02,92.53,9.03,27-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Jul-2018 - 00:00,71.63,19.43,41.79,1.68,234.74,,29.17,90.73,7.03,28-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Jul-2018 - 00:00,51.0,23.72,30.43,1.72,235.64,,29.84,89.12,28.65,29-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Jul-2018 - 00:00,51.84,26.77,25.67,1.75,234.41,,30.16,85.34,44.35,30-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Jul-2018 - 00:00,58.5,28.49,26.76,1.76,229.34,,30.11,84.75,65.94,31-Jul-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Jul-2018 - 00:00,47.7,25.46,26.55,1.74,233.93,,30.02,86.39,39.75,01-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Aug-2018 - 00:00,44.6,24.58,26.24,1.45,230.45,,29.74,89.4,41.87,02-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Aug-2018 - 00:00,27.15,20.24,26.38,1.0,233.64,,29.05,94.56,25.8,03-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Aug-2018 - 00:00,,,,,,,,,,04-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Aug-2018 - 00:00,,,,,,,,,,05-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Aug-2018 - 00:00,,,,,,,,,,06-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Aug-2018 - 00:00,8.52,11.31,30.55,1.13,20.0,,27.96,86.05,,07-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Aug-2018 - 00:00,34.53,22.27,23.28,1.12,,,29.65,85.55,29.38,08-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Aug-2018 - 00:00,37.84,23.08,23.96,1.08,,,29.6,88.24,12.23,09-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Aug-2018 - 00:00,29.02,20.74,24.54,1.13,,,28.91,92.5,3.25,10-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Aug-2018 - 00:00,26.92,16.37,27.76,1.15,,,29.0,94.25,35.91,11-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Aug-2018 - 00:00,30.27,19.57,32.45,1.15,,,28.48,95.7,33.17,12-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Aug-2018 - 00:00,20.93,18.66,28.92,1.13,,,28.22,94.66,38.06,13-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Aug-2018 - 00:00,24.16,19.54,33.82,1.13,296.0,,28.12,96.29,22.18,14-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Aug-2018 - 00:00,36.51,22.75,29.61,1.14,,,29.37,90.86,46.92,15-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Aug-2018 - 00:00,32.1,21.58,31.09,1.14,,,28.56,94.68,25.93,16-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Aug-2018 - 00:00,37.51,20.54,42.61,1.13,,,28.13,96.82,,17-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Aug-2018 - 00:00,35.03,17.8,33.82,1.16,243.0,,28.38,95.13,5.0,18-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Aug-2018 - 00:00,30.01,17.16,29.94,1.16,,,28.38,95.19,37.65,19-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Aug-2018 - 00:00,27.9,20.52,37.34,1.3,,,28.67,94.15,122.98,20-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Aug-2018 - 00:00,27.5,18.85,23.79,1.22,,,28.12,96.14,15.61,21-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Aug-2018 - 00:00,37.31,21.53,28.54,1.14,,,27.56,98.42,9.38,22-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Aug-2018 - 00:00,21.29,18.83,25.06,1.13,,,28.02,97.29,59.51,23-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Aug-2018 - 00:00,30.78,21.2,23.08,1.14,225.0,,28.5,94.63,78.77,24-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Aug-2018 - 00:00,32.55,21.7,22.41,1.14,219.0,,28.87,91.02,57.52,25-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Aug-2018 - 00:00,25.77,19.96,20.13,1.13,220.0,,28.41,93.19,36.42,26-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Aug-2018 - 00:00,23.2,19.33,19.98,1.13,,,27.75,95.81,75.12,27-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Aug-2018 - 00:00,32.94,20.11,20.64,1.1,,,27.75,95.45,52.79,28-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Aug-2018 - 00:00,,13.27,22.11,1.1,,,27.81,93.64,20.73,29-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Aug-2018 - 00:00,55.84,19.35,21.52,1.01,,,29.17,89.87,51.83,30-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Aug-2018 - 00:00,72.61,28.22,22.25,0.79,,,29.51,88.55,103.27,31-Aug-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Aug-2018 - 00:00,76.56,29.22,23.73,0.78,,,28.95,90.24,81.6,01-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Sep-2018 - 00:00,96.54,34.18,31.1,0.77,,,28.45,94.16,50.99,02-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Sep-2018 - 00:00,58.64,24.78,17.12,0.75,229.5,,28.58,91.97,54.99,03-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Sep-2018 - 00:00,49.97,23.76,15.6,0.7,210.18,,29.0,89.58,163.64,04-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Sep-2018 - 00:00,48.09,23.69,15.5,0.72,256.52,,29.61,84.51,117.66,05-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Sep-2018 - 00:00,62.86,23.73,15.56,0.7,,,29.65,81.67,114.53,06-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Sep-2018 - 00:00,55.0,23.72,15.55,0.72,,,29.35,82.74,158.4,07-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Sep-2018 - 00:00,97.86,23.74,15.58,0.72,229.0,,28.9,83.69,95.67,08-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Sep-2018 - 00:00,57.34,23.08,19.37,0.73,,,29.11,80.46,181.98,09-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Sep-2018 - 00:00,52.95,23.38,29.12,0.78,,,28.06,89.27,39.75,10-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Sep-2018 - 00:00,91.06,33.4,43.82,0.81,,,28.96,83.8,152.46,11-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Sep-2018 - 00:00,81.89,28.21,36.18,0.79,,,29.01,82.39,156.17,12-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Sep-2018 - 00:00,86.57,19.86,23.92,0.8,,,29.03,81.56,205.08,13-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Sep-2018 - 00:00,74.57,18.82,22.39,0.84,,,28.94,82.73,188.16,14-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Sep-2018 - 00:00,64.36,15.18,17.63,0.91,,,27.5,93.9,21.62,15-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Sep-2018 - 00:00,62.0,17.41,20.11,0.96,,,28.89,90.49,62.88,16-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Sep-2018 - 00:00,46.92,16.92,19.59,0.78,,,30.48,82.89,113.31,17-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Sep-2018 - 00:00,65.52,17.79,20.86,0.88,212.0,,28.84,87.42,134.96,18-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Sep-2018 - 00:00,62.75,18.2,21.47,0.99,77.33,,29.28,83.37,91.67,19-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Sep-2018 - 00:00,64.6,18.33,21.67,1.0,,,27.94,90.24,19.12,20-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Sep-2018 - 00:00,74.94,19.13,22.85,1.04,75.08,,28.99,87.83,0.79,21-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Sep-2018 - 00:00,61.09,16.35,19.38,1.05,79.9,,29.8,85.76,10.03,22-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Sep-2018 - 00:00,40.27,16.42,18.85,1.08,210.0,,29.89,89.38,,23-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Sep-2018 - 00:00,50.21,17.21,20.01,1.08,250.93,,30.35,83.75,220.3,24-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Sep-2018 - 00:00,55.45,14.25,15.68,1.09,211.0,,30.03,86.06,,25-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Sep-2018 - 00:00,77.39,18.19,21.46,1.12,,,30.11,81.28,,26-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Sep-2018 - 00:00,75.28,19.17,22.9,1.15,81.5,,30.63,78.7,,27-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Sep-2018 - 00:00,87.24,19.63,23.66,1.2,136.68,,30.83,82.96,134.04,28-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Sep-2018 - 00:00,78.56,18.48,21.98,1.21,161.37,,31.18,81.35,137.84,29-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Sep-2018 - 00:00,71.86,18.89,22.49,1.3,83.12,,31.06,79.09,644.62,30-Sep-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Sep-2018 - 00:00,67.32,15.41,17.4,1.35,91.0,,33.09,66.34,48.84,01-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Oct-2018 - 00:00,91.48,16.18,18.56,1.4,98.71,,32.64,64.82,,02-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Oct-2018 - 00:00,,13.27,14.2,1.41,122.16,,32.43,66.13,,03-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Oct-2018 - 00:00,111.7,14.85,16.48,1.42,113.57,,31.52,71.04,,04-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Oct-2018 - 00:00,75.73,19.19,22.93,1.44,106.98,,31.57,68.13,,05-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Oct-2018 - 00:00,70.12,18.76,22.3,1.47,109.11,,32.03,64.54,,06-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Oct-2018 - 00:00,84.57,19.89,23.96,1.51,109.8,,32.71,62.58,,07-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Oct-2018 - 00:00,85.7,19.98,24.1,1.58,111.29,,32.77,64.59,,08-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Oct-2018 - 00:00,102.09,19.73,23.8,1.62,218.76,,32.63,72.8,,09-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Oct-2018 - 00:00,133.49,17.81,14.2,1.74,228.11,,32.35,77.11,,10-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Oct-2018 - 00:00,170.62,23.22,16.29,1.29,210.82,,31.55,79.96,,11-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Oct-2018 - 00:00,188.88,23.48,17.9,0.88,224.25,,32.0,78.88,,12-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Oct-2018 - 00:00,174.75,23.95,17.99,0.88,142.5,,32.81,76.39,,13-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Oct-2018 - 00:00,322.48,23.93,17.99,1.13,146.15,,32.77,69.98,,14-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Oct-2018 - 00:00,235.52,23.32,17.87,1.05,103.18,,31.72,62.09,,15-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Oct-2018 - 00:00,169.47,26.98,21.02,1.1,123.3,,31.69,59.83,70.9,16-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Oct-2018 - 00:00,28.0,30.59,23.92,1.16,183.37,,32.18,60.67,81.68,17-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Oct-2018 - 00:00,35.77,30.38,23.88,1.22,228.7,,31.81,70.81,91.82,18-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Oct-2018 - 00:00,,,,,,,,,,19-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Oct-2018 - 00:00,67.8,30.87,23.98,1.27,112.67,,32.67,62.9,83.91,20-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Oct-2018 - 00:00,64.6,30.34,23.87,1.3,262.09,,31.76,71.19,92.2,21-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Oct-2018 - 00:00,73.99,30.29,23.86,1.39,240.0,,31.67,78.02,99.03,22-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Oct-2018 - 00:00,66.19,30.69,23.94,1.43,233.0,,32.35,72.35,93.36,23-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Oct-2018 - 00:00,68.9,30.31,23.86,1.46,169.0,,31.69,57.05,78.06,24-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Oct-2018 - 00:00,73.49,30.48,24.91,1.52,115.48,,30.99,50.23,67.54,25-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Oct-2018 - 00:00,65.35,32.35,27.88,1.59,152.0,,31.67,54.89,52.68,26-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Oct-2018 - 00:00,77.93,32.53,27.92,1.56,161.0,,31.98,53.46,52.99,27-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Oct-2018 - 00:00,66.64,32.57,27.93,1.61,,,32.05,51.82,53.06,28-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Oct-2018 - 00:00,64.34,32.65,27.94,1.71,82.61,,32.19,43.48,53.2,29-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Oct-2018 - 00:00,67.91,32.46,27.9,1.75,107.38,,31.87,33.68,52.88,30-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Oct-2018 - 00:00,63.78,32.05,27.82,1.76,85.2,,31.15,36.61,52.16,31-Oct-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Oct-2018 - 00:00,88.37,31.8,27.77,1.73,97.66,,30.74,44.98,51.75,01-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Nov-2018 - 00:00,90.2,32.09,27.83,1.8,123.32,,31.23,54.17,52.24,02-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Nov-2018 - 00:00,86.67,33.1,28.54,1.9,130.21,,30.97,60.08,51.98,03-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Nov-2018 - 00:00,81.02,37.15,30.07,2.12,221.39,,34.8,53.24,55.81,04-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Nov-2018 - 00:00,66.07,36.31,30.26,2.21,202.4,,32.89,63.17,54.16,05-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Nov-2018 - 00:00,81.7,38.37,34.09,2.39,153.91,,33.0,61.6,55.01,06-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Nov-2018 - 00:00,88.36,38.29,34.25,2.45,128.72,,32.88,61.32,54.89,07-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Nov-2018 - 00:00,90.73,38.08,34.18,2.36,100.93,,32.5,41.23,54.51,08-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Nov-2018 - 00:00,90.82,37.35,33.86,2.04,132.83,,31.02,52.36,53.03,09-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Nov-2018 - 00:00,92.86,37.54,33.83,2.1,141.48,,31.18,59.91,53.19,10-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Nov-2018 - 00:00,102.83,36.64,32.31,2.21,108.8,,31.09,53.06,54.63,11-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Nov-2018 - 00:00,121.4,35.67,30.82,2.25,111.91,,30.81,51.67,55.82,12-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Nov-2018 - 00:00,130.03,34.82,30.3,2.24,103.37,,29.54,52.1,44.61,13-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Nov-2018 - 00:00,84.35,33.44,29.48,2.31,228.63,,26.83,60.41,29.53,14-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Nov-2018 - 00:00,83.91,33.47,29.49,2.4,121.45,,26.9,67.8,29.54,15-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Nov-2018 - 00:00,79.65,35.04,30.31,2.48,107.0,,28.74,59.32,29.75,16-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Nov-2018 - 00:00,85.51,36.68,31.83,2.55,108.71,,29.34,43.48,29.79,17-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Nov-2018 - 00:00,86.22,36.62,31.81,2.68,133.15,,29.22,45.84,29.77,18-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Nov-2018 - 00:00,87.14,36.21,31.7,2.73,143.02,,28.53,55.37,29.69,19-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Nov-2018 - 00:00,101.31,36.26,31.71,2.76,211.69,,28.62,67.52,29.7,20-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Nov-2018 - 00:00,159.07,36.71,31.83,2.82,204.15,,29.37,69.78,29.79,21-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Nov-2018 - 00:00,153.79,37.06,31.93,2.91,121.67,,29.97,61.6,29.87,22-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Nov-2018 - 00:00,132.28,37.35,32.01,3.0,139.54,,30.45,58.42,29.92,23-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Nov-2018 - 00:00,121.75,36.97,31.91,3.05,102.73,,29.82,54.42,29.85,24-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Nov-2018 - 00:00,129.86,36.58,31.8,3.14,104.21,,29.15,49.27,29.76,25-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Nov-2018 - 00:00,133.3,36.01,31.64,3.3,159.17,,28.21,55.76,29.65,26-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Nov-2018 - 00:00,163.5,36.57,32.66,2.85,118.55,,28.46,53.19,29.68,27-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Nov-2018 - 00:00,153.01,37.39,34.34,2.49,100.4,,28.61,46.85,29.7,28-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Nov-2018 - 00:00,161.33,37.94,35.57,2.47,108.25,,28.49,48.11,29.68,29-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Nov-2018 - 00:00,168.65,37.37,35.41,2.5,121.05,,27.53,51.94,29.57,30-Nov-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Nov-2018 - 00:00,136.02,37.6,35.48,2.5,99.16,,27.92,46.65,29.61,01-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Dec-2018 - 00:00,136.84,37.31,35.4,2.53,123.21,,27.44,46.22,29.55,02-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Dec-2018 - 00:00,147.9,37.07,35.33,2.54,164.53,,27.02,51.12,29.5,03-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Dec-2018 - 00:00,177.5,37.02,35.32,2.57,135.95,,26.95,56.81,29.49,04-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Dec-2018 - 00:00,149.43,38.62,36.82,3.35,143.73,,28.16,52.36,29.64,05-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Dec-2018 - 00:00,147.88,39.83,38.54,2.9,156.94,,28.29,57.09,29.66,06-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
