from date,BP,PM2.5,RH,SR,Temp,THC,CO,NH3,NO,NO2,NOx,to date,CH4,SO2,station
01-Jun-2018 - 00:00,,28.94,81.2,107.55,26.41,,0.76,0.0,0.0,0.0,8.85,02-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
02-Jun-2018 - 00:00,,29.55,82.22,90.92,25.64,,0.95,0.0,0.0,0.0,9.39,03-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
03-Jun-2018 - 00:00,,30.67,84.47,105.11,25.26,,0.67,0.0,0.0,0.0,6.79,04-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
04-Jun-2018 - 00:00,,13.48,82.26,108.46,25.52,,0.71,0.0,0.0,0.0,7.71,05-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
05-Jun-2018 - 00:00,,23.82,80.43,103.45,26.04,,0.74,0.0,0.0,0.0,6.23,06-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
06-Jun-2018 - 00:00,,20.04,75.48,117.08,26.74,,1.08,0.0,0.0,0.0,5.99,07-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
07-Jun-2018 - 00:00,,19.74,78.1,98.25,25.93,,1.07,0.0,0.0,0.0,3.68,08-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
08-Jun-2018 - 00:00,,10.45,82.74,65.29,25.15,,0.62,0.77,1.38,2.85,5.91,09-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
09-Jun-2018 - 00:00,,14.52,85.96,57.14,24.51,,0.61,0.0,0.0,0.0,7.22,10-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
10-Jun-2018 - 00:00,,12.67,88.97,49.63,24.65,,0.61,0.0,0.0,18.33,9.41,11-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
11-Jun-2018 - 00:00,,19.95,83.16,68.72,25.5,,0.6,0.0,0.0,0.0,9.49,12-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
12-Jun-2018 - 00:00,,25.13,77.79,107.44,25.88,,0.63,0.0,0.0,0.0,9.54,13-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
13-Jun-2018 - 00:00,,25.75,78.9,92.06,25.79,,0.69,0.0,0.0,0.0,12.54,14-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
14-Jun-2018 - 00:00,,29.97,75.48,93.03,25.42,,0.82,0.0,0.0,0.0,10.53,15-Jun-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
15-Jun-2018 - 00:00,,125.08,68.95,102.0,25.56,,0.66,14.63,4.58,18.47,19.26,16-Jun-2018 - 00:00,796.77,0.35,"Peenya, Bengaluru - CPCB"
16-Jun-2018 - 00:00,,15.66,69.82,120.77,25.66,,0.68,65.67,4.43,8.51,6.32,17-Jun-2018 - 00:00,,0.0,"Peenya, Bengaluru - CPCB"
17-Jun-2018 - 00:00,,17.17,72.14,103.7,25.33,,0.56,65.84,5.14,8.66,6.78,18-Jun-2018 - 00:00,,0.0,"Peenya, Bengaluru - CPCB"
18-Jun-2018 - 00:00,,17.18,67.19,121.65,25.6,,0.71,51.79,3.78,6.07,5.06,19-Jun-2018 - 00:00,,4.65,"Peenya, Bengaluru - CPCB"
19-Jun-2018 - 00:00,,21.92,68.13,118.7,25.29,,0.47,39.89,3.57,4.36,4.54,20-Jun-2018 - 00:00,,5.73,"Peenya, Bengaluru - CPCB"
20-Jun-2018 - 00:00,,12.22,68.43,104.15,25.39,,0.52,39.8,3.63,4.58,4.7,21-Jun-2018 - 00:00,,7.2,"Peenya, Bengaluru - CPCB"
21-Jun-2018 - 00:00,,25.41,73.58,79.51,25.04,,0.56,39.88,3.85,5.43,5.26,22-Jun-2018 - 00:00,,6.95,"Peenya, Bengaluru - CPCB"
22-Jun-2018 - 00:00,,26.81,70.45,82.97,25.16,,0.56,40.21,4.18,6.0,5.78,23-Jun-2018 - 00:00,,6.15,"Peenya, Bengaluru - CPCB"
23-Jun-2018 - 00:00,,35.84,75.18,92.05,24.83,,0.63,43.41,4.06,6.11,5.74,24-Jun-2018 - 00:00,,6.63,"Peenya, Bengaluru - CPCB"
24-Jun-2018 - 00:00,,20.72,70.47,104.07,25.08,,0.54,43.71,4.33,6.99,6.33,25-Jun-2018 - 00:00,,6.25,"Peenya, Bengaluru - CPCB"
25-Jun-2018 - 00:00,,30.41,68.43,95.57,25.22,,0.61,43.3,3.75,7.98,6.46,26-Jun-2018 - 00:00,,6.96,"Peenya, Bengaluru - CPCB"
26-Jun-2018 - 00:00,,30.29,66.64,99.51,25.19,,0.61,42.96,3.55,7.44,6.05,27-Jun-2018 - 00:00,,6.84,"Peenya, Bengaluru - CPCB"
27-Jun-2018 - 00:00,,,72.41,60.11,24.57,,0.62,42.7,3.55,8.23,6.44,28-Jun-2018 - 00:00,,5.42,"Peenya, Bengaluru - CPCB"
28-Jun-2018 - 00:00,,6.96,71.03,71.51,24.75,,0.63,42.0,3.66,9.0,6.89,29-Jun-2018 - 00:00,,6.28,"Peenya, Bengaluru - CPCB"
29-Jun-2018 - 00:00,,9.34,70.35,88.76,25.0,,0.62,42.53,3.65,8.74,6.76,30-Jun-2018 - 00:00,,6.24,"Peenya, Bengaluru - CPCB"
30-Jun-2018 - 00:00,,14.32,65.06,97.3,25.35,,0.71,43.03,4.32,12.59,9.13,01-Jul-2018 - 00:00,,5.5,"Peenya, Bengaluru - CPCB"
01-Jul-2018 - 00:00,,14.53,66.02,90.05,25.66,,0.65,43.52,4.16,10.59,8.04,02-Jul-2018 - 00:00,,5.51,"Peenya, Bengaluru - CPCB"
02-Jul-2018 - 00:00,,10.57,61.82,111.37,26.13,,0.62,43.16,3.95,10.02,7.61,03-Jul-2018 - 00:00,,6.13,"Peenya, Bengaluru - CPCB"
03-Jul-2018 - 00:00,,18.16,62.02,101.39,26.02,,0.68,42.42,4.16,11.45,8.46,04-Jul-2018 - 00:00,,7.33,"Peenya, Bengaluru - CPCB"
04-Jul-2018 - 00:00,,21.35,61.36,90.14,25.68,,0.65,42.81,3.78,8.99,6.98,05-Jul-2018 - 00:00,,5.8,"Peenya, Bengaluru - CPCB"
05-Jul-2018 - 00:00,,29.98,58.15,119.87,25.92,,0.72,42.36,3.92,8.86,7.01,06-Jul-2018 - 00:00,,5.99,"Peenya, Bengaluru - CPCB"
06-Jul-2018 - 00:00,,40.9,68.52,58.1,24.98,,0.92,39.98,3.93,7.36,6.29,07-Jul-2018 - 00:00,,8.31,"Peenya, Bengaluru - CPCB"
07-Jul-2018 - 00:00,,20.93,69.93,70.57,25.06,,0.94,40.11,3.68,6.41,5.64,08-Jul-2018 - 00:00,,9.63,"Peenya, Bengaluru - CPCB"
08-Jul-2018 - 00:00,,21.71,74.81,62.81,24.72,,0.93,40.24,3.48,4.97,4.8,09-Jul-2018 - 00:00,,8.63,"Peenya, Bengaluru - CPCB"
09-Jul-2018 - 00:00,,22.94,73.38,77.44,24.97,,0.91,40.41,3.5,5.2,4.92,10-Jul-2018 - 00:00,,8.33,"Peenya, Bengaluru - CPCB"
10-Jul-2018 - 00:00,,447.19,77.54,63.39,24.61,,0.96,40.39,3.61,5.59,5.19,11-Jul-2018 - 00:00,,8.47,"Peenya, Bengaluru - CPCB"
11-Jul-2018 - 00:00,,32.46,77.64,49.28,24.45,,0.88,40.44,3.64,5.25,4.91,12-Jul-2018 - 00:00,,8.67,"Peenya, Bengaluru - CPCB"
12-Jul-2018 - 00:00,,24.84,70.02,84.38,24.88,,0.86,40.51,3.36,3.96,4.21,13-Jul-2018 - 00:00,,7.9,"Peenya, Bengaluru - CPCB"
13-Jul-2018 - 00:00,,20.4,74.92,56.76,24.52,,0.93,40.34,3.48,4.72,4.67,14-Jul-2018 - 00:00,,7.95,"Peenya, Bengaluru - CPCB"
14-Jul-2018 - 00:00,,21.97,72.87,74.75,24.87,,0.78,40.37,3.38,4.02,4.25,15-Jul-2018 - 00:00,,7.23,"Peenya, Bengaluru - CPCB"
15-Jul-2018 - 00:00,,22.58,64.85,116.96,25.52,,0.78,40.31,3.33,2.91,3.68,16-Jul-2018 - 00:00,,8.92,"Peenya, Bengaluru - CPCB"
16-Jul-2018 - 00:00,,22.23,69.63,90.42,24.85,,0.84,40.23,3.71,4.69,4.83,17-Jul-2018 - 00:00,,8.04,"Peenya, Bengaluru - CPCB"
17-Jul-2018 - 00:00,,19.8,69.48,75.67,24.79,,0.81,39.34,3.62,4.79,4.8,18-Jul-2018 - 00:00,,7.79,"Peenya, Bengaluru - CPCB"
18-Jul-2018 - 00:00,,20.89,66.34,110.04,25.41,,0.86,38.39,3.43,4.75,4.64,19-Jul-2018 - 00:00,,7.99,"Peenya, Bengaluru - CPCB"
19-Jul-2018 - 00:00,,34.55,70.29,68.9,25.17,,0.93,38.46,3.11,9.3,6.84,20-Jul-2018 - 00:00,,9.12,"Peenya, Bengaluru - CPCB"
20-Jul-2018 - 00:00,,20.31,68.13,84.32,24.97,,0.9,38.69,2.51,13.28,8.56,21-Jul-2018 - 00:00,,8.33,"Peenya, Bengaluru - CPCB"
21-Jul-2018 - 00:00,,27.04,71.19,70.06,24.9,,0.82,38.82,2.63,14.05,9.02,22-Jul-2018 - 00:00,,8.15,"Peenya, Bengaluru - CPCB"
22-Jul-2018 - 00:00,,28.37,67.78,86.16,25.4,,0.84,38.84,2.52,12.94,8.4,23-Jul-2018 - 00:00,,8.41,"Peenya, Bengaluru - CPCB"
23-Jul-2018 - 00:00,,28.54,72.64,74.45,24.95,,0.87,46.64,2.51,15.15,9.4,24-Jul-2018 - 00:00,,8.88,"Peenya, Bengaluru - CPCB"
24-Jul-2018 - 00:00,,24.5,71.71,93.7,25.24,,0.7,58.2,2.52,17.44,10.37,25-Jul-2018 - 00:00,,7.81,"Peenya, Bengaluru - CPCB"
25-Jul-2018 - 00:00,,20.81,73.44,79.57,25.07,,0.73,43.78,2.62,16.43,9.93,26-Jul-2018 - 00:00,,7.5,"Peenya, Bengaluru - CPCB"
26-Jul-2018 - 00:00,,29.44,68.77,75.28,25.6,,0.68,23.34,2.8,17.53,10.54,27-Jul-2018 - 00:00,,8.33,"Peenya, Bengaluru - CPCB"
27-Jul-2018 - 00:00,,31.15,67.6,73.47,25.23,,0.59,17.45,3.51,17.95,11.13,28-Jul-2018 - 00:00,,6.84,"Peenya, Bengaluru - CPCB"
28-Jul-2018 - 00:00,,33.4,71.1,68.28,25.26,,0.68,21.92,4.05,20.2,12.64,29-Jul-2018 - 00:00,,8.12,"Peenya, Bengaluru - CPCB"
29-Jul-2018 - 00:00,,23.08,70.56,74.73,25.51,,0.74,29.17,3.43,17.17,10.7,30-Jul-2018 - 00:00,,9.59,"Peenya, Bengaluru - CPCB"
30-Jul-2018 - 00:00,,28.62,69.4,82.78,25.55,,0.69,33.14,3.98,19.74,12.36,31-Jul-2018 - 00:00,,7.86,"Peenya, Bengaluru - CPCB"
31-Jul-2018 - 00:00,,31.04,70.45,81.78,25.09,,0.7,31.39,3.94,19.23,12.08,01-Aug-2018 - 00:00,,9.46,"Peenya, Bengaluru - CPCB"
01-Aug-2018 - 00:00,,28.63,73.36,73.36,24.2,,0.67,32.0,4.6,18.41,12.05,02-Aug-2018 - 00:00,,7.84,"Peenya, Bengaluru - CPCB"
02-Aug-2018 - 00:00,,28.56,68.61,115.89,25.18,,0.81,32.95,4.48,12.79,8.99,03-Aug-2018 - 00:00,,5.6,"Peenya, Bengaluru - CPCB"
03-Aug-2018 - 00:00,,29.16,67.49,114.07,25.38,,0.63,29.27,4.09,17.32,10.94,04-Aug-2018 - 00:00,,4.75,"Peenya, Bengaluru - CPCB"
04-Aug-2018 - 00:00,,29.87,68.49,85.51,25.08,,0.66,23.23,4.65,19.22,12.31,05-Aug-2018 - 00:00,,7.23,"Peenya, Bengaluru - CPCB"
05-Aug-2018 - 00:00,,20.85,66.13,93.55,25.39,,0.56,24.87,4.76,18.37,11.98,06-Aug-2018 - 00:00,,6.27,"Peenya, Bengaluru - CPCB"
06-Aug-2018 - 00:00,,47.33,69.46,87.32,24.83,,0.63,23.76,4.58,18.64,11.98,07-Aug-2018 - 00:00,,5.89,"Peenya, Bengaluru - CPCB"
07-Aug-2018 - 00:00,,17.06,70.48,66.79,24.53,,0.66,24.0,4.56,19.24,12.25,08-Aug-2018 - 00:00,,5.98,"Peenya, Bengaluru - CPCB"
08-Aug-2018 - 00:00,,27.8,77.48,68.16,24.4,,0.68,23.69,4.65,20.62,12.99,09-Aug-2018 - 00:00,,6.95,"Peenya, Bengaluru - CPCB"
09-Aug-2018 - 00:00,,24.78,69.27,123.32,25.29,,0.66,23.49,4.47,16.3,10.7,10-Aug-2018 - 00:00,979.9,6.09,"Peenya, Bengaluru - CPCB"
10-Aug-2018 - 00:00,,20.43,72.42,57.72,24.81,,0.69,23.78,4.57,10.42,7.84,11-Aug-2018 - 00:00,,6.69,"Peenya, Bengaluru - CPCB"
11-Aug-2018 - 00:00,,17.24,75.21,53.98,24.28,,0.69,24.1,4.76,10.67,8.11,12-Aug-2018 - 00:00,,7.16,"Peenya, Bengaluru - CPCB"
12-Aug-2018 - 00:00,,9.63,78.73,58.34,23.97,,0.64,24.03,4.38,8.75,6.88,13-Aug-2018 - 00:00,,7.19,"Peenya, Bengaluru - CPCB"
13-Aug-2018 - 00:00,,11.71,75.16,54.61,23.97,,0.67,23.39,4.38,9.06,9.98,14-Aug-2018 - 00:00,,6.53,"Peenya, Bengaluru - CPCB"
14-Aug-2018 - 00:00,,13.27,78.96,67.73,24.27,,0.77,23.65,4.53,9.49,14.02,15-Aug-2018 - 00:00,,6.78,"Peenya, Bengaluru - CPCB"
15-Aug-2018 - 00:00,,21.37,78.17,59.01,24.6,,0.76,24.12,4.34,8.52,12.86,16-Aug-2018 - 00:00,,6.92,"Peenya, Bengaluru - CPCB"
16-Aug-2018 - 00:00,,13.06,73.94,68.48,24.6,,0.7,26.81,3.53,7.17,10.7,17-Aug-2018 - 00:00,960.42,6.45,"Peenya, Bengaluru - CPCB"
17-Aug-2018 - 00:00,,18.03,69.76,81.1,25.2,,0.75,31.69,2.72,5.13,7.85,18-Aug-2018 - 00:00,925.42,6.37,"Peenya, Bengaluru - CPCB"
18-Aug-2018 - 00:00,,30.13,68.15,78.48,25.25,,0.73,30.1,5.68,18.51,22.75,19-Aug-2018 - 00:00,910.67,5.4,"Peenya, Bengaluru - CPCB"
19-Aug-2018 - 00:00,,23.05,67.22,79.08,25.32,,0.68,26.3,11.48,27.7,33.31,20-Aug-2018 - 00:00,921.15,6.4,"Peenya, Bengaluru - CPCB"
20-Aug-2018 - 00:00,,24.62,67.52,79.32,25.01,,0.71,27.76,5.39,16.56,20.87,21-Aug-2018 - 00:00,897.53,6.42,"Peenya, Bengaluru - CPCB"
21-Aug-2018 - 00:00,,28.48,63.85,114.07,25.32,,0.7,30.32,5.13,12.0,14.33,22-Aug-2018 - 00:00,864.79,4.93,"Peenya, Bengaluru - CPCB"
22-Aug-2018 - 00:00,,29.26,65.15,93.11,25.37,,0.76,29.19,5.66,9.94,15.57,23-Aug-2018 - 00:00,858.17,5.96,"Peenya, Bengaluru - CPCB"
23-Aug-2018 - 00:00,,23.33,70.76,89.8,25.19,,0.78,31.04,4.41,10.27,14.67,24-Aug-2018 - 00:00,874.08,6.45,"Peenya, Bengaluru - CPCB"
24-Aug-2018 - 00:00,,18.24,72.81,87.07,24.73,,0.77,29.38,6.33,14.04,20.36,25-Aug-2018 - 00:00,874.92,6.26,"Peenya, Bengaluru - CPCB"
25-Aug-2018 - 00:00,,32.89,67.13,131.45,25.52,,0.78,29.69,9.01,16.25,25.09,26-Aug-2018 - 00:00,895.98,6.51,"Peenya, Bengaluru - CPCB"
26-Aug-2018 - 00:00,,16.74,70.85,85.43,24.7,,0.74,29.58,6.27,13.46,19.73,27-Aug-2018 - 00:00,897.42,6.95,"Peenya, Bengaluru - CPCB"
27-Aug-2018 - 00:00,,25.4,76.84,69.81,24.26,,0.8,29.26,6.63,14.44,21.07,28-Aug-2018 - 00:00,926.93,6.94,"Peenya, Bengaluru - CPCB"
28-Aug-2018 - 00:00,,39.2,73.82,85.01,24.66,,0.79,28.96,6.26,13.91,19.98,29-Aug-2018 - 00:00,912.66,7.51,"Peenya, Bengaluru - CPCB"
29-Aug-2018 - 00:00,,29.14,75.14,118.07,24.75,,0.87,29.47,6.5,14.22,20.72,30-Aug-2018 - 00:00,891.67,6.48,"Peenya, Bengaluru - CPCB"
30-Aug-2018 - 00:00,,43.92,72.18,123.16,25.21,,0.81,30.41,4.34,9.97,14.32,31-Aug-2018 - 00:00,872.96,7.84,"Peenya, Bengaluru - CPCB"
31-Aug-2018 - 00:00,,39.25,70.84,117.45,25.4,,0.77,32.03,2.9,6.75,9.65,01-Sep-2018 - 00:00,889.04,8.71,"Peenya, Bengaluru - CPCB"
01-Sep-2018 - 00:00,,30.5,65.73,124.7,25.52,,0.76,26.79,3.03,9.18,12.18,02-Sep-2018 - 00:00,868.33,10.44,"Peenya, Bengaluru - CPCB"
02-Sep-2018 - 00:00,,29.0,61.02,150.28,25.83,,0.7,15.66,3.17,13.02,16.18,03-Sep-2018 - 00:00,806.8,9.05,"Peenya, Bengaluru - CPCB"
03-Sep-2018 - 00:00,,42.26,55.64,163.6,25.92,,0.82,14.34,3.23,15.34,18.56,04-Sep-2018 - 00:00,782.78,9.42,"Peenya, Bengaluru - CPCB"
04-Sep-2018 - 00:00,,35.96,54.28,167.77,26.07,,0.9,13.6,3.29,16.64,19.93,05-Sep-2018 - 00:00,782.01,10.07,"Peenya, Bengaluru - CPCB"
05-Sep-2018 - 00:00,,29.86,57.01,131.59,25.85,,0.9,12.5,2.86,14.09,16.94,06-Sep-2018 - 00:00,843.45,10.1,"Peenya, Bengaluru - CPCB"
06-Sep-2018 - 00:00,,30.81,59.62,112.43,25.74,,0.91,12.38,2.76,13.97,16.71,07-Sep-2018 - 00:00,851.73,10.53,"Peenya, Bengaluru - CPCB"
07-Sep-2018 - 00:00,,26.56,58.86,121.43,25.78,,0.87,12.19,2.9,13.96,16.86,08-Sep-2018 - 00:00,828.99,10.21,"Peenya, Bengaluru - CPCB"
08-Sep-2018 - 00:00,,30.27,59.19,129.3,25.72,,0.91,12.24,2.95,14.06,16.99,09-Sep-2018 - 00:00,836.04,9.06,"Peenya, Bengaluru - CPCB"
09-Sep-2018 - 00:00,,30.42,56.67,133.99,26.32,,0.92,12.32,2.7,14.05,16.74,10-Sep-2018 - 00:00,797.18,9.45,"Peenya, Bengaluru - CPCB"
10-Sep-2018 - 00:00,,35.16,61.73,52.14,25.66,,1.04,12.44,2.74,14.9,17.63,11-Sep-2018 - 00:00,943.33,9.32,"Peenya, Bengaluru - CPCB"
11-Sep-2018 - 00:00,,35.31,63.75,82.72,26.11,,1.13,12.03,3.38,15.77,19.14,12-Sep-2018 - 00:00,826.07,10.57,"Peenya, Bengaluru - CPCB"
12-Sep-2018 - 00:00,,28.11,56.7,167.56,26.76,,1.07,12.47,3.05,16.27,19.32,13-Sep-2018 - 00:00,818.37,8.42,"Peenya, Bengaluru - CPCB"
13-Sep-2018 - 00:00,,31.59,58.56,82.58,26.71,,1.02,12.27,2.94,15.07,18.01,14-Sep-2018 - 00:00,878.62,10.77,"Peenya, Bengaluru - CPCB"
14-Sep-2018 - 00:00,,37.61,60.06,108.78,26.49,,1.07,12.2,2.9,16.32,19.21,15-Sep-2018 - 00:00,847.92,9.84,"Peenya, Bengaluru - CPCB"
15-Sep-2018 - 00:00,,29.1,70.11,144.12,25.7,,1.08,12.7,3.19,15.63,18.81,16-Sep-2018 - 00:00,827.03,10.4,"Peenya, Bengaluru - CPCB"
16-Sep-2018 - 00:00,,30.69,72.24,100.82,25.29,,0.87,14.57,7.93,19.52,18.08,17-Sep-2018 - 00:00,894.2,10.79,"Peenya, Bengaluru - CPCB"
17-Sep-2018 - 00:00,,23.82,70.57,110.05,25.2,,0.48,12.32,3.1,13.79,16.71,18-Sep-2018 - 00:00,885.95,10.78,"Peenya, Bengaluru - CPCB"
18-Sep-2018 - 00:00,,26.64,63.12,124.6,25.71,,0.37,12.3,2.73,13.31,16.04,19-Sep-2018 - 00:00,861.48,10.1,"Peenya, Bengaluru - CPCB"
19-Sep-2018 - 00:00,,28.48,60.41,127.35,25.71,,0.43,11.8,3.0,14.76,17.76,20-Sep-2018 - 00:00,846.59,11.51,"Peenya, Bengaluru - CPCB"
20-Sep-2018 - 00:00,,30.4,69.13,97.97,24.77,,0.43,12.1,2.99,15.16,18.14,21-Sep-2018 - 00:00,867.03,10.22,"Peenya, Bengaluru - CPCB"
21-Sep-2018 - 00:00,,32.75,64.45,84.66,25.57,,0.38,11.86,2.74,14.92,17.66,22-Sep-2018 - 00:00,873.15,9.55,"Peenya, Bengaluru - CPCB"
22-Sep-2018 - 00:00,,34.36,54.26,161.17,25.63,,0.41,11.54,3.03,15.71,18.74,23-Sep-2018 - 00:00,777.62,10.25,"Peenya, Bengaluru - CPCB"
23-Sep-2018 - 00:00,,39.72,63.42,69.32,26.15,,0.38,11.93,2.71,16.48,19.19,24-Sep-2018 - 00:00,899.62,10.74,"Peenya, Bengaluru - CPCB"
24-Sep-2018 - 00:00,,29.93,73.52,128.1,25.12,,0.45,13.02,3.84,14.9,18.71,25-Sep-2018 - 00:00,894.24,12.52,"Peenya, Bengaluru - CPCB"
25-Sep-2018 - 00:00,,36.52,72.9,129.78,25.37,,0.4,14.24,6.63,19.23,25.58,26-Sep-2018 - 00:00,871.89,9.6,"Peenya, Bengaluru - CPCB"
26-Sep-2018 - 00:00,,33.34,67.88,103.95,25.84,,0.4,13.59,3.12,16.45,19.56,27-Sep-2018 - 00:00,885.66,10.08,"Peenya, Bengaluru - CPCB"
27-Sep-2018 - 00:00,,38.44,72.54,97.84,25.32,,0.38,14.01,3.78,16.63,20.36,28-Sep-2018 - 00:00,805.53,11.0,"Peenya, Bengaluru - CPCB"
28-Sep-2018 - 00:00,,40.14,66.54,144.39,26.55,,0.34,15.01,5.5,17.17,22.66,29-Sep-2018 - 00:00,822.89,9.56,"Peenya, Bengaluru - CPCB"
29-Sep-2018 - 00:00,,29.39,62.39,135.39,26.92,,0.32,14.45,3.89,15.95,19.8,30-Sep-2018 - 00:00,846.88,10.53,"Peenya, Bengaluru - CPCB"
30-Sep-2018 - 00:00,,32.26,60.74,137.07,27.37,,0.36,15.32,3.82,15.67,19.46,01-Oct-2018 - 00:00,848.56,10.88,"Peenya, Bengaluru - CPCB"
01-Oct-2018 - 00:00,,32.74,56.78,138.43,27.31,,0.43,14.9,3.61,16.43,20.0,02-Oct-2018 - 00:00,810.27,10.55,"Peenya, Bengaluru - CPCB"
02-Oct-2018 - 00:00,,22.45,59.39,130.64,26.96,,0.3,14.47,3.11,14.87,17.97,03-Oct-2018 - 00:00,841.82,10.76,"Peenya, Bengaluru - CPCB"
03-Oct-2018 - 00:00,,24.51,62.84,118.34,26.65,,0.32,15.41,3.24,15.13,18.36,04-Oct-2018 - 00:00,804.69,11.46,"Peenya, Bengaluru - CPCB"
04-Oct-2018 - 00:00,,26.3,76.44,32.76,24.91,,0.33,16.19,3.74,15.33,19.07,05-Oct-2018 - 00:00,959.84,9.04,"Peenya, Bengaluru - CPCB"
05-Oct-2018 - 00:00,,22.13,71.99,76.85,25.4,,0.33,15.36,3.45,14.5,17.95,06-Oct-2018 - 00:00,935.94,13.02,"Peenya, Bengaluru - CPCB"
06-Oct-2018 - 00:00,,24.25,75.04,47.14,25.25,,0.39,14.76,3.76,16.38,20.12,07-Oct-2018 - 00:00,925.04,12.81,"Peenya, Bengaluru - CPCB"
07-Oct-2018 - 00:00,,25.54,60.97,167.93,26.36,,0.35,14.67,3.27,16.15,19.26,08-Oct-2018 - 00:00,818.47,10.33,"Peenya, Bengaluru - CPCB"
08-Oct-2018 - 00:00,,40.41,62.16,150.42,26.28,,0.32,14.8,4.83,18.27,22.47,09-Oct-2018 - 00:00,784.66,12.12,"Peenya, Bengaluru - CPCB"
09-Oct-2018 - 00:00,,39.33,55.85,174.75,26.42,,0.3,13.29,3.71,19.85,23.16,10-Oct-2018 - 00:00,755.38,11.3,"Peenya, Bengaluru - CPCB"
10-Oct-2018 - 00:00,,55.08,49.52,145.27,26.25,,0.31,13.45,3.99,21.51,25.45,11-Oct-2018 - 00:00,693.66,10.8,"Peenya, Bengaluru - CPCB"
11-Oct-2018 - 00:00,,57.65,44.48,142.41,26.62,,0.34,12.65,3.98,23.64,27.25,12-Oct-2018 - 00:00,720.3,11.25,"Peenya, Bengaluru - CPCB"
12-Oct-2018 - 00:00,,67.08,47.0,144.69,26.8,,0.4,11.96,5.19,26.14,31.16,13-Oct-2018 - 00:00,762.05,11.18,"Peenya, Bengaluru - CPCB"
13-Oct-2018 - 00:00,,66.89,48.23,152.32,27.2,,0.29,11.61,5.52,24.98,30.37,14-Oct-2018 - 00:00,757.41,12.02,"Peenya, Bengaluru - CPCB"
14-Oct-2018 - 00:00,,53.79,66.2,80.17,25.99,,0.4,13.01,3.06,16.96,19.92,15-Oct-2018 - 00:00,873.33,10.03,"Peenya, Bengaluru - CPCB"
15-Oct-2018 - 00:00,,47.79,71.68,99.22,25.37,,0.32,13.17,3.18,18.7,21.85,16-Oct-2018 - 00:00,871.98,9.23,"Peenya, Bengaluru - CPCB"
16-Oct-2018 - 00:00,,44.45,63.98,83.05,26.1,,0.35,13.65,2.91,16.78,19.69,17-Oct-2018 - 00:00,896.44,9.2,"Peenya, Bengaluru - CPCB"
17-Oct-2018 - 00:00,,32.15,73.62,113.49,24.75,,0.41,12.97,2.69,14.87,17.56,18-Oct-2018 - 00:00,907.37,8.59,"Peenya, Bengaluru - CPCB"
18-Oct-2018 - 00:00,,294.69,74.15,120.13,24.82,,0.33,14.32,2.85,15.68,18.52,19-Oct-2018 - 00:00,833.87,11.43,"Peenya, Bengaluru - CPCB"
19-Oct-2018 - 00:00,,24.96,63.25,140.95,26.08,,0.31,14.36,3.46,14.47,17.83,20-Oct-2018 - 00:00,866.03,11.45,"Peenya, Bengaluru - CPCB"
20-Oct-2018 - 00:00,,30.67,47.45,163.84,26.15,,0.31,14.04,2.85,15.35,18.05,21-Oct-2018 - 00:00,697.74,9.42,"Peenya, Bengaluru - CPCB"
21-Oct-2018 - 00:00,,43.19,48.07,98.72,26.03,,0.31,13.84,5.59,16.78,21.99,22-Oct-2018 - 00:00,828.99,11.13,"Peenya, Bengaluru - CPCB"
22-Oct-2018 - 00:00,,42.85,35.36,165.39,26.36,,0.31,12.55,4.61,22.41,26.68,23-Oct-2018 - 00:00,706.68,11.89,"Peenya, Bengaluru - CPCB"
23-Oct-2018 - 00:00,,49.13,37.41,153.18,26.69,,0.36,12.7,7.74,26.65,33.99,24-Oct-2018 - 00:00,726.55,9.69,"Peenya, Bengaluru - CPCB"
24-Oct-2018 - 00:00,,45.42,33.47,164.26,26.67,,0.33,13.97,9.01,27.56,35.92,25-Oct-2018 - 00:00,669.87,9.9,"Peenya, Bengaluru - CPCB"
25-Oct-2018 - 00:00,,41.35,44.99,137.61,26.44,,0.63,29.19,5.31,28.38,32.68,26-Oct-2018 - 00:00,764.97,15.24,"Peenya, Bengaluru - CPCB"
26-Oct-2018 - 00:00,,55.17,46.35,151.92,26.25,,0.8,49.95,9.84,43.72,53.59,27-Oct-2018 - 00:00,833.52,17.42,"Peenya, Bengaluru - CPCB"
