from date,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Feb-2018 - 00:00,,,,0.08,,1.96,20.3,36.0,33.9,,14.71,,,,,,,,06-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Feb-2018 - 00:00,16.61,10.26,1.77,0.18,14.69,9.25,14.3,23.57,39.53,122.63,77.14,0.0,28.43,396.04,19.49,320.61,1.09,8.15,07-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Feb-2018 - 00:00,14.64,12.43,1.5,0.56,14.42,8.92,25.19,38.02,32.99,171.12,56.16,0.0,39.9,280.5,16.74,247.94,0.58,17.39,08-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Feb-2018 - 00:00,23.01,18.15,2.23,0.86,15.08,18.63,24.68,43.31,22.34,226.63,107.04,0.0,56.83,239.48,14.1,179.32,0.4,17.25,09-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Feb-2018 - 00:00,23.04,21.14,2.3,0.96,27.01,15.57,19.0,34.57,16.5,226.49,90.55,0.0,60.1,247.67,14.37,181.84,0.47,14.26,10-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Feb-2018 - 00:00,23.03,27.36,2.44,0.67,26.14,15.99,18.38,34.2,20.23,151.73,67.98,0.0,55.74,247.43,15.06,142.35,0.34,16.88,11-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Feb-2018 - 00:00,22.6,15.14,2.36,0.59,25.93,10.84,13.06,23.92,20.85,121.12,63.16,0.0,57.51,216.94,16.04,132.9,0.62,17.31,12-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Feb-2018 - 00:00,22.16,13.8,2.39,0.47,30.84,11.82,12.22,24.05,18.3,79.28,43.19,0.33,78.4,192.37,14.52,132.38,1.07,21.11,13-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Feb-2018 - 00:00,21.74,12.37,2.0,0.31,28.18,10.29,11.25,21.53,25.45,39.77,19.83,0.0,68.17,272.41,15.05,192.69,0.9,12.74,14-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Feb-2018 - 00:00,22.96,13.57,2.26,0.42,21.14,10.31,11.62,21.93,13.88,53.27,26.52,0.0,66.5,272.72,14.78,308.48,0.92,10.89,15-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Feb-2018 - 00:00,18.61,13.83,2.16,0.52,15.32,8.89,14.49,23.37,9.09,81.55,43.74,0.0,64.14,266.49,15.77,295.03,0.74,16.79,16-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Feb-2018 - 00:00,13.36,17.51,2.32,0.65,18.4,11.73,16.57,28.3,13.32,123.69,63.18,0.0,68.56,260.73,16.6,217.6,0.51,21.0,17-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Feb-2018 - 00:00,13.46,11.86,2.3,0.68,19.84,12.24,14.3,26.54,18.0,119.11,59.95,0.0,65.87,263.74,17.47,254.27,0.62,21.64,18-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Feb-2018 - 00:00,13.71,10.17,2.22,0.86,17.27,25.28,15.88,41.16,21.79,137.98,62.19,0.0,63.93,266.84,16.9,200.88,0.42,19.04,19-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Feb-2018 - 00:00,13.72,10.17,2.21,0.69,21.8,10.96,13.63,24.59,16.52,121.69,55.05,0.0,64.46,274.47,17.36,215.9,0.56,21.05,20-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Feb-2018 - 00:00,13.75,10.18,2.21,0.91,20.85,14.45,17.44,31.88,10.89,172.97,90.79,0.0,64.08,263.69,18.3,188.86,0.46,12.96,21-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Feb-2018 - 00:00,13.84,10.17,2.22,0.63,22.81,13.81,12.36,26.17,19.24,127.03,57.07,0.0,61.12,254.0,20.06,250.83,0.59,15.94,22-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Feb-2018 - 00:00,13.52,9.96,2.17,0.79,25.46,10.71,9.75,17.95,17.53,138.61,62.49,0.0,69.17,238.68,20.16,228.18,0.51,37.2,23-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Feb-2018 - 00:00,13.87,10.15,2.21,0.78,26.03,9.77,13.95,18.19,18.23,134.9,56.16,0.0,66.65,226.29,19.86,230.48,0.52,18.07,24-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Feb-2018 - 00:00,14.06,10.15,2.22,0.36,31.15,12.21,9.7,21.91,13.39,63.14,33.68,0.05,59.49,214.72,19.55,158.08,1.13,12.84,25-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Feb-2018 - 00:00,14.08,10.16,2.2,0.45,25.01,13.47,6.17,19.64,16.6,50.2,23.95,0.0,69.36,281.05,18.65,290.62,0.74,18.86,26-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Feb-2018 - 00:00,13.79,10.14,2.2,0.51,21.17,9.47,10.37,19.83,15.94,84.07,44.95,0.0,66.0,280.4,19.14,273.43,0.83,13.33,27-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Feb-2018 - 00:00,13.77,10.14,2.2,0.41,16.23,11.94,5.57,17.52,7.46,92.22,47.12,0.0,60.17,251.76,21.58,273.18,0.66,11.27,28-Feb-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Feb-2018 - 00:00,23.4,127.83,4.91,0.64,13.63,13.46,7.89,21.31,15.06,130.43,70.11,0.0,61.71,237.48,20.75,208.76,0.5,29.57,01-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Mar-2018 - 00:00,22.49,122.51,4.7,0.62,7.65,12.29,5.51,17.74,8.54,124.95,70.62,0.0,65.03,224.77,20.09,183.7,0.57,15.4,02-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Mar-2018 - 00:00,22.74,124.09,4.77,0.36,8.19,12.42,3.03,13.77,11.42,60.79,60.36,0.01,54.24,261.23,21.69,135.76,0.91,10.95,03-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Mar-2018 - 00:00,23.08,125.91,4.69,0.4,6.0,11.09,8.4,19.5,13.8,69.36,36.59,0.0,65.98,179.13,19.09,214.09,0.79,28.25,04-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Mar-2018 - 00:00,23.41,127.83,4.91,0.3,7.56,11.49,4.71,16.21,24.7,52.05,28.6,0.0,59.12,274.39,19.68,282.38,0.67,51.0,05-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Mar-2018 - 00:00,23.41,127.85,4.92,0.4,9.42,11.56,4.09,15.65,30.16,85.92,29.55,0.11,58.13,294.22,20.2,271.61,0.73,25.82,06-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Mar-2018 - 00:00,23.39,127.81,4.91,0.5,16.38,11.59,3.95,15.54,31.31,24.31,27.76,0.0,55.32,363.35,19.67,307.88,0.99,24.2,07-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Mar-2018 - 00:00,22.05,120.61,4.68,0.58,14.01,11.3,5.21,16.5,30.26,105.55,69.24,0.0,45.78,343.63,23.55,244.77,0.81,9.27,08-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Mar-2018 - 00:00,22.92,125.24,4.75,1.2,14.96,15.85,6.05,21.9,30.29,115.28,43.31,0.0,56.75,269.79,21.42,174.77,0.44,11.84,09-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Mar-2018 - 00:00,22.88,124.78,4.75,1.02,19.82,12.95,6.74,19.69,23.11,116.33,43.33,0.0,52.46,274.97,22.05,236.23,0.95,11.45,10-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Mar-2018 - 00:00,23.42,127.82,4.91,1.26,20.07,14.88,3.96,18.83,24.39,120.6,32.08,0.0,55.54,266.17,21.59,252.34,0.72,15.42,11-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Mar-2018 - 00:00,23.42,127.81,4.9,1.34,8.7,15.81,3.5,19.3,27.78,120.6,38.61,0.0,55.71,277.06,22.53,243.39,0.58,19.24,12-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Mar-2018 - 00:00,21.94,119.84,4.46,1.37,,18.02,29.81,47.84,22.45,117.49,41.3,0.0,60.43,268.05,22.75,157.12,0.6,16.92,13-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Mar-2018 - 00:00,23.43,127.87,4.9,1.18,,17.58,16.81,34.38,27.07,100.06,22.06,0.0,52.27,275.03,24.35,154.55,0.54,15.01,14-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Mar-2018 - 00:00,23.71,129.23,4.9,1.03,,17.51,14.55,32.06,22.57,106.27,25.17,0.0,49.31,272.6,23.52,134.25,0.69,13.48,15-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Mar-2018 - 00:00,22.89,125.16,4.66,1.01,7.23,16.76,19.78,36.53,16.76,98.17,28.8,0.0,51.61,275.86,22.41,129.8,0.76,18.37,16-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Mar-2018 - 00:00,23.41,127.81,4.92,0.7,10.26,13.0,26.04,39.05,22.23,90.19,27.86,0.0,44.96,285.27,22.05,279.65,0.67,11.96,17-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Mar-2018 - 00:00,24.89,115.65,5.12,0.75,10.16,12.27,25.41,37.69,28.99,89.07,15.62,0.0,43.37,291.05,21.9,283.98,0.85,14.91,18-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Mar-2018 - 00:00,24.17,95.22,5.18,0.84,9.27,14.18,33.13,47.31,30.2,100.37,,0.0,47.17,286.13,21.76,212.78,0.71,16.26,19-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Mar-2018 - 00:00,21.24,80.19,5.16,0.99,6.01,11.65,46.62,58.27,28.51,100.27,29.76,0.0,48.89,282.72,22.3,239.66,0.68,13.74,20-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Mar-2018 - 00:00,16.49,57.42,3.91,0.98,7.22,4.73,37.98,42.7,31.45,108.09,18.47,0.0,51.12,264.24,22.73,197.09,1.03,12.78,21-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Mar-2018 - 00:00,0.18,0.3,0.22,0.89,9.89,3.77,17.89,21.67,26.01,98.19,16.14,0.28,64.68,239.98,19.04,206.6,1.17,12.04,22-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Mar-2018 - 00:00,0.33,0.42,0.1,0.85,9.04,6.2,14.85,21.07,21.99,86.81,23.55,0.0,66.91,241.69,17.81,292.51,0.49,7.53,23-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Mar-2018 - 00:00,2.09,2.79,0.47,0.98,6.56,9.65,25.48,35.13,26.69,106.25,33.98,0.0,56.34,328.62,22.5,246.52,0.74,10.9,24-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Mar-2018 - 00:00,1.95,2.23,0.5,0.95,6.7,9.76,22.51,32.28,37.56,112.85,46.42,0.0,52.85,406.85,23.66,290.1,0.91,8.64,25-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Mar-2018 - 00:00,0.69,0.63,0.14,1.13,6.15,12.35,23.12,35.43,21.96,93.46,41.98,0.0,58.31,159.71,22.86,198.4,0.43,17.03,26-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Mar-2018 - 00:00,3.41,3.24,0.69,1.26,6.3,10.65,24.23,34.89,16.66,99.39,44.21,0.0,65.5,237.48,20.94,211.94,0.36,32.37,27-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Mar-2018 - 00:00,0.79,0.8,0.31,1.05,8.46,11.63,7.42,22.79,40.04,121.52,41.52,0.0,52.96,402.51,24.24,166.85,0.86,10.62,28-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Mar-2018 - 00:00,,,,0.97,8.54,,6.53,,34.67,127.76,39.71,,,,,,,,29-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Mar-2018 - 00:00,,,,0.91,8.52,,5.61,,29.41,102.97,30.01,,,,,,,,30-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Mar-2018 - 00:00,,,,0.97,8.32,,9.13,,31.99,100.34,42.04,,,,,,,,31-Mar-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Mar-2018 - 00:00,,,,0.83,8.48,,6.04,,36.78,94.26,23.82,,,,,,,,01-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Apr-2018 - 00:00,,,,0.99,9.25,,5.6,,39.35,124.45,35.78,,,,,,,,02-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Apr-2018 - 00:00,,,,1.08,9.08,,4.36,,39.9,118.73,56.06,,,,,,,,03-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Apr-2018 - 00:00,,,,1.19,8.93,,6.64,,40.85,120.63,77.1,,,,,,,,04-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Apr-2018 - 00:00,5.24,5.88,1.08,1.0,8.64,12.0,7.11,24.2,35.63,101.19,58.56,0.0,35.41,433.43,26.59,122.51,0.43,9.1,05-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Apr-2018 - 00:00,0.0,0.0,0.0,1.07,7.07,8.9,10.91,14.4,27.95,114.32,75.71,0.0,33.6,757.68,29.9,65.33,1.63,5.4,06-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Apr-2018 - 00:00,,,,1.12,6.76,,13.7,,32.37,106.94,59.05,,,,,,,,07-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Apr-2018 - 00:00,,,,0.94,8.21,,8.58,,37.3,112.75,35.41,,,,,,,,08-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Apr-2018 - 00:00,,,,0.9,9.15,,7.0,,23.23,107.7,43.46,,,,,,,,09-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Apr-2018 - 00:00,,,,0.92,8.51,,8.16,,30.07,107.13,30.92,,,,,,,,10-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Apr-2018 - 00:00,6.17,8.38,1.3,1.09,7.33,8.1,19.91,18.15,25.06,120.62,48.45,0.0,42.72,261.39,28.45,340.76,0.97,,11-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Apr-2018 - 00:00,,,,0.89,7.96,,9.0,,21.33,76.82,17.71,,,,,,,,12-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Apr-2018 - 00:00,,,,0.77,8.66,,7.68,,34.01,82.12,26.82,,,,,,,,13-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Apr-2018 - 00:00,,,,0.91,9.65,,6.78,,26.58,117.59,43.64,,,,,,,,14-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Apr-2018 - 00:00,15.87,22.62,6.12,1.12,9.49,8.1,5.59,11.75,12.51,119.08,64.94,0.0,25.64,765.7,30.45,321.85,0.78,2.75,15-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Apr-2018 - 00:00,,,,1.19,9.6,,4.16,,0.67,106.6,57.42,,,,,,,,16-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Apr-2018 - 00:00,,,,0.98,10.3,,1.85,,3.4,119.26,48.13,,,,,,,,17-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Apr-2018 - 00:00,,,,0.88,10.73,,2.88,,6.27,133.26,30.63,,,,,,,,18-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Apr-2018 - 00:00,,,,1.14,10.87,,5.47,,19.55,114.7,42.41,,,,,,,,19-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Apr-2018 - 00:00,,,,1.35,11.26,,12.1,,25.82,105.93,57.2,,,,,,,,20-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Apr-2018 - 00:00,5.81,23.25,2.94,1.08,11.14,8.9,6.97,21.5,17.96,47.88,27.67,0.0,42.03,512.17,25.19,257.73,0.45,7.3,21-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Apr-2018 - 00:00,,,,1.03,9.29,,12.36,,33.42,51.29,31.08,,,,,,,,22-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Apr-2018 - 00:00,,,,1.07,7.62,,18.43,,38.77,78.77,45.65,,,,,,,,23-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Apr-2018 - 00:00,,,,1.13,6.6,,21.83,,18.61,111.83,67.96,,,,,,,,24-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Apr-2018 - 00:00,,,,1.19,9.6,,7.73,,18.25,110.73,69.59,,,,,,,,25-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Apr-2018 - 00:00,,,,1.05,10.17,,5.65,,19.24,101.66,62.62,,,,,,,,26-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Apr-2018 - 00:00,0.0,0.0,0.0,0.93,12.53,11.8,4.38,14.6,23.93,104.83,61.26,0.0,18.11,646.27,34.14,167.0,0.67,9.7,27-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Apr-2018 - 00:00,,,,0.96,13.14,,6.45,,24.3,136.71,80.36,,,,,,,,28-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Apr-2018 - 00:00,,,,0.91,13.74,,5.76,,23.84,105.13,60.53,,,,,,,,29-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Apr-2018 - 00:00,,,,1.17,12.5,,9.24,,26.74,122.41,74.54,,,,,,,,01-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
01-May-2018 - 00:00,0.0,6.96,1.25,1.24,13.77,8.3,5.26,11.6,25.38,100.43,60.88,0.0,24.06,484.73,36.38,221.21,0.7,3.4,02-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
02-May-2018 - 00:00,,,,1.1,13.1,,4.13,,18.78,84.88,51.44,,,,,,,,03-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
03-May-2018 - 00:00,,,,0.85,13.06,,5.52,,19.94,56.05,33.99,,,,,,,,04-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
04-May-2018 - 00:00,0.0,10.22,1.52,0.95,13.87,9.0,3.55,11.7,24.1,72.03,44.06,0.0,25.23,133.21,33.43,239.31,0.79,4.9,05-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
05-May-2018 - 00:00,,,,1.26,13.0,,6.55,,18.92,110.35,67.37,,,,,,,,06-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
06-May-2018 - 00:00,,,,,,,,,34.93,104.78,63.5,,,,,,,,07-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
07-May-2018 - 00:00,,,,,,,,,23.45,72.68,41.03,,,,,,,,08-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
08-May-2018 - 00:00,,,,1.09,6.84,,35.74,,17.37,86.46,50.91,,,,,,,,09-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
09-May-2018 - 00:00,,,,1.09,4.78,,37.0,,23.53,105.7,60.5,,,,,,,,10-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
10-May-2018 - 00:00,,,,1.05,3.69,,43.56,,10.05,176.23,103.54,,,,,,,,11-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
11-May-2018 - 00:00,,,,1.12,1.37,,41.47,,12.29,181.39,109.94,,,,,,,,12-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
12-May-2018 - 00:00,0.0,8.38,0.85,1.18,6.11,7.5,46.73,26.2,11.36,171.07,103.41,0.0,20.61,589.63,37.31,77.87,1.14,5.1,13-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
13-May-2018 - 00:00,,,,0.66,,,,,,60.15,34.94,,,,,,,,14-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
14-May-2018 - 00:00,,,,0.9,7.12,,12.15,,6.21,73.15,42.95,,,,,,,,15-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
15-May-2018 - 00:00,,,,1.08,6.2,,18.99,,9.87,105.98,62.21,,,,,,,,16-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
16-May-2018 - 00:00,4.6,9.49,1.11,1.07,3.33,8.52,22.15,39.3,21.57,116.89,66.2,0.0,26.2,119.01,32.7,294.19,0.74,5.67,17-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
17-May-2018 - 00:00,4.35,10.45,1.03,1.41,2.45,11.65,30.53,42.17,18.46,149.82,90.8,0.0,28.41,220.06,30.89,230.07,0.71,8.47,18-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
18-May-2018 - 00:00,4.21,9.31,0.81,1.14,7.65,12.1,26.43,38.26,18.14,134.36,76.6,0.0,30.55,266.33,31.14,230.92,0.74,5.62,19-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
19-May-2018 - 00:00,7.46,12.83,1.06,1.06,4.81,14.52,19.07,33.94,18.4,106.62,61.73,0.0,25.89,247.08,30.72,218.52,1.08,9.01,20-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
20-May-2018 - 00:00,13.32,12.1,2.22,0.96,,,,,20.9,78.6,47.64,0.0,19.74,259.77,31.68,267.09,0.89,5.95,21-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
21-May-2018 - 00:00,6.63,19.01,1.02,0.98,2.84,13.19,23.31,36.51,19.88,94.53,57.29,0.0,14.51,242.66,32.45,241.28,0.77,5.94,22-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
22-May-2018 - 00:00,9.49,11.22,1.69,0.99,4.72,14.33,9.98,23.16,21.56,106.88,64.78,0.0,14.23,254.89,33.78,251.3,0.86,5.47,23-May-2018 - 00:00,"Civil Line, Jalandhar - PPCB"
