from date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,RF,SR,BP,VWS,O Xylene,SO2,to date,station
16-Jan-2018 - 00:00,48.37,64.66,9.9,44.48,54.63,12.18,1.26,14.29,1.07,0.0,1.7,0.15,0.64,166.11,27.09,68.11,0.0,119.1,755.86,5.0,1.83,13.12,17-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
17-Jan-2018 - 00:00,63.72,100.03,10.35,44.57,55.22,17.03,1.02,2.68,,,,,0.61,162.21,26.57,67.87,0.0,144.26,755.42,5.0,,8.27,18-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
18-Jan-2018 - 00:00,58.09,96.91,10.94,49.68,59.72,13.54,1.03,9.51,30.47,43.61,28.69,26.71,0.71,193.43,26.14,62.39,0.0,157.47,756.11,5.0,27.78,11.66,19-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
19-Jan-2018 - 00:00,51.91,89.91,12.06,54.16,66.74,12.58,0.97,32.92,4.7,17.84,2.16,0.0,0.71,173.04,25.51,62.74,0.0,100.85,756.07,5.0,0.79,11.69,20-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
20-Jan-2018 - 00:00,44.33,79.21,13.33,55.87,69.03,13.65,1.17,30.45,17.59,23.4,31.35,29.4,0.66,194.45,25.53,61.72,0.0,96.5,755.7,5.0,29.79,12.76,21-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
21-Jan-2018 - 00:00,54.33,81.04,12.48,54.13,66.73,13.75,1.28,13.99,0.91,0.0,1.89,0.0,0.7,196.21,25.33,59.32,0.0,123.55,755.14,5.0,0.65,14.64,22-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
22-Jan-2018 - 00:00,50.87,71.45,12.5,54.4,67.01,13.51,1.41,10.62,0.88,0.0,1.72,0.0,0.73,179.17,24.88,60.07,0.0,160.32,755.02,5.0,0.74,14.82,23-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
23-Jan-2018 - 00:00,52.85,85.28,13.11,58.11,71.62,11.93,1.43,5.38,0.82,0.0,1.84,0.0,0.72,200.96,25.37,61.77,0.0,141.97,755.53,5.0,0.76,15.7,24-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
24-Jan-2018 - 00:00,42.37,82.04,14.0,61.01,75.37,11.92,1.26,17.06,0.8,0.0,1.82,0.0,0.74,199.89,26.21,64.02,0.0,130.02,754.79,5.0,0.75,15.38,25-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
25-Jan-2018 - 00:00,44.52,86.65,13.9,52.52,66.77,13.42,1.18,22.4,0.8,0.0,1.83,0.0,0.79,163.77,27.73,60.1,0.0,141.73,754.41,5.0,0.75,14.91,26-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
26-Jan-2018 - 00:00,31.73,77.99,14.56,49.79,64.74,11.25,1.21,11.08,0.73,0.0,1.7,0.0,0.69,171.47,26.87,65.17,0.0,135.17,754.93,5.0,0.89,16.49,27-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
27-Jan-2018 - 00:00,46.92,90.51,13.58,54.15,67.18,12.42,1.23,15.45,0.81,0.0,1.71,0.0,0.71,206.95,26.82,66.46,0.0,117.78,755.5,5.0,0.81,16.57,28-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
28-Jan-2018 - 00:00,51.8,95.41,12.88,56.41,69.45,11.7,1.17,10.2,0.81,0.0,1.76,0.0,0.77,213.45,26.65,64.97,0.0,128.35,756.53,5.0,0.87,15.7,29-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
29-Jan-2018 - 00:00,56.38,110.98,14.16,60.61,74.84,11.3,1.38,14.33,0.63,0.0,1.84,0.0,0.78,181.6,26.68,62.82,0.0,121.63,757.5,5.0,0.74,14.38,30-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
30-Jan-2018 - 00:00,59.0,116.37,12.52,53.93,66.5,12.68,1.17,25.25,0.77,0.0,1.79,0.0,0.77,222.13,26.56,62.37,0.0,126.84,757.78,5.0,0.82,15.18,31-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
31-Jan-2018 - 00:00,55.58,108.9,12.57,52.9,65.71,14.27,1.19,8.1,0.9,0.0,1.74,0.0,0.72,171.05,28.13,55.82,0.0,192.1,757.89,5.0,0.64,15.68,01-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
01-Feb-2018 - 00:00,40.78,84.37,11.99,45.38,57.39,13.55,1.07,4.85,0.82,0.0,1.9,0.0,0.77,164.27,28.21,50.48,0.0,162.3,757.34,5.0,0.73,15.57,02-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
02-Feb-2018 - 00:00,47.96,113.06,14.83,57.85,73.01,7.04,1.19,6.04,0.74,0.0,1.96,0.0,0.59,190.75,27.36,46.29,0.0,170.38,756.88,5.0,0.72,13.64,03-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
03-Feb-2018 - 00:00,47.35,89.67,11.61,50.48,62.49,8.14,0.98,15.87,0.91,0.0,1.76,0.0,0.67,142.96,25.98,59.02,0.0,174.28,757.65,5.0,0.71,14.82,04-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
04-Feb-2018 - 00:00,58.87,123.24,16.15,58.12,74.77,11.22,1.2,26.01,0.92,0.0,1.89,0.0,0.78,169.71,25.68,53.8,0.0,155.61,757.73,5.0,0.74,15.09,05-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
05-Feb-2018 - 00:00,61.52,109.33,16.17,68.58,85.28,11.96,1.29,13.39,0.86,0.0,1.73,0.0,0.8,184.07,25.61,58.24,0.0,171.21,758.83,5.0,1.09,15.9,06-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
06-Feb-2018 - 00:00,44.74,98.37,13.79,58.13,72.37,14.49,1.24,21.09,0.89,0.0,1.8,0.0,0.82,231.22,26.62,57.34,0.0,182.9,758.55,5.0,1.71,15.44,07-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
07-Feb-2018 - 00:00,48.37,98.71,13.61,57.9,71.91,13.59,1.14,13.59,0.81,0.0,1.76,0.0,0.75,185.51,27.38,59.56,0.0,130.89,757.46,5.0,1.83,16.25,08-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
08-Feb-2018 - 00:00,54.51,108.63,10.89,45.36,56.54,16.37,1.35,11.34,0.91,0.0,1.65,0.0,0.71,157.93,29.38,60.11,0.0,102.46,755.91,5.0,1.8,15.83,09-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
09-Feb-2018 - 00:00,34.18,74.17,12.22,49.87,62.43,17.17,1.19,8.58,0.7,0.0,1.84,0.0,0.57,148.6,29.22,65.87,0.0,169.03,755.92,5.0,1.72,16.41,10-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
10-Feb-2018 - 00:00,43.4,91.68,13.49,54.5,68.34,15.71,1.13,11.81,0.76,0.0,1.78,0.0,0.54,171.83,29.08,65.0,0.0,133.71,757.38,5.0,1.69,16.31,11-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
11-Feb-2018 - 00:00,73.04,109.09,13.48,57.72,71.62,13.31,1.0,16.4,1.05,0.0,1.99,0.0,0.53,213.29,25.62,79.88,0.0,28.24,758.06,5.0,1.62,14.08,12-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,5.0,,,14-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
14-Feb-2018 - 00:00,75.61,149.81,10.4,46.66,57.35,13.39,1.34,10.5,0.75,0.0,2.15,0.0,1.03,220.28,28.44,51.3,0.0,250.79,762.2,5.0,2.65,13.48,15-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
15-Feb-2018 - 00:00,46.56,95.84,10.74,45.39,56.37,16.22,1.32,6.01,0.85,0.0,1.76,0.0,0.65,206.03,29.97,49.27,0.0,159.56,760.55,5.0,2.86,18.1,16-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
16-Feb-2018 - 00:00,40.08,87.6,10.67,45.15,55.92,15.5,1.22,7.68,0.94,0.0,1.77,0.0,0.78,194.04,28.73,62.05,0.0,176.1,759.41,5.0,2.92,17.86,17-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
17-Feb-2018 - 00:00,36.76,75.12,10.53,44.71,55.54,16.27,1.12,4.97,0.74,0.0,1.75,0.0,0.64,164.67,29.07,63.63,0.0,188.8,756.69,5.0,2.94,16.89,18-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
18-Feb-2018 - 00:00,46.81,85.06,11.15,46.55,57.99,16.27,1.12,1.77,0.64,0.0,1.8,0.0,0.63,175.44,28.59,64.52,0.0,143.7,756.16,5.0,2.77,18.11,19-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
19-Feb-2018 - 00:00,61.24,102.04,10.33,43.23,53.85,16.73,1.39,8.67,0.65,0.0,1.77,0.0,0.61,158.89,27.92,65.16,0.0,133.74,756.71,5.0,2.66,20.28,20-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
20-Feb-2018 - 00:00,49.54,100.88,11.5,47.59,59.47,16.89,1.42,8.91,0.73,0.0,1.8,0.0,0.75,200.42,28.28,64.81,0.0,170.46,756.47,5.0,2.63,17.52,21-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
21-Feb-2018 - 00:00,39.06,67.97,8.93,35.69,44.87,20.74,1.03,11.77,0.57,0.0,1.73,0.0,0.53,158.53,28.17,61.99,0.0,99.34,755.09,5.0,2.51,11.65,22-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
22-Feb-2018 - 00:00,43.98,82.81,10.56,43.27,54.08,19.0,1.13,8.53,3.52,16.26,2.33,0.01,0.61,162.19,28.23,60.58,0.0,79.22,755.07,5.0,1.57,11.55,23-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
23-Feb-2018 - 00:00,50.85,81.84,9.94,39.16,49.25,20.89,1.24,6.06,3.49,17.75,2.01,0.0,0.6,162.06,28.97,60.06,0.0,139.15,755.89,5.0,1.31,13.14,24-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
24-Feb-2018 - 00:00,48.47,85.0,16.9,70.86,60.73,17.9,1.12,15.09,17.09,25.02,14.41,12.94,0.81,256.25,24.54,74.41,0.0,101.21,757.42,5.0,14.12,13.78,25-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,5.0,,,26-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
26-Feb-2018 - 00:00,,70.2,7.56,19.59,27.21,28.45,1.69,20.86,1.93,0.85,1.74,0.0,0.59,137.26,34.23,27.7,0.0,146.84,755.15,5.0,0.63,10.88,27-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
27-Feb-2018 - 00:00,,78.75,8.53,24.2,32.36,27.82,1.37,10.62,1.79,0.41,1.84,0.0,0.57,167.65,30.31,49.48,0.0,156.03,755.69,5.0,0.74,11.32,28-Feb-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
28-Feb-2018 - 00:00,,82.85,8.35,23.75,31.96,28.28,1.22,15.05,1.82,0.0,1.89,0.0,0.6,174.25,30.98,56.9,0.0,150.57,755.54,5.0,0.74,10.29,01-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
01-Mar-2018 - 00:00,,77.44,10.81,41.39,52.47,28.52,1.19,13.68,1.68,0.0,1.96,0.0,0.65,166.42,31.3,56.08,0.0,191.16,755.27,5.0,0.82,11.57,02-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
02-Mar-2018 - 00:00,,71.4,10.66,43.92,54.79,28.56,1.17,11.11,1.64,0.0,1.83,0.0,0.65,150.63,30.71,58.3,0.0,155.33,754.76,5.0,0.78,10.99,03-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
03-Mar-2018 - 00:00,,70.31,10.62,39.71,50.67,28.61,1.18,13.45,1.77,0.0,1.86,0.0,0.7,139.48,30.75,52.72,0.0,156.93,754.14,5.0,0.69,10.83,04-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
04-Mar-2018 - 00:00,,71.56,10.38,39.51,49.69,28.89,1.15,17.09,1.73,0.0,1.93,0.0,0.51,133.93,30.47,54.67,0.0,167.41,754.17,5.0,0.7,11.23,05-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
05-Mar-2018 - 00:00,,69.33,11.61,44.48,53.95,28.53,1.16,15.74,1.9,0.0,1.76,0.0,0.59,172.53,30.67,53.51,0.0,156.6,755.08,5.0,0.78,11.71,06-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
06-Mar-2018 - 00:00,,71.08,10.71,43.01,53.12,28.49,0.98,18.56,1.69,0.0,1.95,0.0,0.77,165.53,29.76,61.72,0.0,163.92,755.55,5.0,0.83,10.25,07-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
07-Mar-2018 - 00:00,,73.97,8.55,23.87,32.5,27.88,1.06,16.34,3.22,0.52,1.9,0.05,0.77,155.87,29.84,63.02,0.0,168.9,755.56,5.0,1.24,10.32,08-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
08-Mar-2018 - 00:00,,82.42,10.65,31.19,41.76,27.25,1.11,13.29,4.62,1.66,2.15,0.0,0.79,179.24,30.12,58.7,0.0,145.47,755.53,5.0,1.47,13.59,09-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
09-Mar-2018 - 00:00,,82.33,8.4,23.19,31.66,28.08,1.16,17.7,4.23,1.31,1.83,0.0,0.67,215.1,30.81,63.27,0.0,135.69,755.76,5.0,0.88,9.56,10-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
10-Mar-2018 - 00:00,,82.91,7.7,19.95,27.62,28.33,1.05,9.03,3.23,0.72,1.98,0.37,0.72,214.58,31.25,61.88,0.0,125.96,755.61,5.0,1.32,12.25,11-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
11-Mar-2018 - 00:00,,78.09,6.39,15.2,21.63,28.68,1.0,12.94,2.11,0.0,2.92,1.05,0.65,196.97,30.96,61.95,0.0,160.97,756.27,5.0,1.8,11.01,12-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
12-Mar-2018 - 00:00,,67.26,7.83,23.31,31.22,28.68,0.97,10.84,1.85,0.0,2.17,0.49,0.66,156.99,30.7,63.43,0.0,142.44,756.53,5.0,1.79,11.37,13-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
13-Mar-2018 - 00:00,,62.67,10.51,42.77,53.6,29.14,1.22,17.48,1.71,0.0,1.96,0.0,0.7,170.6,31.64,60.14,0.0,179.01,755.95,5.0,1.69,12.71,14-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
14-Mar-2018 - 00:00,,51.5,8.94,33.27,42.43,24.04,1.09,,1.69,0.0,1.9,0.0,0.74,158.8,30.57,69.78,0.0,130.7,755.05,5.0,1.79,12.11,15-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
15-Mar-2018 - 00:00,,61.01,7.53,24.03,31.68,11.02,1.1,,1.89,0.0,1.89,0.0,0.49,154.89,33.42,60.35,0.0,144.91,754.44,5.0,1.77,10.86,16-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
16-Mar-2018 - 00:00,,52.52,9.75,38.06,47.96,10.23,1.09,,1.71,0.0,1.77,0.0,0.49,188.63,31.86,67.21,0.0,82.46,754.27,5.0,1.97,9.97,17-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
17-Mar-2018 - 00:00,,71.6,12.48,54.55,67.46,9.71,1.5,,1.81,0.0,1.61,0.0,0.87,235.61,28.52,68.93,0.0,50.09,755.5,5.0,1.74,9.35,18-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
18-Mar-2018 - 00:00,,75.14,11.72,58.05,70.62,9.86,0.96,,1.74,0.0,1.88,0.0,0.78,208.71,31.38,55.58,0.0,153.23,755.79,5.0,1.89,12.23,19-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
19-Mar-2018 - 00:00,,76.2,9.67,35.26,44.59,10.57,1.08,,1.89,0.0,1.73,0.0,0.74,202.63,31.49,59.15,0.0,175.0,756.34,5.0,1.9,9.77,20-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
20-Mar-2018 - 00:00,,71.72,9.05,34.24,43.42,10.42,1.05,19.42,1.72,0.0,1.87,0.0,0.67,162.1,31.67,61.16,0.0,151.45,755.4,5.0,1.77,11.09,21-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
21-Mar-2018 - 00:00,,72.95,8.47,30.16,38.78,10.69,0.94,20.4,1.75,0.0,1.72,0.0,0.75,141.63,32.23,62.93,0.0,148.55,754.26,5.0,1.76,12.38,22-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
22-Mar-2018 - 00:00,,75.04,8.64,29.91,38.47,10.73,0.95,14.46,1.77,0.0,1.75,0.0,0.68,154.52,33.25,64.86,0.0,123.97,752.58,5.0,1.89,11.75,23-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
23-Mar-2018 - 00:00,,76.39,8.27,29.21,37.69,10.75,1.05,27.06,1.73,0.0,1.83,0.0,0.63,139.69,34.75,62.44,0.0,151.24,752.6,5.0,1.79,11.56,24-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
24-Mar-2018 - 00:00,,77.38,7.75,25.95,33.86,10.79,1.2,26.94,1.82,0.0,1.72,0.0,0.43,161.34,33.94,65.74,0.0,139.47,754.54,5.0,1.92,12.24,25-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
25-Mar-2018 - 00:00,,72.59,9.04,32.14,41.13,10.79,1.51,20.68,1.65,0.0,1.52,0.0,0.53,187.16,32.44,65.97,0.0,93.35,756.38,5.0,1.92,10.75,26-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
26-Mar-2018 - 00:00,,75.91,8.66,30.07,38.67,10.72,1.25,21.7,1.77,0.0,1.63,0.0,0.75,158.19,31.91,64.55,0.0,129.43,756.4,5.0,1.72,10.85,27-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
27-Mar-2018 - 00:00,,68.05,7.9,26.56,34.6,10.87,1.06,29.56,14.84,12.0,108.62,107.83,0.69,138.99,32.41,64.76,0.0,186.72,755.05,5.0,109.96,14.83,28-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
28-Mar-2018 - 00:00,,63.38,7.64,25.01,32.77,10.93,1.15,34.75,1.35,1.15,10.16,9.29,0.62,153.59,32.71,67.32,0.0,153.32,754.1,5.0,10.77,13.39,29-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
29-Mar-2018 - 00:00,,60.17,8.14,28.14,36.4,10.88,1.18,37.17,0.84,0.0,1.79,0.0,0.5,161.33,32.59,67.12,0.0,124.61,753.67,5.0,1.8,11.72,30-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
30-Mar-2018 - 00:00,,63.13,8.63,31.44,40.21,10.59,1.19,40.13,0.79,0.0,1.78,0.0,0.44,177.07,32.26,68.18,0.0,122.57,753.26,5.0,1.78,10.41,31-Mar-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
31-Mar-2018 - 00:00,,66.5,8.75,31.58,40.38,10.58,1.3,35.69,0.74,0.0,1.86,0.0,0.58,153.95,32.4,67.32,0.0,114.78,753.19,5.0,1.65,11.07,01-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
01-Apr-2018 - 00:00,,56.49,7.44,23.26,31.01,10.81,1.18,26.58,0.75,0.0,1.71,0.0,0.71,156.63,32.03,61.71,0.0,152.56,753.62,5.0,1.81,11.14,02-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
02-Apr-2018 - 00:00,,68.81,10.4,42.41,52.93,10.1,1.37,44.23,0.66,0.0,1.72,0.0,0.8,195.47,27.67,63.94,0.0,186.24,755.03,5.0,1.71,11.64,03-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
04-Apr-2018 - 00:00,,69.71,6.78,18.48,25.15,11.27,1.14,17.1,0.82,0.0,1.78,0.0,0.69,147.77,34.58,54.31,0.0,193.12,752.34,5.0,1.73,12.86,05-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
05-Apr-2018 - 00:00,,56.54,7.19,22.4,29.67,11.01,0.96,23.5,0.81,0.0,1.69,0.0,0.78,138.9,31.8,62.37,0.0,207.44,752.32,5.0,1.78,14.49,06-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
06-Apr-2018 - 00:00,,66.64,7.2,22.13,29.41,11.16,1.04,30.12,0.76,0.0,1.71,0.0,0.6,168.51,31.91,63.27,0.0,165.24,752.98,5.0,1.87,13.01,07-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
07-Apr-2018 - 00:00,,62.54,8.14,28.14,36.44,10.77,1.08,26.84,0.91,0.0,1.79,0.0,0.73,155.68,32.35,61.29,0.0,227.71,754.02,5.0,1.7,14.25,08-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
08-Apr-2018 - 00:00,,69.64,8.05,27.94,36.16,10.88,0.29,25.28,0.91,0.0,1.83,0.0,0.73,215.34,31.48,53.53,0.0,171.35,755.13,5.0,1.61,14.98,09-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
09-Apr-2018 - 00:00,,65.84,8.21,28.64,36.97,10.81,1.08,32.09,6.67,1.56,7.31,4.78,0.56,158.06,33.1,44.39,0.0,161.64,754.82,3.83,6.98,12.4,10-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
10-Apr-2018 - 00:00,,69.41,7.63,24.94,32.57,10.85,1.09,27.72,4.99,1.8,5.75,3.94,0.29,84.71,34.94,27.55,0.0,105.4,753.61,2.54,5.01,13.12,11-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
11-Apr-2018 - 00:00,,43.51,8.15,28.06,36.3,10.81,0.95,26.5,2.75,0.8,1.29,0.01,0.69,192.25,33.12,57.62,0.0,262.54,754.29,5.0,0.9,14.69,12-Apr-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
