from date,NH3,NO2,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,RH,RF,SR,WD,WS,Temp,to date,station
28-Jan-2018 - 00:00,8.36,22.73,1.9,13.5,0.38,109.94,7.22,0.45,0.12,1.44,40.09,92.66,25.43,32.76,0.0,65.02,110.94,1.87,26.29,29-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
29-Jan-2018 - 00:00,10.64,25.46,1.72,14.9,0.57,114.04,8.72,0.63,0.29,2.68,48.84,104.6,26.04,35.14,0.0,65.11,196.49,2.0,26.4,30-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
30-Jan-2018 - 00:00,19.17,38.34,5.74,25.06,0.84,72.17,14.39,1.25,1.26,5.37,81.71,193.17,26.26,36.36,0.0,64.38,233.0,1.96,26.82,31-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
31-Jan-2018 - 00:00,13.36,36.27,8.13,25.91,0.61,75.4,16.69,1.05,1.07,4.77,54.14,153.96,27.16,25.78,0.0,69.16,201.85,1.94,26.56,01-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
01-Feb-2018 - 00:00,10.52,30.9,4.21,19.87,0.51,76.8,16.75,0.66,0.98,3.58,39.9,105.49,27.44,24.93,0.0,69.84,183.52,2.19,25.88,02-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
02-Feb-2018 - 00:00,18.24,44.97,6.66,29.34,0.97,79.53,27.84,1.39,3.02,6.58,70.91,202.5,27.14,29.92,0.0,67.3,222.73,2.33,26.26,03-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
03-Feb-2018 - 00:00,15.0,26.78,2.19,16.02,0.53,93.59,12.78,0.72,0.94,3.5,57.79,148.22,26.31,36.74,0.0,69.99,240.04,3.01,25.43,04-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
04-Feb-2018 - 00:00,17.57,25.43,1.61,14.84,0.56,98.97,10.87,0.65,0.15,1.8,65.14,156.43,25.25,47.9,0.0,65.88,166.31,3.28,26.76,05-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
05-Feb-2018 - 00:00,17.75,25.81,1.77,15.17,0.74,100.46,12.53,0.68,0.4,1.86,69.76,159.9,26.04,49.51,0.0,59.94,134.9,2.78,26.58,06-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
06-Feb-2018 - 00:00,16.35,26.27,2.04,15.63,0.61,87.96,12.55,0.73,0.29,2.29,63.64,154.27,25.23,50.82,0.0,36.8,164.84,2.59,26.8,07-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
07-Feb-2018 - 00:00,16.11,29.57,3.39,18.49,0.67,55.8,9.5,0.78,0.21,1.72,67.9,151.39,24.47,55.12,0.0,28.99,133.47,1.88,26.69,08-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
08-Feb-2018 - 00:00,16.44,28.39,3.16,17.66,0.67,73.89,26.93,0.87,0.75,2.98,62.45,144.83,25.78,44.8,0.0,66.79,218.68,2.93,26.63,09-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
09-Feb-2018 - 00:00,13.05,35.11,5.65,23.27,0.7,69.35,12.77,1.01,1.49,3.86,52.35,137.26,25.39,31.45,0.0,69.09,203.11,2.42,25.89,10-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
10-Feb-2018 - 00:00,9.91,18.92,1.22,11.06,0.42,106.64,9.06,0.35,0.17,0.64,52.71,98.94,25.5,32.86,0.0,70.57,83.77,2.86,24.91,11-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
11-Feb-2018 - 00:00,14.43,22.71,1.41,13.23,0.61,84.65,19.03,0.59,0.57,2.2,50.95,121.22,25.99,44.45,0.0,51.58,148.97,2.16,25.88,12-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
12-Feb-2018 - 00:00,19.74,27.42,3.3,17.27,0.63,72.72,21.14,0.59,0.74,2.54,62.82,122.65,25.54,53.18,0.0,64.81,215.26,2.19,25.66,13-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
13-Feb-2018 - 00:00,14.32,21.27,2.34,13.23,0.48,76.02,9.94,0.41,0.2,1.18,53.52,116.05,25.05,54.01,0.0,54.95,207.51,3.63,25.03,14-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
14-Feb-2018 - 00:00,13.89,22.32,2.3,13.74,0.5,71.1,3.82,0.43,0.21,1.08,52.58,105.23,24.1,55.12,0.0,70.24,124.73,3.79,25.09,15-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
15-Feb-2018 - 00:00,8.62,25.33,2.65,15.63,0.44,78.21,6.7,0.38,0.16,1.18,31.29,94.85,25.26,35.23,0.0,77.24,115.32,2.24,25.98,16-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
16-Feb-2018 - 00:00,9.19,26.62,2.22,15.96,0.44,87.5,6.34,0.41,0.17,1.61,82.83,85.5,26.35,34.84,0.0,75.86,195.66,2.08,29.64,17-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
17-Feb-2018 - 00:00,8.95,25.54,4.39,17.14,0.59,96.29,11.19,0.64,0.6,2.95,33.98,92.77,27.23,30.2,0.0,74.81,174.52,2.19,29.73,18-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
18-Feb-2018 - 00:00,15.38,34.24,8.16,24.84,0.73,78.91,24.8,1.13,1.96,8.64,62.51,174.71,27.3,29.16,0.0,71.66,225.04,2.07,29.64,19-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
19-Feb-2018 - 00:00,10.05,25.0,5.04,17.39,0.49,81.91,10.49,0.52,0.34,1.99,45.18,145.31,27.24,28.64,0.0,72.83,176.87,2.56,29.41,20-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
20-Feb-2018 - 00:00,11.27,25.91,5.83,18.51,0.54,64.43,8.33,0.46,0.06,0.98,45.36,135.68,24.4,40.57,0.0,25.79,69.46,2.35,28.98,21-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
21-Feb-2018 - 00:00,9.06,22.35,4.22,15.31,0.57,92.31,6.91,0.59,0.41,2.84,29.54,91.06,29.84,18.1,0.0,103.87,220.31,2.58,29.96,22-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
22-Feb-2018 - 00:00,13.13,31.65,5.52,21.32,0.75,87.5,17.57,0.99,1.5,6.13,50.17,145.46,28.68,24.06,0.0,73.02,185.2,2.1,27.74,23-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
23-Feb-2018 - 00:00,15.09,25.96,4.84,17.74,0.68,102.29,29.37,0.86,1.92,5.26,60.85,169.97,28.79,27.58,0.0,69.26,219.47,2.9,24.01,24-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
24-Feb-2018 - 00:00,15.7,23.16,3.78,15.4,0.6,102.32,30.23,0.68,0.96,3.29,61.25,155.51,29.11,30.32,0.0,65.19,222.58,2.68,25.61,25-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
25-Feb-2018 - 00:00,13.82,20.51,3.99,14.16,0.6,92.02,10.48,0.6,0.58,3.78,60.1,151.42,28.58,31.33,0.0,66.81,242.76,2.56,24.39,26-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
26-Feb-2018 - 00:00,11.53,21.93,4.77,15.53,0.4,75.44,5.96,0.42,0.43,1.3,37.71,120.76,27.87,33.16,0.0,76.28,168.56,3.21,24.34,27-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
27-Feb-2018 - 00:00,9.28,25.31,5.58,18.0,0.53,72.95,6.09,0.41,0.39,1.35,30.57,101.28,28.36,26.04,0.0,77.34,143.78,2.4,23.61,28-Feb-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
28-Feb-2018 - 00:00,9.76,22.72,4.11,15.42,0.49,85.59,8.25,0.43,0.79,1.5,39.18,100.08,28.96,27.72,0.0,75.29,135.75,2.12,24.28,01-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
01-Mar-2018 - 00:00,13.49,30.66,5.77,20.99,0.87,88.41,12.28,0.84,2.14,5.01,54.86,133.73,30.11,24.73,0.0,70.53,204.67,2.04,24.51,02-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
02-Mar-2018 - 00:00,16.37,16.17,3.19,11.2,0.78,112.21,16.34,0.59,0.41,1.73,64.98,122.28,29.72,23.5,0.0,72.3,245.7,2.84,23.41,03-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
03-Mar-2018 - 00:00,11.0,13.55,2.87,9.53,0.48,103.59,8.72,0.4,0.5,1.95,38.25,99.57,29.22,22.34,0.0,74.18,239.17,3.55,24.01,04-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
04-Mar-2018 - 00:00,11.4,17.99,3.86,12.71,0.49,84.64,16.78,0.54,0.63,2.64,36.88,117.36,29.02,25.12,0.0,64.0,229.15,3.02,25.01,05-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
05-Mar-2018 - 00:00,10.37,17.1,3.82,12.2,0.55,80.96,11.2,0.44,0.71,2.32,42.73,107.49,28.47,28.8,0.0,71.15,244.95,2.7,22.87,06-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
06-Mar-2018 - 00:00,8.82,12.58,2.95,9.08,0.4,82.35,4.79,0.25,0.26,0.68,28.78,91.71,27.91,29.7,0.0,83.21,152.98,3.3,21.33,07-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
07-Mar-2018 - 00:00,8.04,20.49,4.18,14.29,0.47,72.45,7.69,0.31,0.28,1.11,28.17,101.57,27.21,27.38,0.01,41.12,123.35,3.44,21.76,08-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
08-Mar-2018 - 00:00,13.11,13.83,2.98,9.78,0.5,100.82,5.83,0.28,0.12,0.79,41.6,82.64,27.81,40.34,0.0,76.17,99.34,3.59,24.28,09-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
09-Mar-2018 - 00:00,10.77,19.99,3.34,13.34,0.56,105.74,10.34,0.36,0.34,1.32,47.94,86.81,28.34,35.83,0.0,77.53,125.59,2.45,25.42,10-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
10-Mar-2018 - 00:00,10.34,20.07,3.04,13.14,0.58,105.86,9.15,0.39,0.57,1.61,51.69,106.95,29.09,28.88,0.0,68.36,187.07,2.09,22.95,11-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
11-Mar-2018 - 00:00,10.65,22.72,3.77,15.15,0.56,93.31,10.77,0.54,220.27,2.8,44.21,106.49,29.79,20.06,0.0,86.07,230.02,2.48,22.76,12-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
12-Mar-2018 - 00:00,11.36,15.89,3.22,11.11,0.46,89.63,12.66,1.08,382.31,7.73,30.12,89.01,29.74,15.38,0.0,91.5,232.29,3.6,26.41,13-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
13-Mar-2018 - 00:00,12.97,19.73,4.38,14.06,0.61,99.72,18.84,1.98,875.36,11.99,41.43,117.66,30.06,16.93,0.0,86.04,205.49,2.61,23.78,14-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
14-Mar-2018 - 00:00,13.52,23.62,3.53,15.44,0.81,64.83,22.62,0.69,0.94,3.68,45.67,142.93,28.86,22.51,0.0,75.04,215.53,3.5,25.3,15-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
15-Mar-2018 - 00:00,13.53,20.96,3.24,13.77,0.73,60.58,26.92,0.67,1.2,4.37,48.56,162.45,28.27,24.82,0.0,72.15,197.46,2.8,23.67,16-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
16-Mar-2018 - 00:00,13.01,19.64,3.44,13.24,0.68,71.31,23.63,0.53,1.12,3.63,50.34,165.2,28.68,25.17,0.0,92.22,213.48,3.17,22.08,17-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
17-Mar-2018 - 00:00,12.44,23.08,4.99,16.34,0.63,76.76,16.75,0.52,0.69,2.47,47.76,162.99,29.11,22.91,0.0,85.78,219.59,2.45,23.63,18-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
18-Mar-2018 - 00:00,8.93,19.87,3.48,13.4,0.55,87.09,10.37,0.3,0.18,0.89,34.15,117.35,29.28,18.93,0.0,90.52,126.45,2.98,23.72,19-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
19-Mar-2018 - 00:00,11.98,13.2,2.62,9.15,0.56,95.89,6.3,0.32,0.11,0.8,45.76,126.11,29.16,30.52,0.0,61.22,118.51,3.37,24.96,20-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
20-Mar-2018 - 00:00,19.68,18.58,3.08,12.38,0.66,93.97,13.76,0.46,0.57,1.86,48.69,106.79,29.2,39.38,0.01,82.33,185.51,2.64,25.4,21-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
21-Mar-2018 - 00:00,10.71,14.3,3.32,10.3,0.5,72.08,14.26,0.33,0.41,1.74,33.48,130.7,28.46,23.76,0.0,97.96,219.6,3.62,24.11,22-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
22-Mar-2018 - 00:00,10.59,16.72,3.9,12.07,0.6,74.21,23.08,0.4,0.84,2.71,46.95,162.32,28.31,29.62,0.0,95.89,229.79,3.03,21.5,23-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
23-Mar-2018 - 00:00,9.38,14.13,3.31,10.21,0.58,95.02,14.07,0.34,0.6,1.4,33.65,118.06,28.54,24.02,0.0,97.29,247.72,3.47,21.73,24-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
24-Mar-2018 - 00:00,9.99,22.01,4.47,15.33,0.54,82.03,12.53,0.37,0.24,1.33,29.19,107.79,28.81,21.49,0.0,98.02,242.75,2.79,23.81,25-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
25-Mar-2018 - 00:00,10.29,25.33,6.19,18.49,0.67,84.48,14.83,0.49,0.26,2.0,30.77,117.72,29.54,17.7,0.0,99.1,246.96,2.92,26.6,26-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
26-Mar-2018 - 00:00,8.51,20.4,3.66,13.82,0.53,96.54,14.22,0.44,0.18,1.71,31.39,97.39,30.36,13.96,0.0,98.76,249.09,2.55,26.48,27-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
27-Mar-2018 - 00:00,14.3,34.45,7.8,24.67,1.39,91.03,26.4,1.19,1.14,6.33,69.75,171.96,30.8,13.1,0.0,95.0,176.1,1.81,26.93,28-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
28-Mar-2018 - 00:00,12.59,23.82,4.19,16.07,0.73,86.75,22.52,0.68,0.56,3.64,56.83,149.05,30.79,13.15,0.0,99.27,242.03,3.25,27.24,29-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
29-Mar-2018 - 00:00,12.74,20.16,3.6,13.65,0.59,83.4,22.1,0.63,0.47,3.04,54.16,144.07,30.86,12.33,0.0,133.39,232.66,3.32,27.12,30-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
30-Mar-2018 - 00:00,11.47,23.82,3.65,15.64,1.1,83.38,15.61,0.7,0.39,3.15,60.52,158.71,33.08,7.65,0.0,126.94,234.17,3.74,27.53,31-Mar-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
31-Mar-2018 - 00:00,14.75,20.56,3.32,13.64,0.8,77.36,27.12,0.71,0.39,3.51,60.76,166.4,30.94,15.27,0.0,95.97,208.88,3.24,27.85,01-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
01-Apr-2018 - 00:00,12.49,19.14,3.85,13.32,0.66,81.92,18.25,0.58,0.24,2.26,51.71,157.12,31.11,15.43,0.0,99.06,242.3,3.1,27.88,02-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
02-Apr-2018 - 00:00,10.25,16.04,3.08,11.03,0.58,106.84,17.29,0.47,0.21,1.47,44.94,136.89,32.86,13.06,0.0,94.38,225.62,2.74,27.93,03-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
03-Apr-2018 - 00:00,11.24,20.62,4.86,14.92,0.74,96.49,16.42,0.64,0.38,2.46,50.32,134.38,34.41,12.7,0.0,93.64,243.5,2.55,28.19,04-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
04-Apr-2018 - 00:00,11.32,18.04,3.57,12.49,0.7,85.91,16.83,0.53,0.31,2.41,55.28,128.92,33.93,15.77,0.0,93.34,229.98,3.12,27.96,05-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
05-Apr-2018 - 00:00,13.03,19.32,3.33,12.99,0.76,74.88,17.73,0.61,0.33,2.68,69.97,173.98,33.73,18.28,0.0,89.41,224.24,3.34,28.11,06-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
06-Apr-2018 - 00:00,15.32,29.41,3.72,18.65,1.07,60.49,29.7,0.92,1.22,4.67,78.29,217.22,33.19,20.8,0.0,70.08,208.86,2.92,28.24,07-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
07-Apr-2018 - 00:00,14.01,17.14,3.05,11.6,0.81,70.46,18.78,0.53,0.42,2.73,64.27,191.72,33.23,24.52,0.0,97.21,224.3,3.72,28.28,08-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
08-Apr-2018 - 00:00,12.76,24.13,3.89,16.0,0.83,76.9,17.3,0.65,0.94,2.8,54.92,174.05,33.12,23.03,0.0,93.86,164.55,2.26,28.29,09-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
09-Apr-2018 - 00:00,17.84,32.76,5.46,21.86,1.07,65.04,23.84,0.95,1.38,5.07,86.0,219.42,32.85,24.48,0.0,62.55,224.02,2.9,28.57,10-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
10-Apr-2018 - 00:00,16.45,24.01,4.26,16.23,0.91,86.58,12.14,0.55,0.32,1.95,49.93,154.53,33.53,23.74,0.01,84.71,217.26,2.53,28.28,11-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
11-Apr-2018 - 00:00,15.15,14.64,2.65,9.95,0.75,92.85,14.88,0.33,0.18,1.39,34.57,91.95,32.95,28.66,0.0,86.78,142.09,2.99,28.41,12-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
12-Apr-2018 - 00:00,18.07,15.38,2.42,10.13,0.72,71.09,16.17,0.39,0.26,1.87,49.19,143.79,32.31,35.98,0.0,70.17,173.0,2.87,28.57,13-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
13-Apr-2018 - 00:00,19.22,32.16,5.5,21.57,1.14,59.32,22.49,0.84,1.38,5.3,56.49,169.59,33.47,29.69,0.0,95.34,202.25,2.58,26.97,14-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
14-Apr-2018 - 00:00,16.87,22.94,2.9,14.56,0.86,77.31,9.64,0.57,0.4,2.53,52.06,147.93,33.82,23.55,0.0,91.95,194.39,3.32,28.74,15-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
15-Apr-2018 - 00:00,15.91,18.65,2.63,12.05,0.75,64.97,12.97,0.5,0.37,2.53,45.4,146.79,34.16,21.59,0.0,97.66,208.03,3.78,28.19,16-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
16-Apr-2018 - 00:00,14.14,19.64,3.6,13.37,0.75,51.04,8.41,0.46,0.31,2.64,41.55,135.98,34.33,19.16,0.0,99.98,231.42,3.22,28.37,17-Apr-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
