from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
14-May-2018 - 00:00,30.2,981.78,46.25,205.41,125.61,1.77,184.57,55.67,0.0,0.29,2.11,,50.08,23.92,4.26,27.53,0.65,71.37,9.76,15-May-2018 - 00:00,"Rohini, Delhi - DPCC"
15-May-2018 - 00:00,32.3,980.41,48.4,199.06,107.4,1.98,230.11,81.25,0.0,0.58,2.58,,61.96,22.96,3.92,29.77,0.8,86.26,10.87,16-May-2018 - 00:00,"Rohini, Delhi - DPCC"
16-May-2018 - 00:00,33.58,979.21,38.5,229.06,258.28,2.75,241.7,83.2,0.0,0.57,2.49,,48.53,22.77,5.77,24.93,0.63,79.41,7.11,17-May-2018 - 00:00,"Rohini, Delhi - DPCC"
17-May-2018 - 00:00,34.53,979.27,31.52,211.72,232.24,1.74,359.15,109.27,0.0,0.87,2.55,,52.47,22.39,6.87,29.44,0.73,74.53,9.76,18-May-2018 - 00:00,"Rohini, Delhi - DPCC"
18-May-2018 - 00:00,33.94,979.24,33.54,194.31,110.15,1.64,308.37,108.13,0.0,0.68,3.07,,55.14,22.19,5.65,29.7,0.81,67.74,10.29,19-May-2018 - 00:00,"Rohini, Delhi - DPCC"
19-May-2018 - 00:00,33.87,979.08,37.08,183.47,223.98,1.46,371.05,91.34,0.0,0.95,4.35,,75.38,36.76,21.43,53.14,1.16,56.99,10.43,20-May-2018 - 00:00,"Rohini, Delhi - DPCC"
20-May-2018 - 00:00,34.22,980.21,27.67,195.91,263.86,2.26,307.84,71.63,0.0,0.54,2.74,,60.47,23.23,9.63,29.28,0.83,53.93,8.56,21-May-2018 - 00:00,"Rohini, Delhi - DPCC"
21-May-2018 - 00:00,35.7,980.83,17.65,235.76,299.88,3.15,275.79,64.75,0.0,0.59,2.34,,61.78,16.82,3.78,24.17,0.53,67.21,7.37,22-May-2018 - 00:00,"Rohini, Delhi - DPCC"
22-May-2018 - 00:00,35.91,979.72,21.86,223.4,199.12,1.75,361.08,89.33,0.0,1.77,2.02,,58.05,63.21,14.18,40.7,1.23,73.88,8.62,23-May-2018 - 00:00,"Rohini, Delhi - DPCC"
23-May-2018 - 00:00,36.09,978.39,28.22,207.81,166.02,1.42,479.46,179.0,0.0,2.58,7.48,,89.63,54.71,22.91,63.0,1.56,59.89,10.13,24-May-2018 - 00:00,"Rohini, Delhi - DPCC"
24-May-2018 - 00:00,35.15,977.57,26.21,182.33,228.98,2.13,356.79,99.96,0.0,0.92,4.73,,82.89,27.38,10.96,35.87,0.93,53.66,10.94,25-May-2018 - 00:00,"Rohini, Delhi - DPCC"
25-May-2018 - 00:00,35.38,977.82,20.15,238.96,266.7,1.79,308.5,69.0,0.0,1.13,3.8,,65.76,53.44,23.57,52.72,0.94,59.49,9.22,26-May-2018 - 00:00,"Rohini, Delhi - DPCC"
26-May-2018 - 00:00,36.22,976.7,20.59,231.55,250.59,1.1,342.04,66.42,0.0,1.77,3.49,,60.18,66.07,28.53,53.88,1.35,66.77,8.96,27-May-2018 - 00:00,"Rohini, Delhi - DPCC"
27-May-2018 - 00:00,37.19,976.04,18.08,222.15,195.25,1.84,397.62,64.92,0.0,1.39,3.37,,57.19,38.88,13.6,40.16,1.0,57.63,8.35,28-May-2018 - 00:00,"Rohini, Delhi - DPCC"
28-May-2018 - 00:00,35.75,974.73,29.78,194.29,97.85,1.47,439.06,94.6,0.0,1.69,2.4,,69.09,70.79,19.72,36.85,1.55,69.59,13.42,29-May-2018 - 00:00,"Rohini, Delhi - DPCC"
29-May-2018 - 00:00,36.73,973.59,33.65,209.66,144.58,2.3,417.1,120.8,0.0,1.99,4.71,,85.21,50.92,18.79,54.2,1.34,77.79,8.07,30-May-2018 - 00:00,"Rohini, Delhi - DPCC"
30-May-2018 - 00:00,34.73,975.44,41.92,199.65,139.73,3.33,368.25,48.81,0.0,0.46,1.71,,70.12,18.71,4.6,33.65,0.62,65.96,6.27,31-May-2018 - 00:00,"Rohini, Delhi - DPCC"
31-May-2018 - 00:00,35.81,977.21,39.88,207.02,133.8,2.01,282.69,59.44,0.0,0.67,2.12,,61.37,20.82,7.37,33.5,0.79,63.68,6.41,01-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
01-Jun-2018 - 00:00,34.18,978.39,48.77,213.97,107.53,3.48,281.37,74.6,0.0,0.78,1.95,,55.23,14.42,2.66,44.76,0.62,63.46,4.92,02-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
02-Jun-2018 - 00:00,31.89,979.08,46.84,207.31,122.16,2.94,173.72,41.26,0.0,0.36,1.74,,51.6,16.81,3.27,22.25,0.54,55.71,10.02,03-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
03-Jun-2018 - 00:00,33.31,976.82,51.64,210.77,103.19,2.77,171.6,40.32,0.0,0.54,1.84,,62.32,12.96,2.38,24.63,0.67,2.1,6.3,04-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
04-Jun-2018 - 00:00,35.57,975.81,47.87,203.64,118.14,3.38,215.46,53.24,0.0,1.39,3.4,5.27,57.95,14.21,3.49,32.25,0.67,76.47,5.99,05-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
05-Jun-2018 - 00:00,35.84,978.19,46.76,218.86,111.88,3.14,168.21,60.92,0.0,2.37,8.47,11.87,53.63,13.79,2.87,25.13,0.58,60.48,5.75,06-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
06-Jun-2018 - 00:00,32.13,979.94,59.72,163.67,66.18,3.03,189.62,70.88,0.0,1.91,8.84,11.58,61.52,11.07,2.13,14.63,0.59,51.64,6.48,07-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
07-Jun-2018 - 00:00,35.26,975.67,52.65,234.32,92.66,1.87,208.67,118.25,0.0,2.85,8.38,6.19,64.79,14.23,3.52,25.63,0.75,65.88,7.35,08-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
08-Jun-2018 - 00:00,35.47,972.34,53.6,212.13,122.08,3.39,219.62,88.67,0.0,2.28,6.45,4.88,68.62,16.95,2.83,27.6,0.73,50.98,5.74,09-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
09-Jun-2018 - 00:00,31.72,972.06,68.87,201.12,146.09,3.04,144.17,69.83,0.01,1.69,7.36,5.24,62.47,12.29,2.49,19.49,0.63,40.48,4.93,10-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
10-Jun-2018 - 00:00,32.37,972.31,64.66,241.64,226.45,1.4,165.21,111.21,0.0,1.7,9.73,5.72,75.14,14.68,3.97,20.97,0.64,51.24,5.91,11-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
11-Jun-2018 - 00:00,35.2,970.32,51.72,247.35,287.09,2.25,258.92,102.79,0.0,1.53,6.98,5.15,79.12,14.95,3.27,19.22,0.54,50.5,6.11,12-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
12-Jun-2018 - 00:00,37.07,967.93,42.18,214.27,271.21,2.07,493.5,143.33,0.0,1.14,6.39,4.43,61.98,14.38,3.46,17.61,0.5,32.53,6.34,13-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
13-Jun-2018 - 00:00,38.01,968.0,36.45,196.16,260.87,2.31,942.0,211.79,0.0,1.71,4.29,4.73,52.73,10.47,3.36,18.38,0.38,21.2,4.51,14-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
14-Jun-2018 - 00:00,37.25,970.02,33.62,201.19,248.05,3.11,936.25,162.0,0.0,0.62,3.74,3.32,48.02,11.62,3.12,9.37,0.34,28.75,4.73,15-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
15-Jun-2018 - 00:00,36.31,972.3,35.16,211.48,226.43,2.73,607.02,115.65,0.0,1.27,4.01,3.16,41.21,11.69,3.38,14.67,0.38,28.18,5.44,16-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
16-Jun-2018 - 00:00,34.83,974.63,46.73,193.16,144.46,2.16,657.48,110.33,0.0,1.82,5.82,5.19,57.34,9.98,2.65,16.7,0.45,30.29,5.08,17-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
17-Jun-2018 - 00:00,31.19,975.93,59.1,227.79,89.48,2.89,299.17,64.46,0.0,0.78,7.15,5.61,62.95,7.77,1.99,7.68,0.4,38.87,5.01,18-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
18-Jun-2018 - 00:00,31.95,975.92,51.37,196.64,254.65,2.33,158.62,54.75,0.0,1.48,6.76,7.35,49.65,9.19,1.9,11.74,0.46,52.44,5.98,19-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
19-Jun-2018 - 00:00,33.14,976.02,51.22,263.33,250.02,2.01,166.33,50.25,0.0,1.2,6.33,6.12,50.08,10.04,1.72,7.96,0.45,52.79,5.83,20-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
20-Jun-2018 - 00:00,35.78,976.43,43.81,218.27,142.12,1.75,247.42,69.62,0.0,2.13,8.15,5.51,48.15,11.57,2.71,16.4,0.57,57.72,7.24,21-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
21-Jun-2018 - 00:00,36.7,975.56,40.23,157.78,204.43,1.88,306.76,67.42,0.0,1.31,8.72,8.26,54.5,23.69,3.63,14.81,0.68,69.73,6.59,22-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
22-Jun-2018 - 00:00,37.34,975.2,39.83,235.65,198.39,1.48,274.62,84.25,0.0,2.3,10.46,8.41,64.87,16.5,4.89,20.37,0.74,73.15,7.89,23-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
23-Jun-2018 - 00:00,37.35,974.63,39.72,205.69,259.24,2.19,305.76,85.23,0.0,2.45,9.05,5.83,62.5,21.46,3.86,22.12,0.75,61.44,9.08,24-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
24-Jun-2018 - 00:00,37.19,973.98,46.34,165.71,282.41,3.13,141.49,43.88,0.0,1.14,7.01,5.06,48.36,11.94,5.47,13.02,0.58,50.24,14.22,25-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
25-Jun-2018 - 00:00,,,58.26,38.51,,6.29,26.4,14.86,,,,,42.63,16.74,4.6,12.44,0.59,35.58,16.83,26-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
26-Jun-2018 - 00:00,31.97,972.85,48.0,38.44,237.77,4.84,62.74,21.28,,1.64,32.59,,40.44,11.33,3.09,8.54,0.53,33.82,19.47,27-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
27-Jun-2018 - 00:00,30.42,974.94,74.43,185.19,138.58,2.62,116.92,59.5,,1.93,30.88,,49.93,20.82,3.04,13.44,0.67,32.92,14.55,28-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
28-Jun-2018 - 00:00,29.8,976.37,79.68,164.82,107.12,2.74,58.29,31.79,,1.2,31.01,,63.18,25.89,4.22,17.22,0.71,29.9,11.97,29-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
29-Jun-2018 - 00:00,30.75,976.23,74.86,140.2,123.42,2.98,90.4,46.48,,1.47,32.36,,51.41,34.74,5.42,22.89,0.85,26.63,12.85,30-Jun-2018 - 00:00,"Rohini, Delhi - DPCC"
30-Jun-2018 - 00:00,31.35,976.55,75.0,151.18,173.03,1.72,100.19,51.81,,1.99,40.85,,50.3,41.16,9.58,29.69,1.11,22.88,12.22,01-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
01-Jul-2018 - 00:00,32.71,975.17,69.7,216.23,257.57,1.8,73.95,34.57,,1.69,28.41,,54.31,22.03,4.95,15.72,0.82,25.92,10.21,02-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
02-Jul-2018 - 00:00,32.61,972.76,64.41,198.17,228.86,2.3,103.34,,,0.64,15.65,,37.33,18.74,3.5,12.84,0.52,27.54,10.56,03-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
03-Jul-2018 - 00:00,31.39,973.31,69.2,188.37,87.46,1.98,114.67,46.56,,1.48,32.91,,41.19,36.28,8.2,26.0,0.86,32.36,12.39,04-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
04-Jul-2018 - 00:00,31.42,973.67,70.24,191.17,100.82,1.89,115.95,50.38,,1.72,33.22,,47.11,26.64,4.19,17.58,0.79,39.72,12.99,05-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
05-Jul-2018 - 00:00,32.33,974.96,65.53,192.97,220.16,2.04,144.04,50.15,,1.46,32.13,,44.78,27.47,5.16,18.81,0.78,28.9,14.34,06-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
06-Jul-2018 - 00:00,33.42,975.12,58.48,218.53,309.1,1.96,159.75,54.66,,1.2,26.95,,54.87,18.52,3.12,12.4,0.73,35.83,12.17,07-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
07-Jul-2018 - 00:00,34.19,974.33,55.62,239.3,274.29,2.09,177.55,73.9,,1.18,27.35,,62.29,22.49,2.96,14.39,0.76,37.92,14.51,08-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
08-Jul-2018 - 00:00,35.44,973.35,52.23,255.85,149.46,1.75,197.15,73.38,,1.61,36.16,,83.22,31.43,8.78,23.89,0.84,36.26,17.35,09-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
09-Jul-2018 - 00:00,34.25,973.32,65.95,178.3,125.43,2.3,172.81,74.92,,1.53,27.95,,65.82,35.28,4.92,22.76,1.0,40.92,13.6,10-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
10-Jul-2018 - 00:00,34.11,973.88,69.37,219.45,111.01,2.31,118.0,51.73,,1.34,26.23,,65.85,27.86,4.77,18.7,0.84,33.24,13.31,11-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
11-Jul-2018 - 00:00,32.72,973.36,70.51,159.52,136.87,2.29,105.75,43.5,,1.54,25.57,,50.05,32.19,5.93,21.96,0.9,26.3,14.79,12-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
12-Jul-2018 - 00:00,33.22,972.76,65.39,177.8,163.81,1.64,144.7,47.66,,1.44,27.93,,42.31,28.21,4.37,18.57,0.8,35.12,13.23,13-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
13-Jul-2018 - 00:00,29.42,974.15,83.83,102.33,141.56,1.91,65.08,35.58,,1.48,29.97,,43.1,30.54,8.45,23.14,0.92,19.04,12.44,14-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
14-Jul-2018 - 00:00,29.41,973.87,86.23,166.65,71.44,1.87,78.25,45.58,,1.56,28.79,,39.93,23.06,5.52,16.79,0.93,15.06,12.19,15-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
15-Jul-2018 - 00:00,31.29,973.45,79.33,203.87,101.5,1.98,86.43,46.77,,1.46,24.05,,38.07,27.79,7.78,21.13,0.95,16.96,11.78,16-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
16-Jul-2018 - 00:00,29.96,974.06,87.86,91.06,134.36,1.98,76.25,40.42,,1.83,40.51,,44.34,30.54,7.16,22.07,1.07,26.73,10.12,17-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
17-Jul-2018 - 00:00,32.29,974.35,77.53,166.47,78.74,1.68,95.01,43.5,,2.03,41.06,,43.88,26.51,6.56,19.09,1.01,30.91,10.19,18-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
18-Jul-2018 - 00:00,32.08,974.96,76.97,159.78,75.89,2.07,97.62,45.27,,1.67,28.77,,46.76,24.22,6.38,18.09,0.81,16.71,12.55,19-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
19-Jul-2018 - 00:00,32.31,974.7,73.95,204.7,101.51,1.82,82.7,38.09,,1.36,22.72,,36.48,23.2,4.66,16.15,0.84,14.46,14.6,20-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
20-Jul-2018 - 00:00,30.21,974.2,82.84,96.8,169.83,1.45,87.88,45.12,,1.41,28.77,,39.53,20.43,2.86,13.2,0.76,13.8,13.16,21-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
21-Jul-2018 - 00:00,29.46,974.46,86.52,117.3,170.6,1.61,93.78,56.68,,2.13,38.19,,43.85,36.72,11.35,28.9,1.08,17.82,14.45,22-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
22-Jul-2018 - 00:00,28.84,975.09,89.1,139.96,106.42,1.63,51.52,32.14,,2.08,43.99,,42.53,25.83,3.99,16.96,0.81,21.85,12.04,23-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
23-Jul-2018 - 00:00,30.88,974.81,78.65,151.35,93.34,1.6,72.28,38.65,,1.46,29.26,,39.92,31.16,5.13,20.75,0.92,14.81,15.53,24-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
24-Jul-2018 - 00:00,32.31,975.3,74.21,174.04,104.24,1.4,101.31,49.23,,1.66,31.85,,42.81,30.28,5.83,20.85,1.0,19.69,15.59,25-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
25-Jul-2018 - 00:00,29.56,974.68,86.08,82.41,220.01,1.69,76.04,30.44,,1.36,27.58,,40.56,29.66,9.46,23.5,0.89,9.58,10.74,26-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
26-Jul-2018 - 00:00,26.9,974.83,96.94,41.38,243.16,1.72,41.29,22.98,,1.14,29.58,,36.17,18.41,3.02,12.25,0.72,8.84,10.91,27-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
27-Jul-2018 - 00:00,26.41,973.95,98.53,42.32,212.54,2.19,21.51,16.94,,0.86,32.03,,31.1,14.45,1.85,9.19,0.68,9.91,10.68,28-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
28-Jul-2018 - 00:00,27.67,974.49,91.23,105.83,296.99,2.06,50.06,28.46,,0.92,24.85,,29.96,17.44,4.92,13.28,0.75,13.05,11.32,29-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
29-Jul-2018 - 00:00,30.71,975.1,79.76,223.2,279.5,1.31,123.47,44.0,,1.19,27.46,,39.98,22.72,6.54,17.43,0.82,10.84,10.8,30-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
30-Jul-2018 - 00:00,30.98,974.67,73.72,196.21,272.21,1.46,138.93,36.75,,0.9,20.51,,40.08,21.64,7.74,17.83,0.76,12.17,10.9,31-Jul-2018 - 00:00,"Rohini, Delhi - DPCC"
31-Jul-2018 - 00:00,31.41,973.84,70.15,128.85,270.88,1.64,165.6,42.83,,0.95,20.01,,36.57,21.92,4.99,15.73,0.69,13.56,10.69,01-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
01-Aug-2018 - 00:00,31.43,974.42,66.36,224.33,264.83,1.37,231.39,47.38,,1.07,21.15,,38.26,26.84,12.96,24.85,0.78,12.7,11.54,02-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
02-Aug-2018 - 00:00,32.4,975.71,62.1,208.42,258.23,1.93,297.3,56.35,,0.94,18.9,,36.96,22.97,7.95,18.68,0.62,12.16,10.53,03-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
03-Aug-2018 - 00:00,32.12,976.2,59.68,187.72,251.37,2.02,279.69,51.85,,0.85,17.71,,34.39,23.5,7.94,18.97,0.57,11.86,10.29,04-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
04-Aug-2018 - 00:00,32.07,975.83,59.16,191.67,256.8,1.93,314.73,91.9,,0.81,16.55,,32.3,21.88,8.15,18.29,0.59,13.96,11.29,05-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
05-Aug-2018 - 00:00,30.19,975.98,70.89,102.11,212.04,2.51,308.83,56.79,,0.85,17.3,,33.24,25.4,7.66,19.78,0.6,9.47,10.66,06-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
06-Aug-2018 - 00:00,27.85,976.49,86.61,60.12,110.92,1.61,145.15,50.06,,1.15,28.37,,41.04,21.38,6.69,16.84,0.7,7.64,11.01,07-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
07-Aug-2018 - 00:00,29.26,976.4,81.31,117.68,76.18,1.81,115.16,49.93,,1.21,26.11,,37.23,20.11,3.21,13.31,0.74,12.63,12.41,08-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
08-Aug-2018 - 00:00,30.04,976.93,82.55,172.8,104.18,1.84,88.61,46.72,,1.46,30.64,,38.05,25.54,5.02,17.27,0.91,19.51,11.93,09-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
09-Aug-2018 - 00:00,31.97,979.28,72.01,205.57,102.74,1.99,92.57,41.19,,1.56,27.66,,40.5,29.68,8.65,22.8,0.84,20.48,11.96,10-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
10-Aug-2018 - 00:00,31.93,977.99,72.6,142.28,203.52,1.32,134.25,50.24,,2.58,40.4,,49.53,52.66,16.21,41.24,1.39,15.15,13.36,11-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
11-Aug-2018 - 00:00,32.49,975.23,70.43,263.24,261.37,1.92,97.26,30.3,,1.2,25.73,,45.9,17.17,4.92,13.15,0.63,18.61,10.22,12-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
12-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
13-Aug-2018 - 00:00,31.88,975.01,69.99,163.52,132.05,1.83,104.76,41.0,,0.89,26.21,,32.65,13.15,4.57,10.72,0.0,24.9,14.71,14-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
14-Aug-2018 - 00:00,32.02,975.43,71.49,178.09,161.29,1.53,124.31,54.4,,1.21,29.51,,38.6,20.74,6.51,16.35,0.0,19.32,14.7,15-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
15-Aug-2018 - 00:00,31.56,977.09,72.79,165.8,176.81,2.01,125.78,49.31,,1.48,25.81,,39.07,22.25,4.8,15.76,0.0,23.32,12.49,16-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
16-Aug-2018 - 00:00,30.84,978.82,79.36,125.52,109.15,1.29,104.79,53.01,,1.74,30.53,,37.58,27.09,13.27,25.17,0.86,27.57,15.21,17-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
17-Aug-2018 - 00:00,31.46,976.83,79.54,183.34,90.2,2.33,65.93,32.01,,1.56,29.01,,38.68,14.91,8.21,14.64,0.88,18.13,12.98,18-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
18-Aug-2018 - 00:00,31.05,976.05,79.71,158.73,121.65,1.79,83.97,42.27,,2.0,28.03,,34.86,21.02,10.48,19.74,0.91,20.7,12.37,19-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
19-Aug-2018 - 00:00,29.49,975.9,86.65,70.96,170.94,1.17,125.17,70.62,,2.32,37.45,,30.78,31.45,12.55,26.96,1.27,13.92,13.95,20-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
20-Aug-2018 - 00:00,32.21,977.35,75.54,168.07,132.9,1.49,133.57,76.55,,2.07,35.08,,55.57,28.53,16.25,28.42,1.21,20.47,17.19,21-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
21-Aug-2018 - 00:00,32.28,977.31,72.18,177.05,110.29,1.71,92.09,43.3,,1.3,27.67,,36.78,26.33,10.41,22.48,0.94,22.19,17.85,22-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
22-Aug-2018 - 00:00,30.62,976.76,82.32,112.74,123.45,1.66,76.4,38.74,,1.34,28.71,,34.26,25.97,11.45,23.15,0.93,13.44,13.97,23-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
23-Aug-2018 - 00:00,29.19,977.44,88.2,106.34,252.13,1.58,70.71,29.75,,1.18,24.47,,39.36,15.62,9.47,16.04,0.71,9.44,11.03,24-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
24-Aug-2018 - 00:00,30.66,976.67,76.3,130.06,266.84,1.48,92.04,24.5,,0.83,18.94,,34.92,12.96,8.85,14.09,0.64,13.92,11.15,25-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
25-Aug-2018 - 00:00,30.59,976.09,72.06,151.69,257.86,2.01,83.67,20.42,,0.71,16.32,,31.2,10.32,7.47,11.59,0.55,15.69,10.2,26-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
26-Aug-2018 - 00:00,30.56,975.79,73.2,202.61,244.6,2.09,69.86,23.53,,0.59,15.72,,25.24,5.47,2.9,5.27,0.49,19.14,12.28,27-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
27-Aug-2018 - 00:00,30.25,977.5,80.94,140.19,80.5,1.54,53.3,28.26,,0.92,22.3,,25.29,8.96,4.17,8.06,0.71,12.29,13.54,28-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
28-Aug-2018 - 00:00,28.04,978.64,92.23,88.39,,,53.23,29.72,,1.1,29.48,,,15.25,8.54,14.88,0.84,13.31,10.71,29-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
29-Aug-2018 - 00:00,28.53,979.72,91.26,80.39,181.19,1.09,76.77,46.21,,2.04,35.42,,34.62,23.65,12.14,22.48,1.01,16.59,11.07,30-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
30-Aug-2018 - 00:00,30.73,977.5,82.03,184.79,248.42,1.18,114.14,43.42,,1.59,34.62,,34.44,23.13,16.79,25.99,1.02,19.94,10.72,31-Aug-2018 - 00:00,"Rohini, Delhi - DPCC"
31-Aug-2018 - 00:00,30.75,977.62,78.81,138.04,209.46,1.82,168.32,44.32,,1.34,26.19,,30.5,18.9,6.01,14.99,0.87,14.04,10.99,01-Sep-2018 - 00:00,"Rohini, Delhi - DPCC"
01-Sep-2018 - 00:00,28.04,979.78,91.53,48.99,192.37,1.24,131.43,56.08,,6.53,38.69,,31.48,26.0,15.28,26.16,1.09,9.98,11.17,02-Sep-2018 - 00:00,"Rohini, Delhi - DPCC"
02-Sep-2018 - 00:00,26.92,979.57,93.26,63.24,,,77.57,47.41,,3.34,31.75,,,12.15,4.81,10.25,0.76,10.14,10.95,03-Sep-2018 - 00:00,"Rohini, Delhi - DPCC"
03-Sep-2018 - 00:00,26.95,979.83,95.14,53.5,,,76.6,48.95,,1.76,31.22,,,20.57,13.17,21.68,1.14,11.33,,04-Sep-2018 - 00:00,"Rohini, Delhi - DPCC"
04-Sep-2018 - 00:00,28.31,980.39,88.57,101.81,229.02,1.33,132.91,72.83,,2.51,38.61,,45.09,25.49,17.99,28.23,1.38,17.36,10.39,05-Sep-2018 - 00:00,"Rohini, Delhi - DPCC"
05-Sep-2018 - 00:00,27.95,979.67,86.85,104.72,239.45,1.33,132.02,47.93,,2.85,28.27,,25.66,21.33,17.64,25.73,1.09,12.8,11.0,06-Sep-2018 - 00:00,"Rohini, Delhi - DPCC"
06-Sep-2018 - 00:00,29.16,979.0,81.43,188.49,276.69,1.44,131.75,39.09,,1.75,24.42,,25.95,12.83,14.96,18.99,0.94,17.27,10.94,07-Sep-2018 - 00:00,"Rohini, Delhi - DPCC"
07-Sep-2018 - 00:00,26.15,980.57,93.0,21.1,163.57,1.04,76.96,36.11,,1.48,27.25,,39.5,30.11,11.46,26.34,1.06,16.58,9.43,08-Sep-2018 - 00:00,"Rohini, Delhi - DPCC"
08-Sep-2018 - 00:00,28.41,981.29,85.14,134.35,64.15,2.24,71.51,44.96,,1.11,27.54,,33.39,15.66,6.77,13.85,0.96,11.73,11.13,09-Sep-2018 - 00:00,"Rohini, Delhi - DPCC"
