from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WS,WD,RH,BP,to date,station
09-Jul-2018 - 00:00,6.73,18.19,11.95,20.82,13.7,0.51,6.21,23.73,54.99,0.1,0.77,26.51,,36.85,80.29,711.33,10-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Jul-2018 - 00:00,5.33,19.72,12.54,24.92,17.74,0.57,6.24,24.53,57.29,0.1,0.82,26.59,,37.83,81.86,712.27,11-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Jul-2018 - 00:00,7.0,18.32,11.4,16.66,8.52,0.4,8.47,20.12,51.73,,0.74,26.77,,38.55,75.21,712.52,12-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Jul-2018 - 00:00,7.23,15.57,10.39,13.7,6.66,0.4,9.87,17.5,50.26,0.1,0.6,26.52,,39.25,73.55,711.91,13-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Jul-2018 - 00:00,6.3,16.83,10.54,15.12,7.58,0.41,9.6,19.56,46.79,0.1,0.59,26.59,,39.84,75.35,711.73,14-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Jul-2018 - 00:00,6.1,16.06,10.8,15.14,8.11,0.34,8.32,19.8,53.58,0.1,0.58,26.75,,39.89,76.29,711.18,15-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Jul-2018 - 00:00,7.29,11.81,11.19,10.02,4.61,,9.16,19.53,60.85,,0.55,26.78,,39.6,69.72,710.65,16-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Jul-2018 - 00:00,8.53,13.76,11.34,15.9,10.56,,5.58,19.35,46.1,,0.55,26.43,,40.0,78.48,711.27,17-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,18-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Jul-2018 - 00:00,8.3,18.32,10.62,17.21,9.19,0.59,11.09,22.32,68.3,0.1,0.57,26.66,,41.0,62.77,712.25,19-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Jul-2018 - 00:00,10.42,15.7,10.48,13.13,5.88,0.78,11.45,17.91,47.03,,0.55,26.65,,41.22,73.81,712.66,20-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Jul-2018 - 00:00,9.93,16.21,10.44,13.45,5.94,0.6,13.25,19.53,53.32,,0.51,26.68,,64.07,71.2,712.74,21-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Jul-2018 - 00:00,7.27,17.03,10.89,13.42,5.53,0.65,14.81,21.04,55.47,0.1,0.51,26.5,,82.43,74.62,713.82,22-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Jul-2018 - 00:00,9.58,12.42,10.88,9.9,4.05,1.03,11.31,23.8,65.76,,0.53,26.58,,81.86,71.99,713.44,23-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Jul-2018 - 00:00,9.02,17.4,11.2,22.88,16.78,1.12,7.51,24.78,59.17,0.1,0.62,26.6,,64.03,76.55,713.08,24-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Jul-2018 - 00:00,9.41,16.53,12.44,19.45,13.13,0.88,5.94,20.73,54.22,0.1,0.68,26.62,,172.5,74.83,714.24,25-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Jul-2018 - 00:00,9.67,16.86,12.26,21.73,15.7,1.46,4.6,27.32,58.39,0.1,0.64,26.66,,239.01,75.28,714.58,26-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Jul-2018 - 00:00,8.44,17.7,11.94,20.05,13.07,0.88,5.4,23.14,59.54,0.1,0.66,26.64,,209.21,73.61,714.85,27-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Jul-2018 - 00:00,8.91,17.43,11.19,17.59,10.24,0.86,6.7,25.48,68.73,0.1,0.59,26.63,,194.88,72.61,714.64,28-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Jul-2018 - 00:00,9.85,18.9,11.65,19.68,11.84,1.0,5.68,28.56,71.16,0.1,0.64,26.69,,176.57,74.47,713.97,29-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Jul-2018 - 00:00,10.28,16.62,12.21,19.69,13.36,1.23,6.3,22.3,61.18,0.11,0.64,26.63,,158.69,72.12,713.28,30-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Jul-2018 - 00:00,9.56,18.79,11.67,24.18,17.44,1.51,5.98,24.95,66.21,0.1,0.62,26.71,,112.23,71.23,713.23,31-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Jul-2018 - 00:00,10.41,16.43,11.33,18.96,12.58,0.86,5.37,24.69,66.11,0.1,0.57,26.61,,82.41,75.47,714.11,01-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Aug-2018 - 00:00,10.45,21.39,11.73,28.1,20.57,1.33,5.9,26.7,68.67,0.1,0.6,26.68,,61.67,74.26,714.86,02-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Aug-2018 - 00:00,9.89,20.61,12.34,30.0,23.42,1.63,5.19,29.01,75.14,0.1,0.64,26.59,,83.2,71.43,715.27,03-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Aug-2018 - 00:00,12.43,17.73,13.84,32.01,27.78,1.95,4.09,33.84,77.2,0.12,0.66,26.76,,153.1,73.0,715.77,04-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Aug-2018 - 00:00,13.94,18.85,15.03,32.23,27.31,1.86,2.96,52.02,103.99,0.12,0.71,26.51,,16.42,73.49,715.66,05-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Aug-2018 - 00:00,10.84,14.38,13.39,24.88,21.2,2.64,4.4,29.2,80.31,0.1,0.57,26.5,,14.6,67.9,715.44,06-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Aug-2018 - 00:00,8.22,14.98,12.27,19.33,13.97,,6.45,23.61,62.32,0.1,0.54,26.55,,14.46,70.85,714.09,07-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Aug-2018 - 00:00,9.49,16.52,12.22,18.48,11.93,,6.83,22.59,52.79,0.1,0.53,26.51,,14.38,73.82,712.5,08-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Aug-2018 - 00:00,9.66,18.91,15.09,30.88,26.0,,3.63,24.77,49.88,0.1,0.62,27.68,,14.38,78.5,712.05,09-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Aug-2018 - 00:00,7.7,17.57,15.04,26.53,21.14,,4.64,25.71,56.12,0.1,0.58,27.89,,14.54,72.39,714.39,10-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Aug-2018 - 00:00,10.03,15.12,14.41,21.04,15.99,,4.56,27.34,71.46,0.1,0.58,27.09,,14.56,74.3,715.52,11-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Aug-2018 - 00:00,7.83,15.99,14.03,24.15,19.24,,4.36,24.19,49.22,0.1,0.57,27.32,,14.96,76.04,714.36,12-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Aug-2018 - 00:00,10.07,12.5,13.36,16.73,12.4,1.05,6.02,15.35,32.34,0.1,0.49,27.29,,14.97,79.65,713.17,13-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Aug-2018 - 00:00,9.38,13.54,12.61,20.88,16.83,0.87,4.0,16.66,32.83,,0.49,27.53,,14.38,78.03,712.86,14-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Aug-2018 - 00:00,8.2,16.52,12.56,28.12,23.78,1.05,3.59,17.02,32.38,0.1,0.52,27.68,,14.38,81.18,711.76,15-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Aug-2018 - 00:00,8.86,13.97,12.51,20.99,16.67,1.28,4.49,18.4,37.12,0.1,0.56,27.73,,14.31,80.06,711.21,16-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Aug-2018 - 00:00,6.46,16.99,12.13,16.51,9.2,0.5,6.24,19.34,38.56,0.1,0.5,27.77,,14.09,77.22,711.44,17-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Aug-2018 - 00:00,7.75,14.97,12.69,15.52,9.29,0.52,5.15,28.98,63.5,0.1,0.47,27.72,,14.33,72.62,711.27,18-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Aug-2018 - 00:00,6.25,15.51,12.75,18.25,12.3,0.54,5.92,25.16,63.14,0.1,0.51,27.75,,14.23,70.98,711.9,19-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Aug-2018 - 00:00,6.15,13.31,12.23,14.26,8.82,0.46,6.88,20.12,45.9,0.1,0.46,27.73,,14.71,70.83,712.12,20-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Aug-2018 - 00:00,8.1,16.57,12.72,22.32,16.62,0.55,5.36,23.17,62.77,0.1,0.5,27.76,,14.22,72.48,712.88,21-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Aug-2018 - 00:00,8.0,15.49,12.66,16.25,9.86,0.48,5.87,25.52,58.52,0.1,0.47,27.78,,13.88,68.4,713.86,22-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Aug-2018 - 00:00,7.54,15.86,12.46,17.8,11.51,0.52,5.31,23.47,56.66,0.1,0.47,27.77,,13.98,68.84,714.51,23-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Aug-2018 - 00:00,6.94,16.98,12.0,24.74,19.3,0.58,3.75,21.21,43.81,0.1,0.5,27.8,,14.24,72.71,715.03,24-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Aug-2018 - 00:00,7.19,16.92,12.95,25.09,19.78,0.62,3.51,24.11,51.03,0.1,0.57,27.63,,13.88,74.97,714.8,25-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Aug-2018 - 00:00,8.43,18.31,12.97,30.3,25.29,0.73,2.88,31.83,71.85,0.1,0.62,27.65,,13.3,70.42,713.98,26-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Aug-2018 - 00:00,8.72,15.19,13.06,19.06,13.51,0.65,4.12,26.24,53.23,0.1,0.54,27.65,,11.46,73.68,713.3,27-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Aug-2018 - 00:00,9.31,17.46,12.74,24.27,18.43,0.63,3.96,28.67,59.07,0.1,0.55,27.72,,11.83,79.75,713.2,28-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Aug-2018 - 00:00,6.6,19.88,13.88,26.78,19.95,0.74,3.39,41.93,82.96,0.13,0.53,27.63,,12.31,76.66,713.47,29-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Aug-2018 - 00:00,7.78,18.86,13.67,28.43,22.63,0.73,2.96,32.97,61.05,0.11,0.56,27.65,,11.98,76.61,714.74,30-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Aug-2018 - 00:00,8.04,18.48,13.63,30.27,25.14,0.68,2.36,31.06,72.89,0.1,0.57,28.05,,12.14,74.58,714.2,31-Aug-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Aug-2018 - 00:00,8.5,18.27,12.24,27.17,21.46,0.67,3.01,23.18,57.66,0.1,0.55,27.78,,11.7,75.58,714.51,01-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Sep-2018 - 00:00,7.1,19.62,12.52,23.32,15.84,0.61,4.66,28.86,66.16,0.1,0.52,27.79,,11.31,69.69,715.38,02-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Sep-2018 - 00:00,7.38,16.66,12.51,20.69,14.56,0.59,5.67,28.0,67.12,0.1,0.51,27.72,,10.93,66.83,715.49,03-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Sep-2018 - 00:00,7.64,19.16,12.21,29.75,24.08,0.68,5.48,28.7,73.97,0.1,0.55,27.74,,9.08,60.5,715.51,04-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Sep-2018 - 00:00,8.47,24.22,15.01,32.5,24.12,0.76,6.31,30.83,77.7,0.1,0.58,27.51,,9.3,59.28,715.88,05-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Sep-2018 - 00:00,7.34,19.82,12.89,27.41,20.75,0.62,5.55,27.91,67.54,0.1,0.55,27.12,,7.43,61.59,715.56,06-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Sep-2018 - 00:00,7.99,19.89,11.57,26.02,18.99,0.55,5.65,22.14,62.52,0.1,0.48,27.18,,6.22,63.09,714.2,07-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Sep-2018 - 00:00,8.02,19.12,10.89,23.97,16.99,0.51,5.65,23.56,57.85,0.1,0.44,27.12,,5.0,63.53,714.81,08-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Sep-2018 - 00:00,7.05,19.88,11.2,25.36,18.19,0.57,5.39,23.09,51.24,0.1,0.41,26.76,,107.54,63.43,715.15,09-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Sep-2018 - 00:00,7.36,19.43,10.87,18.67,10.24,0.6,9.73,23.85,50.23,0.1,0.46,26.17,,222.74,60.39,714.95,10-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Sep-2018 - 00:00,8.06,27.13,14.66,24.39,12.25,0.94,9.48,35.62,77.26,0.1,0.65,26.3,,229.62,65.24,716.82,11-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Sep-2018 - 00:00,7.57,27.06,14.0,21.32,8.53,0.73,15.12,32.94,69.88,0.1,0.62,26.34,,218.02,63.12,717.08,12-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Sep-2018 - 00:00,9.34,33.56,12.54,37.35,23.97,0.94,14.42,32.87,81.46,0.1,0.65,26.31,,221.78,58.72,715.85,13-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Sep-2018 - 00:00,8.0,27.71,15.03,25.58,13.33,0.87,8.22,32.57,69.43,0.1,0.74,26.37,,204.12,64.19,714.76,14-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Sep-2018 - 00:00,8.17,32.76,15.91,28.71,13.87,0.89,14.58,32.97,68.22,0.1,0.76,26.36,,185.9,65.22,715.2,15-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Sep-2018 - 00:00,9.31,34.94,14.69,32.99,17.71,0.92,11.81,39.48,74.01,0.1,0.76,26.16,,210.18,74.51,715.88,16-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Sep-2018 - 00:00,6.24,28.02,14.04,29.35,17.76,0.92,8.9,33.89,63.88,0.11,0.68,26.19,,223.05,76.02,714.8,17-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Sep-2018 - 00:00,8.78,23.14,12.21,26.96,18.02,0.7,4.96,28.74,57.03,0.1,0.56,26.31,,235.93,70.97,714.88,18-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Sep-2018 - 00:00,9.14,21.82,11.53,25.41,16.98,0.67,4.74,38.2,76.59,0.1,0.48,26.28,,245.55,65.93,714.51,19-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Sep-2018 - 00:00,8.45,23.05,10.69,24.68,15.27,0.61,5.67,31.29,68.84,0.1,0.45,26.18,,242.12,65.67,714.35,20-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Sep-2018 - 00:00,8.87,28.52,11.72,30.96,19.42,0.8,7.99,31.43,71.57,0.1,0.55,26.23,,242.75,71.01,712.36,21-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Sep-2018 - 00:00,9.03,28.83,11.59,26.76,14.05,0.7,8.24,34.74,81.67,0.1,0.5,26.3,,230.2,69.9,712.88,22-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Sep-2018 - 00:00,6.22,27.5,11.31,29.44,18.21,0.71,9.43,29.86,75.22,0.1,0.48,26.2,,222.33,60.68,715.68,23-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Sep-2018 - 00:00,7.14,31.07,14.09,28.61,14.86,0.89,14.15,38.6,77.53,0.1,0.61,26.24,,172.82,67.75,717.47,24-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Sep-2018 - 00:00,7.25,29.91,15.85,26.69,22.92,0.9,13.76,24.36,57.52,0.1,0.65,26.39,,222.52,76.34,717.83,25-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Sep-2018 - 00:00,9.0,58.37,13.23,35.34,32.34,1.13,10.91,38.76,92.86,0.1,0.71,26.2,,196.99,72.32,716.4,26-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Sep-2018 - 00:00,9.13,39.54,14.55,37.09,19.73,1.06,12.8,47.67,105.82,0.1,0.75,26.13,,203.35,69.5,715.21,27-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Sep-2018 - 00:00,7.93,36.39,13.62,35.58,19.95,1.01,12.97,36.75,75.09,0.1,0.72,26.16,,192.47,75.1,715.08,28-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Sep-2018 - 00:00,7.22,32.18,13.93,35.86,23.06,1.01,7.62,36.64,79.1,0.1,0.79,26.3,,137.56,66.4,714.97,29-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Sep-2018 - 00:00,6.79,26.86,11.87,30.26,19.63,0.89,7.56,22.29,59.34,0.1,0.7,26.31,,132.14,65.53,715.49,30-Sep-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Sep-2018 - 00:00,7.04,30.98,14.36,40.23,29.21,1.17,9.3,29.29,84.74,0.1,0.69,26.38,,134.84,65.36,715.18,01-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Oct-2018 - 00:00,7.66,27.64,13.38,35.33,25.39,0.99,6.68,28.17,66.17,0.1,0.68,26.29,,113.47,63.35,715.36,02-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Oct-2018 - 00:00,7.8,23.01,11.74,32.83,25.31,0.86,5.42,18.45,52.6,0.1,0.63,26.33,,111.71,64.52,715.91,03-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Oct-2018 - 00:00,7.8,29.45,12.03,43.85,34.66,1.01,6.24,22.64,62.29,0.1,0.66,26.39,,112.98,66.28,715.76,04-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Oct-2018 - 00:00,7.7,27.47,12.24,56.39,51.74,1.21,2.82,25.2,56.82,0.1,0.74,26.61,,110.05,79.49,715.77,05-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Oct-2018 - 00:00,7.53,37.91,18.33,60.46,49.57,1.14,2.39,22.01,61.89,0.1,0.69,26.15,,101.15,75.31,716.06,06-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Oct-2018 - 00:00,7.81,23.86,11.67,44.4,38.99,1.06,2.18,18.52,51.4,0.1,0.72,26.14,,116.88,77.65,716.16,07-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Oct-2018 - 00:00,7.13,26.36,12.37,34.7,25.45,0.94,5.24,27.34,62.37,0.1,0.63,26.16,,104.98,68.09,715.73,08-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Oct-2018 - 00:00,8.1,34.82,16.01,38.74,24.87,1.13,11.53,43.55,94.29,0.1,0.63,26.25,,150.56,66.23,715.22,09-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Oct-2018 - 00:00,7.83,38.56,12.91,40.24,24.25,1.13,12.24,41.28,100.87,0.1,0.71,26.29,,206.54,61.53,714.95,10-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Oct-2018 - 00:00,7.76,43.26,15.34,51.21,34.68,1.27,14.22,50.75,67.55,0.11,0.73,26.1,,230.54,57.62,714.48,11-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Oct-2018 - 00:00,10.48,46.74,18.29,63.72,47.8,1.51,10.74,66.05,176.15,0.11,0.86,26.14,,235.93,53.84,714.47,12-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Oct-2018 - 00:00,8.93,49.32,19.68,77.27,62.77,1.51,8.6,81.08,192.26,0.12,0.94,26.11,,225.17,55.23,715.45,13-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Oct-2018 - 00:00,9.37,39.41,21.89,49.92,35.63,1.37,13.66,78.09,168.66,0.13,1.0,26.18,,208.53,56.46,716.72,14-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Oct-2018 - 00:00,6.51,28.74,17.1,22.95,9.43,0.88,17.9,53.12,96.61,0.1,0.72,26.14,,201.28,72.19,717.69,15-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Oct-2018 - 00:00,7.37,34.16,16.46,34.07,19.56,1.09,17.57,49.32,101.71,0.1,0.73,26.16,,216.75,77.38,718.3,16-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Oct-2018 - 00:00,7.76,28.02,14.46,31.99,21.0,0.9,10.41,45.03,94.88,0.1,0.74,26.16,,135.91,68.66,718.29,17-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Oct-2018 - 00:00,5.99,26.31,10.38,36.56,27.75,0.8,10.58,22.88,47.51,0.1,0.6,26.12,,207.33,74.46,718.12,18-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Oct-2018 - 00:00,6.24,31.99,11.55,38.47,26.4,1.11,18.21,30.47,63.89,0.1,0.69,26.14,,180.5,71.66,717.5,19-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Oct-2018 - 00:00,6.17,28.61,12.69,32.54,21.29,0.98,11.26,31.26,65.81,0.1,0.6,26.08,,116.19,66.5,717.36,20-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Oct-2018 - 00:00,6.38,36.34,12.34,39.49,24.79,1.0,15.79,36.96,88.84,0.1,0.55,26.11,,108.46,54.65,718.32,21-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Oct-2018 - 00:00,8.89,38.21,14.69,40.21,24.46,0.98,18.54,50.74,115.23,0.1,0.53,26.22,,113.7,54.2,718.75,22-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Oct-2018 - 00:00,9.85,54.16,15.11,58.11,36.03,1.17,16.79,54.4,130.32,0.1,0.56,26.15,,109.89,45.89,718.61,23-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Oct-2018 - 00:00,11.13,57.58,17.04,61.69,38.21,1.24,14.74,63.14,143.7,0.1,0.64,26.29,,110.8,46.52,718.59,24-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Oct-2018 - 00:00,9.09,54.48,17.26,59.46,37.5,1.1,14.43,54.32,124.04,0.1,0.63,26.21,,110.57,44.01,717.99,25-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Oct-2018 - 00:00,9.51,47.74,19.44,50.19,30.51,1.08,16.14,61.19,127.55,0.1,0.61,26.64,,106.64,53.93,719.04,26-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Oct-2018 - 00:00,9.99,48.64,18.72,50.83,30.71,1.15,17.08,64.7,133.91,0.1,0.61,27.18,,101.91,54.93,719.36,27-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Oct-2018 - 00:00,10.4,57.3,16.1,59.65,35.88,1.24,21.24,52.04,123.91,0.1,0.66,27.17,,110.54,48.45,719.02,28-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Oct-2018 - 00:00,10.22,53.92,17.89,54.42,31.67,1.09,28.61,44.34,110.4,0.1,0.6,27.16,,142.12,40.79,717.98,29-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Oct-2018 - 00:00,9.69,67.32,19.11,72.02,44.55,1.26,23.38,48.35,122.1,0.1,0.61,26.7,,187.35,41.53,716.71,30-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Oct-2018 - 00:00,9.61,72.91,20.39,77.2,47.25,1.33,16.54,51.4,126.38,0.1,0.69,25.16,,162.46,47.4,715.97,31-Oct-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Oct-2018 - 00:00,7.66,56.71,17.97,61.59,38.65,1.33,12.94,51.32,114.95,0.1,0.62,24.58,,135.59,62.48,715.98,01-Nov-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Nov-2018 - 00:00,8.36,45.56,14.05,53.25,35.71,1.11,10.22,33.21,80.14,0.1,0.53,24.69,,129.62,65.64,716.14,02-Nov-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Nov-2018 - 00:00,6.9,36.89,14.17,48.56,35.6,1.02,6.18,23.76,55.0,0.1,0.5,25.29,,108.73,74.47,716.71,03-Nov-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Nov-2018 - 00:00,6.09,40.39,12.95,51.43,36.85,1.1,7.28,31.24,63.47,0.1,0.53,25.88,,99.36,74.01,717.45,04-Nov-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Nov-2018 - 00:00,8.12,37.26,11.4,41.51,26.68,0.91,9.84,28.06,59.05,0.1,0.46,25.87,,96.11,71.98,717.92,05-Nov-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Nov-2018 - 00:00,9.71,43.36,11.0,49.73,32.8,1.05,8.11,35.46,74.95,0.1,0.48,25.86,,103.39,63.08,718.02,06-Nov-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
